"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.6639522,-0.15724406,-0.018456582,-0.099532954,-0.014898569,-0.17357923,0.10057056,0.75360644,-0.76339084,0.025704216,0.1239382,-0.08761456,0.69283086,2.3252828,1.1397316,0.039670013,-0.014021789,0.06833175,-0.12405138,-0.022577079,0.0050925524,0.14384523,0.022998381,1.0970539,0.695894,-0.031678144,0.043500386,0.0028293116,-0.06225724,0.040403455,0.043934967,0.047612675,0.2009205,0.4283708,-0.03451181,0.011230238,0.2989043,0.052271128,0.2031193,0.047176268,0.037830915,-0.004459905,-0.056274123,0.21359296,0.23355535,-0.14207844,0.61835605
-0.7088715,-0.18369958,-0.031863093,-0.03373147,0.020352691,-0.12558012,0.4361313,0.8262198,-0.3012385,0.16434635,0.09584248,-0.064476095,0.4588606,2.0559795,1.0341395,0.08227489,0.005462822,0.12391413,-0.08081159,-0.15030698,0.41099346,0.19409649,-0.03835323,1.0484296,-0.6080675,0.017014323,0.031238148,0.023737788,-0.095392354,0.05744409,0.020100018,0.018647555,0.08165439,0.2081245,-0.07167332,-0.04672288,0.225154,0.0045806025,0.3163139,0.07506245,0.021081857,-0.20057647,-0.11462418,0.3183037,0.25359055,0.07886288,0.6107835
-0.50760055,-0.21871762,-0.073378906,-0.058145266,0.069163434,-0.07744522,0.11386514,0.7934233,-0.4510967,0.3171566,0.13270225,-0.13227609,0.7286258,2.1130066,0.89089173,-0.022381341,0.038347114,0.11650234,-0.114946716,0.026757596,-0.37558043,0.17381218,0.042146493,1.116608,0.28186694,-0.11634968,0.042354748,-0.0010182092,-0.016373407,0.05040523,0.0487056,0.044796284,0.32456467,0.6202309,-0.17630209,0.039786,0.05814119,0.121234424,0.21953964,0.005176041,-0.009521662,-0.062488366,-0.0813244,-0.17810376,-0.7289175,-0.12444196,0.39491543
-0.5600555,-0.2171427,-0.025439817,-0.1520453,0.014479889,-0.02230745,0.41550726,0.72528887,-0.30302194,0.16936682,0.08184924,-0.049647078,0.53738576,1.9728967,1.0371897,0.02535672,-0.019196061,0.14719965,-0.086373225,-0.02579268,0.03287277,0.17346919,-0.01096565,1.0945373,-0.48020995,-0.009286478,0.038261387,-0.020820875,-0.032645803,0.06883062,0.0023614652,0.0057748696,0.06489092,0.46374515,-0.09147753,-0.02232532,0.25930256,0.100127496,0.23841834,0.08089454,0.025349477,-0.11617206,-0.044172797,0.09434451,0.25768173,-0.023804504,0.67874104
-0.49419698,-0.19165595,-0.024812855,-0.04937239,0.02746768,0.006894639,0.14221698,0.7223557,-0.29868147,0.25755927,0.16318296,0.023510817,0.55917543,2.0090127,1.0522128,0.01968583,0.015046579,0.15523553,-0.08266303,-0.022571191,0.012501837,0.14430621,0.036251903,1.0481817,-0.43861505,-0.08794212,0.037215445,0.018276252,-0.028640937,0.072326206,0.007814454,0.023933496,0.11221767,0.28135335,-0.082613066,-0.030000068,0.24288093,0.041791428,0.19660898,0.08926201,0.039106343,-0.09641906,-0.03260068,0.102604784,0.09678422,-0.02947257,0.66579825
-0.095012434,-0.17146197,-0.04327346,0.23023754,0.07452459,-0.13931546,-0.25128278,0.32297537,-0.28334364,-0.07097891,0.1662062,-0.054178957,0.44960696,1.9850024,1.0809503,0.048206165,0.031637885,0.2783033,-0.061975364,0.026283232,0.19819953,0.12357077,0.03754545,1.0492582,-0.50522476,-0.084912084,0.0408538,-0.041360825,-0.093235254,0.06804477,0.012800764,0.059856433,-0.029976282,0.4912587,-0.012325082,0.028095629,0.35011697,0.097143255,0.064793505,0.0721411,0.017193621,-0.008608937,-0.0075986283,0.024833275,0.15353252,-0.20390567,0.5511575
-0.23269325,-0.055476133,-0.008504019,-0.1974122,0.008703509,0.025502695,0.07924851,-0.009431871,0.29810262,0.044881973,0.16516824,0.0248956,0.6046442,2.4623199,1.0474254,0.13030325,-0.23349711,-0.0070878863,-0.09463439,-0.019836403,-0.48644522,-0.2977482,-0.05455391,1.0296712,-1.0369703,-0.13667041,-0.05898177,-0.019928431,-0.23666854,0.09731262,-0.041768473,-0.07113928,-0.03113098,0.016305279,-0.051575888,-0.14048909,0.33382496,-0.23476134,0.15977508,0.011817271,0.021950562,-0.11937092,0.006143374,0.22695157,0.25082055,0.05013725,0.47257274
0.055318803,-0.051920157,-0.0680109,0.29616433,-0.0052162316,-0.23939186,0.05001872,0.016835704,0.3917356,-0.01212151,-0.2240021,0.006699015,0.5769897,2.507893,0.8726684,-0.015697343,0.17296094,0.049482122,-0.029440954,0.012468148,-1.8052788,0.036569394,0.03682704,1.0535518,-1.2495958,-0.13989086,0.042873163,0.014914135,-0.18137836,0.069076024,-0.006527877,0.018268976,0.097503856,0.35040593,-0.10464577,-0.12572116,0.28949547,-0.17453887,0.14465173,0.090036735,0.041733664,-0.19868733,-0.03824493,0.22049679,0.27326718,-0.009775834,0.5949726
-0.45851725,-0.0004874644,-0.065655716,0.31136647,0.044075817,-0.07310154,0.4627552,0.25231147,0.024384165,0.37829468,-0.66708225,-0.034474738,0.4841961,2.25907,0.8513732,0.07885453,0.16029902,0.05630729,-0.045079757,0.010936764,-1.4226912,0.09230583,0.036418896,0.98655486,-1.0697327,-0.17468035,-0.003973402,-0.011866584,-0.15994105,0.10270365,-0.033220377,-0.06060951,-0.0023672779,0.2137589,-0.06947286,-0.05549482,0.35654864,-0.33820438,0.1834445,0.10336957,0.022258606,-0.044710368,-0.081581876,0.26066113,0.19404598,-0.013739097,0.6243475
1.0430846,-0.045053646,-0.06975615,0.22846247,0.01937584,0.06496005,-0.032545943,-1.4653685,0.15491632,0.39839113,-0.9070902,0.060187444,0.44898167,2.355174,1.0110422,0.32547137,0.07568627,-0.10325432,-0.12779397,0.09995155,-1.6463137,0.11151374,-0.10426151,1.0562134,-0.46057343,-0.13111597,0.076970495,-0.020397939,-0.14652061,0.032292902,0.014323439,0.085017435,0.42630154,0.7169093,0.029695839,0.02929785,0.007843288,-0.21672167,0.042269677,0.050937127,0.008271192,-0.2188623,-0.18114568,0.13855223,0.24406229,-0.22330101,0.4409993
-0.13204277,-0.19333988,-0.10465675,0.29791903,0.002519431,-0.103524916,0.58144224,0.22494145,-0.17331995,0.28428328,0.075521916,-0.0304533,0.49959183,2.5501814,0.61390615,0.038506344,0.14512335,0.2076965,-0.10850515,-0.012011345,-1.4897587,0.08940052,-0.046414755,1.0203619,-1.235323,-0.17824784,-0.013015629,-0.056614272,-0.25403467,0.01218143,0.0035395008,0.048691183,-0.025297321,0.05480587,-0.044395275,-0.09017656,0.32150823,-0.18336569,0.19764744,-0.005795959,0.02055949,-0.106593944,-0.13333368,0.39082757,0.123559654,0.013227417,0.6111489
-0.015887836,-0.065713756,-0.038574174,0.2114245,0.04542187,0.030779578,0.7554438,1.0766345,-0.06697799,0.021956988,-0.047069613,-0.00069131627,0.5497405,2.8122432,1.3118879,0.06153227,0.054553423,-0.019530287,-0.08101487,-0.016607448,0.9512759,0.13703392,0.01798576,1.0988898,2.0064096,0.0115616955,0.092972316,0.016504373,-0.01075569,0.03176621,0.0006624942,0.0030555164,0.38619155,0.34559453,0.037928134,-0.028680561,0.061893396,-0.13042201,0.19597697,0.10814459,0.048056718,-0.12496107,0.0208938,0.48394635,0.29698092,0.048779234,0.88229674
0.92992085,0.054912288,-0.031696036,0.7565306,-0.24615078,0.02082686,0.96246755,0.5766976,-0.50498176,0.03204687,-0.24574609,0.13423158,0.49065897,2.1412034,1.2147717,0.26954618,0.057505656,-0.0764949,0.097209424,0.09165575,0.6770645,0.1033402,-0.08151654,0.68411267,2.5023122,0.13936281,0.063582644,0.028730163,0.041406725,0.06391902,0.011993304,0.027546836,0.5173182,0.79897606,0.046835165,0.022215502,0.073027454,-0.22233723,0.074348666,0.076629475,0.058470476,-0.006576304,0.09508305,0.17581235,0.3109879,-0.06597579,0.625829
-0.013549368,-0.06267477,-0.044202257,0.21263294,0.04555904,0.02988065,0.75453943,1.0769179,-0.058603015,0.022551604,-0.046573948,0.00027323965,0.5462566,2.8342257,1.3104945,0.06150603,0.054896377,-0.019276185,-0.0812062,-0.024367278,0.95100826,0.13690929,0.019001512,1.0989821,2.0044658,0.0116284145,0.09308744,0.020941332,-0.010465569,0.031694364,0.0006460368,-0.029612774,0.15457056,0.35672072,0.028513044,-0.031280298,0.31033334,-0.13124153,0.19766796,0.10822318,0.04783638,-0.105806105,0.019511608,0.4667125,0.29698938,0.049452934,0.88432765
