"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
1.7338808,-0.1805018,1.9957391,2.3343027,5.816018,-11.602265,3.9796953,11.846794,4.196626,0.15480308,-4.5432467,20.680046,20.301298,6.895604,1.7886556,-13.394861,-0.6337382,0.49910307,-3.377258,-1.9966489,-3.1730328,-9.185828,-1.0171381,6.1198673,0.26277456,-0.95144093,-3.5852423,-0.3041526,1.002891,-1.3007085,-0.6893573,6.3197007,5.504021,-1.4918431,10.500774,-0.47921336,-7.135245,34.464844,2.597878,-0.9081145,7.0046196,2.1020207,-3.1489768,1.7155254,1.6690545,-1.5670246,1.8511189
1.0156008,-0.5545503,-1.2594932,10.848084,5.3436184,-8.048404,4.8028083,14.485464,6.3702755,-3.3892658,-0.77553695,16.687262,24.564613,39.789875,2.0655482,-6.2034307,1.6546148,1.7921939,-1.4748899,-1.7933029,-0.61492014,-2.5969663,-2.7565699,2.9352891,11.431792,-0.7053435,-0.41723874,0.40815502,1.1786377,-1.398583,0.16728358,3.818586,1.1871355,1.341564,5.9425554,3.03603,7.3609905,3.7217906,3.1915338,-0.7442843,-2.0044677,-1.2979431,6.642197,0.37180334,0.21640517,-0.8256873,0.92755526
2.295064,0.6920518,1.6713396,2.767114,6.301441,-0.031887725,3.2587352,7.878373,3.1495693,-4.300147,-1.985291,23.071972,30.811672,25.476183,0.6690197,5.3979435,-0.1135728,0.71350324,-2.2353349,2.368479,-1.6215582,-6.004264,-2.9854064,5.6824093,9.714296,-1.3913465,-5.1090684,-0.31165972,2.4019692,-2.1304953,1.8217342,8.223717,8.395292,-0.731643,4.838847,1.158254,-3.9857807,27.729998,3.261787,-0.14832976,4.4612703,-1.2052312,5.061646,0.82403415,1.9102619,-0.2556532,2.7182598
-0.03729257,0.17543477,-0.4975902,8.5455885,6.4358897,-0.50796854,-0.7822994,9.957305,7.8425956,-2.3048296,-2.3335545,14.913774,26.46433,29.791506,1.73845,-1.943788,-0.97185624,-0.8562071,-2.9217021,-0.45279437,-2.1251988,-4.3876967,-1.4094726,5.1657267,13.688074,-1.2884066,-3.326513,0.30786398,0.9089896,-0.21563666,0.10508494,4.7126822,9.123873,0.72416204,3.0529945,0.30101594,4.5524154,15.764219,2.324162,-0.61935925,-2.718641,-1.0096157,4.9063807,1.5269097,2.9853425,-0.2810524,1.3868407
1.967582,-0.1113404,-0.844745,6.6036906,5.651141,-0.48558778,2.1164162,7.996374,8.70159,-2.6197333,-0.53001285,14.346756,23.292765,29.323164,2.5082073,-2.8586638,-1.0274054,-0.06840988,-3.2369013,0.8566749,-2.0945876,-5.0091243,-1.6706918,5.421195,14.6065235,-0.9627178,-3.6130283,0.17176075,1.5707309,-0.7217305,-0.07801214,5.014023,9.661417,0.45395038,5.325392,0.2550619,4.820573,13.009714,2.25769,-0.77462775,-3.814488,-0.8731023,4.5125103,1.9411796,2.897256,-0.64297706,3.2032526
-8.803488,1.7360051,-0.18980134,-11.9595585,3.4542418,-1.8733398,2.7994041,-2.7240431,1.798829,3.1475234,-4.475871,18.174961,25.592081,23.247261,2.184726,-0.7554395,-0.3436672,0.06176855,-2.4969592,6.066153,-3.5072975,-9.478846,-2.693714,6.682565,14.1870165,-0.1891942,-3.7502296,-0.21185187,2.2653806,0.03526526,0.20325376,6.3395247,7.2019563,-1.7538437,1.4732143,-0.34482506,0.4540158,25.788713,2.3783686,-0.523421,-6.2593,-1.2077235,-2.139969,1.520746,3.3301587,-0.49994376,1.7407236
1.911301,-2.7876213,-1.2998067,-9.033385,2.5828946,-10.234866,-5.5203013,-9.975147,-9.179769,0.022843208,-6.7706776,-0.9233231,5.613072,4.575261,0.5907579,-6.201223,-3.2062526,-0.3441493,-7.1717777,-5.6844606,-4.9966197,-19.945957,-0.6729274,1.4354979,7.309603,-1.6581126,-8.543636,-0.77702904,-0.573631,-2.1301036,-0.9391461,-2.0319471,-6.878996,-0.1407777,-8.90721,-3.1309185,-0.53433913,-7.162338,1.3347594,-2.646761,-6.128605,-2.1119616,-4.975515,-1.2373061,-0.22466947,-2.1115184,-3.8104265
-16.577911,-2.9801397,-3.0390346,-7.912147,3.1517534,-10.774747,-4.859424,-4.739075,-4.567278,1.0791146,-9.776117,1.6787516,0.88856864,3.7920961,-3.2777803,-5.365741,-1.6005237,0.4525631,-8.666718,-3.085155,-6.1628847,-22.589924,-4.750861,2.3758748,2.821134,-1.7204832,-7.718267,0.32397884,0.65787834,-0.26750988,-0.25095534,-1.4992697,-7.884163,-1.1535062,-3.8282099,-0.64868104,1.3677485,-5.7299047,1.5699595,-1.8902711,-3.430686,1.5773289,-3.4872246,0.19248751,-0.99431336,-2.6791494,-3.2712855
3.1726317,-1.8063879,-4.590296,-9.2545805,3.3439333,-12.992859,-0.007021353,-9.993958,-2.1206658,-4.523717,-17.36015,-1.2551677,3.8468378,2.354693,0.92506534,-4.3790526,-1.9572954,-0.08803169,-7.933363,-2.356392,-9.135289,-18.12353,-3.6193538,3.336739,3.7957196,-3.0729132,-5.3640094,-0.81030995,0.33913696,-1.4176121,-0.79211324,-1.3295941,-8.302614,-1.917875,-1.606059,-1.2179251,-0.85660946,-7.764498,1.6050353,-1.8744674,-4.9327044,-1.8091632,-6.908047,-0.14591815,-0.24424587,-2.4729357,-3.6148186
-26.68887,-2.457148,-1.6310699,-8.217305,2.396629,11.765449,-1.3557671,-9.062817,-17.559525,0.011821545,-11.344901,-4.6222997,-2.2894113,3.7600863,-1.3331311,3.435205,-2.1640303,-1.0556971,-19.198156,3.6921215,-5.8494816,-12.920259,-1.2537392,8.166537,1.5163444,-2.676458,-13.3385,-0.7073844,-3.1532047,-1.1105505,-0.06586348,0.9483071,1.3535928,-7.4030037,-3.999019,1.0039674,-5.1097083,-5.0449634,2.5742984,-4.8096843,1.1704959,1.1226811,-1.3568844,-1.0480703,-0.8263371,-7.78641,-0.6934036
-14.555629,-0.5992515,-0.74151903,-9.34709,3.8246782,-16.013866,1.0022966,1.3112772,-0.49110886,-5.4335794,-9.10492,0.2918362,0.12740123,1.6318166,-1.5706002,-6.26512,-1.6719612,-1.599888,-5.97489,-4.2517247,-9.966119,-17.164812,-3.2545247,2.9625437,4.996139,-2.8827767,-5.7494817,-0.8125034,0.1206337,-1.8530324,-0.40924466,-1.8027002,-7.2787476,-1.7137736,-2.2414691,-0.6723759,0.7664685,-7.3377852,1.0613778,-2.1377041,-4.0996275,-1.6820035,-7.304143,-0.055859946,-0.89444256,-5.4991784,-0.8660966
-1.3634712,-0.4844442,0.118261114,-5.387269,4.312475,-19.368267,-4.203215,1.9009053,-6.597146,1.6798419,-7.4828587,-1.3230422,-0.9943785,4.341314,-1.5807816,-0.14930463,-1.1165686,-0.24987888,-1.372592,-2.6729598,-4.290293,-3.8443627,-1.3397943,3.427933,-16.078798,-0.4866628,-6.0716066,0.050899938,0.41963434,-0.39706144,-0.934811,-0.36337358,-1.9368234,0.5783063,-6.4465103,-0.47807354,-4.000982,-4.2199345,2.0964365,-0.70006835,-5.3992133,-1.6700816,-1.1511447,0.6562105,0.15837532,-3.3780735,1.1120408
-8.224881,-0.9311088,-1.5436528,-5.0722833,4.406836,-22.141546,4.460414,-0.80162275,-5.959082,0.04240523,-7.8729367,-4.2757497,-14.49556,6.9397902,1.8841367,4.4826,-1.0978972,-0.09585245,2.013995,3.9472935,-6.160037,4.489252,0.92972463,-0.5661957,-15.069278,-0.61885977,-7.252061,-0.21759854,-0.90960324,-0.5422954,-0.5763654,-1.1044258,1.0526929,-1.5342242,-2.9886715,-1.5211647,-8.061139,-4.4516325,0.82931703,-1.4019449,-1.4083548,-0.9213932,-1.080102,1.1570865,0.12791249,-2.5460875,1.4998629
-1.3564442,-0.37520242,0.086854406,-5.3674617,4.3124685,-19.41201,-4.103554,1.9676951,-6.8612814,1.6866717,-7.454855,-1.2941297,-0.9934224,4.340087,-1.5866678,-0.1342222,-1.1161001,-0.3167124,-1.3725923,-2.5953052,-4.390368,-3.9246204,-1.3653766,3.4269893,-16.095562,-0.48436463,-6.021093,0.06355523,0.42424074,-0.39620855,-0.9316189,-0.40682504,-1.9361382,0.57210034,-6.3358793,-0.48375425,-3.1699226,-4.3037786,2.0978055,-0.705351,-5.494527,-1.670045,-1.1357616,0.6599818,0.15781063,-3.3788073,1.1331729
0.22892566,-0.66246706,-0.232312,-5.673937,4.1583557,-17.956894,-5.989192,2.0779407,-8.37779,2.0788226,-5.7828646,-1.381266,0.09741848,4.3583803,-0.9147101,0.05511462,-1.046243,-0.27849805,-1.5393496,-2.523726,-4.360389,-5.60617,-0.9529667,3.2785351,-19.82716,-0.40098566,-5.6341577,-0.53378624,-0.6690083,-0.8942621,-0.7718684,-0.28315407,-1.9363937,0.27308398,-5.5332594,-0.679953,0.268438,-3.876819,1.9021277,-0.9421177,-4.221364,-3.051868,-0.92938817,0.89023656,0.13879777,-3.2081625,-0.13106984
