"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
11.13418,3.4498417,-19.674591,2.5609949,-59.812347,6.252365,-23.714907,3.8637044,1.3927343,1.1333735,13.364942,-15.539946,-117.64306,-83.50702,-93.466866,-22.027506,9.476181,0.22322498,-4.4905744,33.934776,0.08263246,-11.202359,-4.420952,-53.437546,0.5847498,-2.633334,-3.1934552,11.668607,86.314835,-0.95329994,1.1773939,-1.9293514,2.3499734,-32.458954,-62.677017,-5.739291,-21.176193,-2.1639895,-12.666493,0.011582867,1.0726392,1.2556007,-14.9628,-7.019656,-2.5311384,-0.027426723,-69.12033
9.715223,3.907476,-25.604113,1.4217663,-62.27273,4.5380645,-7.361389,1.2720461,-2.8563478,11.584493,13.208651,-15.930416,-142.42868,-77.64472,-95.66132,-20.57757,20.997952,-0.18695427,-4.3958645,51.96675,6.96528,-16.610441,-1.7231477,-54.4435,3.2549577,-2.720319,-3.6090343,12.779011,87.720535,-1.4731622,1.4497998,-4.6240487,-0.94911176,-5.6470027,-67.968285,9.946869,-26.995495,-1.3850291,-11.817511,0.08174394,0.060086984,-0.4263774,-22.913015,-6.9628205,-7.231356,1.630733,-96.59115
12.541054,3.9054604,-21.639833,1.9437342,-57.52457,4.40321,-28.941729,5.1253524,4.4011583,12.651485,13.2548065,-10.985962,-124.4113,-86.0379,-92.65311,-3.604712,4.003153,0.18295376,-7.6529064,30.60864,0.66353166,-10.5425205,-27.617504,-47.66177,-1.0081873,-2.352402,-1.4862399,11.625186,56.298943,0.62535703,0.2063562,1.1070782,2.956123,-23.198212,-45.2707,0.7698706,-32.410065,0.8644743,-13.903997,-1.5098041,0.645911,0.5277542,-10.665999,-10.063232,9.811714,1.2650737,-66.80179
9.858931,3.0819454,-21.429874,1.5162324,-61.063644,5.357108,-6.296377,4.9761996,-0.8334091,8.84508,12.322912,-8.480731,-125.07048,-83.27966,-93.47555,-21.594706,4.2552376,0.12918597,-2.2655983,30.58674,1.7877066,-12.763411,-4.9015827,-48.72485,1.5118971,-1.9885056,-3.7130172,11.928501,65.81124,-2.0853922,0.4126591,-3.4757066,-0.25937068,-15.524741,-50.069435,0.6887209,-21.89071,1.3482372,-11.895626,2.68597,-0.055938266,-1.7479622,-19.403725,-5.926031,-3.37821,0.59077185,-82.16087
10.386096,2.3706503,-15.986907,2.694977,-59.919502,4.400702,-24.706509,3.66513,-3.1806257,10.26879,10.893237,-7.8410907,-125.987946,-77.54362,-91.703705,-22.512495,6.852018,0.28091806,-1.0345633,36.712788,2.795356,-15.04917,-4.767116,-49.145542,1.7056295,-2.206726,-4.766621,11.743949,68.23108,-0.92432517,0.85790086,-2.1323571,1.3378611,-9.464473,-54.814625,10.128335,-22.760632,1.6210324,-10.862082,0.5810591,1.2126199,-1.1612746,-19.673527,-6.116272,-2.0069337,1.8929871,-98.052284
1.7818786,4.1463776,-14.101145,2.6642697,-56.818832,11.221937,-38.58849,5.3314037,-3.9377513,-2.008954,12.794982,-11.588431,-110.843475,-76.93194,-82.19302,-18.002731,7.3980484,-0.25111192,-1.6227175,28.209003,1.7381471,-11.964504,-2.7159243,-49.649563,1.230537,-2.1859424,-2.0597324,11.751379,46.6466,-0.5657599,-1.7580917,-2.9578795,2.8123999,-24.072195,-50.787586,-5.4113955,-23.161345,-1.0649946,-11.814376,-0.13349697,0.7944145,0.22110198,-12.377508,-10.620208,-3.0893493,0.41805464,-66.95191
1.664154,3.2572153,-23.757763,2.5225952,-61.68426,9.324339,-34.33345,-2.048112,7.9829097,4.2897706,13.642553,-9.8779545,-85.466736,-66.36703,-79.4169,-19.171526,17.867054,2.7530131,-7.7930474,37.065212,-3.449658,-6.180294,-5.191859,-17.266914,1.5686418,-4.7354627,-5.7204986,11.827284,83.21546,-0.30778253,1.0157818,-2.2706764,2.264009,-2.137173,-53.338425,16.838148,-26.95843,4.119534,-10.492393,-13.406503,0.7076139,4.828141,-15.328182,-7.130404,-0.949644,1.6985176,-101.94431
-1.7309463,0.49604374,-23.703524,3.95097,-61.716274,6.5503664,-29.614086,-8.120156,11.001514,-4.925013,10.187701,0.8047208,-104.27895,-66.37404,-95.56469,-22.512508,-0.858147,-2.072386,-6.0715513,32.81735,-17.85299,-11.435995,-1.6459601,-24.79605,-1.9597237,-3.0256314,-8.575025,12.293146,80.37851,-0.06343971,0.47160193,-10.783638,-7.524881,-22.625303,-69.343605,20.289904,-28.479742,-4.844651,-19.574211,-5.238574,0.961151,-0.5767169,-19.379564,-7.9651275,-4.0173063,0.77715987,-117.61005
1.4614966,3.251046,-21.362087,1.9155606,-63.168835,5.771217,-20.74645,6.248415,-5.568454,9.803886,10.247818,1.3414469,-95.73964,-67.575195,-95.68513,-22.305298,-0.34831944,-1.8818793,-6.07967,35.06717,-11.412483,-12.614481,-2.9574943,-17.80717,-0.66128016,-4.9646006,-8.057434,12.930345,82.61662,-0.5181764,1.0907288,-8.46701,-1.2763904,-7.017299,-65.80745,19.011545,-26.777565,-0.7161312,-14.109461,-3.5689812,0.48883796,-0.8211309,-21.159857,-8.625919,-5.108058,0.9393106,-114.0052
-5.022959,-13.279456,-5.815556,-6.9334416,-57.401638,-6.4913907,-52.220516,-14.9356785,12.531258,-2.603882,-15.615617,-2.040507,-92.010666,-67.56891,-77.81557,-12.616188,-0.4944887,-1.071855,-7.129941,-14.312797,-12.6517105,-8.628039,-3.7556822,-20.979853,0.5383233,0.09476411,-3.463088,10.361433,77.31069,-0.5009398,-1.3830371,-4.4097533,0.9194579,-31.613625,-43.457127,9.4712515,-28.309402,0.22613165,-13.338138,-25.172548,1.240791,1.1733968,-4.323675,-7.291763,-6.1902056,-2.2181745,-72.67871
