"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.287724,-1.137024,-8.61988,0.5133872,-1.0131258,-3.3469949,-37.93177,-11.038838,14.670893,0.24356903,-0.6897459,-11.110823,4.0736904,9.021441,4.5270443,-7.5147095,-3.3995266,1.0306464,-0.9547859,-3.562711,0.97693187,-5.7941794,8.738251,-0.50808746,-9.295056,0.34649268,2.2842295,-0.52575254,-0.7943974,-0.86549413,-0.4861492,-5.4630785,-8.297045,-1.3061326,-29.151758,-0.060896732,-0.15363283,6.520169,6.5181084,2.16486,-0.85924613,-1.3451337,-16.544487,0.5865137,29.64327,-11.153254,-1.113341
-1.7317435,-2.4580982,4.0347915,2.0969646,0.7750266,-8.099278,-14.474712,-9.621079,11.042528,-1.985493,3.9449303,-12.44191,-18.848095,2.6607685,1.6180935,-5.929649,-6.0434456,3.1783528,-2.6167338,-6.7480283,8.340402,-7.17658,2.295953,-0.25737748,-4.200878,-0.19489469,1.1745658,-0.38929257,-2.9329777,-0.6465198,-0.69767123,-8.331385,-11.4293995,-2.9756343,-13.032463,0.15730658,1.0300899,-0.39562726,5.6871166,1.7085859,0.20490173,-0.3191884,-14.747755,-0.44516876,-2.8351393,-8.288555,4.654752
0.37202725,-0.39299828,-4.6831274,0.67861295,1.8450507,-8.933916,-13.334384,-5.657222,12.969652,0.23428407,-0.14382492,-10.931442,-2.5859907,6.759758,8.082414,0.5924821,-0.6202288,0.34640256,-1.008132,-1.5828402,0.949382,-2.2227418,-4.2211905,-1.9469407,-7.694674,-0.08355517,-0.08163462,-0.5047809,-0.6900437,-0.3449445,-0.41008195,-8.587083,-5.728044,-0.24946047,-9.793283,-0.049297836,-1.2138627,0.4024182,5.4855385,2.9190497,-0.5645039,-0.9638928,-18.390392,-5.085356,-14.06638,-12.39774,-0.5919013
0.48766845,-0.62120795,-2.6605282,1.8355371,1.8829951,-10.797821,-19.126705,-10.300849,9.814612,-0.6611539,-1.0142678,-10.781179,2.022821,6.887839,6.8333015,-10.435896,-0.7253524,1.2433683,0.095386975,-3.8546753,-1.8541018,-4.8747406,7.652219,-1.7850909,-6.1409416,-0.07828416,0.89805824,-0.34181115,-1.5934954,-0.33217797,-0.10860558,-7.599346,-9.39206,-1.3604364,-14.44481,0.24576837,1.4090259,-0.5896929,6.7314324,1.6397364,-0.2201761,-2.272795,-21.342234,-0.3273979,-11.07669,-10.511352,1.8516628
0.54350865,-1.2311542,-1.8196212,1.15097,1.430765,-10.951943,-26.015425,-5.17713,7.147405,-0.5091183,2.9748998,-11.022022,1.0130861,5.9285808,5.632766,-7.6146874,-0.3901901,1.0690523,0.94569874,-4.3314633,0.17797607,-7.000088,6.8766413,-1.9354129,-6.718594,0.07445869,0.23605691,-0.32164297,-1.0316072,-0.3398288,-0.5384187,-7.7298636,-8.604454,-1.5398659,-14.211684,-0.63228214,1.5276144,-0.20616302,6.2647047,1.769619,-0.32698444,-2.556077,-19.609734,-0.42288476,-9.348783,-8.644396,1.1589954
-0.0790924,-0.9107688,-3.8312087,-2.1293697,1.0599371,-9.450747,-27.546183,4.6503572,11.951319,1.4292293,-0.36900747,-10.849867,1.9911501,5.160603,8.477491,-7.3596077,-1.6188793,0.87005466,-0.1387735,0.42749214,1.0294706,-5.115999,7.209767,-6.4727855,-8.647719,0.5954476,0.7089192,-0.6324993,-1.1949059,-0.19731754,-0.099358164,-8.074359,-11.599475,0.94531137,-16.199812,0.15772234,0.3778634,-0.2155849,7.394627,1.6489539,-0.6369647,-2.2382357,-18.866053,-5.9934325,-11.9787035,-10.697179,-1.6662672
-0.3721571,-0.77787054,-0.5884971,-5.0877175,-2.0402927,-19.646322,-49.71905,2.6685,15.474107,0.45164648,-1.4776757,-1.2629333,2.6175556,7.76076,1.6063411,-5.497294,-3.2003326,0.4301465,-1.1433806,-6.4195204,-2.7781594,-21.362087,3.6335819,-1.2933553,-5.282914,0.028468072,-4.5289736,-0.40118298,-9.4721775,-1.4863267,-2.3062415,-14.981344,-9.076331,-4.9185686,-30.555319,-2.3486943,-0.8253186,-11.176105,5.224523,2.106982,-2.4827287,-0.9454063,-18.292978,2.2562857,24.74015,17.67679,7.895515
-1.6736413,0.030436762,-4.596911,-1.7675415,1.8169384,-21.574856,-26.450535,4.889879,2.0314617,0.2629091,-0.7421041,-1.088594,3.051192,6.1001663,4.647164,-6.1568327,0.40001228,0.17220472,-2.8691819,-5.918012,-9.732745,-8.179231,4.3942924,-4.787403,-6.2864404,-0.02949673,-0.4450263,-1.1881222,-1.0810105,-0.8740476,-1.9836148,-6.931483,-12.5922575,-1.1006451,-12.22874,-2.1375353,-0.7434906,-3.4119987,5.696783,2.9505289,-0.35933402,-2.8129942,-16.731073,-0.069896534,-11.059884,-12.450036,6.115877
0.59444946,-0.6973169,-5.8367543,-2.34025,1.6757234,-22.712038,-16.783987,3.5037768,10.433742,0.29689425,-0.41551447,-1.1635399,2.809052,3.6706378,5.001769,-8.265927,2.3565676,0.2687854,-3.5370505,-5.6409087,-9.164775,-8.858826,-1.6203187,-2.0874338,-6.611835,-0.2568065,-1.7661209,-1.5457084,-1.4571054,-1.197918,-1.8148619,-6.0894203,-7.3623157,-3.5750601,-13.763859,-2.2446234,-1.0736127,-6.1124897,6.0630317,2.5903203,0.36729583,-2.406316,-19.749199,0.64915746,-14.323507,-14.356435,7.5890822
0.8705706,0.98228854,-4.679953,-4.354124,1.6591651,-21.688347,-16.997204,5.322391,6.5537763,0.47725448,1.7899036,-1.7897358,5.6951394,8.105994,11.475498,-2.9120479,3.2933402,-1.1993397,-0.9236879,5.0165625,-15.134451,-2.0750995,-4.2039237,-3.5449378,-8.274927,0.8856211,1.2988147,-0.8310243,-0.3984875,-0.18419728,-0.9710505,-6.6800213,-11.865899,0.009574988,-16.510183,0.37923312,-2.3298035,-2.4671655,3.786458,3.0605793,-2.0061867,-2.8188033,-16.833002,-0.22889315,-10.629431,-20.749964,-1.3023096
