"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.5005714,-0.7831652,9.878132,6.1861954,19.281576,-42.130436,46.86026,2.1307342,10.246902,1.6901919,-7.4571924,50.208687,27.565807,12.422267,11.49155,5.12505,4.1780353,3.9044068,-7.173916,-1.277298,-5.7882533,24.76241,-2.325276,11.4330635,-4.848741,-3.5813823,-5.504592,1.0269194,-0.19833097,0.6611077,-2.1070526,2.3615706,7.067928,7.950161,19.776724,-1.7893738,1.5703708,12.1663475,7.066478,-1.5024827,-4.297469,-1.4739122,27.718576,-3.04236,-2.2646925,-2.1108916,1.849649
-2.67227,0.014837345,3.7961695,10.018109,27.53767,-17.645975,42.06979,5.0947323,3.3750286,9.68763,-5.213171,54.324207,40.05751,53.827374,12.149034,5.6766477,4.103076,8.9241,-0.15535873,2.7740898,-5.4541526,29.337358,-3.3117378,42.383694,3.1263313,-1.294228,0.14068726,-0.16481672,-1.1555521,0.034500863,-0.25328386,3.5953155,2.084587,8.433107,7.023438,0.8108909,5.08464,-7.1340685,6.4095798,0.39945138,-7.296583,0.30622253,35.666283,-3.3933415,1.7292603,0.8498165,0.52559423
5.255827,1.6422153,6.9067793,7.9599032,23.26528,35.676876,48.807873,-3.0763462,-2.7255726,-0.7366182,-7.9655633,39.40289,44.36018,38.391335,13.777456,2.4273896,3.6150024,2.7813463,-1.9041971,-0.9456977,0.52272624,25.244553,-4.735056,16.02531,2.9110336,-2.0576105,-1.7978847,2.103149,1.6345823,1.537084,0.9955314,3.3032904,3.0758758,10.144536,14.892327,-1.9311785,2.7673433,7.671605,8.67571,0.5514312,-4.856031,-1.3450106,23.817339,5.789328,-0.07462106,4.2979774,8.153135
3.4885228,0.62030894,2.3619485,9.434207,21.904663,35.713158,35.46797,-0.459127,11.074097,0.6954233,-5.2483273,41.84528,49.40988,38.187775,16.603748,1.0514846,4.827019,2.8958004,-4.3907456,-1.1313859,-3.0269272,24.663622,-2.658015,14.652729,1.5772101,-2.3758717,-5.18623,1.0334573,1.6151723,-0.2842979,0.2942792,4.1312494,9.759116,10.818715,8.561229,-1.4973423,4.734914,6.71882,6.361824,-0.06496732,-6.773376,-0.48164785,26.667753,5.5785747,-1.2346538,5.5089545,2.7619493
4.2857533,0.3878167,4.730074,7.785725,26.076675,26.808472,42.15949,-1.115001,10.563216,0.697709,-6.762072,39.431858,44.908913,46.226505,16.24773,0.4802705,5.0829625,3.3611593,-0.42300949,-1.2062535,-0.526677,25.191553,-2.455576,14.54675,1.6444378,-2.430898,-5.2215137,0.36433902,0.65414757,-0.2467756,1.1031271,2.8586967,8.163458,9.955125,4.563903,-1.4020349,4.8466554,7.983913,8.426414,-0.07698644,-6.2857714,-0.4024169,26.433573,5.0390363,-0.6952374,4.9269266,4.510174
3.6878822,0.71329474,4.645998,-2.8478453,-7.46255,41.707867,38.823616,-0.5072232,3.9007933,4.978557,-7.0828505,40.645874,43.40901,38.8946,14.868369,1.3362503,3.1644208,3.5935137,-6.185536,-2.228457,-6.636009,19.464474,-17.79246,8.8880415,1.7769269,-1.701953,-7.551927,3.2338643,1.8790487,-1.1012057,-0.08859865,1.4236315,5.4912777,10.148529,18.654081,-2.8733447,1.9793786,12.013869,8.378105,-0.2617152,-5.3522496,-1.4514548,25.190855,9.728893,-1.1633856,2.9378717,2.8514826
-1.8468572,-0.56497276,-13.552763,1.2533863,-0.33690646,36.194927,24.194672,-4.466587,1.0974885,7.28364,-8.412817,0.09406754,1.2197781,13.149197,8.331069,5.0425744,2.8681045,0.40242496,-3.2697525,-0.79889345,-2.5621035,31.06753,-16.198704,9.378359,-1.8939309,-4.3315935,-8.992109,-0.3472184,-5.659903,1.5612061,0.50701225,3.6094327,0.969229,4.0753183,-39.184933,-0.19498284,1.7550396,-30.63063,1.420708,-5.259167,-5.377131,-1.2092797,12.366418,-8.445061,-1.205002,3.4118588,1.1709262
-6.669393,-1.9038379,1.0774466,-3.7985444,-6.6526623,32.83941,11.125124,-3.1290705,-1.676056,1.2854826,-14.400429,0.095594585,2.7253625,-0.71930575,9.338602,0.025877303,3.982724,2.9154344,-4.3193583,-1.1962882,-9.709695,21.109037,-11.283179,3.5528543,-1.2971011,-5.436937,-5.1884537,0.2699466,-9.307973,1.9959875,0.3454825,0.5230456,4.1197157,2.6028917,3.1516905,-1.9042265,3.2069204,-13.849926,2.9864743,-3.058173,-5.62285,3.384484,12.4479685,-1.1938317,-1.2069074,-6.658619,2.8008294
-2.035215,-1.0204778,-4.700882,-10.276522,16.158054,33.059387,26.545496,-11.345762,-1.1740944,3.360323,-9.928286,-4.2376404,-0.42947263,20.80411,11.311501,-3.4498339,4.506524,0.14532427,-3.031575,-0.9601196,5.247878,14.066564,-13.13372,5.96797,-1.2487913,-4.700581,-5.156528,-0.7817362,-6.5964956,-0.73796594,-1.7390687,-0.16422887,8.138019,2.6195028,-32.881348,-2.9050615,3.8531373,-22.02498,1.8923562,-5.301006,-6.796888,-0.48445475,17.64405,-8.633836,-2.8238783,-1.4299043,2.6836028
3.8287969,-0.22442898,18.277346,-9.935579,-2.4624739,73.94515,15.155463,-0.30710518,-5.573415,3.6230466,12.126055,-0.115751095,6.6815057,3.2189682,13.180693,5.2032704,4.114704,-0.54543495,-9.756712,-0.5814624,-0.15050401,11.720877,2.796652,8.94041,6.382391,-2.8443367,-6.3183985,-0.40402526,-7.5965414,-0.456478,0.012363741,1.2732719,3.4683666,-4.2895074,6.719558,1.3097447,4.466357,-20.738018,7.4149685,-1.1539603,-5.175566,5.904659,20.245537,-8.288783,-2.0461357,-2.0256846,4.361259
