"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
5.4621987,-2.631604,-33.65204,48.846798,-1.7039791,-8.835162,-112.78901,-21.099903,-89.47367,-5.2001805,7.717012,-52.971222,-43.653805,-81.096344,7.2802935,-69.194534,-22.607185,-3.1828728,-13.77822,-57.140293,5.392465,-1.9498066,-16.836964,-26.188698,-15.048372,1.538463,8.849586,-0.94517994,-32.67216,-6.2660155,-8.973121,-52.79168,-74.63059,-83.2416,-124.74144,-7.280774,-15.834531,-19.54972,0.7725986,3.4662538,-9.060478,-5.6664605,-89.60107,-9.094589,-16.007357,-11.380104,-26.947762
4.935472,-2.9521444,16.145536,49.822273,-7.2071548,-32.10544,-109.229355,-25.383257,-94.870705,-21.57619,1.0858326,-84.88784,-54.44218,-89.164,2.249814,-69.371414,-30.497572,-7.103363,-8.120141,-53.992126,6.7735996,-18.337183,-17.862835,-43.742397,5.120138,3.1127782,5.289341,-9.547022,-31.262426,-4.2208757,-5.627517,-65.7477,-55.86675,-75.54306,-116.065605,14.617775,-14.730999,-8.569124,-21.860523,10.208338,-3.3692803,18.215223,-76.108055,-4.1603317,-9.3478,-6.1928988,-51.04366
8.987201,3.0515542,-18.1581,9.82166,-2.4166524,-40.197323,-44.257862,-33.451416,-115.89878,-17.432774,1.3140336,-61.667904,-51.095707,-84.29502,4.1169353,-96.41412,8.034103,-7.8208117,-14.816765,-67.74117,1.2434577,-16.185673,-18.827534,-27.399092,-2.670592,1.3344162,-10.977746,-1.2408763,-24.60612,-5.338456,-5.616572,-58.909996,-52.758385,-55.710567,-122.48059,-0.7919018,-13.646868,-18.513039,3.3289254,4.1913767,-9.815281,-3.8983352,-86.66095,-7.890617,-12.259932,-6.994034,-25.994083
8.727893,-3.7722163,-11.191317,91.082726,-5.9915533,-53.01657,-35.311985,-33.90485,-108.09392,-16.15951,4.1686864,-66.87286,-35.92647,-84.63312,1.4943304,-70.928696,-24.952238,-12.894072,-10.709425,-61.534744,7.263491,-8.446255,-18.641685,-27.685125,7.615214,1.8748211,14.328325,-1.3248613,-32.182453,-4.362915,-0.85317475,-68.56568,-37.005623,-80.946205,-117.520065,-6.091028,-11.436249,-12.469982,-18.358862,-4.416357,-10.052796,-0.8887625,-90.88681,-6.547466,-7.049532,-10.478323,-26.863163
7.0673814,-1.1631292,-4.0716076,22.348398,-3.861799,-37.917267,-49.466015,-43.02167,-107.82967,-11.298764,7.5990934,-67.833496,-36.82472,-85.939804,0.27063605,-140.55492,1.8954763,-14.761049,-12.50977,-62.77981,6.6053643,-15.608614,-16.007303,-22.373394,10.544548,3.0685499,5.5218306,-7.7892547,-27.12049,-3.0722902,-0.7325283,-59.707943,-31.956882,-83.241005,-127.27134,16.794636,-11.899784,-11.533341,-17.520388,-1.7704339,-7.9682865,-0.9085145,-89.89805,-8.765244,-7.89935,-8.480035,-37.466213
3.684402,-0.17297657,-11.010994,-22.981943,8.895745,-53.888798,-60.438946,-37.682762,-124.24205,7.3953857,11.716397,-41.885643,-30.310764,-84.65394,3.603854,-102.44786,4.1715317,-7.3685603,-15.136008,-58.280758,6.7387085,3.7665765,-17.04965,-27.377565,10.201428,1.2051944,10.048786,-0.176638,-12.949944,0.6020558,-1.1311293,-54.982822,-37.480423,-87.584366,-102.115845,-2.953197,-14.955292,-11.101478,-8.215055,0.35694635,-8.273743,-2.7657928,-96.31663,-9.824547,-18.125,-7.0300183,-30.281563
4.68203,0.0010646525,-13.504651,8.739135,3.8673806,-49.427284,-68.15437,-21.761564,-84.90771,-4.701545,11.206218,-26.284063,18.601057,-101.095795,0.17475487,-123.74317,3.847068,-11.080565,-17.06508,-33.955925,3.969103,-60.6023,-15.037667,-7.1907234,4.7525616,6.693924,7.5734434,-1.3039607,-29.022177,-4.5270576,-5.803736,-46.415104,-33.71572,-30.85751,-54.7233,11.906323,-17.8156,8.369232,-13.479066,6.9701643,-9.0462265,-4.3573794,-67.03782,-4.4524174,-13.892877,-7.904186,-82.08584
4.419317,-0.74715173,-39.795815,-23.473728,4.098658,-47.37614,-51.95812,-26.723408,-83.89051,-2.8873334,12.031071,4.7320795,61.57227,-83.39207,3.0277412,-107.72703,2.267296,-8.328781,-13.265178,-47.14693,5.2702217,-25.45569,-18.033083,-7.51187,12.160735,2.0582764,12.678584,-1.3176516,-19.704926,-3.0484886,-4.5942507,-35.87869,-22.602228,-80.99782,-117.92289,18.935072,-20.11135,8.03448,-13.48723,6.521395,-8.612316,-20.904177,-84.139656,-18.961914,-3.9633045,-7.9363656,-71.77454
12.163313,0.8269726,-38.67071,3.7182136,-4.6452065,-47.76987,-39.333614,-27.433084,-103.36224,-16.771744,16.00016,8.761096,9.281935,-82.434975,3.6557906,-145.5281,2.8697608,-6.623449,-11.9967375,-56.314472,4.3404975,-33.257385,-14.625694,-5.8202004,21.122124,9.066926,12.134961,-1.4285843,-23.3306,6.7962837,-5.0649543,-47.322994,-22.677969,-79.11384,-100.56082,19.460382,-18.12409,9.704799,-10.701552,16.432833,-7.427752,-11.27878,-89.31213,-4.8833275,-7.4585934,-6.7665834,-64.437485
-14.147866,1.441765,-56.981487,-41.124928,-0.5599764,-49.083946,-33.268105,-0.04141623,-71.3441,-13.153307,-6.439129,4.8605976,25.4696,-76.32409,3.8495605,-65.13225,1.61584,-4.4045663,-9.647631,-12.377826,-6.8785186,0.9827655,-15.938305,-13.456605,12.357225,0.22163299,10.395214,-1.7075746,-29.283426,-3.8635352,-3.2135365,-30.4852,-33.4748,-90.60035,-119.42323,6.9624934,-15.848581,-2.756324,0.60829425,1.3580421,-12.182081,-21.781942,-70.14307,-27.891188,-19.13992,-24.415262,-26.197792
