"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.14044009,0.028766602,-0.51450187,1.4571307,2.277909,-2.8436453,-2.8717856,-4.207591,-1.2230017,0.91762376,-0.102876045,-5.0380697,3.2823775,3.4400818,-0.2582648,-6.7996736,-0.76526356,-0.2763176,-1.4178944,-3.3286128,-3.1773906,0.048031002,1.0285307,-1.120936,-1.6010575,-0.08595483,-0.21503484,0.14003454,-0.21893607,0.140168,0.03136311,-0.015192629,-0.480608,0.71414745,-2.72324,0.08369814,0.21102466,0.16269833,2.1279702,-0.21260408,1.1303529,-0.2577134,-2.7806263,0.066835724,2.461263,-1.8688592,-0.6764039
0.002508734,-0.15633489,0.50552773,0.80530745,1.9369814,-3.1771452,-4.570606,-4.1388803,-0.7504212,1.0939839,0.5087618,-6.515858,1.4410161,4.672467,-0.25104535,-5.487302,-1.5491389,-0.8653734,-0.8397377,-4.3592515,0.5458714,0.6468012,0.73202133,-0.9274409,-1.514344,-0.039430615,0.2176729,0.14618674,-0.31031764,0.032198563,-0.028525442,-0.59715414,-0.9049767,0.1982102,-0.36982808,0.47303396,-0.005116585,-0.7236652,2.1093128,-0.05688328,0.02000389,-0.32355285,-3.423096,0.6112787,2.5679786,-0.3601486,1.0075109
0.2386521,0.30700892,-0.32540628,2.0225086,2.1246932,-3.2256482,-1.2759117,-3.9263692,-0.737995,1.9304332,0.23804408,-3.8937309,2.4174905,4.10638,-0.4439948,0.3153056,-0.71832144,-0.45885125,-0.020947743,-3.8202524,-2.6110332,-2.3072767,0.66064394,0.32694915,-2.2258356,0.12819171,0.76963866,0.24317433,-0.4733939,0.2403696,-0.07318149,0.5516769,-0.07965297,1.3228159,-5.262671,0.49907726,0.17028144,-0.27844808,1.7728723,0.06866649,0.06793942,-0.43390542,-4.13815,-0.18403237,-4.209036,-2.3595934,-0.99028194
0.16313222,-0.04084769,-0.22381759,1.5675133,1.9834317,-2.487016,-2.4089172,-4.219823,-0.39437956,0.54347163,-0.03389341,-3.6084588,1.1840197,4.630649,-0.31795692,-0.46675926,-1.2697084,-0.31225404,-1.8068857,-3.2379758,-3.1805086,-0.7411446,1.7486329,-0.342106,-1.7069632,-0.050139252,-0.36232862,0.12375745,0.019936364,0.02559082,-0.07134778,0.28892243,-1.3440078,0.56427574,-0.9360456,0.56379926,0.2909154,-0.65984833,2.0757453,-0.069428794,0.016054176,-0.4500701,-5.7425647,-0.34017608,0.16490254,-1.9648685,-1.1302166
0.014625889,-0.062196817,-0.34858692,1.3465298,1.8851875,-2.3660192,-1.8261422,-3.398261,-1.0159752,0.70852715,0.10011076,-3.116346,1.9960599,3.8871741,-0.44012716,-1.226602,-1.3106819,-0.27076393,-1.7731984,-3.2304437,-2.993409,-0.64989454,1.6217003,-0.32954022,-1.801698,-0.069607325,0.053496607,0.12096345,-0.011055042,-0.1293793,-0.09324384,-0.05474332,-0.8359106,0.3410151,-1.228087,0.29142678,0.2504712,-0.33573508,2.2087631,-0.005846436,0.031058885,-0.5663103,-4.7196307,-0.34029222,0.35948065,-1.8465608,-1.3965483
-0.029834587,-0.03825504,-0.65906966,0.5803197,2.7150707,-1.8056866,-1.1224248,2.2718182,-1.3768567,1.2548454,-0.1695252,-3.8155274,2.1680224,4.1149898,-0.21885115,-0.48392054,-0.646139,-0.43381968,-1.6306964,-2.1530974,-2.4926462,-0.24465509,1.7300466,-0.11315121,-2.198289,-0.07097034,0.16301203,0.24698517,0.07920898,0.109877504,-0.12087604,0.18569537,-0.4305639,1.4619722,-6.4684415,0.07632032,0.313497,-0.6635143,2.437355,0.04008738,-0.11224092,-1.0144993,-4.0344954,-0.6101331,-2.7608752,-1.951547,-1.4563797
-0.07033254,-0.23304564,-1.0704054,-0.5815956,2.7339985,-2.7636034,-2.6502345,3.7279882,-1.3867807,0.85970664,0.029068923,-2.1283212,3.8631577,4.104249,-0.50021666,-5.494025,-0.8734049,-0.30627042,-4.002764,-3.1784737,-4.8146353,-6.17536,0.62977415,-0.024116894,-1.8610793,0.20953211,-0.14202616,-0.09032929,-0.37243238,0.0865385,-0.09596739,-0.44354656,-1.8799464,0.2685679,-0.013221053,0.013635056,0.10484566,-1.3803018,2.517843,0.40645167,0.16400713,-0.31228334,-1.3262955,0.432391,2.9368267,0.16842577,2.16085
-0.17497614,0.44052315,-1.1046797,0.43580595,2.9545066,-2.3099787,-2.638154,2.7163684,-0.71543443,0.9303839,-0.7817804,0.3377523,1.3871795,5.1014075,-0.3643096,-0.3878691,-1.4818664,-0.28363466,-2.947898,-2.6386192,-6.894901,-2.4993598,1.608758,0.88693535,-1.3398463,-0.021898791,-0.16747582,0.08370983,0.018289775,0.059692215,0.21068104,-0.86307263,-1.6012679,0.53128654,-2.3872635,0.030023828,0.4492517,-1.3068753,2.5139792,0.12531635,0.009421455,-0.7547506,-5.374923,0.33231238,3.1275573,-1.8116616,-1.0902301
0.35901436,-0.14488193,-1.081577,1.1723374,2.096306,-2.149437,-1.7419995,0.49684832,-0.4563538,1.5076361,-0.57519346,0.9020151,3.9893486,5.2473283,-0.3468112,-0.0987923,-0.6615222,-0.16727816,-3.5625064,-3.7257419,-7.4454103,-4.584299,0.12241701,1.717898,-0.057638306,0.16482101,0.41825363,0.13129658,-0.37346292,0.33870563,0.21142757,-0.97582656,-0.7344814,0.69862,-0.17419375,0.27392706,0.35051414,-2.15361,2.545552,0.5324249,0.09181151,-0.1349063,-2.6155462,0.46417382,-5.5609093,-1.4863411,-0.46244276
-0.9930301,-0.6139883,-2.891694,1.4319872,2.6342285,-2.5708966,-3.125895,2.5663743,0.82634544,1.0102749,-1.4862512,0.44022405,3.7067156,4.882667,0.044027995,0.18333466,0.089497425,0.26060688,-1.0856507,1.1440808,-1.7042527,0.80947316,0.7500186,1.0023423,-2.8045568,0.089676246,0.618294,0.28527826,-0.45493054,0.025110345,-0.094852395,0.009185985,-0.009786329,1.1588637,-8.31008,0.69406384,0.11017107,-2.0976536,1.582503,-0.049493857,0.011014267,-0.016178094,-4.1423354,-0.061070185,-5.3879814,-3.733819,-2.1702085
