"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
76.263084,10.600436,22.565292,-24.019995,-152.5422,88.99133,-7.3394346,-52.89082,-108.080284,-58.75164,-9.911229,-48.786972,-287.33994,-606.59375,-667.5782,-83.74421,-32.690376,-7.3792663,21.478113,57.111267,87.20562,-86.66729,-6.976888,-622.634,35.807148,-6.9843516,22.621975,32.37044,155.20712,9.930669,-1.4800733,-6.9831257,-17.713934,-144.26683,-182.47491,-30.64603,-215.77454,-38.53175,-86.02064,-42.90907,27.373203,25.71824,22.04845,-88.63221,-127.45113,6.811161,-439.736
58.683872,10.283931,-35.910717,45.555435,-163.91678,71.665504,-1.2422112,-51.701965,-117.19161,-62.97385,-13.6373205,-73.378876,-345.27332,-754.1942,-567.4419,-104.63499,-29.850698,-9.545665,20.644657,93.28038,67.99772,-73.38514,-25.85446,-603.4297,220.25757,-4.9726057,9.130773,40.250572,160.00906,7.9015822,0.6542868,-8.250589,10.226621,33.51971,-254.34145,119.171974,-278.3514,-24.478544,-125.15661,-52.29025,48.186047,241.35411,29.812235,-114.50532,-144.58963,13.776943,-854.60284
63.8199,12.728989,20.834816,3.4835212,-167.68538,31.99487,-70.8049,-46.607815,-110.14806,-49.519733,-8.82977,-45.369705,-293.71,-624.0946,-641.9862,-64.72681,-23.879389,-6.744204,21.163742,37.592068,101.32507,-90.363525,-22.026468,-573.9208,77.835266,-6.3601823,29.593246,33.410793,79.86683,10.94157,-3.869902,-15.2467985,-72.08001,-147.43085,-217.0182,68.08466,-222.29198,-36.991936,-84.860855,-42.667282,24.486378,88.47342,28.47015,-67.17837,-74.21009,9.151964,-504.91745
51.71751,13.462728,-28.85097,46.63088,-158.30746,43.011242,25.920546,-68.522064,-112.936714,-69.17432,-10.826128,-67.573296,-319.72345,-610.35565,-562.2861,-98.20955,-37.907043,-6.7011914,23.294296,73.22964,61.556736,-89.59954,-11.305359,-562.3303,203.17738,-5.7762446,19.037312,42.220127,76.61348,15.251029,-3.3536594,-7.963025,-28.856747,-127.48906,-200.70932,-27.805439,-245.07582,-36.442318,-112.52558,-51.331207,40.25767,233.5505,29.63531,-87.60824,-88.3665,7.8485465,-762.3954
53.999435,13.0609455,-33.320805,9.642438,-160.96277,28.754152,4.4832525,-50.04518,-110.02388,-69.08409,-12.453836,-65.704056,-318.37015,-700.22327,-562.2718,-112.850105,-27.220346,-9.799451,22.95956,76.41113,80.9166,-84.09686,-24.640705,-580.4163,210.28522,-5.6617007,19.545406,39.053417,90.88987,13.53988,-3.8350976,-2.6196074,-21.841225,-134.40224,-201.91129,111.79743,-226.7784,-38.28595,-106.72477,-49.85089,40.00301,248.02054,29.701454,-97.21924,-126.47828,7.929152,-765.5962
58.406334,12.3953705,-38.346603,5.2242346,-143.26872,37.00912,-31.674923,-30.007807,-118.85283,-63.395584,-10.153134,-70.53184,-305.08374,-614.05524,-562.7605,-82.340515,-32.572357,-6.324872,25.187862,32.304943,86.65425,-91.78431,-8.189659,-562.29584,184.6374,-6.335868,24.92105,16.029947,87.44398,14.209261,-2.804321,-10.692444,-34.001137,-142.04643,-165.06215,-26.19418,-216.26443,-38.53941,-102.62097,-26.316326,26.365332,17.162859,28.129414,-64.84652,-128.22664,8.031659,-527.6099
67.362175,0.28870314,-33.579773,-19.928463,-161.36661,33.608837,-2.7514546,-45.46857,-120.32371,-55.58941,-9.748026,-83.10731,-332.84058,-752.8618,-575.76227,-107.58193,-27.664225,-9.296101,14.043773,83.74393,83.300095,-83.13281,-30.838947,-658.89075,253.16188,-5.281346,28.051302,46.0442,198.16963,11.815128,0.6400593,0.61354333,14.874205,43.295143,-265.66013,116.3608,-251.81699,6.012953,-129.6766,-46.93326,49.141125,106.83603,23.96954,-82.787155,-168.36067,9.54648,-722.1453
80.52577,-0.5419439,22.622282,-19.708878,-162.52196,39.047695,-11.613261,-3.9108162,-109.41554,-66.58737,9.168463,-85.47215,-307.00214,-683.6707,-657.7524,-111.720566,-23.536839,-9.246146,16.132433,59.136154,102.174706,-91.03297,-104.94512,-667.20557,233.48428,-4.5451927,37.6534,45.92178,225.23962,11.712587,0.123531744,-4.6429496,7.6013656,-131.94559,-197.70177,128.23729,-248.91254,1.8558956,-132.42235,-53.132442,37.116432,14.221105,26.037247,-85.0657,-164.17802,5.5100965,-569.572
71.26274,1.0817423,14.518799,-3.934206,-177.89894,39.3218,-21.3214,-56.92823,-110.307076,-59.458008,8.837065,-77.101814,-315.7864,-698.235,-651.8816,-104.99096,-23.8839,-7.257003,13.420784,55.796997,106.73135,-86.871864,-30.447811,-660.2543,223.5787,-5.3695226,21.373775,50.24535,192.79156,10.515479,-0.17302547,-8.991687,5.9534807,-128.98586,-215.10327,122.79703,-244.3029,9.406694,-123.36946,-44.961163,38.664787,26.273846,30.055918,-90.380615,-156.7529,7.0137086,-538.6214
66.448204,-1.3546511,34.148228,-14.265002,-152.23015,-64.97387,-79.888054,-13.921404,-120.880875,-73.63186,2.7837636,-69.66087,-306.42932,-640.1312,-661.8687,-60.691563,-19.825823,-9.957505,24.719694,5.512183,48.322662,-84.759346,-12.69338,-589.2251,110.81221,-0.92412126,22.429546,44.610603,92.5764,12.226204,-6.180817,-10.408147,-21.639465,-144.12354,-160.28027,110.35186,-254.11406,20.204294,-93.095055,-48.16329,14.677758,-19.678797,20.26658,-67.60011,-19.105871,10.562236,-413.48886
