"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-8.66322,-5.4541326,-2.262326,-37.092094,-16.374977,1.1622512,-5.1790476,62.702904,-8.982964,21.367853,-14.7260475,15.194762,-33.900757,15.004816,0.31900495,-6.8498855,13.152598,-3.5906644,-16.498432,36.571762,-9.038332,13.334446,0.6857347,20.059502,-2.8112574,-4.8440104,-10.884672,2.8171659,9.367722,0.45375907,-0.60756654,0.12606406,-13.11684,18.41663,50.251144,-14.366313,4.1713634,6.661532,-20.97131,-18.009924,-0.91436964,5.3606305,73.27045,-18.91507,-9.835015,-1.1085436,-15.039817
-9.178012,-4.9039216,-28.379662,-31.505745,-2.2974198,25.255098,75.3594,61.076805,-38.968685,20.849747,-17.936941,-3.206891,-23.534275,4.620772,1.365278,-18.214884,10.996481,-3.1777725,-6.9549265,56.6888,-17.299238,16.895857,3.6232483,26.628414,16.940548,-7.817501,5.7518806,7.1304336,13.235976,2.3605464,-7.994834,-1.5650537,15.262925,7.700699,48.526485,-3.1123316,-4.719182,9.938761,-43.612404,-11.583955,-10.403303,0.4272507,84.62882,-28.938925,-17.053183,0.17968632,-135.95654
-1.9925966,-6.146968,-9.990909,-39.00897,-7.114903,40.197212,-57.909336,-0.407754,-1.8618003,37.297337,-9.439103,19.601374,-48.698826,-4.0529203,-3.5429814,-1.4706118,14.542711,-6.2340493,-15.1213,42.893353,-10.685959,31.51336,0.2052674,16.454433,-11.874057,-8.301575,-19.173662,3.8475747,3.3359082,-1.0799817,3.305822,-1.5526165,-14.913497,0.67676896,47.57824,-15.780255,7.762397,9.392278,-19.538813,-10.059831,-0.4809593,7.3576694,46.111095,5.302379,41.26742,-0.88912505,-14.040447
-4.6255746,-6.62754,-7.7615647,-30.583387,-12.097631,19.922613,51.86584,45.086624,-39.35796,22.961435,-7.5255284,8.534952,-34.970024,-3.1458926,1.385411,0.19210772,11.094239,-7.3193374,-7.513506,40.98097,-20.298555,30.691132,2.367938,21.976368,-5.2897162,-9.113286,1.2160927,3.2472272,1.7958226,0.56970423,-0.21687126,0.02351023,-1.9505385,-3.0922904,47.420166,-18.742815,-5.5994096,6.7233152,-24.379833,-40.040634,-6.787931,5.3139257,66.90284,3.9394286,16.597925,-1.5837592,-74.01692
-3.139933,-5.0679836,-7.157359,-32.233673,-10.34252,16.826288,-3.7881098,4.965583,-1.8532174,25.191526,-9.460084,9.176477,-30.494625,-3.4780812,0.35453323,6.58666,13.124729,-20.640675,-7.3097596,47.20101,-17.13022,30.980707,2.5317621,19.900875,-5.522967,-8.283272,24.054619,4.364193,2.3451235,0.13720065,0.27219266,7.8232937,-0.9227693,-2.3225577,44.69674,50.805782,-6.333673,8.837375,-23.362467,-30.879921,-5.002249,3.944319,72.59901,5.041055,7.1873217,-0.9557634,-28.689194
-2.2803757,-7.5790405,-15.717062,-25.425323,12.925212,46.367912,-46.900608,-22.705116,3.5472753,18.965946,-2.7818038,24.010098,-19.764244,1.7193607,-2.587322,-3.3059506,17.414465,-12.554868,-8.530249,18.550762,-22.99365,24.041567,0.40710303,22.498316,-10.632239,-5.819248,-18.548563,1.6787922,1.980479,0.866008,2.830963,0.10349939,-7.4824977,3.243236,44.75631,-14.75732,2.1239533,8.949783,-23.037117,-10.19589,-5.449576,8.404449,59.186134,-1.0843289,23.16485,-1.5152844,-6.4285536
-7.0009937,-1.9338441,7.510339,-25.752632,21.374859,120.38474,6.971204,48.976192,-1.4738232,11.189093,-6.601025,5.5541525,-22.625776,15.13941,1.8489926,-28.78995,10.09202,-6.1567945,5.579658,32.77094,-8.426417,60.022846,3.246088,5.9990697,82.77638,-15.659887,33.707592,3.3955278,7.6497393,-1.0035444,-6.682127,-1.4230119,12.261819,-52.43072,-128.35736,39.42597,-3.388127,-1.3026171,-10.931509,5.745253,-4.3753543,5.9091225,-34.8066,-19.122248,-46.317524,0.966565,-23.576982
5.4667478,3.0673766,48.336136,17.37398,48.625324,74.3601,17.9338,57.74313,-2.9744043,22.53823,29.91655,30.162315,-18.458754,10.376183,2.0199957,16.531939,23.046078,5.9024663,10.461479,80.40183,14.9265585,64.46658,5.6110606,30.96805,83.62655,0.9284502,51.754814,1.0963622,21.138798,0.5906524,-9.129706,11.140395,34.585934,-28.709505,78.59246,92.81525,-3.5885859,17.187025,16.984869,-1.7410659,-2.538075,6.805389,96.55351,30.511906,18.629478,-0.87480944,6.588888
-2.139357,-4.979527,6.886591,-26.170622,-25.619808,46.057846,64.235664,-3.720449,9.674044,21.737879,20.576157,-1.6672091,-21.998476,3.4246235,-0.63921595,13.928023,10.659795,-3.5080628,3.195635,45.844067,-0.14221302,45.231663,5.3865714,6.521913,20.122587,-18.437553,26.760332,1.8764985,19.013403,0.43254012,-8.706908,9.754059,34.36587,-1.8079892,-129.22263,54.639652,-6.9052234,-0.24797949,-18.76563,-33.975872,-4.6629114,6.8864536,96.28238,-18.054302,12.022371,-0.66734445,-42.61176
2.5152647,2.121496,-0.12071258,38.961475,5.78156,43.43955,-61.35371,-1.0372113,-5.5035996,21.471369,1.9803771,20.288174,-38.180386,14.209527,-3.5188453,-7.7116375,9.638039,-4.2169456,-12.456864,-23.59939,0.66219264,4.5211086,2.0469882,8.624901,-12.373366,-6.15848,-16.386871,1.215281,26.871603,-2.0874462,-0.6971748,-5.504049,-14.547461,20.462637,48.192905,-3.6127098,6.062169,4.547419,-19.651863,-14.440455,1.0460058,7.2221484,66.288185,-9.890845,28.879309,-14.203281,-4.850682
