"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-12.746085,-5.705427,-33.251316,9.115882,56.92922,-8.500219,-6.9046555,-1.2741448,54.616962,5.4613304,5.8463635,8.988587,75.02538,109.426155,82.75929,-32.609016,-2.0797148,-3.4131286,-2.7697976,-15.207537,-14.340961,54.777767,17.265549,87.96403,-11.149283,-6.304979,-1.3490219,-6.199221,-7.911177,0.98684657,2.3508348,18.833239,-1.6346501,69.36522,69.095474,0.9675354,2.1990452,27.65577,66.05609,6.3434644,1.3956215,63.121124,-6.7822056,4.305062,1.3693278,-9.086478,16.394968
-7.9967637,-6.2303567,18.859259,5.820962,63.44499,-7.571444,-1.4295152,30.481201,77.58202,-1.9832966,2.9574049,0.80205595,73.55025,109.339455,93.57218,-26.086262,43.649967,-5.5124125,-3.5715723,-39.295784,-10.924808,37.616932,-6.8311324,76.50519,-16.62985,-2.4477844,-0.7672802,-3.542722,-5.2584906,-1.524035,-0.912876,-13.78999,1.1850265,54.28901,30.483257,-1.0735047,11.77301,21.672537,77.642784,15.327729,-2.9394124,-13.452875,14.9086685,1.5623374,3.3645947,-5.3569236,21.272278
-12.090075,-3.2075207,-15.750558,4.866082,58.173515,1.0695387,3.8681247,-10.366984,49.355602,8.269563,16.816338,4.3759475,75.1076,106.223656,76.02807,-0.31798068,-4.569158,-1.9834406,-18.326244,0.7640614,-16.633495,17.197176,9.195575,76.71692,-19.211414,-2.8476336,-6.0002604,-4.2737684,0.43046623,-0.22652268,2.4380405,15.597491,6.998211,75.053444,56.58107,5.4992657,1.5018277,53.793056,55.149113,7.237479,-2.9313996,-19.585756,-6.611132,-12.763771,-38.215584,-10.083188,10.945859
-10.049767,-3.7435005,8.90181,11.658166,53.973045,5.1469617,-4.833724,8.013831,68.49586,-0.89742345,18.002272,16.233166,74.68786,118.19588,86.75329,-27.564363,1.2415754,-4.2806077,-17.096827,-7.630762,-13.816796,41.2256,-1.3378001,83.64778,-3.2717204,-1.8871602,-3.3229876,2.5103679,-1.5556345,0.06211548,0.30069804,13.196138,2.1335056,68.80602,-20.955158,6.81198,7.6212277,35.312687,75.44488,7.942826,-3.0176022,-14.018531,-0.76832336,5.467372,3.4568262,-4.2658167,18.952345
-7.018133,-4.481276,-2.1120646,9.649955,58.671196,2.8966584,-8.573527,3.4376774,78.167305,0.9529136,17.190876,8.655948,74.55339,115.19043,90.157295,-27.150894,2.0811057,-5.162004,-15.849677,-24.210379,-14.471218,37.567516,4.3866673,86.42762,-11.915397,-2.804359,-3.537798,0.5429391,-4.7723675,-2.859076,0.65480906,12.046544,2.4395611,58.850132,64.646355,-5.5685577,5.703293,28.068922,68.631226,4.276147,-3.1522682,-15.345191,-1.1222209,4.4902368,3.8128285,-4.5351515,19.093103
-11.506885,-5.9146314,12.243263,-21.594759,40.01383,9.709561,-10.997563,21.024715,68.95141,23.49723,8.444851,13.551327,71.34031,106.71153,95.686714,-18.743488,0.37298694,-7.113252,-18.479448,8.560156,-12.88676,37.834045,6.2570105,82.09407,-7.247934,-6.561992,-3.7659461,-2.3144794,1.6264558,0.7932049,-0.8851806,20.759346,-6.582067,67.43596,72.22475,0.20645663,5.1461506,15.540843,65.64209,6.4904037,-1.8939662,2.1227052,-2.9794567,2.9905014,1.8351855,-7.299361,16.514503
-10.342264,-0.7292322,1.2730143,-20.587027,51.466145,6.483412,-5.077415,2.1855745,61.12202,2.5075843,5.898575,12.892308,64.9623,87.3381,71.43068,-37.986507,-5.5574465,-4.063799,-16.64565,-20.64146,-18.941206,7.2416797,-1.2100805,85.51722,-20.668058,-0.28794995,-14.43758,-2.8665373,-6.195382,-5.5578194,2.3983285,-9.926605,-16.937887,-0.8470974,-74.37457,-22.21016,2.4024208,-39.813515,68.22074,12.757045,-3.367974,-1.035117,-10.063594,1.1580968,4.3470545,-8.538614,12.733638
-19.713099,2.47442,-39.364758,-14.363799,44.56888,5.731653,-5.570759,10.645718,38.05589,11.311469,-10.027243,4.167696,51.935097,94.23244,65.59554,-18.691797,-3.3676398,-3.6117485,-22.696247,-4.386143,-22.24245,34.940487,-4.4916606,68.1574,-41.41937,-9.230193,-6.748462,-2.5555856,-7.495865,-4.5400004,1.0024141,-13.995544,-15.535283,28.045519,-59.699627,-9.566763,7.7525635,-40.96859,64.38658,11.546909,-3.0894275,37.917255,-22.17864,1.0530822,2.5906863,-7.423694,14.734919
-7.615378,-3.8283777,-53.71763,-15.475919,57.439236,-1.4158245,-10.10338,7.37347,50.902782,-4.254853,-13.985202,5.899004,53.645435,94.32938,66.61517,-15.718091,-1.5922974,-2.2332258,-27.989151,-6.9095254,-23.705233,29.631231,-12.3619,73.598785,-18.680197,-6.693502,-3.2202191,-0.8891277,-4.9741535,-3.1966405,1.997195,-12.970485,-9.414021,34.43505,-58.767845,-9.594146,9.690182,-53.42783,66.738205,11.034259,-3.1138985,-7.577816,-3.3346179,0.013760506,2.434001,-5.0040135,20.302368
-8.913264,1.8487111,-66.35559,5.726798,26.383291,-10.919769,-8.801312,18.056324,32.981346,12.638078,-32.48953,1.9217752,81.5072,88.93497,78.02466,-0.6425695,-4.0152287,-6.239174,-39.53278,4.9421525,-43.58765,40.391903,-8.110075,60.04665,-18.679516,-45.97038,-6.0604076,-2.9791322,-3.5627337,-2.927466,-3.3588982,17.088377,-8.9165535,59.50269,1.9092764,0.35677096,3.0204015,-42.10264,39.995445,2.987197,-5.9763775,58.545918,-23.069138,-23.560326,-22.492208,-11.313494,0.7396692
-14.825906,-5.4097967,2.226662,-4.548581,36.627506,1.8916578,-7.534036,-5.700778,69.60905,-4.133132,-2.5886989,4.641591,72.848206,93.75652,55.575184,-35.14675,-0.45783758,-8.280811,-29.896711,-7.6725135,-24.033718,22.260176,-7.3225985,67.284546,-13.783054,-7.2545896,-2.1353903,-5.702794,-10.636733,-6.986887,-4.260828,-19.506044,-6.4829826,1.2226855,-28.83972,-19.668144,10.452819,-43.459713,64.837395,9.0953455,-5.988738,-2.762063,-6.085238,3.5615819,2.8343997,-4.254581,19.114605
-10.464866,-8.216915,3.0446494,-20.689547,27.529348,-47.3652,-21.54865,0.61801237,-94.78602,6.1959734,-0.5559387,-17.682117,-42.41873,52.185688,45.941505,-6.376516,2.5297704,-2.4738162,7.3559623,-42.94471,-17.499153,8.354889,-5.0714984,-10.102795,-23.655645,-11.998035,-8.601446,-1.10612,2.4663196,-1.3396143,-0.36081305,-9.230477,-13.21457,6.4561725,-69.57761,0.25872687,4.254119,-58.067524,23.49276,6.4549737,-4.545116,-30.123514,-22.518806,3.9359899,7.7655416,-8.23855,17.765242
-14.17085,-4.4328346,-11.488943,-18.466827,41.861385,-51.047436,-27.099947,7.659022,-100.90751,7.700678,1.3614377,-30.940613,-61.548676,67.95041,41.9205,-5.272971,-0.6076431,5.758606,4.160031,13.035493,-21.0412,-4.4946947,-20.677277,-0.5134814,-47.921093,-9.383512,-9.334911,0.24395525,1.7965701,-1.2273195,-2.2745376,-8.454346,-6.455564,27.127161,-82.641685,-2.439265,5.162622,-73.12785,-1.356133,13.681869,-2.7460642,-5.4692793,-21.930855,2.0602088,2.3959465,-10.253337,6.562808
-12.199319,-8.31477,3.0497704,-20.66396,28.056686,-47.57487,-20.476393,0.6445822,-93.957184,6.126794,-0.5559387,-17.731192,-42.417202,52.220963,45.880306,-6.318772,2.4976778,-2.4738162,7.3670645,-43.487724,-17.775497,8.354158,-4.7532997,-10.794118,-29.146927,-11.997235,-8.61083,-1.0833937,2.4652185,-1.3260409,-0.12611146,-9.39169,-13.30038,6.32177,-68.24258,0.25978246,7.1987586,-58.00665,23.446892,6.4552093,-4.5439105,-29.432617,-22.522156,3.9359899,7.7655416,-8.228978,17.815445
-10.121085,-8.656668,7.7842803,-18.346706,27.486912,-47.281483,-19.909937,1.7999065,-112.63829,6.1868205,2.5527077,-13.838727,-38.09496,53.401405,48.991478,-6.788203,1.2102427,-2.9165177,6.0874286,-38.694935,-28.208115,9.4919815,-4.267614,-12.85721,-28.125011,-11.529868,-8.967651,3.8762333,-3.6840768,0.7448081,1.9514358,-8.978028,-15.970522,6.1132236,-68.26876,1.336546,6.2099094,-57.738678,23.291315,9.410161,-4.220027,-31.272062,-23.514315,3.3416286,7.5824795,-7.8893166,19.196472
