"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.22204126,-0.09756651,0.39311627,1.9750526,3.2085965,-1.2690287,0.2272463,1.1289176,5.2409053,0.17525294,-0.2044887,0.48886266,5.825861,3.8237693,-0.44461787,-2.0716972,0.35756177,-0.013340035,-0.11588674,-0.11338322,-0.012112934,-0.23151597,0.19301617,5.9845924,0.1508874,0.18138291,0.24292184,-0.15566672,-0.20406619,-0.053232424,-0.006823826,0.45383063,0.17490034,0.5680113,-0.35452467,0.3775603,-0.0016218069,1.73121,0.2037345,-0.24561206,0.93922085,0.008331806,-2.010438,0.2524266,-0.09248751,-0.091368526,1.1777289
0.032353994,-0.061286267,0.020855723,1.9609954,3.4309807,-1.0364769,-0.91382974,0.96797425,7.4419436,-0.12910014,1.9489901,0.38523105,6.4214616,5.2719727,0.22136009,-0.80792147,0.29417038,0.49294648,0.026764324,-0.8330977,0.08637679,-0.6222366,-0.017535161,5.9520583,0.9030776,0.4777814,0.35363737,-0.09523026,-0.18093103,-0.1385822,-0.069611505,-0.09902587,-0.063729405,0.11465162,0.28705367,0.23317672,2.1845129,1.8013773,0.24240594,0.36128807,-0.08163174,-0.08743188,-1.09515,0.16115293,0.12508948,0.05599918,1.3866848
-0.20543917,-0.09898395,-0.094672255,2.092294,3.3721797,1.202977,0.6403286,0.9914693,5.067437,0.1034326,2.1358824,0.6864831,5.969044,4.555244,0.50301975,0.44694737,-0.01357442,0.0027485085,-0.09504988,-0.018545194,-0.18565005,-0.6302541,0.34956416,6.106438,-0.12989633,0.1278761,0.1514029,-0.12979645,0.17517562,-0.10936476,-0.013379743,0.25106966,0.14591955,0.5997455,-0.49006635,0.16584489,-0.018716373,1.815478,0.08335102,0.31018066,0.7286596,0.08210439,-0.2070622,0.5181045,0.04172815,-0.067354575,0.3851888
-0.22969067,0.01904075,0.17549832,1.9785472,3.589531,1.3944153,-0.65011525,1.4955499,6.5386353,0.15358908,2.1096997,0.0005598438,6.4394116,4.7991695,0.15623203,0.22349754,0.10543668,0.10103692,0.21046385,-0.28996703,0.2428513,-0.36007035,0.42496824,6.0715213,0.592965,0.11042884,0.3643638,-0.1139305,0.0018736721,0.0448621,0.016472962,0.039095428,-0.2661441,0.4873641,-0.5651928,0.18352294,0.09027167,1.9122598,0.24848458,0.3289119,0.12038356,-0.1373881,-1.0578401,0.19230048,-0.19648762,-0.041946918,0.24305749
-0.29376808,-0.08642491,-0.0737801,1.3095627,3.3352444,0.99006367,0.5020448,1.2216731,6.7829022,0.034905903,2.1756208,0.10618689,5.93676,4.9923224,0.15070255,0.113377616,0.0075882953,0.07627229,0.17042655,-0.37661067,0.21858148,-0.35121924,-0.042087063,5.8815737,0.6405676,0.20688505,0.45413393,-0.061413933,-0.08402797,0.02532475,0.0114342235,-0.05499532,-0.16641256,0.26025948,-0.037753485,0.0017206554,1.9363294,1.8125027,0.2552707,0.26260075,0.2683106,-0.14007515,-1.2304956,0.14744207,-0.4287267,-0.13119867,0.5933224
0.054739404,-0.048213158,0.11323561,-3.3476439,2.6703012,0.79172564,0.23844905,-0.20357038,5.2550483,0.34165275,2.0071106,-0.06739116,5.6605196,4.5727105,0.627961,-0.14427964,0.14139734,0.27426848,0.16910088,-0.19345579,0.29885077,-0.6028986,-0.3500342,5.6960173,0.58254784,0.122713834,0.3363168,-0.06417541,0.26089528,0.060513172,0.031676527,0.26214454,-0.22571659,0.72612274,-0.49957013,0.24002422,-0.35782474,1.280854,0.3764423,0.3142422,0.048497356,0.14511313,-1.0635307,0.13420427,-0.13640313,-0.09880678,0.048567194
-0.11970125,-0.5534485,-0.16083062,-0.64489365,2.741231,1.3665369,0.10325745,0.00086776074,4.2601094,0.052588373,1.5153685,-0.07914853,3.4403532,4.0881386,-0.06309593,-1.0693734,-0.11983553,-0.2718324,-0.36300617,-0.47225213,0.06800717,-3.8919902,-0.069159515,4.910315,0.14858668,0.17604926,-0.2636117,-0.074624814,-0.26310796,-0.19073321,-0.1411112,-0.40171528,-0.84207976,-0.37647134,-1.9511244,-0.3794473,0.78972507,-1.2266215,0.18072651,-0.2567195,-0.22609735,-0.044894036,-1.4772861,0.26058707,-0.14566779,-0.010629894,0.4441755
-0.12365766,-0.44682464,-0.12028126,-2.7905395,1.9895569,1.2094951,0.08814092,-0.15719216,1.8025035,0.08993466,-1.469691,-0.15817447,1.6895888,4.2792153,-1.072761,-0.12107313,0.061813533,0.058322757,0.34594858,-0.32112336,-1.1982577,-1.798446,0.17464456,4.823455,-0.13816255,0.09218923,-0.21956395,0.028837241,-0.25077057,-0.037114013,-0.10751981,-0.21840337,-0.65156883,0.32261658,-0.9146806,-0.16822909,0.96307164,-0.32433733,0.42457,0.15204675,0.011311153,-0.89332616,-1.1628029,0.27372858,-0.21475811,-0.07043944,0.1930412
-0.16423334,-0.43071148,-0.1720979,-2.4508374,3.1949658,0.800577,-0.19652964,-0.022901557,3.3205297,0.0011663715,-2.9961505,-0.25228518,3.0169501,3.940441,-0.70504826,-0.4207106,0.09218576,0.03302895,0.05786594,-0.3208443,-0.4626443,-1.966924,-0.4773625,5.132068,0.07943667,0.24985032,-0.10364144,-0.07627185,-0.17779914,-0.09013377,-0.027340263,-0.22432424,-0.9127689,0.2627553,-1.4600142,-0.2097411,1.2494987,-1.1734002,0.21428329,0.009697423,-0.013510797,-0.08823084,-2.194463,0.2249504,-0.47953752,-0.0833398,0.38894817
-0.18342887,0.09825436,0.7903162,-2.1310194,2.0405874,0.58615625,0.78216505,-0.8842646,-1.0868226,-0.06676267,-2.0481596,-0.25541997,1.443921,3.9061272,0.33166435,0.1251162,0.122970626,-0.20387498,-0.61413145,-0.130558,-1.6269982,-0.58140147,-0.60985804,4.6486373,0.6431353,0.08874096,0.0739515,0.0794937,-0.13904221,0.068847395,0.11549087,0.22749402,-0.23777805,0.74925005,-1.1896563,0.05450269,0.0818541,-0.19170165,0.39312708,-1.2697788,1.0007038,0.2731773,-1.1893795,0.2726772,0.14177111,-0.35244733,-0.2261134
