"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.25759032,0.062933974,-0.15034072,0.26966786,0.69089615,-0.88158435,0.28911564,0.5649911,0.5076754,0.18691221,-0.004696247,0.26755327,1.1573832,1.5436463,0.6896809,-0.28545028,-0.038335297,0.19359244,-0.054668754,0.07669362,-0.35092777,-0.060498413,-0.77662665,1.6912062,0.06978231,-0.0048261182,-0.17293254,0.0050346525,-0.0021160296,-0.032098074,0.0125589715,0.13284807,-0.037504837,-0.1549859,-0.44558036,-0.028838323,-0.043098316,0.36985004,0.10952111,-0.035481118,0.13770697,-0.08499054,-0.1330663,0.12753457,0.111308314,-0.0011090493,0.19412528
-0.09978195,0.02071119,-0.16952045,0.3290591,0.7134616,-0.4490701,0.029088954,0.6122601,0.49602774,0.037190765,0.08976285,0.29795882,1.1961589,1.6846467,0.67757916,-0.14300427,-0.10962214,0.2059653,-0.044222873,-0.363037,-0.109616175,0.030077348,-0.7108727,1.9501739,-0.1752534,0.010937053,-0.016157573,0.10231752,0.0006737147,0.04777738,0.030670865,-0.08672275,-0.08131109,0.09588364,-0.25596836,-0.047925547,0.21727765,0.2554741,0.14941224,-0.023161868,-0.026608355,-0.11205496,-0.14038734,0.13217218,0.14113724,-0.017204544,0.030162329
-0.2324582,0.01765388,-0.3423561,0.2875441,0.55371064,0.05762862,0.36477786,0.5974979,0.43684477,0.13617472,0.049640667,0.38895825,1.3049945,1.3355225,0.64481825,0.10074916,-0.057885915,0.20442392,-0.06264127,0.074630775,-0.21256441,-0.9454898,-0.6846212,2.0988348,0.14555705,-0.028834159,-0.1512867,-0.0012306803,0.011554876,0.03188616,0.04656716,0.066507734,-0.04635057,0.02460202,-0.39234677,-0.023283895,-0.2106622,0.28649735,0.14722277,0.007069098,0.1365078,-0.065540224,-0.113977626,0.047380384,0.14322804,-0.007742061,0.21478204
-0.13134517,0.04933403,-0.35160232,0.2651052,0.66698617,-0.031129444,-0.000117205214,0.636502,0.43146208,0.07131298,0.022504926,0.26005378,1.319614,1.5878515,0.6240938,0.017376514,-0.00029753096,0.20029792,0.02092456,0.020055952,-0.19515511,-0.38967186,-0.7232652,1.9341681,0.005713638,-0.014613964,-0.14677885,0.05408495,0.0068929098,-0.0044465484,0.04122895,-0.058680218,-0.06955638,0.0042395457,-0.4104345,-0.039900027,0.24265313,0.3043226,0.1451197,-0.04455387,-0.0154891135,-0.05655224,-0.1246925,0.15365769,0.117078155,0.0066874665,0.048829976
-0.120745026,0.06161519,-0.37570873,0.25330475,0.6805777,-0.42844075,0.26851964,0.5845204,0.535815,0.085541315,0.0132319,0.31855953,1.184598,1.6281801,0.6386196,-0.0074017257,-0.04221056,0.20233956,0.05663807,0.02475872,-0.19250241,-0.13681106,-0.70858747,1.8584548,-0.009534103,0.006161992,-0.12710467,0.0630768,0.010588855,-0.0007661725,0.036456086,-1.6334005e-05,-0.06683422,0.036576934,-0.3965549,-0.11094829,0.2556565,0.3144902,0.13291642,-0.04822686,0.00762004,-0.061064206,-0.14147237,0.14873792,0.1011481,0.01576318,0.069949195
-0.18961109,0.058166202,-0.59115094,-0.45876703,0.5820052,0.32579756,0.15911694,0.10303743,0.5039723,0.042957935,0.118432865,0.30067343,1.1532307,1.4332602,0.6703823,0.09793206,-0.0039327615,0.19169198,0.026937487,0.009819109,-0.21312778,-0.3416859,-0.64280313,1.8890798,0.08903442,-0.0065758517,-0.13165441,-0.010432028,0.012112145,-0.006896289,0.022153284,-0.016620923,-0.07785496,-4.8409038e-05,-0.4272641,-0.01826279,0.19801892,0.21804605,0.08123928,-0.05158064,-0.019882308,-0.094813526,-0.12135148,0.16111238,0.041791946,-0.0067156935,0.11766769
-0.055520788,0.005917913,-0.37915343,0.09945773,0.74222,1.0966365,0.15305687,0.112721354,0.34394804,0.18955535,0.039212793,0.26256666,1.0662547,1.4907217,0.7434647,-0.16388246,-0.10219838,0.123236,0.26002222,0.013706655,-0.12042046,-1.2931666,-0.35539308,1.996101,-0.3398648,-0.0024821023,-0.027388,0.08012696,-0.002160443,0.01851999,0.024633436,-0.031182142,-0.18193734,0.089372925,-0.5503465,-0.07457621,0.15893424,-0.30136767,0.040494997,-0.079348,-0.017759543,-0.11651746,-0.22579889,0.13052985,0.10071933,-0.0037030412,0.11508863
-0.057927813,-0.0025799642,-0.41252708,-0.13716526,0.69498724,1.0769601,0.18125632,0.09515972,0.38704643,0.30427667,-0.1305851,0.26965207,1.135916,1.6708239,0.56369454,0.12006052,-0.018575452,0.010833658,0.15113683,0.031180628,-0.1935736,-0.6655379,-0.3461336,1.8790681,-0.3735782,-0.0010019023,-0.017275842,0.07653201,0.021865612,-0.01240535,0.013553021,-0.025816277,-0.25043663,-0.032940987,-0.5283281,-0.1060001,0.2177961,-0.08049772,-0.012607226,-0.17956017,-0.024906045,-0.27457994,-0.17108864,0.12734024,0.07913148,-0.0002002023,0.0092859
-0.12063251,-0.013083398,-0.27069572,-0.12003388,0.75049925,0.27850094,0.03218307,0.1636299,0.7259745,0.0930928,-0.14320178,-0.112448215,1.1652715,1.3448471,0.382671,0.023942553,0.036590174,-0.1307695,0.1536775,0.069621615,-0.12129,-1.0402516,-0.50969666,1.1190412,-0.3085667,-0.024196401,-0.013019666,0.08828159,0.02401194,-0.044204324,-0.03622188,-0.014002202,-0.16568168,0.037325885,-0.49780583,-0.102795236,0.3375166,-0.14853406,0.094576925,0.03649506,-0.013702541,-0.1087946,-0.21468061,0.1741491,0.12218705,0.014745151,0.010751004
0.3053603,-0.078576215,0.6551475,-0.8871594,0.5964982,2.654518,0.37020385,-0.44813478,-0.1519244,0.4027381,-0.049914226,0.26259726,0.71054965,1.693667,0.7308949,0.0256277,0.19735637,-0.044222515,-0.036803238,0.002292623,-0.58155245,-0.48182046,-0.9585866,1.7429215,-0.058254685,0.0034327228,-0.26397493,0.049220774,0.038752094,0.0329245,0.07096963,-0.03879561,-0.12292562,-0.24746384,-0.6070049,-0.082410336,0.08227422,0.04792665,-0.037437297,-0.16245763,0.006655128,-0.17782526,-0.15247813,0.11370415,-0.09814038,-0.024028203,0.061248463
