"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.010320814,-0.053667985,-0.44148207,0.008454476,-0.38196075,0.15302631,0.0050266962,-0.39734605,-0.048551705,-0.43637004,0.028219193,-0.3132078,0.082480945,-1.0123105,-0.39128688,0.050299738,-0.042508285,-0.021425566,-0.06585695,-0.004840104,0.3424386,-0.6066262,0.0035381275,-0.15136126,0.10721,0.083429776,0.30321065,-0.009551543,-0.032364435,-0.0075136684,-0.12515987,0.03904574,0.029225262,-0.0015393313,0.016126303,-0.15669094,-0.0243622,-0.031887174,-0.101119734,-0.3090607,-0.2154484,-0.17559591,0.16280906,-0.06770952,-0.13941935,0.034597572,-0.053922847
-0.028920919,-0.059048697,-0.6191021,0.036592495,-0.37155855,0.15102993,0.0026485112,-0.38031846,-0.05178326,-0.40181085,0.016130434,-0.41130385,0.2607943,-0.9618731,-0.3908542,0.048919763,-0.029113932,-0.019941716,-0.065664805,-0.0063939528,0.33844987,-0.6222008,-0.0038033563,-0.18621302,0.1105865,0.076909736,0.30185395,0.01809387,-0.0016836452,-0.010525588,-0.12933305,0.043396175,0.13551876,-0.07405376,0.024040658,-0.20281175,-0.023822516,-0.07009923,-0.08780474,-0.30942863,-0.15687214,-0.16375577,0.14217405,-0.06727637,-0.13905545,0.03641108,-0.053830992
-0.001135508,-0.049522933,-0.58877254,0.0088536665,-0.38843212,0.15945154,0.026258081,-0.39784762,-0.049392574,-0.3967793,0.05291699,-0.3018812,0.2595036,-1.0006562,-0.39036924,0.029722905,-0.04343467,-0.02173545,-0.071209036,-0.0003136591,0.34108075,-0.621301,-0.0049066287,-0.16622636,0.107474774,0.08410598,0.23713085,-0.011859268,-0.029009761,-0.0020889207,-0.12582791,0.038453385,0.03187614,-0.0036091616,0.017113084,-0.20135178,-0.023112642,-0.023510236,-0.100778244,-0.30565572,-0.21919918,-0.17573352,0.16278325,-0.058309197,-0.13540475,0.035459477,-0.052521978
-0.006996881,-0.057064835,-0.63756305,0.038573716,-0.374756,0.16087975,-0.16561268,-0.3980373,-0.04987431,-0.43515247,0.030389521,-0.33536777,0.12138185,-1.0159109,-0.3905445,0.052412458,-0.002058976,-0.020582873,-0.05459194,-0.005047808,0.2996414,-0.31501287,0.0045955093,-0.17063794,0.110533625,0.0754636,0.30125463,0.01682164,-0.032690935,-0.05735052,-0.12880892,0.042415503,0.008074628,-0.044086955,0.017443635,-0.16333352,-0.023988878,-0.026212217,-0.08738626,-0.2130714,-0.21190766,-0.15889908,0.16197637,-0.067206755,-0.13466828,0.034462053,-0.053997565
-0.005807125,-0.059391275,-0.6304675,0.008940798,-0.37473443,0.16344301,0.019995075,-0.39794415,-0.04917092,-0.3964891,0.04445514,-0.33660865,0.26492625,-1.0241148,-0.39079762,0.04987324,-0.0009226802,-0.021573681,-0.059685826,-0.0024272434,0.29949507,-0.6075026,-0.0046496848,-0.17155506,0.11535852,0.08104793,0.3011494,0.015932657,-0.021557102,-0.05705945,-0.13056459,0.033832673,0.008344486,-0.045693036,0.023894785,-0.19704062,-0.023938498,-0.024304487,-0.10430047,-0.21305928,-0.22423273,-0.15861857,0.1642926,-0.067384146,-0.13892058,0.03587992,-0.052929427
0.017454607,-0.049332783,-0.5961044,-0.018623663,-0.39615348,0.16007498,0.0019689135,-0.38692853,-0.049849037,-0.44009772,0.028471883,-0.23541805,0.26250383,-1.0138003,-0.3903307,0.050338197,-0.053112607,-0.021674424,-0.07351891,-0.005955295,0.28291446,-0.61135805,0.0036350093,-0.18183321,0.094559066,0.08378536,0.3049682,-0.012812961,-0.040263988,-0.05790255,-0.14087635,0.042994864,0.010345233,-0.0053766123,0.015321491,-0.12569375,-0.02480177,-0.032742687,-0.110765435,-0.20937882,-0.22246854,-0.17397422,0.16512096,-0.06757177,-0.13225286,0.03656131,-0.05270476
-0.02533957,-0.045543402,-0.44786215,-0.027829988,-0.39733472,0.1517754,0.03184597,-0.37260303,-0.050387982,-0.87186974,0.018926935,-0.31674346,-0.03723786,-0.97152585,-0.39271766,0.047104806,0.040248357,-0.020499377,-0.033923972,-0.015877603,0.32319346,-0.6350653,-0.005636535,-0.17628565,0.11954414,0.09307017,0.30074412,0.0086554885,0.0031987955,-0.012268836,-0.07619726,0.044509035,0.13355877,-0.07747596,0.022713939,0.26429147,-0.027917264,-0.0678885,-0.111395866,-0.31594396,-0.17283458,-0.17860198,0.14376503,-0.06789342,-0.14247462,0.035938993,-0.052626282
0.29280365,-0.044219878,-0.45108032,-0.025949411,-0.40309843,0.17005143,0.02891232,-0.3730416,-0.06007555,-0.40071487,0.03177491,-0.31656653,0.21472323,-0.9691424,-0.9202169,0.050565884,0.043204922,-0.020128923,-0.03897342,-0.016813263,0.31195438,-0.61964065,-0.0013280205,-0.18351388,0.10409502,0.081065394,0.3066902,-0.013025822,-0.0045896852,-0.012467567,-0.07714867,0.04382908,0.1342456,-0.077918604,0.023992121,-0.19360664,-0.027659917,-0.06697515,-0.10968437,-0.28881168,-0.23179989,-0.17352384,0.14389816,-0.0676807,-0.13980292,0.036133215,-0.052408174
-0.008586864,-0.047601923,-0.45184135,-0.0271746,-0.39962506,0.1629756,0.029632635,-0.37095615,-0.051808003,-0.39972848,0.03159256,-0.30111176,-0.03942314,-0.97220135,-0.39348194,0.05049519,0.043198016,-0.020224132,-0.03822961,-0.013964886,0.31105787,-0.619605,-0.005933233,-0.20516804,0.116489746,0.09594743,0.3147702,0.0018672631,-0.004427868,-0.01236371,-0.076916814,0.043790746,0.13373148,-0.07682534,0.024091333,-0.19795693,-0.02830291,-0.066956915,-0.11050203,-0.2916361,-0.22931623,-0.17606157,0.14173469,-0.06789178,-0.14380656,0.035969425,-0.052262586
0.306938,-0.027950834,-0.3427687,-0.009582925,-0.42774996,0.10960601,0.018049914,-0.3910939,-0.044674654,-0.4086279,0.06793826,-0.22274406,0.22329693,-0.9710396,-0.9230561,0.033121094,0.011477417,-0.00935076,-0.07694594,-0.016820794,0.18960302,-0.6747387,-0.010398213,-0.15926255,0.09650296,0.062099013,0.31492057,-0.02469912,-0.014339576,-0.06723089,-0.06915889,0.042988952,-0.0036904067,-0.008112921,0.024463609,-0.17541045,-0.05023957,-0.050269283,-0.10860303,-0.1554548,-0.2022039,-0.17449847,0.13863875,-0.053740826,-0.109358706,0.037513033,-0.05333847
