"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.008815089,0.012845501,-0.028466474,0.028965322,-0.18894044,-0.046733484,0.020475112,0.16849446,0.07472364,-0.097516224,0.09529542,-0.006771554,-0.1731068,-1.0176885,-0.44829342,0.072112985,-0.05505458,0.0026569376,0.09537711,-0.014583449,0.24895617,-0.019547516,-0.013253016,-0.050985128,0.032138772,0.044164855,0.073957786,0.02104424,0.1262561,-0.02061897,0.003878352,-0.006849743,-0.029130992,-0.044143636,-0.1968558,-0.14428505,-0.208829,0.024870556,-0.03141021,0.009920287,-0.091811076,-0.026670244,-0.004547655,-0.23717763,-0.10417998,0.0034398576,-0.2569295
-0.015299569,0.005885942,-0.04418396,0.0041328403,-0.12330429,-0.03501387,-0.037937123,0.16499315,0.07020794,-0.06997423,0.10623936,-0.010927119,-0.16995539,-0.9603642,-0.38508147,0.034564972,-0.054070763,0.0022643667,0.10160772,0.023457399,0.20382571,-0.019350624,-0.014843957,-0.05766437,0.053678736,0.039038498,0.06753251,0.028961917,0.14833243,-0.017235374,0.005456082,-0.003104785,-0.032659814,-0.043655016,-0.24420519,-0.08834307,-0.26336205,-0.021375993,-0.036530387,0.006023369,-0.08336664,-0.018383844,-0.0018858957,-0.23855333,-0.11013971,0.0018398367,-0.25589538
0.026707912,0.017658623,-0.061852958,0.026237927,-0.20014001,-0.065862484,0.00817395,0.15828386,0.07960647,-0.08706298,0.09517785,-0.007973049,-0.16648637,-1.1028688,-0.44551197,0.059984397,-0.0663812,0.0011909697,0.10560995,-0.020941263,0.25080714,-0.021150922,-0.013397151,-0.035087585,0.032070436,0.04704039,0.05943619,0.020359118,0.099176556,-0.019977503,0.0037322876,-0.012192222,-0.033355568,0.020349987,-0.18202923,-0.14088136,-0.20605235,0.032553583,-0.03218967,0.010503657,-0.090979666,-0.02600913,0.013386774,-0.25501898,-0.065305546,0.003544193,-0.20104821
0.022928748,0.0056137843,-0.04693784,0.03835024,-0.18341723,-0.05933549,-0.032438464,0.15640053,0.08618266,-0.08766125,0.09236989,-0.010543927,-0.1689491,-0.9786196,-0.33660415,0.024542386,-0.054472607,0.001671926,0.13302054,-0.005763404,0.23490876,-0.024597207,-0.016529806,-0.031596053,0.055594344,0.040875766,0.06941703,0.027268862,0.14725885,-0.015878143,0.0060637244,-0.005075255,-0.020832337,-0.03559329,-0.23559694,-0.12361561,-0.2597038,-0.021054223,-0.028022753,0.0041378476,-0.083706066,-0.027262747,0.0048905383,-0.27456692,-0.12642516,0.002416465,-0.24832797
0.026189104,0.015796678,-0.046478145,0.0060149413,-0.13773158,-0.062324893,0.019707387,0.18555768,0.060305756,-0.088104494,0.13970698,-0.010010983,-0.17417297,-1.0430955,-0.3365774,0.026859779,-0.054210722,0.0015658572,0.13062373,-0.008455175,0.23083867,-0.023465255,-0.014456516,-0.032404233,0.05884332,0.044379197,0.0722653,0.027413713,0.14032575,-0.017910346,0.006522861,-0.003582511,-0.02093313,-0.04130169,-0.25098976,-0.09974276,-0.2444098,-0.020550884,-0.049526997,0.0038010024,-0.084691405,-0.02725469,0.0017293437,-0.28746146,-0.12429465,0.0027123748,-0.28604144
0.04123809,0.017155657,-0.041222915,0.037027568,-0.20384794,-0.05948638,0.008260133,0.12176793,0.108670235,-0.07555996,0.10594437,-0.0071771718,-0.18400197,-1.1304964,-0.45573175,0.048118364,-0.054156695,0.0049757217,0.123396605,-0.014033343,0.26300853,-0.020805327,-0.01279478,0.035057675,0.018682545,0.05166827,0.05925023,0.021255724,0.10746228,-0.0058177197,0.0022119302,-0.0060957484,-0.037556972,0.05343466,-0.18287265,-0.13917954,-0.24120367,0.032281294,-0.02988198,0.010581638,-0.090072095,-0.021999227,0.008710244,-0.25678405,-0.104442015,0.0026415673,-0.30593625
0.028131174,0.007630031,-0.054607783,0.008289546,-0.14454366,-0.045617208,0.014539322,0.103423,0.059693687,-0.09391351,0.10588423,-0.010978373,-0.17511225,-1.042575,-0.33944327,0.033574805,-0.05176639,0.0012343545,0.1416584,-0.007928098,0.24149168,-0.02003331,-0.012694618,0.017543104,0.047812674,0.048291232,0.08280051,0.028064376,0.16400163,-0.020243106,0.0028962386,-0.021460325,-0.011634366,-0.052503537,-0.24052176,-0.07058177,-0.28922048,-0.014430457,-0.034130137,0.008439322,-0.07996854,-0.021457708,-0.0030360986,-0.28527674,-0.12934719,0.0023081093,-0.2631063
0.041792218,0.008772715,-0.048151836,0.015827263,-0.14768793,-0.059020117,0.0066988347,0.1024614,0.077215284,-0.10024321,0.10042921,-0.013606636,-0.1708383,-1.0437006,-0.3379893,0.028185448,-0.062201872,0.0035989205,0.14153194,-0.009083153,0.25231656,-0.018218596,-0.014456348,0.020872487,0.052625827,0.04917153,0.071650505,0.025706848,0.14320475,-0.018173262,0.0057711448,0.0024970013,-0.031114543,-0.045544628,-0.24118875,-0.07915053,-0.25120357,-0.0132233435,-0.034153104,0.0068323654,-0.0853742,-0.027038187,0.005375799,-0.28801805,-0.13056643,0.00312302,-0.2850985
0.033797305,0.0074698855,-0.048445657,0.012624259,-0.14495836,-0.05843944,0.01875912,0.1089595,0.06930632,-0.09306467,0.0782499,-0.012868413,-0.17649576,-1.03927,-0.345826,0.028155148,-0.06063042,0.0054416326,0.14480165,-0.008684144,0.24698924,-0.019217204,-0.014021391,0.012424437,0.0720539,0.048196003,0.07162252,0.02737734,0.13595527,-0.020479884,0.0067161187,0.0034408337,-0.03070461,-0.043623094,-0.24667615,-0.07656852,-0.2322647,-0.014811412,-0.036775712,0.0079624895,-0.08086353,-0.023518037,-0.0017005553,-0.2909056,-0.1265643,0.0026516626,-0.28449243
0.022125775,0.004038659,-0.022225048,0.00040111932,-0.14074445,0.036718283,0.005778416,0.20611273,0.036339693,-0.10164513,0.06423442,-0.0065853125,-0.21509817,-1.3640263,-0.35004422,0.03951329,-0.072338186,0.005101416,0.13018769,-0.020584887,0.19619033,-0.024785824,-0.015126768,0.027378606,0.033396706,0.0560715,0.0715043,0.018059412,0.16229656,-0.025859307,0.00511976,-0.010814424,-0.02239012,0.06676925,-0.20491326,-0.09206697,-0.23988514,-0.012272916,-0.031863537,0.012169124,-0.09500983,-0.030865926,0.009133423,-0.20508336,-0.063608445,0.011797889,-0.24138476
0.045781206,0.014531429,-0.07646532,0.0062978445,-0.12727004,-0.055679,-0.028966961,0.09512026,0.07350441,-0.077342816,0.09481747,-0.013210395,-0.17297496,-0.98685163,-0.33706483,0.0353067,-0.06038433,0.004321218,0.14177145,-0.0067843916,0.24351518,-0.018907838,-0.017423632,0.019464977,0.041932497,0.042708904,0.07110379,0.02761937,0.17651844,-0.020247163,0.00767258,0.0009826426,-0.031178279,-0.041676007,-0.25823537,-0.070817046,-0.25716433,-0.015127839,-0.03479192,0.006726783,-0.08508423,-0.023622625,0.0052991495,-0.2889225,-0.127702,0.003017728,-0.31262854
