"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.7720519,-0.83942825,0.0036572956,-0.18173146,1.0864925,-0.098361194,0.19499277,-0.19105142,-0.7650858,-0.12587358,-0.07630119,-0.76497865,-0.9116113,5.057535,2.1842003,0.07170845,-0.078890875,-0.023975745,-0.69112855,-0.51161623,-0.20796162,0.8247954,-0.068053894,0.8852234,0.114784986,-0.05040847,-0.2967854,-0.15077055,-0.20430318,0.31765762,0.07122496,0.58947253,0.68925905,0.7964036,0.99628836,-0.33361772,-0.18599404,-0.47091392,0.5101044,0.20791878,-0.24852453,0.00240278,0.3402833,0.5758832,1.7187678,-0.37505525,1.5763916
-1.5728207,-0.9168081,-0.3991397,-0.7384455,1.0573748,0.23784213,0.96165013,-0.10576067,1.9525121,-0.10798111,-0.29644093,-0.7108677,0.03255436,4.303574,2.1906376,0.5392985,-0.04588297,-0.112820946,-0.57115895,-0.40578455,-0.16364005,0.7502082,-0.07221237,1.0289114,-1.4024055,0.001390189,-0.28996652,0.01473307,-0.21067367,0.21507984,0.08238844,0.36892697,0.59677017,-0.10893777,0.29703322,-0.40747637,0.17627203,-0.0656841,1.1522194,0.17354327,-0.3694432,-0.6834339,0.06479243,0.57034653,1.7883248,-0.25575793,1.901106
-1.1084005,-0.69556946,0.28291887,-0.24860759,1.0541005,0.23260483,0.31901827,-0.26460695,-0.30482858,0.05004523,0.09402649,-0.4468205,0.16149126,4.1084704,2.0987833,-0.31108484,-0.27593747,0.06822556,-0.63613164,-0.033949345,-0.5458351,0.73698825,-0.05953626,0.8402195,-0.71519774,0.02674596,-0.5283599,-0.061152607,-0.10407256,0.39014727,0.20412272,0.5912349,0.5460635,0.95541,1.4813635,-0.23951888,-0.32292676,-0.025355373,0.68742853,0.26164457,-0.50332516,-0.041769553,0.3994558,0.09534771,1.0481473,-0.3329474,1.5153081
-1.2291088,-0.7996013,-0.05058306,-0.6617477,0.95916754,0.6162212,0.89432096,0.15097375,1.6204594,-0.3858455,-0.07715559,-0.5627421,0.1547688,4.169978,2.0938694,0.25591305,0.0024272872,-0.18164647,-0.49739403,-0.41164026,-0.21352036,0.8536788,0.014917784,0.7290831,-0.87717694,-0.00384614,-0.35798874,-0.034769353,-0.12224588,0.1372103,0.122800104,0.30032313,0.6540032,0.40714008,0.2728322,-0.42148218,0.16653836,-0.33186418,0.9440388,0.1609192,-0.8829052,-0.45584923,0.24104327,0.4149025,1.5466955,-0.31481645,1.43676
-1.2028133,-0.6596964,-0.04414162,-0.12736383,1.1640049,0.48381543,0.66826373,-0.39342806,0.10013175,-0.2797489,-0.47492397,-0.36349165,0.35331684,4.2112885,2.0139236,0.41646034,-0.02529725,-0.13993599,-0.44218966,-0.34362817,-0.4008191,0.9476311,0.07337328,0.7372073,-1.1632894,-0.058073584,-0.33946753,-0.034332883,-0.17584662,0.12664255,0.10597949,0.27436075,0.38360465,0.4570803,0.8254228,0.44431144,0.33444408,-0.32529527,0.7457809,0.16560939,-0.22435322,-0.60691977,0.21922739,0.4552719,1.4679077,-0.30815083,1.4383786
-0.085697904,-0.88661796,0.20460524,0.42996177,1.3326793,0.67383254,0.5251321,0.6374218,0.38331702,-0.08492451,0.03118056,-0.21876267,-0.3408809,4.359036,2.0565069,0.057755116,0.010240302,-0.09359605,-0.5836623,-0.095073834,-0.23233049,0.91442114,0.14279464,1.1368257,-0.86363494,-0.028604658,-0.36122558,-0.054904804,-0.074027486,0.19312862,0.17079425,0.7476173,0.39400813,0.7458636,1.978597,-0.538681,0.24996369,-0.26112616,0.6480059,0.11871685,-0.3213482,-0.00062629493,0.30791,0.3568991,1.5371444,-0.3011226,1.5921508
0.6063279,2.064282,0.0058907503,0.6602475,2.344614,2.203436,2.032287,4.437259,0.8009674,-0.10104886,0.19980949,0.28884825,1.5390359,6.5747247,2.773279,1.7427928,-0.03613311,0.122606635,5.8665714,-0.16090621,0.5479587,2.460226,0.29926205,1.7934513,2.0861273,0.056137353,1.8288463,0.198446,0.7179635,1.1962645,0.039976105,-0.9549812,1.2973934,1.4545046,0.9639737,1.9572859,0.86516625,0.112833284,2.9719145,0.38579097,0.11730382,0.5069527,1.0222107,1.004707,2.0312214,0.73437494,4.7766066
1.042876,1.585006,0.8518655,0.7016123,2.3536737,2.9432254,1.0946628,3.0865045,1.1998208,0.040143,0.3154758,0.29064074,1.9526602,6.706739,3.1494348,0.6319229,0.5054944,0.110849515,3.7997699,0.5141549,1.0688763,2.700418,0.5428303,2.5116894,2.7019296,-0.029209856,1.4100173,0.119728,0.8924984,0.42805427,0.21074729,1.0219506,1.6520705,2.315375,1.6869332,2.034521,1.226008,-0.031889725,3.374054,0.28865665,0.27184173,0.5134702,0.6614718,0.9624155,1.9810371,-0.07770589,3.9086494
0.614279,1.4403167,0.8741082,0.53132075,1.2437432,2.5329561,1.4257216,1.523877,2.416927,0.16014175,0.23469797,0.17307621,1.8847286,6.430981,3.1876194,0.62144446,0.12262948,0.10351912,4.8785625,0.5723353,1.1976383,2.396803,0.09200251,2.0585747,2.9971669,0.44035015,1.0127724,0.113624655,1.0626955,0.59083015,0.11177761,0.87716657,1.8838136,1.911676,1.3791709,2.6268673,1.01442,-0.014093014,3.330102,0.30647403,0.31285217,0.64482415,0.56318295,0.8850757,2.012161,-0.078316644,3.7378356
0.38648608,1.0449841,0.29078746,0.07438846,1.8261467,1.82861,0.7121579,1.6183864,0.43585095,-0.045961425,-0.046447273,0.13046612,1.087913,5.5834002,2.5549333,-1.4402002,0.18251368,0.023555959,-0.9599916,0.32227182,-1.1404573,0.48460326,-0.044072602,1.7252179,-0.5050391,0.25622,-0.15329725,-0.012130589,0.042437088,0.16976447,0.102983505,1.3500425,1.8756354,2.558072,2.1607583,0.2664252,-0.227395,-0.10507512,0.8883133,0.38260257,0.27689856,0.25288036,0.7148975,0.8484962,1.4714572,-0.49427548,1.5715191
