"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.1502778,0.085176885,0.13759258,0.6071439,1.4844191,-0.001894024,0.72788525,1.178026,2.8443983,0.22153626,0.53106016,0.21626768,0.73932654,1.3494394,-0.2738413,-0.7096948,-0.05540693,0.022915252,-0.026561085,0.0043586628,0.07197586,-0.1169655,-0.15779872,2.9799628,-0.29711476,-0.030858228,0.08873686,0.015473441,0.16648336,-0.03328184,-0.028336206,0.19854198,-0.031497166,-0.030095272,-0.28989175,0.025010796,0.14950493,0.4540968,0.45690086,0.11963363,0.13740373,-0.060440436,-0.13893947,0.012283346,0.17125498,0.040616557,0.42355534
0.080163546,0.08607654,-0.014668208,0.35015884,1.4188284,0.19211608,0.15388922,1.3122538,3.2340934,0.03232071,0.73967427,0.27495307,0.7091227,1.381437,-0.17017443,-0.5801009,0.08313205,0.21406774,-0.016716927,-0.50268143,0.07996105,-0.07396704,-0.16377081,2.941365,-0.24121141,-0.025507662,0.35748628,-0.14570604,0.16320501,-0.03780444,-0.012242073,0.0037848416,0.0060540894,0.104412585,-0.09460388,0.022293754,0.49206212,0.32200578,0.6484602,0.15600133,0.06554547,-0.23582694,-0.095319435,-0.023881294,0.24128659,0.05145933,0.4918189
0.11880865,0.03701721,0.081970565,0.48357308,1.4756485,0.3890451,1.052393,1.1000464,2.6640575,-0.1784389,0.4147662,0.23859626,0.5144977,1.3040863,-0.31488374,-0.05553537,0.053363618,0.0042225355,-0.03366871,0.06373687,-0.24703339,-0.75097924,-0.27310583,2.9740565,-0.46805727,0.013876515,-0.4301758,0.14109974,0.095405065,0.17283559,0.009584963,0.12928298,0.06431273,-0.086576365,-0.16610366,-0.07221867,0.15686287,0.48435336,0.45381805,0.06620382,0.07110433,-0.080852054,-0.054688808,0.016761774,0.07808451,0.015345568,0.33772054
0.17806749,0.060455743,-0.062660806,0.5028017,1.5059355,0.3524696,0.19610694,1.3892893,2.6402988,0.08394813,0.6562861,0.21239729,0.8166241,1.4005932,-0.15909186,-0.32184872,0.05684291,-0.026117941,0.106090456,0.035317007,0.049482055,-0.3393625,-0.2539614,3.1000788,-0.37404522,-0.0129872905,0.13328122,-0.090056226,0.103501,-0.029875701,-0.007752114,0.094575964,-0.06789107,0.039778244,-0.22834384,0.060999017,0.3887467,0.41066343,0.65716803,0.042017363,0.014093615,-0.08587109,0.03415481,-0.0542196,0.24874131,0.018552558,0.5001692
0.1612294,0.052781627,-0.036552604,0.36919895,1.4596143,0.26966444,0.7636096,1.2574288,2.84484,0.0633365,0.6955435,0.21090342,0.9010869,1.3570831,-0.15810616,-0.38813382,0.03787659,-0.044914775,0.087838836,-0.0030252011,0.070823774,-0.4268805,-0.26492766,3.1927605,-0.43777278,-0.021886742,0.1538476,-0.09192945,0.11665849,-0.021529967,-0.025368782,0.054047175,-0.056550078,0.0318946,-0.22652803,0.04251652,0.36111405,0.38312003,0.5643516,0.07468447,0.010187414,-0.15193231,0.011056738,-0.038439784,0.22980027,0.031939913,0.51003706
-0.121112235,0.006965056,-0.07213215,-0.7228614,1.2934488,0.062820196,0.8135499,0.3599797,2.6622307,-0.051794976,0.21912771,0.114548765,0.7999053,1.3726764,-0.18045601,-0.20085749,0.15625343,-0.04522372,0.061851393,-0.017925821,0.052860666,-0.024037812,-0.24827859,2.6449366,-0.3593307,0.0257599,0.09757736,0.08077182,0.06458313,-0.029851764,-0.014537648,0.1194317,-0.25020728,-0.062970944,-0.19498102,-0.0007718806,0.29058048,0.3787981,0.5385897,0.059432138,0.017501162,0.11124609,-0.00048801926,-0.07357881,0.26416358,-0.092726804,0.3956628
0.13229764,0.004281473,-0.13226388,0.20148627,1.5540751,0.51744443,0.66597307,0.92474085,1.8010883,0.073470026,0.5028973,0.1876303,1.1696881,1.2481781,-0.308377,-0.47352505,0.05891572,0.061351985,0.15230042,-0.076207496,0.11162709,-0.90885395,-0.23359631,2.954625,-0.17718035,0.105060905,0.1778935,-0.06675892,0.06722005,-0.025835978,-0.08377624,-0.046688408,0.15507741,0.03556401,-0.34966406,0.019746937,0.19542716,-0.3501797,0.3975168,0.15598617,0.015805408,-0.003157283,-0.4225316,0.03698461,0.21586563,0.054655988,0.4751582
-0.10474502,-0.014269634,-0.027290916,-0.24809498,1.482443,0.4519199,0.53826994,1.0894314,0.93549806,0.30609602,-0.121788755,0.17197199,0.61440414,1.2405475,-0.31596422,-0.20933513,0.083228536,0.02386551,0.14864546,0.08638125,0.07472551,-0.5243353,-0.42541158,3.104617,-0.08323192,0.011533837,0.08717023,0.12947904,0.16388252,0.09469533,-0.07175744,0.03240288,0.19642928,0.070491895,-0.4412101,0.12090062,0.43921062,0.06596069,0.549774,0.22549257,0.044788964,-0.028844597,0.018790578,0.017108534,0.28786886,0.08939984,0.38805667
0.12235397,-0.034775373,-0.106546104,-0.45522317,1.4494818,0.27425766,0.51299196,0.9783262,2.634293,0.0052279653,-0.121935785,0.18925242,0.8658907,1.3263875,-0.21108863,-0.2823037,0.09491049,0.007885256,0.10563854,0.07834026,0.04034766,-0.58163047,-0.3573222,2.6063962,-0.18000717,0.18825021,0.14246036,0.03910152,0.0944531,-0.002631151,-0.09013567,0.0051198625,-0.021580867,0.044828754,-0.21755642,0.068773925,0.42374164,-0.058798272,0.42168385,0.10550111,0.011717563,-0.035270862,-0.0708001,-0.0087720025,0.237232,0.064222485,0.4698268
0.21912609,0.08955399,0.7495227,-0.74655014,1.342432,0.46642244,0.8573035,0.683923,1.3883291,0.16263258,-0.32979548,0.34724343,0.56992674,1.1496155,-0.52532834,-0.0062364517,0.25705656,-0.060624298,0.24783283,0.16606459,0.14520255,-0.22117752,0.07010653,2.3328357,-0.22207816,0.10863636,0.07474358,0.03230311,0.071929544,0.016414046,-0.0028579433,0.24627851,-0.18139635,0.015548317,-0.2910722,0.079956286,0.12592113,0.16734177,0.42916745,0.12171093,-0.013054857,0.092993185,-0.11281646,0.077926114,0.31009957,0.008654597,0.2599673
-0.15617992,0.036128398,-0.09304533,0.07877236,1.6033047,0.052314118,0.10020014,1.1055869,2.719994,0.02611021,0.44839838,0.13401183,0.5277117,1.4430645,-0.21762772,-0.5710501,0.064200856,-0.04425287,0.12306614,0.08063511,0.08572514,-0.8182667,-0.23616143,2.5917962,-0.23316126,0.13281408,0.15507914,-0.18385674,0.10097639,0.008519453,-0.0021562022,-0.0038112015,-0.027869822,0.026863566,-0.298014,0.049542174,0.46660593,-0.08906917,0.5330369,0.23650582,0.014522621,-0.06374011,0.009760921,0.022084141,0.22107312,0.040872116,0.57047397
0.0767245,-0.011564411,-0.17309046,-0.2825338,1.4025677,-0.1968703,0.012633854,0.97177595,-1.9363307,0.20923246,0.20054497,-0.096618325,-1.3631667,0.55364877,-0.2556284,-0.12989588,0.053370137,-0.027137315,-0.10974473,0.104722954,0.005081261,-0.31469765,-0.23689057,1.3273405,-0.23791759,-0.096239865,0.048472095,-0.006632654,0.05508626,0.0020995426,0.03153225,-0.21726291,-0.055470977,0.06906988,-0.28176922,-0.034340426,0.062850505,-0.020847507,0.40891048,0.15928987,0.0073337466,-0.1065117,-0.26941016,0.07844108,0.2645811,0.030469036,0.38741952
-0.19629955,-0.03780409,-0.1104126,-0.25109193,1.1696829,-0.1037246,0.114290066,0.6874126,-2.1613326,-0.028054573,0.031366378,0.06863565,-0.8450777,0.66916317,0.19143224,-0.025693567,0.24465588,-0.16253425,-0.14577055,0.17392589,0.051163748,0.29639465,-0.3177846,1.1216905,-0.052642666,-0.08919111,0.011555339,-0.04289828,-0.008690511,-0.055927057,0.011356887,-0.13149849,-0.24592784,0.05643097,-0.39286992,0.114915185,0.117659636,-0.33406487,0.46927208,0.1596573,-0.12606621,-0.1299872,-0.26748648,0.0045846305,0.2491365,0.023636837,0.30189916
0.07295393,-0.010073868,-0.17389274,-0.28268158,1.3990173,-0.18834417,0.01740968,0.96703416,-1.931201,0.21197943,0.21996117,-0.09568089,-1.387665,0.55586135,-0.2556356,-0.13145508,0.050904144,-0.006143117,-0.10857084,0.10753787,0.0046012634,-0.31333885,-0.23583928,1.320375,-0.29119256,-0.09979772,0.046366017,-0.0057827993,0.053799316,0.0011735903,0.030093431,-0.20865552,-0.082564116,0.07158591,-0.23612155,-0.032726083,0.09842901,-0.010386161,0.4072523,0.15726592,0.007009919,-0.110933304,-0.27258316,0.07837142,0.26535016,0.031300824,0.3896029
-0.061030712,-0.052893292,-0.20705222,-0.33493203,1.1889684,-0.07974381,-0.03559855,0.87763065,-1.3439283,0.1390465,0.19397324,-0.15864755,-1.457659,0.5516013,-0.34810254,-0.12681797,-0.016431054,0.002565068,-0.099733606,0.10783768,-0.022211328,-0.32994002,-0.25115588,1.3858705,-0.32579622,-0.10435277,0.058752984,0.09234269,0.07932414,0.24900952,0.009689803,-0.18712577,-0.08359429,0.06994846,-0.29725066,-0.031100625,0.012102534,-0.0038862566,0.40488166,0.16732436,0.07166511,-0.09340845,-0.2741327,0.08201642,0.26350674,0.033295892,0.3587228
0.07298087,-0.0104569355,-0.17389274,-0.28231186,1.3988523,-0.19171165,0.015360695,0.967254,-1.9281542,0.2113017,0.22037901,-0.09568743,-1.3601332,0.55599326,-0.2555725,-0.13148183,0.053826377,-0.0270852,-0.10857084,0.10529042,0.005087779,-0.31408277,-0.23582065,1.3276596,-0.2911982,-0.09979049,0.045836534,-0.005609531,0.054874245,0.0011061453,0.030093431,-0.20858154,-0.08834128,0.07100335,-0.28921494,-0.03461074,0.12824221,-0.01746473,0.40729132,0.15727876,0.007009919,-0.105835326,-0.27322337,0.07855629,0.26452726,0.03130321,0.3896979
0.10115088,0.2025317,-0.15572727,-0.13429111,1.2918605,-0.26432112,0.043674883,0.8596594,-1.5188854,0.18111776,0.2134488,-0.19822435,-1.5274911,0.60365784,-0.22046728,-0.061598353,0.1642412,-0.061024852,-0.12984137,0.03628613,0.024474688,-0.15514149,-0.3632841,1.1423134,-0.17241745,-0.07372337,0.058081925,0.0093679475,0.11189774,0.023306042,0.0630181,-0.18285796,-0.09945574,0.091425,-0.33388266,0.034253735,-0.08140907,-0.41778603,0.47093883,0.14585702,-0.036577396,-0.106439866,-0.26574513,0.06208874,0.33200824,0.040768668,0.32331225
-0.13051906,-0.0004239749,-0.058581825,0.1270057,1.4000477,-0.39894098,-0.4018559,1.2070756,0.2340762,-0.40422526,0.3158269,0.18882765,0.13841932,1.3465375,-0.4580257,-0.3846395,-0.03963628,-0.119403645,0.2950384,-0.15806615,0.108991876,-1.0114383,-0.21569988,2.6878586,-0.21101625,-0.02488866,-0.0011508128,0.006781345,-0.02106509,-0.103444524,0.026959546,0.16000009,-0.001285804,-0.17281161,-0.51747066,0.058783717,-0.16122898,-0.19242166,0.40205386,0.030356482,0.12860774,-0.25185597,-0.106008954,0.06200118,0.19912587,0.059564173,0.4053488
-0.18223605,-0.055303838,-0.21408063,-0.12030095,1.3345906,-0.31979683,-0.1468355,1.1312689,0.20049553,0.15943617,-0.10494934,0.28667378,-0.18642394,1.0979222,-0.24352238,-0.20517498,0.16618216,0.011758271,0.2820219,-0.00836351,0.0791198,-0.35846397,-0.28921464,1.8708546,0.16743474,-0.078879535,0.088131025,0.05512103,0.047345657,-0.021336721,-0.05585251,0.1139803,0.052722715,-0.096435316,-0.39626616,0.041318327,0.14180946,0.2639237,0.5134408,0.09779301,0.3107299,-0.07355673,-0.2837808,0.0019067304,0.19603556,0.038301278,0.37897205
