"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.109571345,0.013361266,0.01826253,0.22194557,-0.0045213606,-0.021618884,-0.07393698,0.23916511,0.019560462,-0.041972853,-0.005360078,0.33850336,0.72727746,0.1530305,-0.035260364,-0.1642296,-0.05980483,0.017097518,-0.0248098,-0.109094456,-0.670372,-0.3605839,-0.14839867,0.06572079,0.057185788,0.011842786,-0.16203968,0.009726412,0.028068593,0.014636143,-0.002922825,-0.19824003,-0.08129871,-0.035058334,-0.21342324,-0.01000247,-0.013320038,0.18887033,0.020848157,-0.10849953,-0.019473558,-0.020536382,-0.13436507,0.11398034,0.3672897,0.0011150452,0.15266
0.1650124,0.007518515,0.16863419,0.20684873,-0.0159474,-0.035785235,-0.010156918,0.5710184,0.13976744,-0.061253663,0.08409233,0.37866697,0.66506803,0.14360842,-0.041570675,-0.04279064,-0.025951702,0.015754601,-0.019949585,-0.20249136,-0.56871015,-0.21861765,-0.10009181,0.069807634,0.2363011,-0.0057731434,-0.19357333,0.0052682585,0.09565439,0.0181149,-0.0066809207,-0.31399676,-0.12243122,-0.08100347,-0.2713875,0.010049292,0.13822271,0.02843552,0.11150302,-0.06686577,0.037976626,-0.04856448,-0.079244435,0.09080403,-0.05117806,-0.0011687716,0.21845007
-0.06671246,0.033425465,-0.03127148,0.13744387,0.042783577,0.07508044,-0.092629924,0.14699332,-0.05817468,-0.072216175,0.27290404,0.3113596,0.66391104,0.13473089,-0.025242962,-0.017572189,-0.052249677,0.023783902,-0.055598553,0.008599692,-0.18418707,-0.4865308,-0.15214996,0.13354284,0.050333943,0.021784702,-0.035082858,0.010005206,0.07426143,-0.02296592,-0.00353263,0.050341245,0.02256513,-0.20279682,-0.19623806,-0.015563828,0.028879974,0.13047603,-0.012474139,-0.12781143,-0.08778797,-0.015092215,-0.014820084,0.1424575,-0.033096705,-0.004780423,0.17316385
0.05276379,0.031898636,-0.039695714,0.19616,-8.406161e-05,0.079157084,0.0037553313,0.29394644,0.13134639,-0.061889913,0.017305544,0.37183502,0.67163414,0.21404406,-0.039100792,-0.03179449,-0.06971865,0.00053289573,0.002156738,-0.06622976,-0.23066954,-0.45997325,-0.19795546,0.0703402,0.1850413,0.0018925018,-0.22560617,0.017736778,0.073787905,0.02184177,0.0037073793,-0.22895232,-0.050484315,-0.09484613,-0.2192544,-0.00072097074,0.027390515,0.09683627,0.03469184,-0.055186994,0.030510925,-0.025431039,-0.057626013,0.13173763,-0.07140957,0.0013940806,0.07390334
0.06095102,0.02309404,-0.041400805,0.17754228,0.024668973,-0.030795418,-0.07113864,0.16729261,0.13428433,-0.07049444,0.14917517,0.36382568,0.7919522,0.18163258,-0.047134094,-0.03833543,-0.07231426,0.010865756,0.0071434528,-0.073895395,-0.2883759,-0.3680069,-0.1819148,0.06376656,0.15091702,0.009800347,-0.14879824,0.017943602,0.0924651,0.016439928,0.00021517307,-0.20596147,-0.042051867,-0.084645875,-0.20958073,0.066250645,0.03424157,0.10050088,0.03812386,-0.09617011,0.031316426,-0.032119256,-0.069901004,0.12028169,-0.04463592,-0.0014190876,0.16826229
-0.048263285,0.032901578,-0.075738475,-0.35911754,0.10230323,0.035410393,-0.14501268,-0.041811313,0.05967781,0.088360734,0.058476746,0.25811386,0.5533693,0.19357109,-0.03853812,-0.011210083,-0.0566838,0.0011643351,0.06111305,0.014602261,-0.14065467,-0.45892343,-0.16324627,0.16066995,0.17939955,0.019124158,-0.19861057,0.019682957,0.104456015,-0.014554928,0.004979449,-0.0007262803,-0.019187266,-0.032355733,-0.13590738,-0.017379722,-0.0032671448,0.12215506,0.024748905,-0.052673813,-0.018905547,-0.014723602,-0.07445653,0.12939872,0.0029774888,0.0013934284,0.08305425
-0.0010168704,0.00540998,-0.04571663,-0.19108576,-0.031620488,0.006790497,-0.094213426,-0.17944995,-0.038279396,-0.04628329,0.021378217,0.05823558,0.43425477,0.010029816,-0.047541227,-0.06964851,-0.119887695,0.016247835,-0.0061983545,-0.056907017,-0.5724184,-0.6801016,-0.13611892,0.028406972,0.27087253,0.038792897,-0.058865625,-0.0032432736,0.13429773,-0.016070444,-0.035827447,-0.38654605,-0.12576541,-0.030155743,-0.23050857,0.039157934,0.08661987,-0.036917463,0.08493101,-0.02358088,0.02520473,-0.02312514,-0.17544936,0.13229935,0.3618908,0.022382554,0.18738034
-0.09275136,-0.03050089,-0.1491577,-0.28670254,0.066402726,-0.02783908,-0.09971148,-0.3004662,-0.27387774,0.023017984,-0.06061966,-0.073293075,0.23489727,0.07699124,-0.07981568,-0.051214367,-0.116130866,0.021803401,0.031510945,0.061529495,-0.1855361,-0.7181189,-0.15764832,0.083344415,0.21236989,0.029114174,-0.12038504,0.0062974878,0.0800998,-0.023069171,-0.013580677,-0.27432698,-0.16347606,-0.042063043,-0.13685514,0.065796934,0.08851657,-0.021990858,0.13317743,-0.047489513,-0.012484247,0.5168544,-0.10926174,0.11374488,-0.16300371,-0.0017058256,0.17425351
-0.014727786,-0.0038004518,-0.09205697,-0.3219493,-0.0148619665,0.016829735,-0.008675558,-0.24492146,0.063105114,-0.051115323,-0.08428341,-0.08268402,0.45018116,0.034610383,-0.08626667,0.009099066,-0.12548704,0.017601041,-0.001358596,0.009145976,-0.12700899,-0.6043953,-0.16041712,0.07880793,0.22227187,0.058410425,-0.12352908,0.01977942,0.10894179,-0.03378288,-0.030289559,-0.3367678,-0.18562526,-0.086994104,-0.24954024,0.057102513,0.024678469,-0.013345811,0.08701422,-0.065672114,0.00987488,-0.019350111,-0.15037349,0.17001505,-0.036789544,-0.0069481875,0.12121254
-0.17276005,0.00017651792,-0.35036373,-0.33157128,0.15688209,0.1263788,-0.33234403,-0.47490087,-0.12961854,0.004412176,-0.17763409,-0.063689634,0.092582166,-0.041391928,-0.078157656,-0.05010053,-0.008285229,0.015292733,-0.025276696,-0.07509161,0.65807337,-0.46743962,-0.04847396,0.13269933,0.10180282,0.09658727,-0.08514099,0.009840069,0.10549522,-0.0083131865,0.0043650744,-0.06992109,-0.14528458,-0.26391977,-0.14883633,0.010192454,-0.0044791712,-0.03910955,0.015585645,-0.07449286,0.018655848,0.5760618,-0.031725455,0.2348295,-0.6465203,-0.058083534,0.23079228
