"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-4.6674194,-10.366952,-113.20871,-9.839148,209.99727,-178.33409,712.67346,129.03699,-113.11972,14.72364,-8.791508,300.60684,978.90674,451.31488,377.30295,-157.89539,199.9008,26.353548,-17.346024,-40.526108,-66.11019,197.58931,32.725677,909.0968,124.50856,-13.588536,-0.4200684,41.49997,-21.147562,-12.268678,-9.838164,208.08806,339.34674,345.3727,16.353771,-33.343475,144.1289,2.4369154,201.80066,126.942085,-12.532468,-13.602119,35.59727,23.494305,23.298546,-12.449311,47.607952
-99.29762,-19.006834,31.165873,-28.390385,454.1819,-73.22737,414.3783,144.93178,-4.5983357,4.3588586,-35.525723,401.61554,1271.8096,718.37506,347.81607,-85.86796,200.81859,3.7815497,-21.88249,-91.9664,-18.666523,206.47931,17.800423,919.9602,-81.2138,-13.314097,7.7450566,35.25736,14.111905,9.42695,-3.664806,194.29448,296.6626,308.79782,27.142792,-46.093323,191.12193,-15.704162,204.68942,61.243237,-20.650526,-47.54982,31.844454,24.610016,33.840714,-27.522846,80.830414
-7.9044824,2.1403868,-9.313576,5.578544,465.88635,59.146244,1028.2814,110.94808,16.397392,60.168716,-65.33263,269.09186,1037.2484,578.30994,349.66165,20.600197,146.4294,17.128902,-16.9511,-52.31981,-71.76013,125.412605,-6.0935283,941.3028,-15.604602,-8.716174,100.99781,24.956207,-14.144511,-6.2160516,-14.01889,147.87737,295.41248,344.0368,-36.63193,-43.354492,136.79094,-8.48478,197.6389,92.86205,-11.840783,-47.342636,-74.951996,-27.509893,-147.72218,-17.96762,55.622616
-6.4069576,-7.5362134,42.43192,-44.413033,462.68454,54.449745,458.72125,155.65683,-6.4848576,-1.1210022,10.229209,364.8506,947.42346,616.9169,348.44275,-17.74853,188.34132,7.4962125,-36.2,-46.751404,-47.72597,196.88412,28.476246,961.3441,-29.000566,-16.827965,1.9801083,45.51652,17.001482,12.123199,-0.41064966,175.45787,324.98608,333.20145,51.554443,-31.531345,155.57306,-7.4214444,184.23279,73.04968,-11.781461,-41.675385,-22.479712,22.312788,-24.16431,-2.2110658,86.3241
-10.411355,-6.2388296,35.74573,-4.3796277,475.19937,64.46112,648.0665,109.76261,-21.950327,-9.843883,-40.64686,308.48584,959.032,622.871,380.3014,-56.490345,219.05838,15.2912245,-38.31098,-48.662678,-56.886078,174.81978,37.461716,916.4498,-20.687243,-16.06428,0.27267027,37.70681,-13.012015,5.3395267,0.5807004,176.96422,291.37567,347.48804,28.520145,-45.87044,171.68372,-10.541099,205.13681,103.88013,-20.396013,-45.49845,-12.81376,25.573078,-24.812065,-13.334766,81.009186
-8.693046,-17.90641,36.241924,40.77607,51.09465,72.031105,803.172,86.98632,-60.566353,27.045155,-3.4574676,255.63599,909.861,560.08936,348.7977,10.449674,71.073555,21.040232,-63.300163,-31.481766,-67.46365,173.57446,25.08544,906.55505,-35.88024,-22.935787,21.614323,29.105192,3.1315646,10.896542,1.7461169,187.58217,314.89328,384.19397,28.380188,-38.545918,102.15322,-34.068207,181.26599,98.23219,-15.728884,-35.96331,-4.621362,-13.684618,-51.825607,-21.614986,69.32211
-16.519293,1.1153946,14.6791115,8.158661,278.4761,20.523085,491.24313,87.980675,-66.28325,13.828194,-13.469599,-19.887304,180.02971,491.15817,329.8526,-43.435955,155.56839,14.270931,-65.18821,-78.530685,-59.702736,274.3477,-5.907997,883.98926,7.3055425,-61.314068,7.6378965,68.96349,-8.440912,-26.042421,-10.91219,203.07219,175.07281,377.85715,50.053944,-86.634895,212.27036,-17.911694,204.33298,90.49501,-18.37948,-37.176777,34.21974,25.602425,25.252127,-37.984062,121.40668
67.36627,88.86587,-14.5215435,50.80354,194.13902,175.75327,556.8418,77.845,-3.6428356,47.87823,-18.444113,-16.830162,149.65097,333.83655,452.31082,-17.488817,84.32594,24.979914,-61.054134,-47.274124,-56.422813,222.7765,22.42446,539.4753,6.5361857,-14.420613,94.260925,33.357403,-34.584404,-26.104473,-14.326197,42.694016,258.55533,287.3112,81.450836,-49.970863,163.35031,-15.263064,201.68152,174.98152,-19.120752,11.071684,-16.722729,21.810009,30.278276,-16.933043,122.03226
-21.077751,9.694595,-41.65223,-5.963159,422.94275,165.78696,686.7526,96.65048,-8.407586,-14.867405,-39.58833,-18.59431,130.3855,589.22943,406.94064,-38.099354,210.57755,22.884008,-48.17318,-51.620617,-61.81482,209.42488,21.972383,555.18726,-53.391357,-24.90684,55.855946,36.462498,-17.154657,-24.784332,-15.702517,46.173225,260.49963,327.9783,49.040432,-60.812077,147.26135,-28.408594,214.12901,117.73906,-17.918972,-44.92185,-25.130707,19.93051,-33.101868,-30.1105,100.159
126.05748,163.51581,5.1353345,-47.695156,187.64348,323.89474,729.7537,82.87447,-108.30246,38.790916,-66.6465,-3.8508315,79.04032,308.27795,447.60773,45.28987,64.46714,-3.6699066,-15.570305,127.620186,-97.610374,291.0673,-15.865817,450.1383,17.95771,44.474228,16.45539,35.782204,-33.27703,16.966911,8.287946,52.89753,283.8423,379.26187,22.325405,-60.47513,129.9764,-41.26439,218.99623,74.40884,18.498774,8.758977,-126.860695,12.404024,-113.58068,-1.4532183,98.630264
