"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.4716447,-0.012598538,-0.3947716,-0.049578372,-0.9707007,0.5548842,-3.677649,-3.1847875,-2.2976377,-0.058205973,0.5079359,-2.4621027,-6.4423,-9.832711,-4.1047087,-5.7281127,0.052040048,-0.6925047,-0.9020797,0.019433035,-0.040299878,-1.0600809,0.2913437,-5.371258,0.3291322,0.10855136,0.9860849,-0.13450633,-0.2237429,-0.21390924,-0.15593421,-1.523021,-2.9152167,-2.153179,-3.4522061,0.2186647,0.29064533,-0.094864435,-0.756144,-0.5106084,0.3244971,-0.50831336,-1.6148454,-1.0701957,-1.329258,-0.28237352,-4.757908
0.32715744,0.13691851,0.27568734,-0.04906639,-1.1497855,0.40349224,-4.042488,-3.9658864,-3.1327102,0.65429664,0.6690185,-2.5742435,-8.023711,-13.593375,-4.4139733,-6.4113975,0.30892992,-0.85057646,-0.7273435,0.02361793,0.079106,-1.2911694,-0.40840265,-6.397793,1.3990198,-0.09362548,1.0451201,0.7020222,0.22236305,-0.20294802,-0.08838872,-1.3477285,-1.4701842,-1.2496173,-0.659972,0.5689264,-0.21797444,-0.2709479,-1.0396415,-0.5298,0.60920995,0.67258036,-1.8119781,-0.8996134,-1.4509399,-0.21927421,-5.10649
0.6013806,0.08775019,-0.15411279,0.04482725,-1.1974258,-3.297392,-5.927941,-3.4462812,-2.0207362,0.9739515,0.55002165,-2.6768417,-7.33004,-10.288651,-4.1332426,-2.3153937,-0.23439163,-0.78976387,-0.78554606,0.06512513,0.042659845,-1.0055466,-0.0011554249,-6.7430916,0.23027407,-0.0800583,0.21718869,-0.15701534,-0.14769542,-0.23770717,-0.024530672,-1.8410331,-2.961294,-1.7956563,-3.8898103,0.40983856,0.422012,-0.3949375,-0.9009322,-0.6105162,0.15026152,0.008727967,-0.932599,-0.5523483,0.6069584,-0.2563319,-5.273143
0.43876982,-0.021639757,0.28881916,0.11476783,-1.0472219,-3.8324444,-5.0755215,-3.8535895,-1.5721543,-0.09919825,0.63344514,-2.5943696,-7.0190344,-9.449493,-4.205014,-6.4764395,0.65777045,-0.6471346,-0.9413484,0.08278995,0.044694096,-0.32876688,-0.38933644,-5.7259264,1.0975852,-0.11266481,1.1180166,0.098315045,-0.15214981,-0.1806922,0.06534221,-2.2738638,-3.4362907,-2.4901636,0.32836992,0.35265222,0.14593859,-0.23079906,-0.8500049,-0.49197888,0.5089619,0.43071485,-1.1821187,-0.9586241,-1.2608559,-0.35399577,-4.8735833
0.52848905,-0.058916382,0.29576105,-0.025989264,-1.340717,-3.5372705,-4.9190874,-3.3108113,-1.760978,0.590979,0.6420407,-2.564092,-6.7099395,-9.53034,-4.2070875,-5.5153875,0.47206753,-0.67597604,-1.0546287,0.0064479047,0.12121641,-0.68982977,-0.09513642,-6.645739,1.1176956,-0.119279176,1.0446565,0.14302394,-0.15556183,-0.18536866,0.032146685,-1.9785073,-2.913207,-2.6877687,-1.5257486,1.0884109,0.066861875,-0.33373484,-0.89247763,-0.82534057,0.46404925,0.35896304,-1.0104274,-0.8939696,-1.3141214,-0.27899343,-4.7835093
0.41013655,-0.064453,-0.14654644,-0.60876995,-0.8174016,-4.1643343,-5.644801,-1.3125134,-1.3083459,0.0689628,0.55585897,-2.5751922,-6.3460345,-8.913213,-4.0853333,-4.152791,0.25627473,-0.6944013,-0.8226187,-0.03683283,-0.24916744,-0.3342466,-0.17282008,-5.6502233,0.9066868,-0.116467565,1.4881685,-0.15824766,-0.1431821,-0.23896119,0.0029507275,-2.201838,-1.8577805,-2.8426216,-4.4194794,0.07765391,0.16867822,-0.19104332,-0.8169403,-0.55217755,0.25284034,-0.396666,-1.3468763,-0.8032762,-0.38965353,-0.37628514,-5.557266
0.10871991,-0.15204063,0.164793,-0.4590767,-1.0548229,-7.7817426,-6.9029946,-1.1385285,-1.9115757,0.076508984,0.26122278,-2.1834116,-6.9542284,-9.996408,-4.0885067,-5.9355407,0.5206058,-0.6101636,-2.0643754,-0.4989087,-0.41778207,-3.4880605,-0.34451473,-5.127768,0.95812076,-0.31565428,0.51957965,-0.34560296,0.10197968,-0.23604825,-0.85147053,0.9346143,4.1306796,-0.54671586,1.1806839,0.91649234,0.17239036,-0.39263138,-1.6797389,-0.5725901,0.30934253,-0.5124668,-2.281208,-0.77362305,-1.1365339,-0.18700862,-4.065425
0.40805233,-0.3030153,-0.18455587,-0.3757923,-1.1376483,-4.417251,-5.2347784,-0.751183,-1.3450902,0.027323395,0.34295136,-2.1640332,-7.4137697,-9.132068,-3.8333645,-5.422699,0.3285953,-0.76079285,-1.8277756,0.10015639,-0.8564089,-1.2859586,-0.49524638,-5.6061277,1.1136038,-0.10866191,1.3272792,0.12740092,-0.13170029,0.18192121,-0.100860804,-2.1065147,-1.9058948,-2.3491197,0.5830827,1.0329275,0.26707214,-0.09295029,-1.3359338,-0.9247898,0.3598814,-0.6114347,-0.89745355,-0.91623616,-1.064399,-0.18422125,-5.885746
0.3119932,0.0020604248,-0.0917213,-0.21340758,-1.1428573,-4.250489,-4.9073577,-1.2857912,-2.3125894,0.0153751755,0.43463108,-1.488207,-7.693347,-10.136043,-4.232301,-5.6087565,0.35789794,-0.75267273,-1.4981174,0.048440754,-0.8529647,-1.7618986,-0.30458948,-5.2704844,1.092903,-0.14782988,1.3164042,-0.11901445,0.07215974,-0.1224345,-0.21343115,-1.6197689,-1.5196275,-2.10815,0.8165995,1.0028957,0.21062273,-0.18177556,-1.2007605,-0.7459302,0.48085645,-0.524389,-0.1212621,-0.8853982,-1.2272413,-0.2314743,-5.067081
-0.077788725,-0.31119552,-0.42592028,-1.0660993,-1.162619,-5.20475,-3.7816105,-0.6406103,-0.9722464,-0.24056123,0.07241083,-2.163853,-6.5425625,-8.694828,-4.6286297,-2.5351741,-0.08251284,-0.5165233,-0.6605461,0.7247426,-1.3846753,0.7603458,-0.3629197,-5.3504105,0.14419746,-0.10741392,1.2158988,-0.1806062,0.08456559,-0.15174523,0.111887656,-2.5848355,-2.6280727,-2.912554,-3.7633505,0.7733031,0.42184368,-0.35271078,-0.7649283,-0.7284956,-0.02885644,-0.5359342,-1.990058,-0.8017643,0.55842644,-0.2402321,-5.081639
