"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
5.770883,2.2607064,-0.96929187,-5.1857185,-5.2871227,2.8623781,-3.3279622,0.3050624,0.8817991,0.5543211,4.0559983,0.6109798,-30.176985,-45.365227,-48.803135,-23.821375,-16.761097,-1.277918,1.0878197,5.5765867,5.8812594,-14.384825,-0.71992666,-15.536576,0.33353683,-2.4691377,1.0558724,1.0781524,22.279978,1.2723821,0.8763699,-1.8162693,-0.051052976,-1.9504644,-19.603441,1.4324331,-6.079447,-1.2695235,-0.48707065,2.4162483,1.4630088,1.5696609,0.38914058,-5.0232987,0.6357755,0.3524756,-16.048666
6.9713573,2.2371318,-2.0778527,-4.688532,-7.10697,2.9917767,4.8610134,0.3111987,-0.122485735,0.4918542,3.6018245,0.6338766,-31.794811,-49.744263,-58.502705,-24.330837,-16.483742,-1.2960198,0.9742885,11.206601,5.6749454,-18.220041,-0.8022019,-16.05098,8.059939,-2.6933854,1.2250658,0.906313,24.350304,1.3125021,1.4521232,-1.756146,0.16593076,0.26530248,-23.393991,8.056498,-6.840382,-1.2797238,-0.7412084,1.287974,1.636918,1.7302215,0.4098212,-6.3930025,0.66597253,0.3191045,-18.474072
5.7565866,1.9861629,-0.16018726,-5.988378,-6.0194774,2.738625,-10.63969,0.22600415,-0.09401792,0.7709973,4.0838704,0.59560245,-22.866455,-39.544476,-49.01865,-13.74448,-16.836277,-1.2623371,1.121552,-1.1969957,5.63423,-14.166968,-1.0131364,-15.409339,0.22732961,-1.8661792,1.0423218,0.8901323,0.8554907,1.2157407,0.63733965,-1.2663525,-0.01946456,-1.9396585,-11.219849,4.096485,-4.3862467,-1.2657957,-0.50460094,2.7771094,2.5431817,1.3273636,1.2393612,-5.0082808,0.66216385,0.31914997,-16.322472
6.1092186,2.3218937,-2.5799778,-4.2975445,-6.3749347,2.3481607,4.764101,0.2171503,-0.39163226,0.20386304,3.610509,0.6393095,-29.130861,-39.734398,-47.217495,-24.283293,-16.589664,-1.2845855,1.1408916,5.538437,5.53642,-18.083447,-0.7078663,-15.379016,2.759283,-2.372536,1.038078,1.0870537,15.0598135,1.39679,0.878788,-1.8448957,0.011980691,-1.7959458,-22.486141,4.1646376,-6.290005,-1.3112525,-0.47066078,1.7941365,1.372973,1.4708508,0.6010705,-5.198388,0.6648492,0.3310287,-18.202501
7.0605044,1.721706,-1.464909,-6.4805093,-6.022673,2.4747531,0.44811437,0.20479414,-0.21838753,0.21629256,4.120632,0.6405601,-27.943556,-45.412956,-56.161434,-23.386307,-16.677282,-1.2437512,1.0741258,5.0885935,5.7043056,-14.113339,-0.745756,-15.3123045,6.843006,-2.3677611,1.2585844,0.94541305,20.5223,1.3711423,0.8473571,-1.7824473,0.1459083,-1.7817552,-22.975964,9.319481,-7.1077976,-1.2218605,-0.45637354,1.7841079,1.2668672,1.5988996,0.6004902,-6.499649,0.73735845,0.27934176,-17.863165
5.342992,2.1081066,-0.33351415,-5.403443,-5.533327,2.6021538,-9.4292965,0.06343061,0.10432823,0.588842,4.0691047,0.63214904,-25.852673,-40.83242,-49.375824,-15.145142,-16.888586,-1.2508259,1.2177545,-2.0507915,5.659961,-14.078537,-0.99439037,-15.0774765,2.5920887,-2.2832525,0.9749541,1.1751568,8.267353,1.3153706,0.622297,-1.3267578,-0.07006476,-2.0547144,-10.869835,0.5807153,-6.4592814,-1.243417,-0.4753437,2.0946116,2.8863554,1.3689219,0.8783385,-4.9965386,0.71888316,0.3286834,-15.124283
4.512641,1.7469693,-2.1302557,-4.832459,-7.8420234,2.3743145,-1.3650315,0.6868561,-0.0076494054,0.72597545,4.0581775,0.63873416,-33.585804,-50.403656,-55.28997,-25.621553,-16.752638,-1.6951085,1.1957828,8.841237,5.8933163,-13.643725,-2.183204,-15.583933,5.3888016,-2.5814629,1.1586431,1.0617621,32.53941,0.69044846,1.5657372,-2.0074902,0.5969007,0.5141759,-23.86153,16.98282,-9.9315405,-1.2016196,-0.6955132,1.2664961,1.9380251,1.8138639,0.5063479,-6.6952195,0.7309447,0.24228314,-20.672064
3.8700397,1.8265555,-1.599816,-4.9013934,-5.905203,2.433381,-0.26276287,0.7604898,-0.32827905,0.6600924,4.0812016,0.64162594,-26.814518,-47.552887,-50.426147,-22.07449,-16.939884,-1.6878953,1.1197894,1.6860074,5.7717867,-13.713119,-2.3202388,-15.45301,5.1196,-2.3279984,1.0635124,0.99776816,24.64358,1.2298694,1.2162738,-1.8544888,0.15062694,-1.8873078,-21.069798,11.924533,-13.425754,-1.2828242,-0.7862725,1.2728689,1.9536822,1.6814004,0.49666044,-6.401649,0.73818547,0.31253016,-17.667295
4.4188337,1.571513,-1.7904274,-4.8811684,-5.9342885,2.4029171,3.7315454,0.10698289,-0.23480836,0.44632977,4.115863,0.6414435,-26.291107,-47.78036,-50.816906,-22.067522,-16.956772,-1.7048963,0.9713262,1.6562111,5.607821,-17.658632,-2.0780914,-15.43402,5.057627,-2.2557635,1.0477216,0.96372575,25.326925,0.76639485,1.206099,-1.7685682,0.14373794,-1.751445,-20.557394,11.944736,-12.756399,-1.278972,-0.78053415,1.2712407,1.5982988,1.6545775,0.49233127,-6.3966737,0.6861962,0.31481162,-17.95463
2.1603248,-0.37008202,3.5321698,-4.7739916,-6.43337,-2.2056255,-11.587109,0.8000799,0.0660407,0.6831535,1.8646995,0.6117386,-26.002842,-39.031094,-51.55842,-18.030895,-18.212803,-1.1583682,1.185293,-2.7948997,2.7229388,-14.025898,-0.47624257,-15.621668,2.5384345,-1.2231532,1.0597392,1.1753215,26.32787,0.34825042,0.77252537,-1.4125292,-0.14259759,-2.1727512,-17.286068,7.7033553,-7.391015,-1.2999498,-0.44754174,2.0849364,2.6557658,1.2887372,0.930359,-5.9630637,0.2067579,0.3080473,-12.334154
