"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.7913785,0.41393554,-0.98279864,-1.5570605,-7.37059,2.7443624,-0.46472365,-0.19008662,-0.36196232,-0.18503213,2.848679,-0.7958114,-18.025185,-22.150864,-19.591228,-3.399375,4.429523,-0.40734103,-0.1547765,4.931636,3.3414128,2.262543,0.12077578,-7.2479568,0.34108832,-0.19450714,1.1210454,1.0625888,7.9971247,-0.065181196,-0.12510324,-0.013408839,-0.14032522,-1.609712,-8.58645,-1.5770421,-3.2129853,-0.13827726,-0.6660631,0.38885772,-0.13535367,-0.087395325,-0.13701613,-3.9559991,-0.28455326,0.17196114,-10.355543
0.8441485,0.40438595,-4.053932,-1.3459449,-10.90837,2.6701128,-0.07856757,-0.09737025,-0.38371414,-0.1107071,2.1990874,-0.90317273,-15.955351,-20.712412,-18.58325,-4.0697727,4.8087473,-0.4413689,-0.19889693,4.318095,2.8506548,2.2484229,-0.03379116,-7.126876,0.6672875,-0.19651575,1.2162018,1.004445,8.405032,-0.04009789,-0.11082754,-0.015594291,-0.08511415,-0.33163968,-11.111744,2.701583,-3.0674443,-0.460146,-0.65745074,0.40778315,0.08558369,0.037564375,-0.11144313,-3.9301016,-0.28861034,0.15249251,-10.564673
0.9526788,0.4000168,-2.4656417,-1.773732,-5.685002,2.675752,-3.0019093,-1.0308815,-0.5006302,0.4129892,2.470316,-0.7631586,-15.437493,-19.650517,-20.23284,-1.2053403,1.8841928,-0.37365896,-0.14451668,-0.5571336,3.5039954,4.354189,0.22249407,-6.5483017,0.31293297,0.04789161,1.2696307,1.3194256,4.5022635,-0.05970069,0.035343908,-0.04497126,-0.12296315,-1.631635,-7.7284565,-0.7441469,-2.678395,-0.23180567,-0.4032345,0.3816488,0.005103209,-0.09954186,0.04490903,-3.5932178,-0.190269,0.20607923,-9.064649
0.795266,0.5616269,-4.3590684,-1.6104057,-7.541625,2.5921586,1.0550182,-0.2951537,-0.49474287,0.101411,2.3115833,-0.8000859,-15.423266,-21.267553,-19.039562,-3.5366325,4.4248457,-0.41483036,-0.11938804,4.2292576,3.251792,2.4247234,0.10711352,-6.6890087,0.72983015,-0.072852716,1.2054491,1.2441376,6.0447,0.064225666,0.029537631,-0.07148108,-0.0936505,-1.8998977,-8.7053385,-1.4990816,-3.2192836,-0.30193937,-0.71888745,0.33489624,0.07124811,-0.05087122,-0.049044628,-3.795921,-0.25484666,0.085315,-10.281694
0.83480966,0.4022853,-3.5639596,-1.4079077,-10.691958,2.7781997,-0.3028432,-0.23319966,-0.49365747,0.22605231,2.2202246,-0.7814632,-15.586936,-20.075502,-18.860909,-4.1024203,4.470103,-0.44022375,-0.18064009,4.2457075,2.8061862,2.416718,0.1399722,-6.8679576,0.7267623,-0.070808865,1.1996154,1.2275776,6.7587056,0.06745224,0.0067402255,-0.12878992,-0.035760943,-1.8733578,-10.223595,2.7110999,-3.1724308,-0.28827345,-0.70565546,0.38946065,0.07320477,-0.016180525,-0.049548734,-3.8783634,-0.25131977,0.114440955,-10.474178
0.6546679,0.44465217,-2.5351124,-0.72503376,-6.613814,2.5032964,-2.9492385,-0.99075085,-0.5550066,-0.34869254,2.407802,-1.2196596,-14.9130335,-20.391481,-17.698368,-2.927409,4.2820926,-0.39230698,-0.15528707,-0.6667229,3.4674897,2.2760415,0.24943776,-6.510505,0.428763,0.06751882,1.1546742,1.2624147,6.7913914,0.052913677,0.12176977,-0.02083519,-0.12992859,-1.436702,-7.7289743,-1.3108232,-3.3409166,-0.22796783,-0.82229805,0.37979713,0.1073748,-0.073837966,-0.070743114,-3.5440567,-0.6547944,0.17285623,-8.877798
0.8745895,0.19533625,-3.8878415,-0.7784253,-11.009769,2.382741,-0.30687064,-0.05447881,-1.236749,-0.1294053,2.370042,-0.21552847,-16.501265,-22.24839,-20.570248,-3.9154494,4.396898,-0.38097522,-0.20023614,4.343074,2.7186797,4.1113415,0.011361362,-7.972037,0.9387137,-0.09198498,1.3040988,1.1205939,9.841162,-0.008818347,-0.18560752,-0.10143182,-0.1334838,-0.04350832,-11.2180805,4.743401,-4.8519273,0.6403182,-0.6282594,0.3968245,0.023791173,-0.097234495,-0.06294573,-3.8151329,-0.14173497,0.12564053,-10.688334
0.6627468,0.17040676,-1.315814,-0.39466986,-10.723116,2.447927,-0.3259294,-0.38803726,-1.0816271,-0.22658266,2.917956,-0.21551299,-15.297932,-19.31849,-21.713451,-3.7986453,2.6449218,-0.39238605,-0.19871011,0.658823,3.1016853,4.1235023,0.23143783,-6.9005117,0.7942804,-0.05986407,1.2648457,1.1934737,9.787512,-0.046463203,-0.38315907,-0.020865545,0.012449708,-1.969756,-10.297866,3.838674,-4.599909,-0.25318962,-0.6620127,0.41808283,0.09421486,-0.11739358,0.043391455,-3.58299,-0.68511426,0.10638662,-10.521501
0.89714915,0.18882984,-2.652132,-0.77081025,-10.9347725,2.5122514,-0.16108459,-0.43522558,-1.1071912,0.03167714,2.4064598,-0.14138688,-14.794009,-19.845587,-20.528214,-3.8776128,2.6583464,-0.3920864,-0.2059971,0.88588387,3.1203997,4.121266,0.13463807,-6.981228,0.9783981,-0.017808525,1.2713041,1.1611048,9.547334,-0.052640673,-0.39369926,-0.01592321,0.013236122,-1.921794,-10.276685,3.7910233,-4.6610646,-0.21495955,-0.6487311,0.4132663,0.0902962,-0.08019802,-0.02310921,-3.6688135,-0.14635225,0.11196404,-10.306037
0.7943982,-0.14052695,-0.40272462,-0.101778366,-9.351712,-2.2646697,-4.2937064,4.3075547,-0.3688999,-0.06350937,0.5811818,-0.24348925,-15.33854,-17.29346,-18.800121,-0.40688485,1.8288237,-0.36838824,-0.23246391,-0.83879864,3.218307,3.2990212,0.32278273,-7.6063943,0.5218115,0.12484459,1.3001436,1.3856434,12.982296,0.08191068,0.6520582,-0.06012153,-0.09029755,-1.6914937,-8.1564045,1.7523226,-4.264536,-0.41882402,-0.40512595,0.39804283,-0.15838468,-0.09731453,0.05940931,-2.868971,-0.4906444,0.17455512,-7.188554
