"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.45011598,-2.1540835,-4.031213,-3.2883947,0.1623539,0.10948014,6.817432,3.4058278,4.416498,-0.6628461,-0.24744879,-4.911287,-1.6026869,4.325787,0.23893389,2.5291657,-0.7547493,-0.6984013,-1.7487116,-0.08397745,4.3432155,4.3924017,6.88182,8.559584,-5.1113772,-0.12981544,-1.1060535,-0.12330692,-1.4387978,0.19835553,0.0543834,-0.72718865,-1.685373,5.9919734,0.50228465,1.2841567,-0.17186704,-1.6785436,0.9781738,8.359265,-2.171178,0.4376098,1.0030947,4.0501666,12.4834385,1.5591186,23.128683
-0.41994867,-1.440883,2.3763492,-2.6548011,-0.08693444,-0.19203283,3.6228225,4.367716,7.3645897,-0.9123959,-1.2148734,-1.1757666,-6.943043,-1.3965325,0.4215116,2.9280026,-2.3924725,-2.400451,-1.8327643,-0.5358505,2.326256,4.9977674,1.8757493,8.398488,-8.622731,-0.6811993,-0.9983752,-0.12499965,-0.09350167,0.025241967,0.052012507,-0.21415922,0.7202611,-0.44789565,-0.6760101,-0.38660333,-1.2162783,-0.29161578,0.1430913,7.7428503,-2.1564987,-2.559514,0.42561567,4.6448636,12.284018,-0.298442,29.436419
-0.16115889,-3.1159782,-1.6358974,-2.9654202,0.062274493,0.22398157,7.437005,3.5759223,6.792555,3.3803856,-0.6053707,-5.4942117,-2.1120489,4.9727025,0.2719178,-1.2910287,0.5481195,-0.8412244,-1.2468315,-0.030202929,1.986235,-1.845339,0.3514421,7.7139525,-4.7263513,0.07605047,-1.0443523,-0.096996225,-1.3663133,0.11155995,0.107985884,-0.39626577,-1.5357322,3.7642858,1.6556342,0.8193708,0.89924824,-1.5695161,1.0649397,8.085569,-1.6440959,0.47733837,-0.9535357,2.1080625,10.18641,1.5920687,13.369633
0.22601788,-2.6477392,-0.23563628,-2.738186,0.31147987,1.2890133,3.119639,5.2657876,5.824294,-1.3929807,-0.009279418,-3.0484316,-2.1784701,3.9618158,0.30828837,0.26592916,-0.5606395,-1.8628742,-0.04565382,-0.29631257,3.8255816,6.580126,3.203222,8.998083,-6.713447,-0.726612,-1.6446629,-0.1715031,-0.4770248,-0.008839682,-0.089708686,0.7325037,-2.4404016,3.359569,2.1207383,0.34232652,-2.7511256,-1.0581998,0.48453844,6.186635,-2.3190374,-0.5641331,-0.34322953,0.2589503,8.965093,-0.10196926,20.8617
0.26586664,-1.6674724,-0.2572592,-3.001138,0.11193683,1.458523,5.102119,4.092264,5.888876,-1.1430118,-1.0854162,-1.2692695,-3.1432383,3.9775093,0.2685749,0.097110145,-0.67651445,-0.5604038,0.25581604,-0.3788255,1.9557031,5.957178,3.3804977,8.905724,-7.8075233,-0.660569,-1.1125578,-0.03420103,-0.5329881,0.039677884,0.09413967,-0.64778924,-2.1741288,0.89556813,2.6585264,-1.0062671,-0.8749012,-0.7712844,0.6061635,5.737211,-2.149551,-0.8551814,-0.41124183,1.3909158,9.67343,-0.30380106,21.447924
-0.5141269,-3.2549665,-0.32876042,1.7396817,0.21591683,-0.43267512,12.14764,1.12942,5.4635186,-0.67973095,-0.6947232,-6.81426,-2.197708,4.9323053,0.6005689,0.53685427,-0.047967166,-0.98617345,-1.2385867,0.08039297,2.077559,2.8526776,2.11531,8.302371,-5.731338,-0.031823494,-1.0403278,-0.22228941,-1.2458497,0.036605816,0.014244802,-0.08373605,-0.8102908,2.1793165,2.0232558,1.4522808,0.013699316,-1.4948086,0.17678718,6.335206,-1.5173239,0.29059952,0.2400361,2.1306996,9.738489,0.39164928,23.082317
0.8335364,-1.262926,-0.054898106,-1.1133876,0.23778516,-4.5119133,7.144585,1.1779886,6.469559,-1.2967814,-0.9865356,0.424243,-0.06114466,4.061325,1.1662958,6.8704295,-0.9178284,-0.88099027,3.7206042,-0.33639267,4.5041413,5.6134744,5.263446,10.124265,-10.655782,0.3018461,-0.7607941,-0.13173445,0.3151266,-0.19429575,0.15135585,0.15255,2.686956,-1.2556303,1.677703,-1.6978598,-0.27650034,-0.037888393,0.72437286,9.658483,-1.9225891,1.6788965,1.1307333,1.4947565,11.911264,-0.57339656,31.716177
-0.1720107,2.9626389,-3.608891,1.4116677,-0.17237379,2.8567789,11.609375,-0.21803944,6.1497083,-0.11815579,1.7645732,0.9560299,0.5521435,5.393513,0.51402056,1.9534347,0.5650026,0.7948194,5.310961,0.09527281,5.1518235,8.058454,4.5266485,10.814776,-5.1651726,-0.41124642,-0.21631983,-0.14343481,-0.119150095,-0.4659702,0.06619724,2.464602,2.2704575,5.8034844,2.4407074,-1.9640459,-1.7494526,-0.21498716,0.23389302,11.068644,-1.4881418,3.1964781,0.19614066,3.8371415,10.625446,0.362132,32.838104
0.9059092,-0.28285277,-1.6023577,1.3825988,0.2667229,4.3716216,10.977416,-0.45016694,6.997142,-0.6986274,2.581439,0.66619515,0.5699028,3.3330584,0.7887444,2.039397,0.62026095,0.85405093,5.496472,-0.032120254,4.753065,9.220723,2.5034025,11.460141,-6.0646334,0.21140307,0.5791183,-0.074819356,0.94230515,-0.23923688,0.19524962,2.4044144,2.4952831,0.2829405,1.2234422,-1.845562,-0.2402784,0.06587269,0.43567348,11.450716,-1.0427777,3.2857018,1.1938127,4.145307,11.253805,0.69488287,32.40457
0.24893852,5.3193526,-2.3327997,3.9922435,0.67845285,0.97036093,11.7384405,1.2799344,5.833933,-0.2909843,-0.37147003,1.2047023,2.7484386,8.090977,1.8295412,-0.54304636,0.9357185,0.95873684,0.37629417,0.20905676,-1.9948204,6.067519,-2.8757482,8.521376,-2.3979707,0.77704585,2.570396,-0.07430814,-0.14202811,1.0712078,0.06959535,0.9734051,0.93804526,10.032657,5.608321,-1.4880717,4.122891,-0.21020079,0.7644714,9.72683,1.8807148,0.75748205,0.46950346,5.24519,10.2393675,3.8457131,23.170235
