"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.27253976,-0.099009775,-1.4093437,-0.2734433,-1.4597253,1.3281312,-4.973065,-2.5217617,-0.10189994,1.0958298,0.35869762,-3.5470295,-3.7094254,-3.1594424,-0.1760488,-1.1362393,-0.58897185,-0.14137891,-0.348562,-0.18072255,0.18779992,-0.20732658,0.37192225,-2.9498873,-1.8861995,0.042244136,0.41249254,-0.00044707116,-0.24421485,-0.33114272,-0.014448587,-1.4748238,-2.8868387,-1.1455572,-1.3797765,0.021274587,-1.1538924,0.17397414,-0.052006304,0.09120055,-1.0468516,-0.32674128,-0.5513538,-0.79434884,-0.52333057,-0.04958714,-3.3997688
-0.14706352,0.12760165,0.4355544,0.32224083,-0.94206697,-0.07592954,-3.7897491,-2.8102705,0.62113947,0.93873554,0.13112977,-3.0757546,-5.1232834,-5.43752,-0.04333684,-1.1551877,-1.5736353,-0.075872965,-0.3191742,-0.429687,-0.34762233,-0.100247815,-1.0363979,-0.3721095,-1.2600135,-0.061876044,1.2148952,-0.033322193,-0.072946124,0.3262081,0.015508758,-3.0053315,-2.374652,0.19966534,-3.5415177,0.42976627,-3.4803982,0.041820556,-0.15954441,0.16261742,0.19117896,-0.09320464,-0.33527476,-0.7830824,-0.16026,-0.15297264,-3.913483
-0.0077117877,0.12356432,-0.45929003,0.054525286,-1.330208,-3.0710282,-5.0257363,-2.565555,-0.7969842,2.0215561,0.55851114,-3.1250062,-3.9007955,-3.25552,0.002201763,-0.81268173,-0.009365624,-0.3257221,-0.26727194,-0.4031724,-0.045577474,-1.4608448,-0.58309484,-1.0769728,-2.8368437,-0.20808505,0.47168484,-0.023555601,-0.2293851,-0.13768688,-0.0661769,-2.1868749,-3.7201514,-0.85401684,-0.59785354,0.5600258,-0.34276724,0.38361007,0.011317121,-0.026093347,-0.89407814,0.046351254,-1.4205606,-0.06911492,0.53894913,-0.13873267,-3.6223342
-0.024246478,0.058737658,0.058375932,0.29618835,-0.6292484,-3.0620399,-4.3536854,-2.9224257,0.3302693,1.2278849,0.38833332,-2.7039664,-3.5363035,-3.041063,-0.035723545,-1.6444606,-0.77705425,-0.32002386,-0.19203441,-0.26468337,-0.0012452796,-0.6176081,-0.693523,-0.8559594,-1.5241724,0.040885728,0.53800106,-0.06867577,-0.17192917,-4.7993803e-05,0.00664592,-3.3739364,-2.5833445,-1.0070311,-3.1825392,0.49331996,-2.831527,0.5245777,0.026318392,0.13988508,-0.6290035,0.059782103,-0.89422435,-0.5484385,1.0749171,-0.113331005,-3.8513618
-0.0023337707,0.09808426,0.074427,0.07039737,-1.5248722,-2.4099267,-7.7039323,-2.6498125,0.5700182,1.2001371,0.3937769,-1.942225,-3.907446,-3.1122916,-0.17005947,-1.6773183,-0.11729004,-0.21379155,0.09858345,-0.2556851,0.13015637,-0.44982377,-0.14542994,-0.7678772,-1.5023577,0.007862034,0.5011486,-0.07359115,-0.30407757,0.0026706182,-0.0072503765,-2.5807772,-2.039115,-0.41937494,-3.147623,0.43567383,-2.9232032,0.3758321,-0.033817507,0.124135174,-0.545259,0.11690092,-0.9285339,-0.549951,1.0653155,0.11005772,-4.2928915
-0.05788746,0.10102145,0.111909926,-0.83349615,-0.4965104,-3.0807211,-5.690026,-2.5021036,0.16265798,-0.51314783,0.4328706,-2.3615317,-3.5616312,-3.1740434,-0.035114583,-1.0656664,-0.30850333,-0.32005975,-0.39826515,-0.47038358,-0.07727989,-0.41240457,-0.3997332,-1.057467,-1.5934627,-3.9841092e-05,0.555775,-0.03418915,-0.24213792,0.091241665,-0.014870242,-1.96245,-2.4882948,-1.0942482,-1.958507,0.5904777,-2.449252,0.24235371,0.13233437,0.05289128,-0.7333912,-0.07305997,-1.3103138,-0.22155155,1.0209756,0.23988642,-3.8194876
-0.26908994,-0.09869075,0.08305433,-0.6093787,-1.0867372,-5.976361,-5.5716505,-4.2226543,-0.80781275,0.15795147,-0.025618799,-0.46387905,-3.6829321,-2.400072,-0.25644332,-1.2609942,-0.61983985,-0.3002085,-0.6338821,-0.77357864,0.4354682,-6.018221,0.24721566,0.012128522,-2.0144763,0.01465107,0.7879777,-0.08142528,-1.2191974,-0.6402747,0.02808884,-2.6657019,0.4142399,-0.4488093,-7.7002206,-0.7900614,-2.6445217,-0.30117646,-0.32940438,-0.17024827,-0.6491696,0.13189681,-0.75353724,-0.47254348,-0.19808716,-0.39380807,-3.448782
-0.021824438,-0.22572318,-1.2805288,-0.9713514,-0.8446254,-4.4378724,-6.1147475,-3.7284641,-1.0520276,-0.1675504,0.44890904,-1.1544636,-3.8861818,-3.267505,-0.3801978,-1.0732076,-0.6951336,-0.32572228,-0.37258416,-0.5175069,-0.39864203,-1.3818605,-0.49744478,-0.30585107,-2.2040584,-0.1119062,0.23731504,-0.009368069,-0.27601328,-0.5414147,0.22357935,-1.8795899,-2.1272514,-1.0831873,-3.3180625,-2.008773,-3.3492014,-0.32940033,-0.43246672,-0.10779786,-0.93845534,0.09367424,-2.2232823,-0.46041468,-0.09541794,0.124772035,-4.3276315
0.021186747,-0.08097299,-1.0331514,-0.8701612,-1.1667383,-3.8892822,-6.9003,-2.7101836,-0.25311542,0.8271546,0.7411483,-0.60824263,-3.8925118,-3.1477516,-0.22819898,-0.9901644,-0.19441171,-0.32961494,-0.45670497,-0.6392286,-0.1488446,-1.9764132,-0.72072923,-0.5145003,-2.1678393,-0.10291065,1.7103577,-0.011612542,-0.27960038,-0.7703391,0.12668847,-2.2227705,-1.595143,-0.34358934,-3.77106,-0.54412615,-3.182541,-0.1593876,-0.3802417,-0.13293935,-0.8976629,0.030482093,-0.34997484,-0.7521859,1.0715636,-0.37537944,-4.366164
-0.07757412,-0.8247983,-2.3259752,-0.8057715,-0.6653691,-5.096726,-5.002754,-3.6272373,-1.1190487,-0.63990754,-0.309976,-1.455794,-3.7485638,-2.8733327,-0.27053374,-0.94332117,0.18522464,-0.56302184,-0.5880698,-0.09362313,-1.1616561,-0.4382402,-0.4285443,-0.48895583,-2.89105,0.07401285,0.39559627,-0.24757516,-0.42110044,-0.18468678,-0.39629817,-1.9896035,-2.5771224,-1.1070373,-2.544256,-1.2040926,-1.4389595,-0.12324711,-0.5281476,-0.013343214,-1.6430192,-0.3736005,-1.9805712,-0.8012284,0.48311433,-0.32713506,-4.394863
-0.26864406,-0.06020684,-0.04896543,-0.89818525,-0.7814057,-4.3010736,-4.2682014,-2.7049923,-0.72529674,0.7364791,0.4171521,-1.0374416,-3.5384037,-3.3578928,-0.69459957,-1.8515075,-1.612133,-0.46892977,-0.03365449,-0.61859196,-0.3311555,-3.0946915,-1.1627815,0.4943424,-1.8322115,-0.02408886,0.64467,-0.15403643,-0.43987677,-1.2155241,-0.08090358,-3.2591028,-3.1205072,-0.14338695,-4.0076833,-0.28522143,-3.8193624,-0.20889466,-0.49393663,-0.13310549,-1.0629702,-0.6186892,-2.357045,-0.83536774,0.9813761,-0.5100028,-4.373601
-0.0016725383,0.044146765,0.096947625,-1.2965349,-0.29624796,1.4258488,1.603765,-1.3593131,-2.5219016,-0.6341893,0.8005655,0.9063708,-3.046584,-1.7170963,-0.39317364,0.15851504,0.33521977,-0.24280103,-0.19874743,-0.1571788,-0.3953678,0.25970778,-0.31163895,-2.0330951,-2.0665627,-0.17682691,0.39867312,0.0122394115,-0.13820301,-0.2203623,-0.11794184,-2.8197253,-3.0318794,-0.20410097,-2.6086035,0.5312047,-1.1096125,-0.15323673,-0.5966444,0.064887874,-0.05533156,0.016345924,-0.11891421,-0.737675,-0.22582863,0.00047198046,-3.444636
0.03415675,0.50629735,-0.67947847,-1.2005588,-0.70147884,2.1627567,-0.9505519,-2.8511295,-2.4106042,-0.79787767,1.003158,1.2316321,-2.8939197,-1.2846926,0.37123606,0.9551227,0.6478078,-0.29849857,-0.5771733,-0.41898602,-0.0028155646,1.0392704,-0.37439138,-1.6791663,-3.1453578,-0.7729306,0.47216433,-0.029087389,-0.026920056,0.083762065,0.014062899,-1.9890958,-3.2701302,-0.57934463,-2.6476457,0.09690722,-0.6776003,-0.20244178,-0.35306248,0.18139288,-0.90279734,0.08822687,0.040023822,-0.702975,0.25932544,-0.16021144,-2.4964597
-0.0028362148,0.034287155,0.11539043,-1.0918932,-0.26738453,1.4519534,1.5537567,-1.3593842,-2.5746746,-0.6879524,0.79976034,0.8870917,-3.0274286,-1.7091004,-0.3744701,0.15251738,0.33455646,-0.24512006,-0.19762577,-0.18478245,-0.39629275,0.1335415,-0.3134273,-1.9923786,-2.1473496,-0.18035074,0.38852862,0.014838702,-0.13559178,-0.22337657,-0.117091596,-2.2825413,-2.8067462,-0.20272715,-2.0875382,0.53020513,-2.4490917,-0.1420457,-0.5981935,0.07389978,-0.054677837,0.017918453,-0.1303313,-0.7348882,-0.2312517,0.002830185,-3.4489202
