"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.11002327,0.036000155,-0.028660547,-0.04287595,-0.24427553,0.104437925,-0.19579104,-0.010263634,-0.0252997,0.04355536,0.08348092,-0.02834939,-0.78366876,-0.8700624,-0.6410484,-0.1989747,0.039857518,-0.0030655456,-0.010456727,0.103378445,0.07183524,0.05334967,0.0071869437,-0.1914033,-0.009311932,-0.048062578,-0.0019716027,0.17687188,0.6770969,0.009690053,0.005032286,-0.011304957,-0.00037820407,-0.033226725,-0.42311996,-0.24783972,-0.18104187,0.004920117,-0.01588882,0.008090184,0.020012274,0.01630803,0.007955041,-0.21526352,-0.019518409,0.007100711,-0.3401132
0.06666827,0.04351201,-0.097862855,-0.035264373,-0.6481067,0.064492434,-0.05741192,-0.004203821,-0.07660833,0.10807259,0.12225672,-0.02991806,-0.776551,-0.8751848,-0.65318805,-0.16475503,0.03623187,0.001787483,-0.010996662,0.21513398,0.032546204,0.047412433,0.006264034,-0.16587411,0.030216517,-0.058001935,-0.0026803354,0.14897408,0.86577666,0.0093420725,0.004464407,0.0015274795,0.040906556,-0.02281215,-0.4937345,0.15387651,-0.22831926,0.0009805723,-0.020979917,0.0047675045,0.032625854,0.007217403,0.00733672,-0.24157572,-0.050536215,0.049597576,-0.61295456
0.109933846,0.043559466,0.01988062,-0.03491018,-0.22406754,0.04757848,-0.38985538,0.0066722995,-0.03286088,0.09450413,0.09647955,-0.029106889,-0.6649274,-0.79007,-0.63811773,-0.043753028,0.012381211,-0.0008647209,-0.02313283,0.090015136,0.07274948,0.08008202,0.0083822515,-0.16982533,-0.01725544,-0.045028664,-0.0056396727,0.12066105,0.31020606,0.008284312,0.002812557,-0.0115682725,-0.0059268335,-0.040713813,-0.40743,-0.12241513,-0.12039346,0.0057642567,-0.014612987,0.005273331,0.019109128,-0.024158852,0.006072251,-0.16195202,-0.019048182,0.0073854597,-0.3611889
0.10005307,0.031257667,-0.059426222,-0.045032468,-0.2992528,0.039703034,0.040483985,-0.0027932317,-0.025348574,0.056485783,0.0990679,-0.029370412,-0.73988837,-0.834686,-0.6650443,-0.16546617,0.02009317,0.004394611,-0.00818605,0.11062698,0.07000975,0.07693271,0.008111783,-0.17284355,0.021386905,-0.050675116,-0.004330148,0.16889943,0.5544176,-0.0025349925,0.006166175,-0.009762357,0.012082238,-0.03714128,-0.4337232,-0.3032227,-0.1761516,0.00806874,-0.016037505,0.0054287603,0.020700976,0.004363078,0.015108732,-0.18222037,-0.05049231,0.045363374,-0.4306906
0.095438875,0.03249778,-0.026548808,-0.03758487,-0.5852293,0.040249057,-0.070432104,-0.005179184,-0.04939739,0.06123602,0.11013391,-0.030284353,-0.7518242,-0.9180557,-0.63294953,-0.16612865,0.020762196,0.005989468,-0.008999536,0.1131502,0.07314336,0.07827891,0.006309248,-0.17433341,0.021974735,-0.057052404,-0.0062898705,0.16648872,0.7102086,-0.0038082518,0.006049652,-0.009633527,0.0139802415,-0.04023666,-0.4754066,0.14814219,-0.18508124,0.00013423446,-0.01750949,0.0062383492,0.01861727,0.007690871,0.016888969,-0.19868672,-0.0446745,0.045255803,-0.5304979
0.043388758,0.03620693,0.012915917,0.015001233,-0.19658498,0.058351003,-0.32691014,-0.043181684,-0.015333609,-0.0072911126,0.08288022,-0.048043113,-0.6980552,-0.7973316,-0.5861921,-0.14501716,0.022081977,-0.0034524123,-0.011752531,0.06627692,0.073062435,0.08389896,0.010246779,-0.18244664,0.023316529,-0.045424387,-0.0038401252,0.11804417,0.5517092,-0.007555617,0.007846488,-0.012067326,0.0029802958,-0.04061402,-0.40135002,-0.21855412,-0.20613477,0.005270186,-0.017381845,0.004367571,0.022205105,0.017818522,0.013831359,-0.20288238,-0.03676508,0.058173962,-0.3357598
0.04534379,0.034024637,-0.054169238,-0.014615162,-0.6657449,0.077770144,-0.13246366,0.0112358,-0.0687535,0.051218502,0.110853784,-0.0061505926,-0.78111506,-0.9946716,-0.6289444,-0.16604283,0.0439981,-0.00155544,-0.011636999,0.1668406,0.06959603,0.08283806,0.006766399,-0.25622064,0.035678323,-0.07001256,0.00787943,0.14471246,0.8917584,0.0022576614,-0.004088402,0.00052342826,0.03710734,0.0023155368,-0.5035006,0.36085123,-0.34042808,0.00603494,-0.016981578,-0.0002031267,0.031241432,-0.017464455,0.0064487234,-0.22869365,-0.05934285,0.068437956,-0.52265716
0.031235555,0.013858739,0.010156923,0.014605712,-0.65206796,0.064215146,-0.12904589,-0.0026567825,-0.028486539,0.012357105,0.11538352,-0.0042867595,-0.81091034,-0.99125946,-0.6392467,-0.19350515,0.03370092,-0.0062213484,-0.009822483,0.092513755,0.07164027,0.081129186,0.006732919,-0.19991837,0.037275113,-0.057234626,-0.0050868057,0.16458672,0.8798835,0.0055955234,-0.010767093,0.0043768557,0.03922239,-0.033075493,-0.50205624,0.32498682,-0.3324122,0.012891622,-0.014427,0.0077587776,0.022340938,0.019540792,0.021649323,-0.2317214,-0.04870812,0.062226236,-0.49603128
0.05106651,0.035135917,-0.02247638,2.5574269e-05,-0.64376324,0.061078697,-0.08426257,-0.024091206,-0.04525671,0.09317137,0.13146308,-0.004542292,-0.8099933,-0.99310637,-0.6824866,-0.18566589,0.027020175,-0.006053635,-0.009600159,0.10894099,0.07312845,0.08327659,0.008269244,-0.20778783,0.036661092,-0.056625903,-0.0066351835,0.16592658,0.89422876,0.0019959174,-0.011127843,0.004249085,0.038318794,-0.033592876,-0.47719732,0.24904485,-0.3394884,0.0135359485,-0.010936773,0.004892096,0.019261431,0.024478598,0.017919645,-0.23190485,-0.047828887,0.062208105,-0.52006817
-0.012574285,0.008120135,0.027567588,0.010805068,-0.3827843,-0.098314814,-0.43871847,0.23804449,-0.02729382,0.034721814,0.124326885,-0.0016168745,-0.7129701,-0.73751813,-0.8059378,0.020446708,0.009604458,-0.0028036933,-0.017075747,0.043849535,0.04332726,0.08878507,0.0062866057,-0.17191689,0.009511171,-0.02918413,-0.0038421222,0.115471385,1.0639977,-0.008614799,0.04568523,-0.013657033,0.0022726299,-0.04406546,-0.44884622,0.15218726,-0.2974017,0.009840437,-0.010377198,0.0070832833,0.025673296,0.023505902,0.011113072,-0.16308253,-0.0026451617,0.004011004,-0.31975654
