"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.24132346,0.3499116,-0.4857436,0.017782995,-0.20510046,1.9939533,-1.165282,-1.5058213,-3.2580993,1.3619208,0.034512132,-0.6926274,-7.799141,-1.8164954,-1.7697062,-5.7605457,0.10241437,-0.4487696,-0.36603528,-0.1531236,-1.7839131,0.5456511,-0.31356204,-0.7302128,-0.63755864,-0.100052886,-0.1046481,0.34425855,2.485026,-0.091390155,0.0015023173,0.22684795,-0.013789756,-0.4357548,1.9977518,0.3922928,-0.017215367,-0.00029919893,-1.0862691,-1.2240217,0.6121853,-0.10719925,0.4053895,-0.4595441,-0.10531631,-0.40596983,-2.9091887
0.23153631,0.4703931,0.14208102,0.013351636,0.26667,0.5684968,-0.80202734,-2.0201101,-4.2354784,1.1770935,-0.09827061,-0.9589542,-6.5677686,-2.845081,-2.4749322,-5.3422017,-0.18402193,-0.7697334,-0.35766032,-0.36631083,-1.3400865,0.75613666,-0.46581438,-0.9999508,-0.58789146,-0.06707778,0.23537776,0.42735907,2.34075,0.09906782,0.05086048,0.04581025,0.10193644,-0.98572737,3.5613418,1.2123636,-0.12713283,-0.17868482,-0.55711186,-1.3108995,1.3271474,0.3501304,0.36857992,-0.9382097,-0.08269974,-0.4183898,-1.4442343
0.27567196,0.22388776,0.0019000784,0.27356544,-0.1979317,0.541159,-2.0543783,-1.2016588,-2.3408766,1.095867,0.30363914,-1.0111419,-7.3677697,-1.7049762,-1.8212261,-5.0422997,0.15745157,-0.6164011,-0.43260577,-0.04682234,-0.5550084,0.76259094,0.0834823,-1.0097874,-0.75240797,-0.07140444,-0.22957157,0.45587236,0.0508521,-0.079311214,0.09365221,0.28531933,-0.04230455,-0.53423077,2.8969874,0.43503818,0.03241326,0.09271885,-0.9044362,-1.2115078,0.7207843,0.13613077,0.9727645,-0.19378056,-0.028182488,-0.5187759,-2.702001
0.142878,0.5085255,0.015784798,0.0012220802,-0.16921711,0.5150894,-0.90567887,-1.6838621,-1.8859146,1.2389262,0.21054561,-1.1976395,-7.147016,-1.5595933,-2.169544,-5.375649,0.05120285,-0.6925666,-0.029049443,-0.27899104,-1.2157172,0.65682256,-0.39978266,-1.0575308,-0.8824974,-0.040517535,0.31362838,0.42861858,0.11890165,0.027666314,-0.05923199,0.1672691,0.02384735,-1.1734959,3.430258,0.51136905,-0.21033758,0.058757048,-0.5244159,-1.2474855,0.84131336,0.34999156,0.49672273,-0.20158412,-0.097170845,-0.36013165,-2.3256664
0.12967455,0.068602115,0.055655614,-0.13528842,-0.22405383,0.569676,-0.85362476,-0.63220453,-2.8546627,1.3047498,0.12166301,-0.8830424,-6.859717,-1.9830685,-2.550059,-5.1820107,0.26577574,-0.7936035,0.3247371,-0.059934318,-1.3429952,0.5777805,-0.39393342,-1.1094509,-0.76159835,-0.09670821,0.41171607,0.4580039,0.15535377,0.012260852,-0.08322348,0.18146038,0.07256893,-1.1594403,3.7066426,2.2410524,-0.30600142,0.027272983,-0.62773323,-1.2580278,0.7424837,0.37827462,0.5288997,0.039257403,-0.09599558,-0.41106808,-2.2036202
0.009858036,0.2705266,0.14140695,-0.33301464,-0.38058126,1.5260742,-1.4521532,1.9489967,-1.1785889,0.018796489,0.043916475,-0.85351163,-7.7148147,-1.2504915,-1.909613,-4.5253563,0.17188817,-0.74845314,-0.290179,-0.33883786,-1.2897066,0.48077476,-0.44275793,-0.9301935,-0.7961202,-0.19703509,0.030409664,0.322333,0.07622864,-0.04700173,-0.06415118,0.116594076,-0.02063022,-0.20648916,3.7810588,0.25085083,-0.1602481,0.17988108,-0.5452731,-0.9326614,0.5986472,-0.074649245,0.95480335,-0.16925415,-0.14224416,-0.4941287,-2.8517327
-0.021848494,0.30194852,0.0056021446,0.022979056,0.15978667,2.2049081,0.36460397,5.3413897,-1.0155144,1.1303377,-0.3527456,-0.22472462,-5.280344,-2.2004113,-2.6765041,-4.4921565,0.6051993,-0.26125678,1.7480099,-0.052762292,-1.1519924,2.728537,-0.06108472,-0.64251345,2.06376,0.46118343,0.5705628,0.5069837,2.530032,-0.05148478,0.18952721,-0.02558405,0.20692296,0.14276615,4.4661393,2.7276049,0.036142517,-0.10878454,-0.3752298,-0.978445,1.1503001,0.13308387,1.2371264,-0.5731145,-0.0640068,-0.48416921,-0.50825673
-0.46748006,-0.06439377,1.2218062,-0.16288671,-0.0894221,0.9633942,-0.38629255,3.0797863,0.21669517,0.9890977,2.0614228,0.13630311,-3.1592674,-2.4097881,-2.4460769,-3.9107337,0.43346393,-0.42269948,1.6858549,-0.2851014,0.87613875,0.80718696,-0.035934333,-0.6479042,1.8700883,-0.113522656,0.7720656,0.24232343,3.620999,-0.078789756,-0.37150767,0.12638125,0.226721,-0.8674955,3.2607617,3.2986526,0.0039906907,-0.024717728,-0.44588304,-0.41527793,0.79936993,-0.085124716,1.4036537,-0.27508077,-0.16451856,-0.23873466,-1.0725107
-0.31570086,0.054370437,1.3406101,-0.03737054,-0.06935385,1.0282965,-0.036343466,0.10107405,-2.7417655,1.4025983,2.1215806,0.183464,-3.8336093,-1.8463136,-2.4406004,-5.221278,0.5318619,-0.40284905,1.7236607,0.0025568902,1.734176,0.72424084,-0.082042895,-0.60341334,2.764624,0.5729758,0.84076166,0.46063212,2.8436308,-0.03791127,0.028649122,0.30840603,0.21175654,-0.90256256,4.9125443,3.5266726,-0.091277726,0.060077656,-0.36386433,-0.3732364,0.7881382,0.049826168,1.443424,0.05772557,-0.14194167,0.18372764,-1.0429345
0.5151377,0.7997006,-0.14141981,0.06918848,0.11411889,-0.6294771,-1.5527593,3.8839092,2.6853352,1.5796568,0.89981925,0.35874265,-3.3770103,-2.1920412,-1.3316665,-3.7670662,0.26651737,-0.26100633,-0.26512554,0.28148982,1.6763283,0.93239677,0.12229999,0.008815974,-0.5964261,0.02430614,0.6469242,0.9471521,1.5206987,0.042572223,0.26230553,0.6962383,0.16763018,0.5340408,2.4394329,2.232421,0.50797343,-0.14494416,-0.006321294,-0.0613222,0.34204155,0.59528273,1.3569422,-0.07215814,0.14354111,-0.18032756,-2.6464796
