"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.17615616,-0.06627586,-0.022233255,-0.10207572,0.03838723,-0.036500614,0.053498708,0.10965485,0.06923305,-0.16378206,0.036269777,-0.039088026,0.01864929,0.16233557,0.14959645,0.04506991,0.016298931,0.049964625,-0.09918078,0.011950621,0.13006821,0.24174355,-0.01423353,0.35575527,0.062433757,0.026955592,0.14267853,0.0037664815,0.005993898,0.011110039,0.0051596244,0.04583851,0.21127954,0.17797118,0.2509946,0.05194439,-0.084798165,-0.02818034,0.035458226,0.0852711,-0.064643756,0.04291099,0.25006118,0.15674202,0.2512524,-0.04140315,0.5041821
-0.16516396,-0.027418178,0.04692364,-0.051599972,0.11774549,0.064884625,0.052883744,0.1716162,0.12537569,0.10903387,-0.02151688,0.020337962,0.08036163,0.047471948,0.15850498,0.056596752,-0.043270122,0.0148816975,-0.06937674,0.024420757,0.11307619,0.20032203,-0.013954117,0.41639677,-0.22361952,0.01231034,0.02463039,0.010106965,0.018570933,0.018564498,0.0055115474,0.06985872,0.16911066,0.13244748,0.011418527,-0.08127975,-0.15365689,-0.008760127,0.05528335,0.06787966,-0.02108723,0.0038945188,0.19024886,0.14576966,0.21386047,-0.020967737,0.45211887
-0.1063408,-0.060619343,0.049602594,-0.050758936,0.03673115,0.03678894,-0.049517546,0.11250048,0.08964175,0.22638345,-0.04270388,-0.022366073,0.02739251,-0.13041745,0.16784582,-0.019733395,-0.025305403,0.026953006,-0.10671421,0.0013018622,0.106364764,0.22309025,-0.0063346736,0.44067937,0.029889623,0.031107355,0.024860404,0.023255743,-0.004967515,0.015011509,0.005475619,0.011600503,0.16654979,0.1527159,0.30495816,0.05992386,-0.10674354,-0.018673824,0.03749049,0.09540839,-0.06935739,0.018569402,0.18427923,0.16481781,0.22158568,0.0010203351,0.35701317
-0.15756714,-0.065581426,0.03117406,-0.074635565,0.08621156,0.063803434,0.1935424,0.11514355,0.10505157,0.07096062,-0.020150732,0.030946566,-0.010340534,0.06871849,0.13861248,-0.008176957,0.00037239536,0.019562377,-0.08650997,0.03286,0.1109183,0.24079207,-0.018951371,0.41550896,-0.13420884,-0.0030575756,0.028912712,0.010767639,0.008864313,0.009007532,0.003912168,0.07028974,0.11931102,0.17202517,0.039220147,0.019182684,-0.13574354,-0.050267696,0.041926827,0.047801416,-0.051569227,0.005117387,0.22841392,0.13781025,0.21223488,0.010414082,0.45154658
-0.17588441,-0.059963554,0.047145326,-0.05937453,0.05562136,0.07367975,0.21307673,0.09463525,0.1658047,0.0507651,-0.034118086,0.03405373,0.005925551,0.017712101,0.12753773,0.01793983,0.015154169,0.011028941,0.27995467,0.03560511,0.08988684,0.26377708,-0.011872398,0.36057064,-0.28326955,0.008543984,0.014586152,0.013848394,0.0051048384,0.027598951,0.004235101,0.08834253,0.06909798,0.17406452,0.02328455,-0.031037161,-0.15554784,-0.030892411,0.061891947,0.052517053,-0.06426685,-0.0039065983,0.19061399,0.13701105,0.21459961,-0.026376083,0.40493473
-0.19565293,-0.04892947,0.030032128,0.050302774,-0.06075748,0.039930508,0.21941634,0.0029158366,0.10076728,-0.17166778,-0.015290078,0.029351095,-0.056215495,0.082074635,0.108005,-0.037877303,-0.010260951,-0.0019759191,-0.1052928,0.004488403,0.120259166,0.3166031,-0.011290539,0.32898462,-0.0900698,0.01759818,0.023240307,0.012865702,-0.00659455,-0.0018496364,0.0076895608,0.028176416,0.14694886,0.16423866,0.2490015,0.047777154,-0.13718112,-0.01710988,0.031505734,0.050902292,-0.07190146,0.009688892,0.21920608,0.14251003,0.22345959,-0.0028982498,0.3461979
-0.036123935,0.036755625,0.071444124,0.017202334,0.013131704,-0.06785294,0.23022877,-0.030861696,0.1975507,-0.11155605,-0.00018332459,0.022103284,-0.015937263,0.10786259,0.10372594,0.08379744,0.01906981,0.022215359,0.43535444,0.036089934,0.075332716,0.27309796,-0.012824438,0.36757228,-0.2597024,0.01490606,0.0090925405,-4.0765117e-05,0.0379623,0.036915697,0.015023555,-0.03290914,0.122992806,0.019780431,0.05214066,-0.099075034,-0.16678497,-0.040323008,0.061088614,0.065453395,-0.05902986,-0.00017017915,0.14317021,0.14214547,0.23474574,0.061347388,0.45949072
0.08207726,0.04998849,0.07304724,0.042545933,-0.04504233,0.0024787895,0.17427076,-0.03879611,0.17280112,-0.09765858,0.030766236,-0.004295014,-0.005235955,0.13617952,0.1105124,-0.0031231514,0.009981461,0.00085061416,0.37064788,0.04394985,-0.03409812,0.31606638,-0.008241674,0.3549736,-0.2754868,0.012014936,0.017590256,0.010471502,0.014077564,0.019247971,-0.031839848,0.028338293,0.004701827,0.17622896,0.08917693,-0.06709893,-0.14517993,-0.021742165,0.05270373,0.05531151,-0.02831223,0.0057383426,0.18146722,0.14468998,0.22054683,-0.002901584,0.45913416
-0.14851029,0.016722314,0.06052011,0.0028333347,0.07949427,0.02208811,0.19338135,0.019556178,0.19556333,0.06211802,0.03733216,-0.007916623,0.015333348,0.07150441,0.11082716,-0.00968717,0.00882047,0.034435563,0.39677802,0.04600504,0.011906662,0.24393293,-0.00010538575,0.2907213,-0.32014042,0.004799641,0.025383959,0.014166155,0.019898193,0.033520225,0.0039213873,0.03212373,0.02093719,0.16715404,0.10504332,-0.06690541,-0.14425285,-0.010708863,0.064929165,0.05265932,-0.039673857,0.010256792,0.15921591,0.14961515,0.20325516,-0.011118502,0.42793846
0.14239742,0.07291496,-0.022856802,0.06932571,0.0069237645,0.07759933,0.16144475,-0.06044669,0.14816025,-0.07155285,-0.0006091174,0.044070385,0.052506845,0.17980678,0.089343734,-0.03622245,0.026666284,-0.04068475,-0.08612658,0.016358865,-0.14553784,0.18725349,-0.032305937,0.41714343,-0.0887474,-0.049185965,0.059396617,0.011544631,0.0016478352,0.01049008,0.0050027105,-0.003414046,0.09592033,0.15989521,0.15481418,-0.015306196,-0.051415257,0.02234671,0.026568329,0.06425785,-0.046678618,0.046512123,0.23745525,0.14713635,0.19934791,-0.029011896,0.5027515
