"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.0147125805,-0.05138541,-0.22659989,-0.133232,-0.0126656825,0.04727404,-0.0035754093,0.14867526,-0.08454782,0.0037588482,-0.0019025004,-0.3098459,-0.1333958,0.15080506,-0.00443361,0.056923345,0.0025872167,0.0008209106,0.032792833,-0.0028401508,0.06027928,-0.009333699,-0.03717841,0.08326544,0.063482195,0.01915169,-0.0011066096,-0.021453023,-0.049833357,0.003971641,0.007273015,-0.036413427,0.028921437,0.067828305,-0.089311175,0.010186744,0.011814035,-0.12896228,0.029097993,0.4507136,-0.0036817316,-0.002572689,-0.21551111,0.19628151,0.39000595,-0.021816762,1.0431589
-0.04830888,-0.05615624,0.011692787,-0.12134202,-0.02013227,0.071563855,0.029193819,0.17531592,0.0057438733,-0.077507325,0.009119365,-0.17825967,-0.29227903,-0.0049953167,0.005603096,0.009963125,-0.008598559,-0.05115901,0.036757443,-0.01398108,0.16612941,-0.013265953,-0.037030514,-0.2712665,-0.10524961,0.017934246,-0.004204877,-0.03472207,-0.022044055,0.0065835714,0.009997582,0.0035052737,0.008245589,0.017234989,-0.07795499,-0.00803513,0.01859014,-0.038599752,0.025604617,0.5157239,-0.0007284095,-0.09143032,-0.27893785,0.22735474,0.3816252,-0.029395284,1.1180997
-0.011230781,-0.07228509,-0.04157249,-0.31888947,-0.0021042568,-0.0417116,0.120034374,0.1639941,0.04382509,-0.06291569,0.03990569,-0.2124118,-0.22181161,0.010784896,0.015367482,-0.00026424578,-0.017539218,0.0012441957,0.036688924,0.010430463,0.052498106,-0.061306197,-0.070989065,0.030996077,0.09306815,0.0022490728,-0.00460599,-0.02115219,-0.01495726,0.010170821,0.005181038,0.06238745,0.022086846,0.07688396,-0.007327757,0.0036329695,0.007894715,-0.099366084,0.017521895,0.43176466,0.0063317306,-0.026615668,-0.2894829,0.12327132,-0.09770046,-0.018325109,0.97505623
-0.02496544,-0.070042245,0.013739932,-0.13543476,-0.017132575,-0.047756106,0.053020116,0.15659475,0.020006362,-0.07491332,0.02945354,-0.24549134,-0.250503,0.008724902,-0.0031966497,0.0026192144,0.0020877612,-0.007860043,-0.05813016,-0.0055604414,0.10240157,0.0074284766,-0.03035049,0.063070655,-0.07171666,0.0029934028,-0.0092100445,-0.0393888,-0.050543737,0.010585813,-0.00051364314,-0.027579289,0.01356154,0.044630624,-0.07124866,0.004619667,0.014239569,-0.099177696,0.0211905,0.4557663,-0.002146374,-0.048591185,-0.2628354,0.14746025,0.3753086,-0.011004329,1.1010371
-0.022559412,-0.053764038,0.014728207,-0.11205365,-0.020694824,-0.02741414,-0.01097061,0.18647613,0.019795798,-0.069625415,0.03638611,-0.23971163,-0.24684536,0.0058814166,0.005001983,0.011296638,-0.00293983,-0.0054110694,-0.061444134,-0.0060389536,0.10147039,-0.004454477,-0.036571544,0.05433127,-0.08355429,0.0010535744,-0.006019613,-0.041795887,-0.026260724,0.008890236,0.0012027448,-0.025960805,0.0229758,0.03529465,-0.054557752,-0.010926366,0.013714368,-0.09484862,0.03309568,0.46103418,-0.001204193,-0.061986186,-0.24026856,0.13044561,0.3486457,-0.011414873,1.074173
-0.015188725,-0.1022084,0.0048585064,0.1128759,-0.008399085,-0.097844645,0.012068724,0.030554725,0.031178731,0.04020045,0.021335846,-0.17078377,-0.27714205,0.010188125,-0.0032235426,-0.00024112778,0.005340936,-0.002902841,-0.018852832,0.0028526324,0.104062915,-0.0072480184,0.006063089,0.04848993,-0.025781678,0.00565574,0.006521146,-0.018290471,-0.015469488,0.011868196,-0.0025403711,-0.037147176,0.00884765,0.07152068,-0.014156095,0.016481254,0.007624084,-0.15199918,0.007045381,0.43114433,-0.0006163458,0.018228834,-0.24164586,0.24891447,0.37569264,0.004407522,1.0741031
-0.0065709674,-0.008568355,-0.0159966,-0.0208576,-0.022271281,-0.15987921,-0.012201036,-0.036026925,0.0035145192,-0.008457128,0.03125521,0.053994123,-0.042389266,0.12122574,0.0055188793,0.010468581,-0.013070543,0.0044159577,-0.16420382,-0.0006503229,0.0085262805,-0.11129913,-0.002054128,0.15394427,-0.17147519,-0.026594033,-0.06169828,-0.07937097,-0.08392466,-0.008262162,0.009607296,0.020830765,-0.017675744,0.00076112786,0.059911355,-0.07735897,0.018236259,0.035211187,0.038352955,0.5161519,0.005277898,-0.021243498,-0.0864977,0.3209584,0.4177027,0.016528979,1.1574507
-0.016809193,-0.0052693184,-0.18791655,0.08852786,-0.04050417,-0.13048665,0.047665272,-0.028960478,0.12102695,0.017738832,0.018998316,0.028156577,-0.03689282,0.17210841,0.0103254905,0.006025777,-0.024216278,-0.0026963279,-0.08116957,0.0032190923,-0.06042845,-0.039467357,-0.0012555822,0.1623469,-0.21694417,-0.017451063,-0.043526005,-0.022298796,-0.07791696,0.0049669635,0.0608277,-0.0043131476,0.033224065,0.011575232,-0.15521243,-0.072279684,0.017955411,0.0152579695,0.05998414,0.49680513,-0.0020311736,0.008367932,-0.1336401,0.27713764,0.40223175,0.00029060175,1.1831645
0.0017204176,-0.006529693,-0.20110843,0.0711687,-0.06598899,-0.1313562,0.03724348,0.15304261,0.059278123,-0.08803022,0.018138701,0.014361001,-0.030903656,-0.045102727,0.010437339,0.010908567,-0.024111344,-0.005513499,-0.0967955,0.0013946819,-0.0568775,-0.020740746,-0.043822806,0.15683725,-0.15259615,-0.010879499,-0.0069767525,-0.016213953,-0.06575649,-0.00018026498,0.028006215,0.025046697,0.019807307,0.006365568,0.10187165,-0.03637232,0.018241508,0.022895455,0.05567734,0.4554706,0.00045145195,0.00011523803,-0.1953419,0.30518553,0.3524353,0.0021720515,1.1236533
0.010987558,0.021842605,-0.26180238,0.15879425,-0.020141324,-0.12803715,-0.05070011,-0.08099306,0.21357098,-0.01494066,-0.14066741,0.016119666,0.05573796,0.1785144,0.0069688554,0.03521515,-0.0027570494,-0.0055693234,0.01406745,0.009299772,-0.41612935,0.0025802206,-0.005885864,0.18752362,0.03784219,0.00031848377,-0.06596666,-0.010191683,-0.03704319,0.014439913,-0.0058882567,0.003894668,0.010185786,0.0773605,0.31022155,-0.110885136,0.041077763,0.006695401,0.044090576,0.41235402,0.062263995,-0.09954317,-0.0071502747,0.28997612,0.15026014,0.0017382397,1.0817288
