"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.09090891,-0.085148096,-0.23711847,0.08592923,0.08544711,0.29859647,0.14396589,0.25502664,0.5837953,0.014418602,0.008522123,0.32471386,0.107586235,0.8959953,0.19620214,-0.094984174,-0.13159342,0.019982057,-0.074108556,0.0857919,0.1534935,0.1757536,0.30549178,0.8685737,-0.23128876,0.02112889,0.009735031,-0.0031250548,0.09405522,-0.0066896426,-0.009284751,0.1656395,0.051504098,0.36950466,0.26155233,0.0011068012,0.008429909,0.32042566,0.12504819,0.27525744,-0.043746904,-0.110254005,0.30249047,0.7399929,1.4082588,-0.1059429,3.2588618
-0.13385443,-0.11728504,0.10286453,0.11477009,0.096812636,0.3453604,0.056659915,0.5468259,0.92705446,-0.11260889,-0.05522541,0.3315724,0.119170345,1.0937153,0.093377456,0.014617527,-0.095867574,0.030030714,-0.108775705,-0.13066116,0.18188193,0.19923297,-0.10419958,0.888056,-0.56390685,0.039529804,0.09234786,-0.022523837,0.06742176,-0.0037371505,0.0065180673,-0.04014641,0.05297141,0.06589386,0.4784942,-0.008653887,0.12473364,0.27185652,0.22536536,0.29026964,0.016628088,-0.073519595,0.33494908,0.8402862,1.4648135,0.04365412,3.3646152
-0.10461167,-0.031688973,0.05959562,0.084975906,0.027339438,0.18592037,0.1449789,0.1921214,0.8990568,-0.15298048,0.06401312,0.4825493,0.2180173,1.0695376,0.14200135,0.045402337,-0.12254787,0.041952744,-0.03720586,0.109663695,0.012722946,0.058503155,-0.029975045,0.9026436,-0.15098587,-0.009255727,-0.03757744,-0.011876558,0.004768819,0.018472867,0.016096508,0.08533347,0.01889198,0.92254204,0.29718894,0.03987871,0.17729284,0.28625652,0.1603374,0.39515728,-0.03300463,0.0027009223,-0.011367366,0.8705971,1.3006531,-0.06073437,2.799796
-0.12292283,-0.035772398,-0.018975958,0.126955,0.08110916,0.40662742,-0.0201404,0.42565855,0.7475705,-0.07210805,0.0030707284,0.277582,0.14243267,1.0159001,0.13407163,0.04514088,-0.073626965,0.024223065,-0.14502257,0.07974749,0.12453023,0.1746553,0.007762715,0.88378036,-0.4436858,0.019479495,0.034878142,-0.0070527713,0.00541914,0.040656604,0.008372512,0.07248334,0.03098599,0.41051316,0.32240433,0.024175165,0.04090234,0.38542312,0.23289551,0.2958003,-0.04029107,-0.00032827168,0.31202248,0.86994106,1.4232662,0.058206193,3.029193
-0.11595324,-0.034914866,-0.057492618,0.115500145,0.07773069,0.3620769,0.22566548,0.20937924,0.7916705,-0.016339594,-0.021185527,0.20498545,0.03480744,1.0221479,0.12734747,0.05722544,-0.12851572,0.019589348,-0.15378788,0.08646612,0.16976412,0.16235377,0.35142758,0.8662557,-0.4951067,-0.016203053,0.09108656,-0.011456495,-0.024891913,0.027557606,0.008234846,0.12297433,0.024217123,0.31351694,0.33784056,-0.030142259,0.030005483,0.2792637,0.22223948,0.2995721,-0.05737743,-0.030318087,0.29882705,0.86987543,1.4342872,0.058812093,3.2274437
-0.11688722,-0.039571226,-0.0070905806,-0.21854603,0.049717393,0.15675493,0.15109578,0.22688927,0.6435391,-0.012912567,0.06368282,0.1729892,0.09877706,0.94032,0.103679776,0.04761408,-0.12190844,0.043706313,-0.11785857,0.23243164,0.03257682,0.16850042,0.0028596981,0.8927956,-0.35513645,0.035563875,0.039264172,-0.003063417,0.047307886,0.04488873,0.016498346,-0.025677286,0.04969256,0.6924928,0.27453738,-0.0022614151,0.031004887,0.35597515,0.16674624,0.340351,-0.06802817,-0.018083451,0.21976942,0.94225943,1.3493671,0.014935613,3.0127976
-0.09407957,-0.043694835,0.014667214,-0.019505296,0.07590508,0.44201344,0.16609171,0.27692422,0.8420931,0.017932314,0.025177553,0.07645838,0.024348572,1.1651623,0.09523251,0.087341756,-0.015528109,0.02437875,0.19374937,0.11414495,0.031032301,0.23408909,0.30943394,0.8516352,-0.71788114,0.012018343,0.00755071,-0.03126016,0.06974566,0.025942992,-0.00812995,-0.031977978,0.049437996,-0.13564603,0.24180411,-0.050427392,0.077011354,0.0015300068,0.19940387,0.33076596,-0.025949465,0.011264134,0.32345238,0.7751802,1.4490479,0.044299606,3.5215044
-0.057544343,0.015828304,-0.0765081,-0.16289786,0.09939601,0.124153025,0.24130088,0.34161365,0.70123005,0.07008875,0.14627887,0.033113156,-0.012244616,0.9879002,0.19875391,0.07538758,-0.1023992,-0.00859003,0.2703528,0.16654292,-0.16769233,0.20187858,0.07695847,0.81025726,-0.59917843,0.016461467,0.1375231,-0.032782637,0.09488703,-0.06659923,-0.01652504,-0.03968954,-0.0032260732,0.4692511,0.38509423,-0.0012940414,0.107340045,0.010425994,0.17657876,0.37884074,-0.03268934,0.028235389,0.26065138,0.86602783,1.4435751,0.021916347,3.4960797
-0.12601286,-0.033118956,0.005881589,-0.15142526,0.08274835,0.29627603,0.19196627,0.36900634,0.9514313,-0.04235808,0.15095846,0.011831267,-0.101890534,0.99671465,0.1451821,0.080984995,-0.10400401,0.011966511,0.31100172,0.17074966,-0.16071743,0.19098134,0.02234259,0.811045,-0.6468854,0.024054205,0.17710903,-0.020470593,0.06052793,-0.049997646,-0.020321218,-0.029237518,-0.05596732,0.37569335,0.39669222,-0.010614513,0.11138883,-0.060727935,0.21253832,0.49220425,-0.045319393,-0.0013645618,0.31283197,0.880327,1.3795683,0.011427173,3.4635665
-0.07568373,0.31356928,-0.19413336,0.022237059,-0.2262252,0.085116826,-0.032815937,0.07442175,0.14607953,0.009583348,-0.8876311,-0.06274444,0.13183893,0.75971824,0.09381862,0.039996553,0.078904696,0.0030712048,-0.17004828,0.15725051,-0.92435396,-0.075034454,-1.1569582,0.6976496,-0.4230098,-0.008846915,-0.110108726,-0.012995637,0.102539234,0.0063849986,-2.9107143e-05,0.07688642,-0.008729788,0.74971634,0.11614829,-0.04683899,0.19147564,0.021448568,-0.01589787,0.32245263,-0.033436086,0.10386979,0.016215572,0.69772404,1.1020515,-0.12537776,2.7025983
