"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.22019038,-0.20627633,0.5014258,-2.372933,-0.5317448,-0.25532475,-0.07013304,0.73954445,-1.1722924,-0.38075146,0.20099007,-1.0810586,-2.074351,4.90828,0.85277176,-0.14976035,0.11728492,-0.07760257,0.550861,0.23891985,-1.5922722,1.1536434,0.7650638,0.6744485,1.2528379,0.5172914,0.17129731,-0.079077,-0.15350899,0.79323006,0.1822423,0.47469002,0.72801983,1.1675403,-1.4895195,-0.4704361,0.73722255,-0.24014528,0.68588126,6.033581,0.22502984,-0.46974298,-0.17490564,5.55768,4.1929054,-1.2082132,9.926566
-2.0766163,-0.31566393,-1.1816584,-3.1562126,-1.5007485,-0.464477,-0.22508556,1.3540372,-0.72245914,-1.0106549,-0.37362415,-1.2544956,-1.403675,4.067584,0.8952991,-0.15165931,-0.014752563,-0.32789356,0.064326644,0.08575457,1.8801382,0.3474967,0.34543514,1.2017988,-1.4918368,-0.19117096,-0.04871085,-0.051117636,0.093856566,0.05947973,0.13696735,0.40037724,0.46073774,0.25929677,0.15673535,-0.34675372,0.3951812,-0.49543473,0.95825833,6.2214727,0.015301094,-0.119469695,-0.41263476,5.824268,4.301919,-0.9808007,10.53365
0.3941894,-0.20521523,0.99472934,-2.339584,-0.41083142,-0.16954409,-0.13839222,1.0347815,0.35597417,-1.0923698,0.20031334,-0.9068366,-1.5908399,4.3720584,0.86626333,0.087476954,0.17515378,-0.14117095,0.29637071,0.05716416,-2.1324518,1.9370315,0.513299,-0.48892367,-0.051656954,-0.34461117,0.29801145,0.003094809,0.12274794,0.6737376,0.111068614,0.6927639,1.1154215,0.8775948,-1.0000256,-0.24731936,1.015964,-0.5812358,0.6081981,5.1869755,0.029602395,0.083821535,-0.6134569,3.4603214,0.65818274,-1.0481035,9.516652
-0.29193458,-0.5225211,0.93323034,-2.6445312,-1.3430825,0.085627966,0.51322865,0.5254812,-0.0996136,-0.91964936,-0.07530354,-0.72245055,-2.532803,4.686425,0.9111963,0.00839647,0.15493721,-0.14156315,-0.33989725,0.28842124,-2.1507313,1.5663046,0.76780957,0.571031,-0.8839214,-0.10357752,-0.099502005,-0.20832108,0.29717094,0.044753626,-0.012020174,0.39186674,0.6005281,0.9046752,0.25321862,-0.3832321,0.65407526,-0.7970075,0.73111206,4.9924994,0.1683301,-0.16519275,-0.24243182,3.7567115,3.8667257,-1.110283,9.882604
-0.2688441,-0.5015057,0.8593373,-2.6201725,-1.6339779,-0.5108077,-0.07986808,0.79208183,-0.32216123,-0.93607193,-0.3571459,-0.7202643,-2.4682665,4.727765,1.0607934,-0.082337335,0.11544958,-0.18138593,-0.24475051,0.2966011,-1.5828291,1.3515879,0.8781047,-0.41873312,-0.92607677,-0.6661687,-0.12480989,-0.24543947,0.27092865,0.13624087,0.026023543,0.33717558,1.0215958,1.1515907,-0.2109572,0.53380615,0.7942035,-0.8536163,0.76136243,5.2053466,0.13306889,-0.14645673,-0.15902957,4.515822,3.8572125,-0.96241003,10.226064
0.43088135,-0.29540712,1.2971555,2.2425845,1.8401303,-0.7768826,0.9612158,2.045979,-0.57181615,0.94946367,0.059328258,-1.0759012,-1.957872,3.2658498,0.48933458,0.023630124,0.31041735,-0.25970832,-0.3841827,0.044887435,-1.1456629,2.2607036,1.0906907,0.9560021,-1.5059158,0.29562914,-0.19448704,-0.0677919,-0.28703964,0.12808272,0.089710794,0.39435536,0.016803557,1.0365409,-2.710829,-0.2330691,0.68078387,-2.0425735,0.7940432,5.6447067,0.46811906,-0.040953238,-0.28845024,5.4990716,3.7143576,0.020560266,10.645184
0.39308774,-0.006219492,3.334681,2.5164542,0.017980814,1.1633085,0.70286155,4.2453694,6.029347,0.4233732,0.1722576,1.271338,0.36871153,5.6896133,0.7298182,0.6013271,0.31633106,0.25197265,-0.30902842,0.22615246,0.58225983,7.1778846,1.4328703,3.5396407,-0.38362876,-0.2325225,1.2624226,0.34933296,0.9647597,1.7201954,0.8250006,0.8027006,1.0610101,0.44740722,3.4786823,0.8126676,1.0841286,2.0826643,3.2185445,9.523708,0.5706402,0.6160008,0.5705562,7.94546,4.720693,1.0024909,15.083962
1.3779597,0.1874724,4.373309,4.2637978,3.0603821,-0.12839784,2.180751,4.9947166,5.105575,1.3620414,1.1786703,0.8170751,1.9216349,5.859514,1.1324469,0.48325932,0.26713327,0.3828663,-0.6547837,0.2154077,-1.0417991,7.587463,1.7518657,4.493588,0.39084888,-0.8553963,0.88066,-0.22811797,2.21593,0.94967943,0.2379079,0.71083045,1.3252356,2.394921,4.16171,0.829599,0.88032097,0.5022458,2.935216,8.76569,0.5327338,-0.108379826,0.2609551,7.9390154,4.8154817,0.1047874,15.689935
0.961085,0.22557041,4.421316,3.940396,-1.3470719,0.408107,1.4769291,4.968176,4.8706098,-1.0544173,1.8071599,0.9393064,0.9829127,5.986311,1.1089404,0.6329567,0.4114687,0.388542,-0.0862945,0.24430966,-1.0545156,7.084064,1.1831809,4.3235903,1.793287,-0.22848678,0.85121906,0.1801977,1.2859403,1.3035535,0.50415415,0.41605747,1.2959007,2.3205688,4.8917155,0.90136963,0.83801705,1.0798877,2.7894797,9.121774,0.39585724,0.2497984,0.17688276,6.741782,3.748902,-0.188141,15.0585985
1.3576328,0.37573588,2.790927,3.943681,0.6407243,-1.1152567,2.193037,0.6095629,4.0279193,1.8621603,0.4132704,-0.2597154,1.4783562,5.221767,0.55830264,0.24337655,-0.7161893,-0.2635324,-0.10628733,-0.6510357,-6.971334,-0.25545275,0.2966495,1.4103854,-3.392879,-0.56733483,0.24334228,-0.021840665,0.2670951,0.31619674,0.37341893,0.22577304,0.8646383,1.7784592,-1.2442893,-0.36457792,0.4121836,-2.0892344,0.22606523,6.014891,0.5675061,-0.33634016,-2.0481896,5.499816,1.6000801,-0.1863461,9.8460455
