"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.044485662,-0.010215416,0.16740985,-0.0009320067,-0.0051037776,0.014536589,0.040253144,0.08000549,-0.2591816,-0.03925501,0.0062335436,0.2046778,0.16226463,-0.04772152,0.00040839735,-0.029859098,-0.09249733,0.037455972,0.017346993,0.06681172,0.014825647,0.021124141,-0.3196221,0.1553547,0.0020559311,0.0165629,-0.15333208,-0.0008314555,-0.01512144,-0.02952826,0.0013853254,-0.0077086156,-0.007281726,-0.0028976414,0.0029073807,0.008623749,0.03088814,0.032046944,0.018656123,-0.0525614,0.07184868,-0.005703182,-0.06022599,0.048287604,-0.013252302,-0.0056250803,0.11978683
0.11145544,0.0011996796,0.08042469,-0.023821076,-0.03633201,0.025127849,0.017291056,0.10276862,-0.22523281,0.042260908,0.025014272,0.19064856,0.102663755,-0.012009594,0.044640213,-0.018440044,-0.005750534,0.023497602,0.019776443,0.028461006,-0.18910007,-0.0047616847,-0.27815944,0.17369203,0.01173548,0.027099239,-0.34966135,-0.008435831,-0.0076695383,-0.016879234,0.0018062616,-0.0075180894,-0.038852397,0.0029823845,0.034601152,0.019707518,0.018959653,0.040272303,0.002705044,-0.043071996,0.15930255,0.07030026,0.068774894,0.029178297,-0.011654682,-0.002787486,0.07576163
-0.10176412,-0.015488386,0.066521235,-0.024908012,-0.022838486,0.03816344,0.0029570393,0.095975935,-0.3754005,0.03832464,0.036059618,0.20303786,0.123798095,-0.0008549374,0.0052963877,-0.05507302,0.010732672,0.025285726,-0.0025084056,0.055150535,0.015110315,-0.027080305,-0.44872832,0.2046537,-0.0020342811,0.036503736,0.1592184,-0.0034252426,0.020600935,0.0035808275,0.0044443444,0.012821904,0.0050868345,-0.01398709,0.0184734,0.022125091,0.058300704,0.06395802,0.057408188,-0.074393325,0.10943385,0.014978088,0.06012657,0.024526179,-0.016573159,0.012500975,0.19820482
-0.0616364,0.013545515,0.11282351,-0.063991845,-0.01373435,0.08426745,0.029789712,0.13710557,-0.3147268,-0.013020661,0.0010374752,0.21850441,0.119444355,-0.038339384,-0.004272323,-0.050479803,-0.0428123,0.027129037,0.047039118,0.05547536,-0.001558407,-0.0135084,-0.3552724,0.1578326,0.0070748827,0.031726036,-0.18411604,-0.002226766,-0.005916436,-0.021563169,-0.0020808668,0.0100280065,-0.008683798,0.0023486316,0.0022709724,0.007823811,0.033095684,0.048281692,0.018464955,-0.038987268,0.07871845,0.05648908,0.074849896,0.040192038,0.02826874,-0.0037622678,0.079750575
-0.069461346,-0.012097047,0.052962862,0.0023390215,-0.0058235186,0.09648678,0.026762586,0.08567475,-0.31011567,0.026839774,0.016093343,0.21268146,0.12767346,-0.016985038,-0.008087941,-0.04773597,-0.042186096,0.01850303,0.09676398,0.02760959,-0.11010325,0.010172197,-0.36330926,0.17310292,0.009918863,0.03555648,-0.18512574,-0.003868042,0.020670816,-0.012537993,0.0034732602,-0.017409965,-0.00784098,-0.0078451615,0.056228817,0.023194933,0.03293711,0.05488557,0.011998141,-0.036725987,0.07094012,0.05122458,0.08256657,0.022936847,0.029075064,-0.0052766833,0.08271136
-0.07090206,-0.012730702,0.111109376,0.0010082151,0.027537799,0.082566,0.020847036,-0.025867032,-0.30344853,0.009327736,0.008394933,0.24972932,0.23129466,-0.04305397,-0.0021447479,-0.05602248,-0.016253937,0.027149731,0.05087182,0.043335274,0.03751133,0.0042970935,-0.3187942,0.18903221,0.009109291,0.03245366,-0.1155173,-0.012214715,0.032677542,-0.014040774,0.0016467145,0.012338888,-0.021452716,-0.014177099,0.017543605,0.0012058222,0.04311585,0.08553966,0.021699993,-0.034445513,0.08701027,-0.004548134,0.08423725,0.014192184,0.03238493,0.00032765584,0.11201792
-0.071616724,-0.012675798,0.11226054,-0.008307011,-0.00038560203,0.15956056,0.058916707,-0.042707715,-0.2416766,-0.018813621,0.032195207,0.18369682,0.15585428,-0.047979534,0.00096178375,-0.005135011,-0.04827016,0.01001026,0.16199595,0.050355017,0.09671568,-0.024459941,-0.29721028,0.13050099,-0.062627174,0.026225736,-0.14886136,-0.0045272103,0.04707885,-0.024729997,-0.00018098047,-0.0389598,-0.02315461,-0.01925419,-0.08772748,0.01247205,0.028798485,-0.0012010246,-0.004726968,-0.03361129,0.08635076,0.00027166485,-0.0060564736,0.011529409,0.0068622017,-0.0040631476,0.07989922
0.011623143,-0.0037277758,0.11294988,0.000990143,0.032035917,0.113364376,0.00315834,-0.08680818,-0.25329423,-0.03293947,-0.014194313,0.13956629,0.080252916,-0.027562192,-0.018056154,-0.035645008,0.009520848,0.011774599,0.14083944,0.051224995,0.036269736,-0.08818379,-0.31835452,0.17741814,-0.04421168,0.032169748,-0.17668676,-0.0031852184,0.03749899,-0.010967937,0.002919377,-0.0271031,-0.035937507,-0.011304876,0.044425163,0.012149532,0.0405216,0.03868928,0.006883061,-0.02436684,0.06386317,7.477655e-05,0.077614546,-0.0027209392,0.03104916,-0.011104029,0.09022554
-0.051972352,-0.0067114867,0.10033256,-0.010094004,0.018321635,0.09447613,0.02417046,0.008954804,-0.25204733,0.040225837,-0.0016904917,-0.005888147,0.10142611,-0.045874905,-0.01648183,-0.05623562,0.011183622,0.009323533,0.15845034,0.049706757,0.06872299,-0.01895129,-0.34310699,0.19908252,-0.048112977,0.045499638,-0.15173216,-0.005606137,-0.001828157,-0.004502356,0.0025477565,-0.014714117,-0.02984972,-0.007874446,-0.08869693,0.018439429,0.03798592,0.011042628,0.015893746,-0.009173588,0.079135396,-0.0067342673,0.10080655,0.028007537,0.032932125,-0.009055379,0.091094576
-0.0060702343,0.0053088614,0.16814618,-0.08402683,0.039936163,0.42093235,-0.04660057,-0.25190032,-0.17600028,-0.05988595,0.061633695,0.13956286,0.058775287,-0.15066513,-0.024736037,-0.033167675,0.013553532,-0.02625341,-0.013667656,-0.131236,0.066853374,-0.097881496,-0.25084686,0.2250016,0.020098893,0.010723597,-0.189493,-0.00421662,0.04025531,-0.0102750035,0.0036415916,-0.03293525,-0.047387328,-0.0017482488,0.053635977,0.018688792,0.03547276,0.0861538,0.0086347535,-0.01310359,0.03822263,-0.0028036973,0.122434184,0.022067847,0.013837295,0.009692464,0.14793652
