"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-29.386478,-28.022594,93.95667,5.988814,-2.801024,-36.637035,57.73292,46.83187,329.46094,6.0541553,16.723894,81.182076,341.04245,284.60278,166.88063,30.087656,-6.4584184,23.031986,10.253924,4.9601846,-28.090073,0.2821968,40.72008,257.35513,-11.085364,-0.64954424,-7.8893385,-8.618234,6.559942,7.558993,2.721031,105.02865,33.57723,92.03126,154.21295,-0.6930093,53.376316,71.86822,39.429817,11.034415,22.83254,12.539553,0.8975512,32.36483,12.978034,-11.639315,54.645008
-22.685028,-30.539452,24.879814,15.3688965,8.28305,-5.593148,79.80573,52.212864,356.12622,-6.7956557,21.455265,149.80486,434.5996,281.60553,157.24005,21.614788,6.981094,33.16786,-1.0732694,-8.078609,-38.1469,-11.712794,46.83201,331.2926,14.4196825,0.027829863,-13.590104,2.1194813,-7.6282682,0.67133886,0.37677404,65.98932,22.775188,-25.926846,158.74173,-8.882027,94.91502,44.97751,130.07103,10.438176,8.4578,-94.33322,14.238182,27.1783,10.582093,-0.77876025,131.77861
-21.679058,-23.589663,87.62933,9.412229,-11.751043,122.86662,51.005436,19.668945,358.65128,-11.219905,38.712482,110.33914,301.61,304.88083,149.22348,36.21529,-2.726759,27.21569,16.238686,18.240812,-14.53832,-11.100215,46.60347,227.91034,-6.7662845,12.093911,-2.072041,-5.3714733,4.991342,2.2433326,4.4000993,59.390503,34.37881,122.803185,154.27184,-2.0061564,37.088383,62.993927,40.808475,13.883237,29.172865,2.4745395,5.3404975,22.707447,2.6589015,1.6083089,56.39381
-10.208685,-20.9479,72.8999,12.602585,-1.8015577,119.325836,88.28914,54.499447,347.2283,-8.602848,41.06528,92.11318,303.8471,294.56982,192.76031,34.52021,-7.834563,21.792322,-12.5536785,12.613279,-18.012533,6.2879343,38.15263,223.27449,0.66547334,0.8344591,-12.577087,-10.312309,10.116995,4.0119505,3.8164976,47.561333,38.90998,66.95674,125.98256,-1.9714212,64.13986,36.07799,104.27085,5.8369155,16.636665,-8.115659,11.472708,32.673885,3.2904027,-2.9089332,70.13866
-8.813252,-17.176897,74.71131,-1.1845198,2.0954986,111.52759,49.30562,15.888415,367.0428,-9.179218,52.134407,84.83875,336.72202,286.9929,191.46956,35.270775,4.1423507,20.321898,-7.1359773,13.327018,-9.37468,12.498132,43.033123,303.24777,-2.7956383,0.83930975,-12.958618,-3.6041489,-6.112164,1.816931,2.4571273,34.863064,38.415707,33.934933,140.62413,-7.77563,75.175064,20.891926,114.66291,9.599996,6.9291234,-54.709316,25.646654,23.54561,5.1945305,-1.9358325,86.51604
-7.4427495,-22.143269,81.3112,-39.517002,-3.186621,123.535385,49.221985,27.337782,333.1976,-29.108421,44.109257,79.68796,299.11652,307.9943,162.48784,47.835545,-1.5850731,31.472443,0.23111433,14.775559,1.1245644,-7.2005444,43.889828,212.56894,3.8308733,1.5222845,-15.054948,-5.889224,11.758508,2.29204,5.846972,40.391094,36.385277,108.463646,132.2822,-3.8982005,57.04153,39.14296,98.86828,4.908677,6.7833977,10.513537,16.041405,29.936594,13.5409975,-1.0937319,36.933594
10.329131,3.3581514,113.9357,-9.772586,19.340914,289.37595,82.79091,46.047386,324.4695,9.733335,50.582146,11.804846,285.272,268.10425,134.3819,56.803654,10.896648,9.337435,5.6857324,8.6638975,7.4453955,5.720813,35.825516,201.04893,30.972145,8.859868,-49.22629,-3.61623,-14.556858,-4.6875277,10.628031,-19.196964,-23.236252,27.452993,-12.170087,31.946377,107.1269,-12.943188,132.84097,15.15667,-13.018811,11.668276,8.42978,37.400993,23.775656,-0.49036068,253.23863
-2.9115884,50.436314,76.19741,11.1004925,-1.6338373,226.0846,79.878235,20.689606,296.81757,9.406587,-23.413301,10.83704,92.64257,267.22675,172.90483,32.611485,3.2380564,23.755121,3.9309716,30.835497,-65.047554,41.81391,56.384014,162.63069,0.70370483,-1.0041399,-26.194233,-8.536675,-11.237582,-17.006239,7.2737203,47.18646,23.025385,24.901115,206.53456,28.344307,76.85577,14.10869,184.95285,13.573982,17.283474,28.68499,23.880245,65.58695,9.90333,0.117911346,242.18883
-19.782364,-0.58437824,76.11205,5.0689096,31.19828,217.13594,31.636484,37.6575,348.8385,-3.8346703,-10.274179,5.9072003,245.79442,275.1853,163.88554,41.241856,3.866077,17.552866,2.4583545,23.709297,-85.05851,2.2003434,31.2475,155.07187,20.19426,2.3798044,-25.189508,-5.131499,13.808176,-22.487522,6.751146,44.6043,36.369736,46.85606,162.15683,19.057137,85.253845,3.6332648,136.8812,20.411993,19.018301,25.530708,37.936382,36.808155,18.84287,1.3968279,246.37703
64.76869,102.96069,11.297182,50.449436,21.899673,156.09158,18.470325,48.516308,203.56836,13.836526,-26.844074,-3.6902633,71.57688,295.21118,111.844,-44.765022,18.121227,-31.290989,22.75948,3.1667912,-102.14048,53.32859,-38.485474,172.69023,6.2059264,-2.4229128,-28.951601,7.6929703,52.33588,36.882977,35.135227,47.270374,32.695484,356.3589,144.13913,49.240276,86.242775,56.972977,110.69606,19.081717,42.292088,28.426035,14.189203,122.757355,26.263655,3.6440609,87.00476
-11.884839,-26.958914,35.005795,-15.610611,-2.3002367,-2.2454135,25.960196,2.4844408,355.032,-5.3157377,5.4333344,-1.0415126,103.72453,287.99014,117.80817,17.039717,-1.2733002,25.68697,6.131325,14.434942,-89.7178,2.1142876,55.837486,132.92001,2.7463465,-0.58511055,-21.925692,-2.3968322,0.31335595,-17.689936,2.3734992,32.258465,13.580762,-42.964558,236.07896,22.763996,80.5467,-4.3893747,119.42628,10.744939,21.460726,14.147467,31.33309,49.176033,7.1072736,-0.6169361,119.90039
-39.620922,-58.457027,-27.304644,-39.594585,-35.389343,-115.780426,30.71641,18.81841,-257.61865,-5.00174,-10.042645,-2.763279,-136.63112,147.62212,83.48126,38.764275,-2.8859112,-29.038124,-4.987374,4.897759,-143.93513,-68.509964,21.219946,-93.10895,-97.806015,-5.832288,-129.38152,-3.1160748,-0.8233139,4.5346355,2.51894,-48.210888,-26.998272,-49.999317,-154.60992,6.3455167,12.731662,-27.36058,-18.37574,11.89182,-70.842255,-49.795673,-25.191975,31.600449,14.904742,-2.721379,50.39533
-73.06618,-40.730186,36.905586,-53.438087,-7.7876444,-154.47668,1.3986876,-10.897694,-306.79346,9.21165,-22.003384,-16.979216,-113.32744,147.01172,61.407402,-13.340785,-13.20855,-55.526657,-20.352293,-10.42782,-87.67478,-83.89797,-25.127312,-125.79046,-131.79652,-7.29012,-80.697876,-5.515845,0.4712029,38.98577,1.4638788,-21.913534,-17.984167,74.3489,-58.74665,-18.081049,-14.71622,-36.140038,-26.675514,3.0997336,4.1267157,-1.4710807,-50.23574,25.497519,14.345253,-3.1363082,-10.85441
-39.50846,-58.03524,-27.250734,-39.702835,-35.430058,-115.76928,29.641455,18.73193,-256.06567,-4.9866843,-10.024443,-2.8416796,-136.43387,147.53609,83.492905,38.76355,-2.8217714,-29.045233,-4.3234396,4.896609,-144.54008,-68.566696,21.461555,-92.33219,-97.271866,-6.129492,-126.16791,-3.3804097,-0.8851114,4.455216,2.3890994,-48.203007,-26.99868,-50.429516,-159.67746,5.8702126,10.73563,-27.16281,-17.762106,12.607117,-68.70519,-49.70585,-25.260376,31.460892,14.4593315,-2.6098049,50.355415
-41.927116,-62.434677,-60.977943,-70.018326,-5.9010344,-111.59523,27.98067,7.8608,-105.7356,-4.861958,2.2812002,-2.7480803,-129.07858,151.60884,79.11599,13.127807,-4.0082626,-28.426706,-4.1503506,6.8688054,-107.61999,-57.792103,7.9422994,-124.991615,-193.30394,-6.2369366,-101.5666,3.304148,-14.547483,3.3584237,6.4624696,-42.766296,-19.22382,-68.86346,-201.59488,4.5889153,8.767607,-58.457596,0.7947435,35.041462,-51.263134,-17.70644,-39.59776,32.35608,10.504188,-4.065669,37.19532
-39.548424,-58.051548,-27.268204,-39.658424,-35.43662,-115.76769,29.639523,18.768133,-258.51694,-4.9866843,-10.066572,-2.8541915,-136.62381,147.53656,83.49323,38.76427,-2.8826492,-29.069635,-4.3260264,4.8944087,-144.37186,-68.62262,21.461555,-92.33244,-97.27235,-6.191196,-126.16791,-3.246385,-0.8935357,4.513763,2.303056,-48.204887,-26.99868,-50.02968,-156.35881,5.8702126,10.714377,-27.006258,-17.973167,12.612953,-70.83983,-49.720676,-25.29022,31.620102,14.7058525,-2.6098049,50.357933
