"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
4.705488,0.8289313,-12.91678,0.9009773,-1.1214511,-2.019432,-24.422039,-72.18729,15.046855,-5.159767,-1.5899793,0.6419784,-13.933451,-10.818077,-0.62667584,-17.844364,5.0027375,-2.388173,-0.60372794,-7.5899973,6.508821,6.5327196,26.479265,-47.803318,-11.326898,0.0912276,2.9418995,-0.41490933,4.0374126,-2.5919633,-1.5290855,-3.02848,-3.0071266,-5.068666,-6.583292,1.9792526,-12.243479,13.9059105,4.33864,-4.2515507,-5.577685,3.1866276,-1.6462773,-6.368963,3.0140362,-0.45625076,-44.050663
3.3327055,-2.2886338,10.599153,7.2604074,0.33970296,-7.0097804,-34.224575,-56.653053,7.408514,-5.9632626,-0.5789426,0.040478487,-19.774048,-7.7235193,-7.172596,-11.634099,15.0531025,10.5811205,0.7234499,-3.819045,-2.8227441,4.856807,8.561048,-53.597378,24.653904,0.44415075,2.4768114,1.3901652,4.0915647,-5.4584007,-0.41745773,-11.067087,-5.8284006,-26.04485,-18.069366,8.297654,-5.1742115,5.9251,7.915164,-4.3904123,-7.594826,2.6203144,-2.3686156,-6.185881,0.22156066,-1.0396367,-20.161928
1.4300528,0.582698,0.983914,9.921546,0.6404906,-2.2985032,-37.77137,-63.377796,28.028574,-9.404037,3.9027762,-0.6216124,-16.390228,-8.650569,-4.4192934,-12.218531,3.5480943,-1.0485054,2.1822376,-5.377827,9.175194,-3.0876575,-2.6677814,-53.283653,-11.937817,0.4759051,-2.34064,-1.1326587,1.1547203,-5.281636,-0.27460334,3.068699,-4.249692,18.097519,-8.128225,2.6253123,-7.235934,16.950747,5.9644403,-1.431262,-9.221218,0.07118381,-3.985721,-5.898064,-1.4618249,-1.7222593,-43.90758
1.5578991,0.652728,-9.892066,6.5720186,4.216883,-9.081137,-27.46157,-54.05366,6.832624,-5.6913576,-0.012412702,-0.34655312,-15.59606,-12.186676,-7.348462,-12.380219,4.8851542,-0.60563385,0.33646065,-4.798314,6.7733235,-2.72408,11.149508,-52.145725,18.91296,0.35492492,5.5592628,-0.46031156,4.6791964,-4.4690623,-0.023719072,-0.5472785,-4.172717,-25.634205,-18.97657,4.095891,-6.9191813,22.069647,12.563313,-3.3922472,-5.5934286,1.7398905,-4.6806154,-5.460247,-1.0261137,-3.7160335,-34.037277
2.5480225,0.41093597,-9.399468,1.4594684,1.4116708,-6.957579,-27.242777,-43.970314,19.503397,-5.839768,1.7943251,-0.37100655,-15.608302,-17.016985,-3.8774664,-12.573192,4.790449,-1.6258687,1.1063403,-6.798405,5.9245377,-7.7842803,22.151375,-53.764614,13.326306,-6.9350758,0.6956153,-1.9656689,3.2553937,-5.0842767,0.050109766,-0.32903707,-1.2052705,-26.488617,-21.444672,11.905774,-9.184323,13.623785,12.227287,-2.5777836,-5.3046594,1.7796234,1.5530202,-6.0848284,-1.2782621,-2.925393,-28.351307
3.777032,0.3355934,-6.4106703,0.15701544,-8.3871975,-10.586565,-57.571358,9.496999,0.80102783,11.571812,0.24131902,6.1798534,-14.903292,-4.3913646,-7.3054633,-11.116454,6.842272,-3.032392,1.3040562,-5.033743,1.7343531,-3.0319822,-3.6867397,-62.00974,13.744344,-10.022259,0.3931674,2.100714,2.1498802,-4.644487,1.220168,2.644616,-4.259814,7.7628074,-5.2846107,3.3175921,-8.236456,19.077337,15.746113,-3.4703631,-5.072679,2.4617608,-3.6776884,-5.4040475,-0.8581477,0.20037669,-35.875843
-1.0004505,-2.8688872,-9.579951,-14.295049,-0.2169,-29.55937,-60.566036,-42.44324,-0.51571757,-5.1162763,-4.2195272,-1.6511165,-20.43225,-23.764137,-5.6731505,-23.27609,-0.9477338,-2.2208412,-7.5166025,-5.404601,3.8603387,-55.926216,11.733353,-58.745037,9.70544,-2.9290016,-11.362232,-3.6604385,2.6466935,-4.448587,-3.3013527,-19.448465,-19.574211,-32.630108,-18.776905,7.8627615,-10.252204,-20.078808,-0.9948299,-4.75862,-10.398975,0.3547585,-0.97759205,-10.479099,1.3217516,-1.5179676,-37.315105
-8.076711,-5.966882,-21.708508,2.5763738,-14.927403,-21.651072,-62.94009,-18.691113,-2.7178388,-2.2023673,-5.9707165,-1.012457,-32.849022,-27.133211,-9.374824,-23.53197,2.121781,-4.1730146,0.047255103,-12.631897,-8.345306,-15.309779,-0.46779245,-62.003036,-9.978096,-3.2773554,-7.10376,-1.2956669,1.0764219,-3.3225029,-0.84763163,-3.1259668,-14.311885,-37.381535,-35.20135,7.8278394,-13.796875,-24.586027,11.009151,-9.069803,-5.1535153,0.61016923,-2.1967642,-5.545159,-1.8162214,-0.9902792,-37.068737
-1.4495311,-2.2514944,-20.8155,-5.5723467,-1.2237043,-5.397648,-80.29846,-56.03948,5.7226624,-13.874122,-6.7429,-4.4547668,-26.674261,-27.936281,-5.0363193,-17.050371,-0.015684076,-7.154645,-0.7298491,-12.040022,-7.271989,-13.877207,-10.3379135,-34.85917,15.799166,-4.949213,-3.8533206,-5.7434154,-0.86221015,-4.2623143,-1.1563323,-5.9691687,-19.15401,-37.72749,-31.028088,6.3689475,-14.259281,-27.891771,-1.1051229,-5.414259,-7.476459,5.6482244,-9.790639,-8.653255,-1.1180032,-2.618974,-29.173365
-33.587128,-10.750905,-10.532948,-0.8120958,-0.8491679,-20.777128,-31.550327,18.818144,0.6823111,-0.9234467,8.346335,-10.967246,-13.619155,-19.815327,-4.511525,-11.97388,5.385955,5.4828205,-2.1617887,52.98134,-8.259219,17.126673,6.7261715,-64.77893,-3.1450937,-2.685914,4.340971,-1.0964018,5.931916,-3.7713842,-1.4985385,0.45784554,1.0662915,8.268733,-9.416318,8.615867,-9.510448,-24.642933,20.707605,-1.1533062,-3.894781,4.4279294,-0.6861907,-16.459372,-0.9756389,-1.6647567,-39.32884
