"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.0108371,-0.30056828,-0.931467,-0.1815966,0.304773,-0.5958139,0.77085006,2.16827,1.4173189,-0.21824428,0.8426358,-0.43162373,0.54840213,4.080422,0.7071569,0.12844443,-0.14985141,-0.02325238,-0.2830074,-0.5844359,0.8759428,0.22708495,0.20498785,9.150169,-0.042234495,0.0032292586,-0.064069465,-0.04903792,-0.3945183,-0.098232664,-0.31326672,-0.01978888,-0.11687379,1.202928,0.48502377,0.0976967,0.61287165,0.23848148,0.33278486,1.6258981,0.054603014,-0.10531497,0.029039124,3.1243284,6.210201,-0.472377,8.450303
-0.6676202,-0.41379902,0.431454,-0.110040136,0.08385782,-0.19149134,0.66114944,2.6796722,1.4053705,-0.20182216,0.41321766,-1.3718503,-0.40581444,3.6786115,0.64181143,-0.16846655,0.014480281,-0.1312122,-0.35212064,-0.7423554,2.4840906,0.14020133,-0.06015195,9.340452,-0.27138713,0.018564792,0.2187889,-0.08291854,-0.48417038,-0.017575858,-0.26725748,-0.15554106,0.0049439343,-0.18257135,-0.45980808,-0.10451235,0.41713724,-0.16045353,0.43122685,1.4213331,-0.18319581,-0.29516292,-0.25124666,3.646672,6.7138014,0.028261576,8.698928
-0.79455763,-0.29437244,-0.09458762,-0.8513173,0.22510552,0.26655808,0.8516684,2.4666944,2.4429805,-0.13342561,0.8877392,-0.54838836,-0.3276324,3.454834,0.8573393,-0.0048446036,-0.08045476,0.018406836,-0.2987668,0.31869918,-1.7809387,-1.4242666,-0.53314406,8.9279585,0.22162196,0.2837779,0.044466637,-0.033997674,0.07034639,-0.034153223,0.028840726,0.040024906,-0.15551104,0.93485975,0.2091544,0.021931708,1.097608,0.17622581,0.22167557,1.6120598,0.053510807,0.20401183,-0.10836922,2.2562501,1.9937587,-0.3612412,8.086056
-0.59929013,-0.46529332,0.55474144,-0.26321426,0.18399285,0.14824146,0.29999945,2.4645793,1.2486832,-0.25038937,0.49417484,-0.75127953,-0.031094966,3.427235,0.6146504,0.081299104,-0.18578872,-0.093273886,-0.32791585,-0.23272488,1.4330343,0.18815643,0.4476808,8.854246,-0.04522955,0.057104506,0.045893293,-0.23164286,-0.21978754,0.032807697,0.02070263,-0.120226786,-0.022643963,0.49317846,-0.4803313,0.1000533,0.7301751,-0.016961154,0.36565027,1.1033837,-0.08463678,-0.1321427,-0.2672721,2.3596382,6.800747,-0.027628522,8.158417
-0.51776636,-0.37537694,0.5560763,-0.14924078,0.21856393,0.17633349,0.22323987,2.3380344,1.4122458,-0.20898707,0.59915125,-0.85538197,0.11435369,3.4068463,0.6827607,0.08740673,-0.1746548,-0.09668088,-0.19483711,-0.30738568,1.2243716,-0.76902705,0.01158445,9.072842,-0.085451625,0.1320049,0.18419017,-0.053992253,-0.21241564,-0.054089088,0.021128042,0.0391086,0.03150562,0.2792107,-0.21586344,-0.08573841,0.8369196,-0.0851082,0.35318285,1.3920927,-0.19867116,-0.044988196,-0.27222502,2.3595848,6.23863,-0.042176943,8.842375
-0.17829451,-0.14903708,0.33055088,-0.0049528056,0.4685411,0.07732906,0.3901705,1.1915194,1.2749294,0.55664325,0.46450812,-0.6141575,-0.0126744,3.1896226,0.7422591,0.085159376,-0.19061504,-0.12135227,-0.18901676,0.6168726,0.69025886,0.20349844,0.41494814,9.049689,-0.2752153,0.15460746,0.14809012,0.037923604,0.15256613,-0.050574895,0.01644185,0.05789009,-0.011830079,1.1720386,0.03665309,0.1619145,0.91873163,0.23164208,0.30918068,1.5041643,0.038411867,-0.07587446,0.11232957,3.1488628,6.016598,-0.10161691,8.389436
-0.30225196,-0.061295897,0.41521642,0.049289376,0.4096013,0.2943156,0.17593902,1.2811942,2.134223,-0.1397193,0.5553847,0.44625074,0.8140193,4.3069415,0.7461155,-0.005275289,-0.09196257,-0.015883153,-0.18992689,-0.29204753,0.5785325,-1.4647162,0.6309688,9.603748,-1.0766335,0.55264264,-0.3163115,-0.06744347,-0.18088093,-0.018093277,-0.22270802,-0.09491612,0.06003458,-0.37303573,0.2643739,-0.22052595,0.62540996,-0.35725856,0.3154425,2.033527,-0.26186216,0.023375172,0.2095799,3.9080315,6.5889106,0.41316682,8.948271
-0.64729345,0.9404822,0.071450576,0.07184487,0.33646592,0.37520173,0.6988488,1.2468244,2.3308306,-0.10249898,0.24614435,0.46834198,0.3043818,3.8410845,0.68699396,0.20574294,-0.05136073,0.021652598,-0.16238524,0.13547969,-3.8157315,-0.74307483,0.33085108,9.583331,-0.82829565,0.3113755,0.4435999,-0.023636773,-0.22776459,0.035128996,-0.22610928,-0.03888112,0.042117476,1.0341433,0.28960538,-0.0591638,1.2965819,-0.38996342,1.5631416,1.8685492,0.4542604,0.51940256,-0.15262185,3.149841,6.3096833,-0.0639181,8.971493
-0.6125978,-0.07840411,0.19358584,0.34696242,0.36668265,0.36629078,1.1446016,2.3551536,2.7041879,-0.2867275,0.3436522,0.00058786187,0.7493172,3.5311208,0.6095749,0.14393786,-0.037500616,0.08037739,-0.066475466,0.12597908,-3.711935,-0.672431,-0.26818377,9.50697,-0.8795552,0.49321285,0.26885557,0.048738558,-0.001541969,0.09346999,-0.08588544,-0.016226932,0.16026673,0.59191906,0.5268782,-0.03430323,1.3045021,-0.20703183,0.39239076,2.0579891,0.2789638,0.39046812,-0.06278477,2.809054,6.1982217,0.08971098,9.350246
0.7732528,1.6173453,0.30776435,0.51949483,0.64005816,-0.087219544,0.54776907,0.9088313,0.5612752,0.036785122,-1.9382457,0.5503395,1.0036411,4.0334487,0.8961233,-0.025190048,0.16566572,0.63235635,-0.36190903,1.3156825,-5.193749,0.46034697,-0.25136986,8.972265,0.21802497,0.57280385,0.57903826,-0.01962467,0.23811837,-0.10668857,0.03690099,0.09099245,0.24279793,3.630088,0.2863575,-0.10819146,1.167625,-0.023204733,0.4657181,1.5027608,1.0567206,1.0542959,-0.123738945,3.5884361,2.1928768,-0.03704894,8.027614
-0.34165588,-0.19416648,0.34593725,0.06680895,0.7021294,-0.12955692,0.48977754,1.8974899,2.4511597,-0.48590413,0.69369173,0.78950906,0.31935433,4.396509,0.5828469,-0.012861357,-0.069101356,-0.07684685,-0.17724437,0.23332031,-3.3619645,-0.6476211,0.13687646,9.731471,-0.797597,0.33889937,0.46655533,-0.024953607,-0.15901856,0.16178606,0.022542365,-0.026733926,0.169049,0.07272187,0.33365893,-0.08676841,1.3608505,-0.27866572,0.3475248,1.5977215,0.36071807,0.226647,-0.14597371,2.750109,6.992226,0.118399166,9.493408
-0.32385623,-0.10978097,0.3744042,0.14025334,0.4332521,-0.19369787,-0.04227228,1.8627802,1.1576174,-0.04533741,0.3394249,0.046542972,0.42625412,4.4386363,0.7013843,0.13806663,0.041434392,0.024135256,-0.04413315,0.35983706,2.364382,0.47291496,0.22684593,9.384567,0.16592264,-0.21354471,0.014381119,0.01665345,0.02404574,-0.0021472601,0.0020600576,-0.1532514,-0.040076524,-0.22269389,0.49250057,-0.09765305,0.6684307,-0.33891588,0.21063645,1.0477387,-0.17888118,-0.104029655,0.27495676,3.0473819,6.963457,0.35005194,9.17017
-0.36392197,0.048058305,-0.29782793,-0.032094587,0.1880528,-0.13708897,0.6495317,1.8938327,0.7075934,0.41588342,0.20573929,-0.15292597,0.7850181,4.106318,0.8738243,0.13155508,0.067592256,0.01880597,0.2100946,1.0801065,1.1079339,0.41316858,-0.3594501,8.976762,0.21467006,0.011507679,0.039204527,0.011761423,0.13772967,0.018100932,0.0053912164,-0.19333583,0.14802547,0.7410635,0.1685248,0.16466655,0.84685737,-0.33815947,0.08667978,1.4818072,0.17920648,0.4174355,0.18366008,3.4358387,6.354006,0.21620911,8.386412
-0.32376668,-0.11037633,0.37436536,0.14038672,0.4330257,-0.1939185,-0.04266194,1.8621402,1.1574632,-0.044936482,0.33943573,0.046948586,0.4255937,4.4385853,0.7013769,0.13806848,0.03859405,0.023997283,-0.0441339,0.36577696,2.3643064,0.47291496,0.22711276,9.384584,0.16591841,-0.21341208,0.014266056,0.016554896,0.023940112,-0.0020920523,0.002021466,-0.15341133,-0.04012509,-0.22272772,0.48868918,-0.097789116,0.664455,-0.33991668,0.21027684,1.0475692,-0.17890136,-0.10427072,0.27495468,3.045842,6.963365,0.35008407,9.171164
-0.41008577,-0.11072173,0.5507705,0.12642139,0.43758997,-0.46868116,-0.054777093,1.8563406,1.2302809,-0.026211035,0.41886023,0.048749793,0.42723578,4.4582806,0.70978636,0.12951304,0.039876573,0.01832043,-0.018545913,0.3933903,2.398651,0.47073808,0.20465975,9.314807,0.12118054,-0.21002606,0.01795062,-0.059017513,-0.110234044,-0.009594311,-0.015338216,-0.11823971,-0.04620111,-0.18486246,0.4981585,-0.107607216,0.67309046,-0.3294471,0.20874538,1.1731938,-0.185992,-0.1339382,0.3081077,3.0831323,6.931338,0.40266883,9.195721
-0.32377884,-0.109785035,0.37436536,0.14038672,0.43302414,-0.19362831,-0.042134058,1.8633089,1.1574632,-0.044539277,0.3394435,0.0469391,0.42582154,4.4385853,0.7013723,0.13806848,0.03859405,0.02399661,-0.04413415,0.36473915,2.3643684,0.47291496,0.22711276,9.384578,0.1659247,-0.21341208,0.014181175,0.016632026,0.023976237,-0.0020920523,0.002021466,-0.15325049,-0.04012509,-0.22403513,0.49571687,-0.09781095,0.664455,-0.33893535,0.21041559,1.047749,-0.17889507,-0.10427072,0.2749613,3.0458407,6.9634814,0.3500833,9.170465
