"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.0396696,0.17291857,-13.117387,-0.21355014,0.15679502,2.4583375,-9.133347,0.56904817,14.74902,0.42530668,-2.1881328,-10.617246,-2.1480966,-7.7161016,0.1949101,-0.258985,-3.300424,-2.5003517,0.021393815,-1.6180371,1.825877,-13.543415,1.5512221,0.4334374,-6.5548344,-2.0837226,0.7688996,-0.6174505,-4.1027513,-1.3981361,-0.43903494,-17.367277,-14.5024605,-3.5509183,-49.922085,0.6360146,-2.102651,-1.2732143,0.17910057,1.2141442,-2.0822027,-0.37830123,-0.31865054,-1.5510515,2.2088697,0.1445798,-5.646681
-1.8333578,-0.10913152,10.834168,0.700174,-4.96083,-9.168866,-5.306297,1.8441318,12.920013,-0.7623034,4.564038,-8.367261,-15.054275,-21.318792,-0.7193747,0.09978337,-5.786915,-0.69600534,-0.1205676,-5.8717136,0.44394112,-22.905441,-8.669627,-0.3345108,-6.049379,-0.58929163,1.223157,-1.4333146,-3.9821825,-1.4952413,-0.5098513,-20.735971,-11.3508835,-1.0518651,-49.437622,-0.12522727,-0.737925,-0.96970975,-0.19212838,2.0662847,-0.38604447,0.3909274,-0.30770114,-1.172955,0.58383334,0.33649826,10.144901
-0.58508205,-0.30363587,-13.907466,-0.27783355,-0.4720816,-11.432436,-10.276942,-0.85981774,11.908566,-0.09004861,-1.4419444,-7.7814913,-3.208439,-1.5322433,0.4797694,1.0337265,-0.9813896,0.0056797424,0.04712232,-0.7072005,2.2496223,-13.310073,-0.85464424,0.91127723,-6.0378036,0.20242313,-2.9749746,-0.68266094,-1.0449016,-0.97047955,-0.34597704,-14.005631,-10.027037,-2.5502682,-38.945137,0.60858554,-2.3606725,-0.8929932,0.52557135,1.3933902,-0.71626616,0.493026,-23.959213,-3.720504,-2.1827302,-0.7298361,-3.5775747
-1.7425073,-0.48809206,-7.250559,0.6106538,-3.5353093,-9.547934,0.52597475,0.12744056,9.780761,-0.19360855,-1.6296796,-8.21102,-4.8903303,-3.4780588,-0.7823235,-0.014920406,-4.0432363,-0.07352334,0.09213121,-3.7294638,1.7737902,-15.465327,0.54989207,1.0190907,-6.2018065,-0.026533308,0.6257395,-0.9240356,-2.9469378,0.76721734,-0.7115096,-9.911653,-10.9830885,-3.5119836,-48.70646,0.813211,-1.2364155,-0.5751557,0.36574626,1.3139757,-1.4380356,0.3830056,-23.73299,-4.2675185,-3.732365,0.5613912,-3.8013785
-1.0563244,-0.26330227,-7.1148915,-0.043694787,-3.7997472,-12.283164,-10.943717,-0.12529537,10.67452,-0.15986773,3.9747024,-5.984456,-5.372162,-4.3995347,-0.9933379,-0.197538,-2.8495626,0.21702251,0.181575,-3.5929406,1.3064972,-15.852932,0.12466598,0.59948707,-6.562111,-0.10426447,-0.051973376,-0.8952214,-3.0216002,-1.1220639,-0.29141596,-10.730272,-9.101691,-3.5783784,-42.803867,-0.20187622,-1.1310071,-0.5291016,0.22606671,1.2455031,-0.17967892,0.18437096,-20.751165,-4.143667,-2.1836016,0.41116205,-3.20063
0.7067866,-0.42083904,-11.094834,-1.5551674,1.6963105,-15.081896,-10.361744,-1.1986732,12.164092,-0.54978126,-1.3245279,-5.86817,-2.7072744,-2.4955819,-1.0910032,0.28901768,-2.8931882,-0.48229247,0.10581752,-1.1211138,1.9482361,-16.885216,-0.28283167,0.9329636,-5.596162,-1.522166,0.55675054,-0.47581613,-1.3501372,0.91116863,-0.36118478,-9.847701,-11.330667,-4.0760617,-41.899445,0.7168496,0.08147581,-0.5949871,0.40151313,0.8624437,-1.4052691,0.1168452,-23.861027,-3.6448834,-2.0634367,0.2592756,-4.145307
-0.37789193,-0.80314523,-9.808022,-2.0269217,0.95191014,-23.863308,-10.000671,4.4935718,33.01461,0.063169986,-2.4761598,0.60819733,-5.388425,-18.08766,4.1282663,-16.855326,-3.5844147,0.200745,0.002777125,-2.1232126,6.160104,-25.355864,-0.47203425,0.8895544,-2.7937071,2.057046,4.0109196,-5.8058715,-4.0467772,-3.5398893,0.08966873,3.8224404,9.300602,-9.1628895,32.068306,-1.3287967,-1.001178,0.61916196,0.080065615,1.8293594,-0.21208309,0.02430621,-1.594633,3.6903992,1.1744153,-0.40198502,10.624192
0.22640316,-1.6821862,-16.261183,-1.5379478,0.99751335,-10.782394,-10.574602,0.5473869,-7.188506,0.17390284,0.42057425,0.31350526,-1.4730133,-0.6243688,-1.9920484,1.2121396,-1.0836452,-4.1311858e-05,0.008403848,-1.5056828,0.057895422,-17.684635,-2.5929606,0.8774525,-4.3264236,-0.06403777,2.008315,-0.35768124,-2.0724926,-1.1390649,-0.31581083,-6.097857,-8.884573,-4.0972786,-40.056828,-0.0565764,-1.0824472,0.5070099,-0.22898434,1.8124906,-1.3739519,-0.111933574,-19.609665,-3.7302778,0.9348293,1.0762978,6.3993874
-0.41944265,-0.055175867,-14.651281,-2.5212607,-1.704128,-23.150614,-9.711025,-1.2472188,13.247827,-0.047574475,-0.10651039,0.11466456,-1.4328561,-1.7047727,-1.9522555,1.1905124,-1.8021339,0.012315844,-0.098960154,-0.7259001,-0.91614836,-17.71551,-3.1197166,1.1412435,-4.835927,1.4005761,2.8604224,-0.4596128,-2.7116795,-1.0928544,-0.24391001,-9.573889,-8.304175,-4.0985394,-46.560387,-0.2018409,-1.0642726,0.8254183,-0.032355968,1.9555231,-1.1032939,0.21246678,-13.912906,-2.5057254,-1.961668,0.7609681,7.099923
-0.59405303,-1.1058183,-15.394306,-0.6830862,0.637061,-7.372522,-10.170176,0.5155244,-2.9914432,-1.1850686,-0.018386943,0.18490079,1.5003014,0.53432465,0.047317408,0.7056083,0.7594405,0.46414816,0.3448268,3.923428,-1.8177917,-6.2309275,-1.6466378,1.3771716,-5.270464,-2.9002173,-1.639831,-0.36464483,-1.5068849,-0.7111296,-0.28621963,-7.792914,-11.677338,-3.13543,-41.700344,-0.24600264,-3.5954669,0.21149546,0.8769077,1.7948757,-0.44753653,-0.9593527,-25.689312,-0.5144364,-2.548953,-0.8764963,-3.7080624
