"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
16.904402,0.62990254,17.664623,6.6248574,23.118324,-25.401703,7.648532,8.40044,21.255344,5.176611,-1.4900655,69.087776,102.71744,93.30519,13.616244,-56.67794,12.540519,0.69542456,3.2799485,-1.3826939,-5.998976,-30.164722,9.369279,70.90402,7.1265407,-2.288402,-3.4760969,4.5069003,3.9516735,2.7448938,1.6841612,7.352336,38.97028,13.195333,22.67942,-16.511045,39.57419,42.390766,15.099125,-1.0036124,6.852883,26.481539,-2.7201257,7.9344263,10.055061,2.1167266,28.402502
14.223271,-0.6022413,-1.104974,7.22032,19.254362,-6.1472273,3.8705935,13.283356,40.97227,-1.2772455,2.9736056,48.868423,137.51715,187.79402,7.918724,-13.593787,27.185663,2.035204,-0.07770498,-11.970046,11.626313,-9.931671,-1.2611177,90.87322,32.428658,-1.8485609,-1.0972387,2.3785255,6.9498096,2.901919,-0.110294074,2.0422447,-5.398358,3.6174822,24.173273,5.471336,61.658337,26.647757,34.550625,2.4097295,1.9097091,-10.448525,10.472432,10.253068,7.789313,3.5260477,24.873953
13.0103,1.3668969,2.7794523,5.9812207,29.110033,2.4501822,40.89399,29.194027,27.66554,-29.900469,-1.2609712,62.210636,123.9839,178.05247,9.009137,30.169237,-5.2034516,-4.262354,1.2448096,3.10311,-12.40879,-13.46103,1.0810345,91.242966,12.99857,-4.6067886,-0.2201611,4.7020807,7.5088754,7.8812385,0.49628228,5.836929,30.785694,8.795022,21.434608,-1.3244047,45.121555,45.28217,16.634289,1.3110336,3.3888633,-5.29316,8.605867,2.5338228,-6.6381016,2.6736305,20.663845
14.24244,1.7077198,0.58547884,6.4419994,22.52953,2.3910725,6.993738,20.38292,35.611755,-10.29653,0.71987593,56.014034,131.7773,178.67911,9.896825,12.09075,6.0774126,1.2162862,-8.640984,-2.5984612,-2.319147,-9.151309,-2.2146747,88.61584,31.295483,-3.375397,-4.258719,7.247749,4.1224475,1.6776259,0.9631075,2.469392,26.072273,3.7270103,23.135948,-0.20333965,52.99718,39.54341,27.875032,0.67170346,2.4769032,-4.877044,13.206234,1.8657769,4.0969377,1.3951563,21.64579
10.371527,1.4065343,0.5069422,9.312038,22.13218,-1.2376106,18.516249,27.82241,32.94033,-14.285118,1.4711127,57.314945,135.58743,173.91576,7.4955616,11.304694,4.574226,0.7534891,-8.004382,-2.5477695,-2.4179869,-9.385102,-1.3556938,88.88516,30.869217,-4.529608,-4.544612,7.0422497,2.1869752,1.4693812,-0.033979226,2.4117136,24.294687,3.9837663,23.743477,3.4288144,60.29418,34.0077,28.668653,-0.72589946,1.9917307,-5.0574226,13.191152,0.8371227,3.5047688,2.2362545,20.60346
2.6138818,3.0300827,4.113725,-2.4355137,17.516901,2.2325265,39.51676,33.482185,19.238937,35.16579,-4.858538,60.038116,111.191734,168.26808,10.503157,24.319551,7.356011,-6.1478457,-3.2469573,4.645225,-8.26788,-10.516308,4.6433625,90.03409,40.537918,-3.436222,-2.2398963,6.9190073,2.5366259,6.5092545,-0.7249535,4.28172,26.067194,2.583973,17.852087,-0.8032485,34.255276,55.226658,24.756918,9.873395,-4.573385,-3.3450668,12.46104,1.9935044,3.826353,1.5533862,21.000683
13.855713,0.09168714,0.6683412,-5.588233,19.562294,9.901538,8.637906,21.237343,26.917793,9.313461,-0.869198,-13.121459,86.57066,87.852516,7.3991323,-7.897078,4.815766,0.4977767,-21.419216,-4.1739573,-9.355881,-15.679669,1.1840687,68.79123,22.02105,-10.825395,-14.620286,1.2587798,0.25645187,1.7098988,-1.7803575,-0.82853436,-25.43985,1.371795,-23.525124,0.5577937,72.55536,-13.719162,19.515385,-2.1523678,-0.95340794,-2.4981947,-0.8341581,6.510585,9.232468,0.44923556,19.703424
-16.259968,-1.0804329,2.5295258,0.53448206,23.358578,-0.61097455,5.6004987,21.79988,0.3338911,19.429401,-3.4597454,-8.730523,81.07125,84.28679,5.031069,10.402286,-8.041524,0.68593717,-19.431513,3.105702,-12.441208,-17.790276,-0.92755324,75.3944,22.561514,-4.8889327,-3.8323867,1.8150861,3.3082178,1.4441538,0.8625431,-1.4867859,-0.3200024,-1.1788807,-2.3779483,0.5743657,57.913216,-8.199027,28.469986,-0.9759971,6.541403,9.61761,6.928731,1.9365288,8.707067,-1.9663769,18.209234
7.5339108,-2.4942853,0.38925666,-5.3536654,20.386198,-0.44964126,1.9687377,24.014061,20.600971,-25.767126,-6.458282,-8.730405,73.012825,118.93054,2.7113671,8.72735,-8.352153,-0.13903008,-19.44963,2.2179596,-13.678297,-13.395733,5.7140226,82.28364,16.823286,-11.3550415,-6.1097007,0.40793818,7.573508,0.49791902,-2.3939269,-4.667536,-3.312633,4.6383653,8.767222,-5.0041924,55.617767,-21.879309,22.382881,-3.4480038,7.4766326,-4.220864,8.749508,3.4594615,-6.76605,-1.1296444,17.538267
-28.280851,-5.2821274,7.4153557,-18.100761,26.487667,2.6479242,7.91676,-28.74248,11.583622,17.17195,-6.61151,-11.842201,45.546764,101.52072,9.797712,15.054428,-2.4689443,2.9719353,-2.4834757,4.8500185,-11.766086,-11.553628,3.6856496,75.26805,16.49398,-3.9736311,2.526917,5.6892166,4.6698575,2.3979735,0.5469754,0.52575713,15.305809,30.463076,-0.44497302,11.033096,28.281902,-7.3243513,11.251514,-3.8981173,10.780105,1.9517099,1.200005,7.621966,-8.766262,-3.1279683,19.212816
