"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-10.227783,67.92823,472.06088,150.05084,68.24967,-1238.7792,125.614075,-173.1905,620.1059,759.32556,-199.63312,551.6934,297.1303,243.7988,171.69554,-2.6704628,449.8303,65.84935,44.738457,168.9379,-161.55263,11.756648,2.4627087,80.81124,227.58868,-55.096222,99.12489,198.49301,598.2758,-12.624963,10.124505,623.12726,776.3481,76.157524,1043.2971,-109.73656,-175.6759,243.59734,122.09265,-227.869,58.58918,64.87278,1004.65155,31.722149,-40.29187,-23.34873,99.57654
-11.924083,58.5301,-216.28117,28.588835,152.44742,596.35315,-178.7021,-110.909256,671.57086,544.79846,-359.83304,541.3579,1060.093,1573.9991,399.70227,-43.402588,513.5314,29.902094,-15.316084,96.08354,-109.654236,-28.451372,-32.08955,83.67794,-53.301228,-78.355774,-161.80965,180.08214,807.6955,-9.72381,11.420553,471.3311,443.0657,88.80214,831.5104,351.41245,161.66408,86.729294,278.98337,-67.44295,-13.766893,-186.21088,912.0506,47.787617,-11.516889,-28.979841,6.5792894
24.74591,299.32535,158.14952,226.42538,81.78542,1363.7445,427.16797,-531.19183,168.36603,717.4595,-211.29906,161.89122,798.2185,1200.838,198.35562,74.912094,52.87227,85.33016,-21.959139,-25.99424,-249.195,381.4039,-49.569603,55.8582,-78.46903,-150.381,-11.388238,278.79724,372.58386,23.782734,-0.4938772,509.68192,662.0451,-1.8094851,997.6464,110.93009,-91.95927,302.71457,197.91972,-69.23664,-11.294724,-84.21825,1130.7169,9.533583,-64.735596,-45.345818,-70.74316
10.408449,210.96602,-48.922234,132.64786,-11.279221,873.7691,-266.79172,-524.7115,535.2796,574.94354,-113.08187,283.68488,485.12924,1402.4463,169.89075,140.72534,210.8055,63.327873,159.98509,71.294624,-109.79339,523.72406,-55.429493,86.46069,-65.15176,-58.056717,2.103411,249.68907,668.72906,16.936758,-12.523139,589.568,520.1441,63.147804,916.46985,-79.94647,100.95719,230.55342,314.8199,-14.748122,-26.659264,-166.98839,1287.6254,11.23761,0.7574474,3.3957124,-47.115562
66.44649,238.69975,-25.549482,123.88226,14.696045,1109.8553,-62.502384,-226.99222,243.67802,954.30774,-448.4415,253.10812,554.19366,1294.5005,186.758,13.904507,251.36919,87.44559,144.26317,74.297935,-46.756535,290.26013,-35.140083,15.228476,-11.794824,-73.707825,-44.855118,151.50732,423.4807,1.3536404,-18.966738,518.24475,430.5305,73.14277,981.4922,203.52263,105.60219,201.93364,256.2061,-15.043175,-35.118896,-156.72116,1281.6486,10.973878,-14.804499,-3.9796011,-54.59255
26.90304,160.3833,20.020735,32.55942,-159.8638,1403.4922,378.54422,-193.3526,265.27768,245.75098,-177.44167,345.30847,365.25845,1205.0491,177.08336,93.504,326.1309,85.13191,161.11922,6.7760334,-273.3603,64.50156,-68.25774,-1.4980882,-183.8019,-25.28693,54.668198,349.19464,410.75427,-15.34154,-13.337244,580.3516,541.03894,33.31155,984.716,-12.944004,58.775322,184.7629,340.30054,37.46989,-110.029175,-33.400272,1211.0222,9.804283,-24.936762,-3.9421253,-37.357315
138.94096,44.80273,-64.93601,-130.89847,-44.704266,1386.8926,-29.825191,-55.022125,-85.42885,477.139,-138.14749,-366.4687,580.5515,270.71854,165.02153,163.39491,516.47217,61.537224,300.73923,15.932171,-60.298237,479.99255,-82.871475,-11.927518,344.68268,-170.15654,90.69514,122.85421,312.11438,9.018017,-14.570216,-412.3909,229.96268,58.059788,-2711.0413,471.15732,190.62108,-284.4656,377.53766,-338.04694,-45.616005,-53.318684,652.5797,15.319531,-49.154144,-27.582977,-36.654808
190.93735,-10.942346,739.86395,106.481026,51.273186,1723.8319,6.5787716,382.4725,187.36806,538.01245,-178.2737,-8.671778,698.43036,455.56,182.84686,180.51535,464.33127,135.71117,371.74057,21.592628,73.9448,284.7077,119.337654,30.665813,445.02155,-56.054295,-4.9394665,267.49365,367.41797,55.429947,-12.088886,351.0262,373.24997,141.31297,1549.9875,346.49765,395.107,89.118645,784.18713,-146.73874,-144.66437,40.179367,1177.0857,-18.667713,-13.217587,73.53877,102.76559
157.98611,197.04613,711.68304,42.26936,34.505455,1467.1558,243.12617,-67.657974,385.46747,611.05597,-204.13248,-86.89737,456.16995,1270.5691,159.66534,186.3627,488.84988,169.17548,302.7801,18.55119,115.75944,442.13824,29.258522,20.824022,414.39325,-70.5684,95.46487,243.45015,406.43814,15.995035,-13.772912,353.90137,258.792,127.275795,1282.2168,367.17468,383.23907,107.970604,705.68396,-211.27585,-108.81657,-41.608627,1289.3081,12.5449705,-4.7547083,56.66639,92.668495
-44.88906,58.891335,848.6661,263.56412,69.597404,1840.9282,765.6836,791.27264,99.67108,978.59546,-195.85837,-10.376309,507.9365,369.9171,179.70956,40.253677,45.50117,82.38743,87.62155,-52.52379,86.41105,65.56522,96.12858,13.21945,-78.60447,15.228237,138.82256,364.16632,379.78577,1.6229569,-3.3198788,545.2328,464.09344,-1.7130518,1688.4241,83.92786,66.58753,1.033811,583.21136,10.950754,270.5818,98.90361,1238.6798,4.9503984,46.01091,57.55366,-55.916874
