"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
3.1230204,-8.52771,-33.31125,34.283176,138.91806,-14.306668,10.605495,40.240246,283.8001,-16.526428,5.931338,86.72859,28.099388,255.41464,32.020336,-82.72314,-21.719074,1.843884,19.843744,1.8383483,19.6508,-63.22162,-10.783833,320.72754,-123.2893,-7.35461,6.1929555,-5.538587,12.087081,-0.47337678,1.1002067,-19.233982,-38.960976,49.960064,-118.02903,9.91027,-25.906075,77.392075,58.17364,14.674234,2.4472854,-15.657154,-137.37796,101.719,145.60791,-1.8169458,293.808
-2.8118455,-4.7247987,-0.821384,49.504307,142.77785,-55.40641,-0.64625543,48.409435,388.11932,-12.50373,100.439186,50.52377,42.572796,329.5891,31.947283,-49.747673,-10.173372,2.572509,6.8899918,-71.2413,38.093494,-45.59108,-23.91913,302.33475,55.77623,2.0394964,13.0092125,-9.446695,15.14889,0.18034881,0.737728,-111.52755,-56.785725,2.6697543,-118.72888,3.1551619,80.97866,9.340322,80.153496,12.075541,0.78504825,-100.398186,-135.54245,127.08979,105.70307,11.964271,337.20966
-0.9737994,-6.275024,-5.947676,72.60453,138.23557,-31.402159,16.295637,49.167645,260.75085,-49.60468,102.772995,94.37069,47.283047,306.01974,52.64507,38.40326,-13.203201,2.1598437,6.1006093,12.673689,-14.308703,-144.5169,-34.923683,323.6082,-1.4468348,0.83256304,-6.0850806,3.659319,12.45336,0.23711742,1.3160831,-21.010862,-22.370323,39.83616,-90.529335,8.835747,-4.2198153,66.17933,50.92038,21.865713,16.206997,-30.975218,-146.27933,100.8973,88.72797,-9.438667,280.14832
-4.469099,-4.0649633,-20.782764,33.15052,128.47574,-31.423828,19.776892,38.15043,377.21503,-11.842492,60.177414,76.91129,40.36357,318.10617,29.850956,19.511415,-13.61589,0.073098235,24.614079,-1.1575724,9.828068,-52.5641,-27.301966,314.83926,-6.1133995,2.0091844,-4.1548514,-7.34699,14.875862,1.7737718,0.38396993,-48.176567,-46.530888,23.347569,-94.79225,5.5415425,-51.956104,56.91317,68.23312,7.962969,-12.804108,-36.52691,-147.5116,88.77008,106.580986,2.2563634,335.28293
-3.1706772,-1.1668105,-23.19509,78.951294,140.19086,-65.74797,-14.145638,27.891348,340.0734,-14.014725,96.41708,51.67979,36.529186,314.3772,25.204872,6.4433064,-16.436708,-1.5419374,12.6217375,-4.973244,5.690945,-62.461613,-17.131792,330.9974,7.164849,-0.17913787,-2.528585,-5.04841,15.465631,-0.2245247,1.3503009,-50.44234,-24.120712,15.551677,-76.71845,9.201027,92.97112,44.0452,64.39195,10.815209,-4.0179796,-36.39049,-159.09546,116.12597,99.41802,15.211278,293.2353
-5.350378,-5.1760015,-18.703558,-87.358986,136.13129,-35.32192,12.702256,0.47263175,264.12033,30.868135,64.07997,94.077576,39.675545,297.36423,25.656815,17.368557,0.86309975,-3.873749,21.218973,9.047768,1.914681,-51.091835,-21.396769,319.97696,-16.661587,-1.1400411,2.7264311,-3.5704525,18.96404,1.2210522,2.8044636,-43.60766,-36.4533,43.732426,-66.4488,11.117064,-43.952133,48.404312,54.16881,22.095573,-10.191149,-28.81523,-148.31586,103.13193,60.3885,-15.936147,299.28598
-6.59606,-9.497786,-17.286604,-28.011385,131.01399,-3.5155075,-33.442547,6.71989,158.77122,-14.785102,40.531246,-1.0051565,56.970123,289.1665,26.227753,-47.97357,-29.954163,-0.36513582,-21.335073,-18.548267,-22.350908,-245.19028,1.2030488,276.6194,-47.028236,-1.2972194,0.6080066,-3.6222389,-26.1039,-22.403975,3.3740308,-67.54192,-63.7949,-9.540169,-95.848366,2.508487,61.540955,-46.691933,57.873646,13.020258,-4.189811,-27.361444,-138.35373,148.5314,220.01056,7.9746575,274.47504
-15.284526,-13.611966,-20.815296,-45.740334,118.09304,-73.10637,-17.376286,0.081625655,-20.836622,10.797068,-28.845516,2.0009997,-42.32322,288.9257,48.988194,-11.539044,-31.802544,-11.864656,-7.7072697,21.107504,-64.15519,-93.16368,-20.934958,277.30466,80.40712,0.86287344,10.349217,-10.61285,19.57113,-17.82823,8.131828,-53.342384,-41.112144,23.210653,-57.945385,-0.2637247,94.7533,-22.926596,130.32663,26.29726,1.6764542,11.739507,-166.42142,130.63226,67.93554,14.686246,225.12198
-9.138738,-15.081591,-22.115088,-69.51899,135.88823,-79.595276,59.772045,24.600025,250.39525,-6.7537327,-36.101112,1.3998436,44.07133,314.73566,44.497242,1.7366222,-24.811712,-12.120554,-33.512608,14.523239,-41.49076,-160.55298,-26.267933,284.58466,-59.617256,1.8086876,7.360729,-10.808916,11.123858,-11.230254,6.8684316,-80.48294,-73.99733,17.407194,-83.56701,3.371209,94.99691,-35.014305,74.87609,22.082695,-2.2234492,-32.95199,-143.61255,113.78667,31.895224,13.354482,264.51248
3.946576,-6.7675853,-30.852121,-73.015854,120.669365,-2.6999402,3.740662,-19.369339,-43.73261,8.203237,-60.485424,-1.757674,7.1649475,242.91864,44.02724,14.622472,4.3659034,-3.2174244,3.1213865,58.84567,-44.97494,-39.86764,-17.517303,296.36868,-33.99716,-9.87791,5.2600007,5.9407973,18.61728,2.2510884,2.696392,-9.981034,-23.874725,38.83948,-61.720158,1.759512,9.645789,-9.334334,55.302486,49.943527,6.61057,48.267773,-194.7578,126.58003,52.509808,-3.2574513,182.32245
