"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
6.4316363,-3.8240328,29.452656,67.34602,100.16418,-74.20954,177.65482,29.847942,13.633713,30.936514,-31.822412,113.08894,186.9065,219.84558,41.301357,-117.258865,6.8570037,11.0010605,22.467073,-32.571293,-21.961647,15.622412,-32.35364,50.239613,-5.805343,-10.032196,11.687769,8.166949,-3.1279547,2.9541821,15.456267,50.320786,74.551384,52.385746,125.15362,-66.71121,35.700478,9.584645,23.286995,3.886929,24.41406,-4.9665775,-2.2828534,3.7261248,6.4501724,5.100385,39.929966
11.131713,5.748107,22.73125,27.407158,97.96205,-16.2343,69.06473,38.837418,3.568764,-3.1797795,-3.475554,78.80909,229.15837,347.8562,44.917168,-50.94504,17.887873,7.7935443,6.592049,-31.052246,52.42422,-1.8745885,-24.200619,252.79959,-36.85385,-15.158535,5.5334496,4.3509693,8.381182,13.354472,8.248153,59.35111,39.99929,50.368412,68.44274,2.6339588,96.05647,6.857651,14.218745,2.9499369,22.63813,-17.217625,1.2908573,3.3499067,5.6825366,-0.47116062,7.4456673
42.61471,-7.5464716,42.266457,120.698814,146.2122,51.476143,215.91649,30.71192,17.478395,-27.76836,-29.600737,70.95804,168.46123,273.3354,48.23967,79.1856,-8.3226,7.7664933,11.510367,-12.356838,-26.615725,-3.0456438,-53.76623,93.46089,-14.424223,-31.886482,-69.33313,5.32089,6.886716,2.2931385,2.307933,33.799873,75.43774,58.664978,79.78225,-0.27057666,30.28408,13.28913,21.799574,11.6103945,23.461363,-10.522846,4.18405,5.679875,-9.300755,0.15069766,44.69555
34.558197,3.4947627,54.068172,33.283405,167.09102,48.984745,74.60146,38.763233,0.88222605,11.804424,-13.767516,67.38583,189.53899,311.37552,42.890697,-0.045770284,5.239253,8.368549,-8.249168,-22.528078,-17.206345,3.1463096,-32.3592,90.22237,-27.594116,-25.397596,13.1986885,14.620875,7.5256357,4.635218,6.6707306,35.840923,65.09916,45.54761,73.38749,-31.129221,77.87425,18.015442,19.292984,9.286942,17.82408,-15.276134,-1.6749402,6.745004,-0.48211315,7.225165,47.595924
34.708813,1.3625802,17.857838,48.067665,181.10287,48.041405,148.29286,46.060772,-0.838987,6.134023,1.3910041,54.885685,224.362,315.1821,43.31315,-9.743623,7.3857865,9.017235,-6.9789033,-19.67014,-11.855034,3.7429557,-44.202007,92.63924,-28.332212,-27.664543,12.337352,17.708752,9.80091,4.295626,5.7292027,14.240091,39.71765,44.05989,61.064274,0.29410264,84.78188,12.519576,19.06101,13.398251,25.912437,-6.5778465,-6.6492896,4.1194344,-0.23437056,4.926424,39.361904
6.338084,-0.4971237,29.253572,-27.66353,-3.3700254,17.33337,113.93445,22.85657,5.6317654,0.14239767,-13.404333,71.66331,148.34634,292.82565,27.752651,13.52165,10.814319,19.167198,-0.5942754,-10.2595415,-16.17691,-25.749329,-52.114956,67.31514,-24.033234,-28.518934,-8.75651,12.171436,5.3908825,3.4605956,-3.0097675,7.861436,78.41974,38.730103,101.685326,-45.69304,66.914024,7.7015557,14.89201,10.342725,22.682491,-6.5428114,2.4410717,6.88587,2.0145295,-2.9462047,45.25921
21.066349,2.1671112,-15.873887,24.740015,175.1585,58.715008,132.29626,9.412854,-1.5986433,30.395771,-25.943396,-0.394454,237.30844,268.3046,58.022877,-132.72528,10.264202,13.647624,-18.317736,-24.722765,-35.69603,29.343323,-47.99108,56.986378,-17.640781,-33.369152,4.9066706,15.230068,13.419038,-9.304707,5.124412,16.465279,80.00681,37.970966,16.331377,1.31378,130.4687,-3.9094067,20.22665,4.868801,21.233671,-13.848282,-4.149335,6.7079926,5.375039,-5.3262,-87.4784
1.1864811,-7.4504824,3.4491813,-6.686868,36.360336,54.28094,46.81819,12.201836,14.582971,18.984062,-13.778933,-4.7524495,195.82452,248.81839,38.37873,-53.10864,-4.5402513,10.649139,-48.41603,-1.0810071,-45.971436,-26.675297,-55.648533,34.311512,-27.952068,-58.450085,0.49599364,1.5429094,9.345494,1.5652688,5.2203856,-10.203085,31.944551,28.557266,30.612617,3.4851067,96.41368,1.1336906,7.1933603,11.480584,24.219189,-1.5438535,-9.011404,-0.6362249,-1.6027145,-4.07464,-8.873986
5.8864202,-3.948358,15.229686,-19.789318,194.33182,45.0232,70.98262,-12.9521055,-15.210858,-44.710835,-15.150383,-13.061099,127.964066,275.20636,32.210724,-34.244217,-11.369287,8.923629,-19.98606,-2.4519844,-40.792915,-25.866844,-62.908356,18.849443,-26.451866,-56.4604,5.070909,-1.5052705,12.810728,2.7658918,-0.29190922,1.9994948,8.16801,29.657766,51.607155,0.8381892,92.0718,-21.899324,1.6965201,8.020272,19.74461,-10.5530815,-13.610932,-0.7800628,8.332529,-1.235755,-2.869105
-11.2447605,-19.402006,-3.6907277,-85.51731,41.828648,77.33071,89.63528,4.106214,25.983017,12.318659,46.658043,3.8653686,142.72467,206.81227,21.838686,44.957138,-1.5553811,-0.78562427,-2.8342316,-12.79037,-47.340477,-5.286093,-83.36839,33.58537,-31.406757,-41.705105,-87.40175,-11.823065,-1.6486387,1.2371856,-1.0761439,-0.2354519,64.36878,31.704363,76.45518,4.1906343,30.658194,-6.8557034,-10.778729,8.957489,24.27515,12.691516,7.702154,2.2124345,-11.634764,2.4534276,38.642467
