"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.7383779,-3.5899105,-5.1537766,-2.8488357,0.09262166,2.7407057,-0.009904051,2.1549976,-6.2623005,-2.298368,2.1450179,-5.0128226,-8.776973,8.639398,-0.2591641,5.4313745,-0.0105144875,0.07759775,-2.764794,0.0042966413,1.1328433,6.776231,2.0647595,1.6120191,-1.5051923,-0.32921582,-0.63801426,-1.6689382,-5.795207,0.8050224,2.142613,2.3711545,-0.23880015,2.651717,5.8433833,0.70050895,-7.4303703,-7.6804996,0.6439128,3.9046192,-4.685003,1.503287,2.373673,5.082199,9.848936,-2.696461,15.855985
-2.6375268,-4.0650506,2.3151212,-4.0305934,-0.042118862,-0.58735216,0.66808736,3.5356996,-3.4810658,1.1745763,-4.024064,-4.294345,-3.153474,-3.2853875,2.3959832,1.4455258,-0.5254985,-1.1478459,-3.0398223,-0.99906904,0.59737784,2.9568338,-1.5163276,1.6244202,-21.670584,-0.075175285,-1.8471745,0.06745082,-0.2739423,0.48115364,0.045809872,-0.26166624,0.935857,0.18236288,3.7433841,-0.11270357,-3.77976,0.08979542,1.2586218,2.2543604,-1.3526092,-2.903618,-2.4621239,5.089044,8.630542,-1.2753015,20.74506
-1.787586,-2.9298728,1.8320053,-9.122253,0.98092616,-0.89670265,1.1125628,3.5984738,-3.1485143,4.920074,-0.69502175,-7.059241,-5.222121,1.4568979,2.7559493,-2.449814,-0.03779713,0.39451897,-2.068603,-0.076236255,0.5883222,5.3995175,-4.094724,2.3819468,-8.392366,-0.34361422,2.4160967,-1.066961,-0.12039277,0.36391062,0.055666924,1.4018139,0.031491525,7.3422923,4.0912743,1.222915,-8.834544,-9.708114,0.7363293,3.3576286,-3.7729042,-0.2526165,-1.4857241,4.658673,2.474267,-1.9021987,9.293523
-2.5665157,-4.462676,3.8676758,-6.7335305,-0.7174592,-0.21077822,0.42201933,1.6102105,-3.2846003,-1.2751906,1.5775975,-5.5008926,-4.4817014,2.7373002,2.4801378,-0.025725557,-0.3965541,-0.23552653,-2.5438333,1.2780234,0.34482965,4.0702567,-2.424316,1.3191177,-17.737465,-0.06603863,-0.25984892,-0.5079398,-0.19231151,0.43639576,0.21846174,0.0971461,1.7526723,3.8337634,2.547694,0.60508674,-5.2944603,-4.3649774,1.379114,2.2898152,-2.9848287,-1.6975685,-1.4473982,4.487198,7.367716,-1.147947,13.265399
-2.1233413,-3.794098,2.3076315,-5.0516405,-0.30302182,0.48533165,0.7126085,1.831167,-4.3143263,-0.20924406,-3.7963076,-4.038114,-4.668933,2.1635556,3.0899372,0.07927834,-0.43732426,0.11706993,-2.0110273,0.07989389,0.19201878,5.4664516,-2.1351993,1.8462887,-17.915874,0.26675302,-1.5221251,-0.07144458,0.09656595,0.5458141,0.20846003,0.6205353,-0.48892045,3.5885458,2.6053865,-0.3338568,-4.2348957,-3.8722165,1.3852583,2.6094313,-3.0846746,-1.7842952,-1.634955,4.727864,7.2966943,-1.0875762,13.955127
1.090266,-4.006083,2.637035,3.0858743,-0.054737806,-1.40804,1.8461236,-1.5646983,-2.0431905,-2.3978736,0.93048906,-5.019262,-7.7919083,2.7702727,3.0110483,-0.12593646,-0.104316324,-0.15604603,-2.465406,0.24260277,0.82240707,3.9545758,-0.14186543,0.8064553,-10.295125,0.15465634,-0.75120336,-1.463975,-0.38664758,0.4735717,0.10130894,1.1282536,-1.1187117,4.997939,3.9219272,0.78714585,-7.4883056,-6.013787,1.0925367,1.9113842,-4.520752,-0.72520155,-0.31889638,4.5146704,8.969225,-2.1345558,16.437157
0.19902977,0.674824,4.2259965,2.0741897,0.100894324,-2.5382307,0.23949975,-1.3403267,1.6876414,-0.6319242,1.1052897,0.066578664,0.6924684,7.166317,-0.284695,1.8127023,-0.023306863,-0.03803991,6.5789165,0.82308203,-0.9764599,10.432942,1.730632,1.7260382,-17.303295,-0.25150168,-1.8222778,0.017033357,-2.95344,0.19199412,0.17588682,-3.1516898,5.5640903,-2.1411235,1.3389616,-1.5737835,-3.0925746,0.04958307,2.1237812,4.733759,-0.82860583,-0.14868058,6.168837,6.678941,10.649897,3.3348103,29.182928
0.9105973,2.205489,1.9386929,4.214114,-0.2837762,-3.4001634,-1.5100551,-0.95623404,3.837521,-3.0807,0.7184407,0.15310256,4.6003823,8.282235,3.643094,-0.20582728,-0.5316238,-0.01717807,5.977132,-0.97919357,-2.297612,11.707903,1.0821723,2.2168634,-18.529293,0.026180733,-0.12961356,-0.018713158,-0.29853287,0.23412931,0.21328586,1.1509215,1.241843,8.681077,4.3640394,-1.6385411,-2.9921253,-0.07182967,2.3757825,3.6432936,-2.6447349,1.4093426,3.7822514,6.791776,7.331232,-1.782536,30.446156
-1.1373514,1.0831841,3.4082587,4.476364,0.48810184,-0.76952744,-1.3336196,0.73115766,-1.4479891,2.5408142,0.9009943,0.54804224,3.7925112,3.5945363,3.9368498,-0.28852,-0.2621671,-0.0025837822,7.69577,-1.1211262,-1.506196,11.715131,0.48997772,2.0728571,-20.481346,0.013128635,-0.31074008,0.0080838185,-0.14097117,0.30729654,0.14613046,-0.032276906,2.5370731,8.633952,2.2450368,-0.5444347,-2.6286101,0.34078136,2.2966821,3.266242,-1.9034102,-1.6002212,0.8844919,7.2892404,9.598001,-1.2693899,24.172632
1.7601146,4.946495,-5.6836686,6.790879,-0.91289645,-6.7637987,1.3132709,-0.27330446,1.1588291,-2.1671982,-0.63740206,0.44575107,7.4387026,8.489941,3.1767874,-2.6055803,0.83270556,-0.12774496,-2.3998888,0.93826467,-3.1609342,8.443592,-3.0406964,-1.0430156,-0.22826889,-0.3625041,-0.90461105,-0.39584935,-0.10835183,0.32823592,0.092917584,0.88424057,-1.2681537,12.82244,5.2732935,-0.9707067,-3.271566,2.2534251,0.9988315,3.9648802,0.37461594,0.78651416,0.4482077,6.307895,7.1113944,-5.6687903,15.563657
