"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.43099767,2.0538733,-1.2680496,2.35175,2.1173894,-13.856374,1.0684447,20.698078,-2.928647,4.14333,-0.3775271,39.1132,15.916886,39.733253,31.217701,-3.998873,1.3780328,0.055529673,-4.512046,-3.6104996,-7.47431,-2.0906181,-3.562282,20.140741,-1.2105997,-0.11340065,2.0538073,-0.109534144,-8.157815,0.6192216,-0.2549998,4.409599,5.8461976,5.403249,-9.625883,-0.78142726,29.782984,7.9065657,18.431065,-3.4923272,6.286376,-0.35653433,1.1284223,12.638631,8.338651,0.7312778,34.260307
1.2743706,1.8317755,0.21275732,0.9254758,1.0038095,-6.0793843,-0.8894985,20.506376,5.701715,0.34962422,4.257308,43.128036,13.118459,41.97744,30.967402,-4.0862193,2.6472428,-0.3744647,-5.103656,-4.0282173,-0.94788694,-2.8794556,-1.890861,24.249943,-0.92891014,-0.49837214,-1.0361651,0.23493323,-8.5693245,0.18844227,-0.76010084,0.03568019,1.4894707,1.6995524,-2.1086116,0.20332576,32.902996,3.3155558,26.582466,-0.07360331,-1.7234166,-5.6574535,-0.43257928,13.669955,10.428216,2.1090443,28.507967
-1.452888,0.20677091,-2.1508446,1.9597322,2.021288,-2.5573294,5.1131244,19.932161,-0.79230064,-3.2813647,1.167751,41.813965,16.570797,44.901733,34.217323,-0.65804845,-1.5628724,-0.3971225,-1.0828829,-3.4123592,-11.128046,-1.4717369,-0.3851695,24.64565,2.7874115,-0.105373,0.5926465,-0.3337103,-1.3009733,0.5816481,-0.32531267,3.4102669,5.840469,5.4180264,-2.49537,-0.86843413,23.29812,8.393651,19.156378,-2.760253,6.8467107,-0.07956088,-2.1718168,12.427379,-4.2067246,-0.26979393,30.699417
-0.55641854,0.082745485,-2.6337836,1.7702072,1.5351275,-3.7564332,-0.77341527,21.352058,-0.77907544,0.10084487,1.8240949,39.916702,15.67708,41.071636,32.25408,-0.621043,-1.5844288,-0.9868294,-5.6679225,-3.6383796,-4.136653,0.27361634,-2.4665003,22.169004,-1.2335829,-0.40903515,-0.44900537,-0.108042374,-2.8908143,0.3053368,-0.9993518,2.5196757,4.806117,3.7084386,-1.2062993,-0.5559857,26.195446,7.906393,16.98364,-0.17543998,5.0555415,-1.765846,0.7584415,12.762829,8.843111,1.0144489,34.07232
-0.62127274,-0.15986775,-3.757187,1.9181755,1.4365575,-2.3423738,0.07884448,19.526611,0.669661,2.1891804,1.7425233,39.502827,14.596975,41.64762,31.9059,-0.9364815,3.4495335,-0.83058727,-5.7400975,-3.407408,-2.3698015,0.538065,-2.7843204,22.073145,-0.2658613,-0.42512694,-0.3979126,0.05658333,-2.550616,0.2450421,-0.98055285,2.2406013,4.1883674,2.2907238,-6.0713,0.29883617,26.9366,8.012194,19.896864,-0.4535651,4.745835,-2.750425,-0.7003559,11.436576,10.261178,1.4827273,33.043102
-1.1955731,0.74922526,-3.707398,-0.96225494,2.705011,-1.0653167,5.7603226,8.003221,-1.4791015,6.7801867,1.5982221,35.080482,13.167361,45.394547,30.722757,0.11628918,-1.05155,-0.8955343,-3.5201685,-3.0469563,-7.879516,0.59022874,-2.721193,19.890034,0.21814965,-0.6137333,-1.190575,-0.43819022,-1.4351376,-0.038220525,-0.9640979,2.875123,4.582037,5.205486,-3.463142,-0.5936842,23.116182,9.766032,15.790375,-0.69198394,4.1825123,-0.94563526,-2.956597,12.168949,7.317463,-0.0840738,29.690153
0.6317813,-0.89934844,-2.2280812,1.377365,2.6449313,-12.278685,1.1702857,6.266775,-6.823811,1.6655327,2.2322307,-1.8724039,7.5868764,42.382465,27.905996,-3.390051,3.8955004,-0.27242824,-3.7358086,-4.1418223,-10.758116,-16.824804,-4.743017,16.025667,-12.534199,-0.28027174,-2.115473,0.4812606,-8.478935,0.97157955,-1.3265935,-4.5894637,-7.2373233,0.4410445,2.8982983,-0.21736526,47.887962,-4.1597924,14.235539,-1.385804,-0.07139328,-1.0689243,12.678987,8.862462,17.337776,0.79351306,24.147406
-3.428783,-0.7425996,-6.471393,-0.14315596,3.1666992,-4.411515,1.1021125,0.5663749,-3.0001867,3.6962852,-4.152597,-0.021218607,10.625703,39.945187,28.138784,-0.6083547,-0.7091233,0.50345176,-8.981221,-3.5394955,-11.132834,-3.1672683,-3.036223,15.761623,-11.220208,-0.81451946,-2.4847894,0.7936433,-9.155649,0.40567163,0.17584394,-1.3260479,-0.16324462,4.1461525,-1.9888629,0.15213059,34.593906,-6.5163255,12.247194,-1.8497924,2.833597,-0.03821467,2.8338501,7.17062,12.822661,1.1296917,16.90409
0.35761282,-1.7586596,-5.8556046,0.92224133,0.49991992,-1.1630799,2.3022976,5.49215,1.2723732,-3.6275637,-4.513716,1.2375402,11.725784,41.761406,27.852234,-1.1181682,-1.4031829,0.18102644,-5.312075,-2.9028528,-10.430207,-3.5123885,0.29993945,16.211939,-9.181586,-0.6743288,-2.7219305,-0.027731676,-9.345669,-0.01953351,-0.13044794,-2.372558,1.3526065,3.1652522,-0.69603497,-0.21603332,34.27769,-5.3724313,12.739957,-1.3871855,2.5903754,-1.3984582,1.0330977,6.873836,13.720274,0.15067603,24.308517
-4.973006,-3.0240242,-1.5166664,-12.742706,9.288974,3.8011653,8.519118,-32.41178,-1.8950335,9.372236,-4.009311,-0.194983,1.5490084,43.22262,29.754557,-0.73029697,0.090750545,0.20560817,-9.515208,-4.2478566,-8.213225,-1.378568,-0.6303009,18.591473,0.8293728,1.9514713,-2.5793731,-0.5551074,-4.836934,0.9136713,1.3776662,4.3355727,4.617744,7.842989,-4.916292,1.0046829,24.753712,-6.3798337,14.418891,-4.536874,4.530022,1.6050253,-5.3730054,6.234889,0.68816257,-0.7690005,26.334764
-2.5423725,0.20901819,-2.9459658,1.3459525,2.1037805,-9.607024,-4.8546205,14.83582,-0.29368436,-4.672317,-1.125764,0.11631235,10.321691,39.17779,26.074184,-4.5688577,-1.7077414,-1.1952761,-8.911545,-2.9524,-11.770213,-3.4301608,-5.3533306,14.979649,-5.125346,-0.40709838,-3.5262754,-0.3342849,-10.6848345,0.31054062,-0.885665,-1.3087674,-0.1121831,1.0023588,-9.032461,-0.3800151,36.105762,-6.110777,12.8445635,-0.8140438,2.270909,-1.586931,-2.1381242,11.554544,15.138896,-0.6479262,31.440052
-0.5487479,0.18164663,-2.82212,1.5329268,2.68103,-10.492782,-4.8698134,22.691446,13.494945,5.4491677,1.1438477,1.4515786,3.4751801,38.84625,29.771435,-0.53134936,0.47122738,-0.024757758,11.589637,-3.7044666,2.4738472,3.5717835,-1.080548,19.441658,-1.0383999,7.767614,-0.3580017,0.18988763,-2.0198786,0.504435,-1.0392549,-1.2922076,0.5116321,-0.3310786,17.419056,-0.40496966,26.89322,-1.9442639,23.3876,-0.8299952,6.450687,-0.8477787,19.590788,16.812384,16.437769,1.3950202,37.86245
-0.969771,-0.7907637,-4.3493915,-1.5795838,2.3474987,-14.420529,4.995056,12.178682,15.367957,6.2413316,0.33472413,-6.761247,2.8386095,37.353516,32.881325,-0.31780884,-0.7727737,0.9458415,31.380074,-3.6397054,7.8183756,6.9541984,0.45431125,20.694963,3.9240294,15.749463,-0.69374245,1.489715,2.829436,0.92356753,-0.42261633,5.426029,5.7678013,5.8935366,-1.448366,0.123682275,14.262202,-3.20829,14.585736,-0.62089896,6.71629,-1.1353916,20.314018,20.986355,8.57901,2.8164594,27.544903
-0.540175,0.17944273,-2.8219063,1.5229869,2.689374,-10.47732,-4.9668455,22.693003,13.495347,5.4516764,1.1483952,1.4447665,3.4741209,38.83405,29.771368,-0.55432,0.47595403,-0.023098651,11.31443,-3.6976793,2.4266703,3.572991,-1.0817462,19.433844,-1.0639036,7.7671475,-0.35984084,0.1940637,-2.0298367,0.52320737,-1.0369167,-1.3187758,0.59560996,-0.38313255,17.446068,-0.4264437,27.535423,-1.8415956,23.38472,-0.84359604,6.449837,-0.84326553,19.554192,16.779348,16.438843,1.407092,37.86656
-0.37805215,0.44287285,-2.8007667,1.9047318,2.5772674,-10.031822,-4.3225045,22.761723,9.056663,5.3855777,1.3597816,0.64568007,3.9117558,38.866398,29.91221,-0.46835753,0.6759583,-0.15750471,11.279159,-3.6759968,2.3167622,3.920404,-1.1870801,22.455893,-0.75712276,7.8055234,-0.33782056,0.039000235,-4.482144,0.9015604,0.720389,-1.1827594,0.6252632,0.24120721,15.680039,-0.36313763,28.455713,-1.800745,23.339882,-1.0217668,5.83814,-1.5037168,19.738596,16.946104,16.451513,1.5826415,37.64549
-0.5454647,0.17942584,-2.8170047,1.5236502,2.689374,-10.476025,-4.9668455,22.693384,13.495636,5.457982,1.1466819,1.4500002,3.4755795,38.849247,29.773329,-0.53152204,0.47595403,-0.023098651,11.312278,-3.687267,2.4366746,3.5729995,-1.0804919,19.442654,-1.0414878,7.7665367,-0.35977036,0.19390646,-2.0319307,0.52320206,-1.0428083,-1.321288,0.5920956,-0.3841276,17.433748,-0.410422,27.535465,-1.8414991,23.38713,-0.82987297,6.4498124,-0.8442624,19.553759,16.779348,16.438843,1.406346,37.86338
0.45132625,-5.379365,-3.683547,1.558717,4.3834004,-12.677615,6.962755,18.779242,11.849479,6.5429125,1.2523882,0.7401583,2.9219415,38.767277,29.365194,0.18261835,0.33191183,0.06937175,13.076046,-4.1862516,2.7157123,5.594177,-0.38178954,21.117996,2.1115265,13.7508135,-1.789982,-0.042154215,-2.1978014,0.5559389,-0.9743671,-2.170159,4.6755004,0.86709756,7.850635,-0.9423105,16.241549,-2.0187309,25.901922,-1.2976029,6.367784,-1.6782852,22.05169,16.40403,-1.6734221,1.0333661,41.04772
-3.4988577,0.009295251,-4.273683,1.3881197,1.632372,-17.955172,-6.8201747,19.58572,1.3630524,-7.580246,2.222539,-1.1150732,-3.7637696,39.63336,26.217657,-1.5570244,-3.0491974,-1.1182734,-16.660097,-2.5250556,0.32751107,-4.046501,-6.5045595,13.628156,-19.992579,-0.64556897,-7.0073695,-0.45067343,-8.220715,0.2561584,0.9331789,3.609228,6.762195,3.373835,-12.137181,1.0395242,-0.17229915,-5.696876,17.578527,-1.9894403,-12.930481,-2.135091,-13.684039,14.047592,12.036256,0.4359713,30.323635
-4.0354686,-2.9982443,-1.4732094,2.2540448,3.4279923,-17.745398,-10.169676,12.893422,1.8538848,-6.2418203,-2.888001,1.9134145,-1.536374,37.25406,25.538733,-0.041214306,-1.9860412,0.3779581,-7.503124,-2.9737551,-4.732386,-6.9691696,-4.4161444,14.995294,-4.4725676,2.5076926,-2.137444,-0.73316824,-0.88449436,0.107720286,-0.64571655,3.994225,7.48847,5.279636,-18.287807,-3.1842358,-19.739914,7.769839,13.769183,-0.5081777,-16.236315,-0.6810592,-11.402487,14.575147,12.462017,2.5718222,28.249557
-5.461003,-1.4545486,0.18709874,1.8019158,1.9473749,-18.573334,-7.6670213,17.030691,-2.997943,-6.199186,0.9413958,0.8451131,-2.2323258,38.04285,23.267784,-0.5528658,-2.1429863,0.35026303,-10.925027,-4.2513075,-7.104286,-2.0902517,-5.6928716,13.244398,-10.366356,-0.6773622,-2.480969,-0.6298706,-3.346254,0.31776723,0.13696906,4.0653677,8.285982,4.6711955,-16.29857,-3.3465593,-2.0650647,-4.363967,15.442677,-1.7290366,-18.210508,-1.0251046,-9.185225,14.4133,11.46433,1.1941544,27.924831
-2.1949024,-1.9569951,-1.9010626,1.335163,1.65031,-18.869694,-12.576901,11.660665,0.700957,-13.871633,4.2197204,-0.15622528,-1.8010492,38.78108,28.95586,-0.82780075,-2.3317852,-1.4521248,-1.52061,-3.5277946,2.6455092,-2.7133107,-6.536002,16.118488,-10.927906,-1.02889,-4.0831633,-0.40606707,-2.270946,-0.021168485,-1.0458285,2.395802,5.0224586,4.2158318,-10.773415,-3.3956196,9.213407,6.3669066,14.443948,-0.5694282,-13.981186,-0.3829517,-12.934222,14.702439,12.010322,-0.6616059,26.764189
-4.3998384,-1.4559591,-2.7698584,1.1949747,2.6532845,-21.832262,-14.335904,12.215826,1.3034366,-6.4151363,-4.5337787,-0.9395648,-2.7660487,38.359592,27.08624,-3.100047,-2.0471447,-1.7702346,-8.769386,-2.9973521,-8.323461,-6.643883,-8.1745405,14.793737,-6.1147747,-1.1343155,-6.0249667,-0.3807363,0.7560885,-0.05497493,0.89558184,-10.433371,-2.8441877,5.0987506,-18.198267,-0.83941585,24.619154,8.729787,10.262938,1.2658235,-1.0633763,-0.80728656,-17.030773,13.106613,10.215262,-0.0388715,32.33254
