"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-1.7535905,8.105537,-57.779675,-19.724213,-23.992966,35.76592,-308.8114,56.582687,21.993885,-54.316517,0.6777243,4.7047405,-25.533989,-47.168064,-58.999165,8.808007,-75.61319,11.335328,-27.872742,66.50132,10.803768,-91.843414,21.45077,-6.9575043,7.4136925,9.387408,-7.527914,-0.6570736,-3.2246354,-1.3358507,1.1299976,-10.904175,-60.368954,0.9359048,-294.8451,21.429974,-7.8726244,72.21728,9.050973,23.316921,18.808004,8.158019,-121.846115,31.728127,49.207806,9.601035,174.26337
4.546346,1.7685423,-6.565026,-18.651756,-22.543068,51.93148,258.47855,42.42804,9.934757,-55.860184,2.5972397,-113.61019,-74.45422,-215.41025,-25.770454,-16.428875,-61.63837,9.032041,5.1194906,54.980186,32.38812,-140.94966,3.138829,-59.40187,-24.85392,3.615649,11.187088,-4.236691,40.211784,-1.1427315,-19.878973,1.110994,-50.264595,2.7000065,-385.44382,8.276351,26.959421,2.89577,-28.577518,16.600965,1.1643198,9.076597,-129.70773,66.428665,29.444334,1.4715979,37.321907
-2.4021115,-11.751011,-28.551998,-23.504185,-18.410315,-78.65068,-401.60254,105.628235,19.125692,-51.2407,13.654765,13.420588,-73.35469,-27.13622,-45.265457,8.577727,-35.986523,20.40398,-0.7716638,71.09793,1.5433358,-117.39898,3.0749593,-21.527891,12.5933275,23.098206,5.7965803,1.5068278,-6.4217963,-1.4642539,4.9062533,-21.449629,-33.126724,8.258232,-262.0495,-12.520364,-8.56706,70.28996,9.765118,21.083544,11.693707,-20.58005,-93.33553,20.270815,39.016293,11.597655,179.40604
11.614563,-1.9443089,-1.6730578,-14.464091,-24.554108,-109.00497,192.93724,38.234753,21.595562,-48.8972,9.501329,-36.129642,-3.06497,-50.412357,-42.380356,-31.258955,-38.22756,12.206905,-29.339035,57.43987,13.981171,-74.27057,2.692549,-19.064848,-63.46565,4.273062,-2.8676689,-1.3946729,-16.589157,-0.6353872,-1.4861716,-97.70819,-70.17404,9.281862,-334.77188,-14.246017,-7.896277,50.77935,-11.150269,13.956126,10.593304,-20.18603,-209.5158,21.941671,-14.353309,9.546879,65.47951
-7.242154,-5.1716366,-33.249672,-12.359565,-21.944391,-31.053967,-288.98413,62.425774,22.222086,-52.25132,12.821812,15.325981,-32.265076,-51.78531,-62.721962,-3.2226584,-49.730526,16.894398,-23.11249,79.276955,12.454386,-76.393875,4.9347663,-11.515687,-29.511759,10.998136,7.979261,-0.31974217,-0.26124442,-2.2372463,3.0523746,-30.879173,-67.9299,8.855072,-309.52783,-19.402023,-10.161378,73.60683,-7.907144,25.228493,13.949361,-29.383718,-118.339935,27.821667,31.268316,0.27255997,183.81831
5.913794,-10.25544,-27.209219,-18.811272,5.9142046,-94.10507,-360.7419,-27.21368,30.383333,-6.63253,18.172272,59.656166,-41.205273,-29.116266,-48.676407,26.883335,-57.564594,29.326162,3.880259,74.68865,-0.5496048,-85.30665,1.0785949,-21.662361,-12.166874,16.618298,-4.143028,-5.815134,-12.301972,-0.97009027,3.1094608,-23.43854,-38.03181,3.950923,-278.39856,17.412905,0.9635065,69.326385,1.4865878,17.867088,16.448122,17.115238,-104.41852,16.700766,75.877815,-2.2563171,116.08118
3.4414895,-4.1738067,43.98263,-21.284563,0.87176543,-333.624,-553.02344,-17.994165,29.102547,-41.067528,25.712103,18.143616,-9.524216,-55.147274,-42.416924,20.962048,-41.70368,8.779665,2.4258585,43.585224,-2.8655748,-240.60318,-8.607361,-11.614203,-23.88197,16.96516,20.991982,-0.6793114,16.880587,-5.389225,6.2861032,11.026422,50.187405,-8.677086,354.0704,-27.512365,-12.964469,27.14223,-29.393143,27.007128,5.7700152,7.390756,198.78143,23.195013,104.04966,5.2122803,80.72263
4.636915,0.7659862,-73.24622,-2.677161,8.370853,-169.31676,-335.43848,-7.712848,14.821557,-51.631485,8.358306,-18.3606,-19.445705,-49.085297,-56.86897,6.723407,-33.45877,19.027657,-9.9562435,62.661674,-3.647055,-80.35167,12.203995,-26.023478,-10.582646,11.686,35.838036,0.86539835,54.83817,-7.80057,-1.4528204,7.3818564,38.407948,15.937966,-234.02483,-21.347965,22.424547,-12.204183,6.0840063,38.091908,14.773772,5.4550133,-93.58705,37.27406,85.81586,9.727738,132.63182
18.660828,3.6257274,-77.371376,-13.316474,-14.000902,-98.7886,-186.6749,-2.073244,34.347595,-108.03092,-13.109956,-4.7145734,-30.89984,-47.886444,-72.22984,-8.455913,-31.061644,16.351498,-7.2352276,57.047565,2.3995633,-62.51833,-0.87257904,-29.733696,-13.132271,15.158366,12.784041,2.3171241,38.153854,-1.5570432,-13.530254,20.546583,47.331734,52.478703,85.159164,-11.509653,20.743488,-0.54629797,-16.091576,34.39128,12.26046,16.567507,-195.3921,42.615757,60.802883,7.5759187,120.18109
11.301178,7.349001,-43.948658,-34.875156,12.451744,-250.65938,-416.69455,-70.13397,10.507465,-86.40159,-18.361296,91.30749,-86.503365,-14.779539,-54.002377,6.474857,-80.48323,9.255423,5.717565,-3.505528,-60.06156,-66.93191,35.197655,-18.497461,-1.9201003,8.249036,8.469489,-7.8818283,40.23492,-2.6226206,3.5428894,-7.1640387,-13.054412,-6.0218196,-155.30928,-20.394241,23.761908,59.403515,-7.0843863,20.258593,26.054209,-28.142569,-47.659195,34.253128,70.73063,20.643658,187.21333
