"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
1.8297106,0.80338055,-3.0608773,0.44757965,-12.391968,2.9852746,-3.7784786,-1.4869701,-3.2531855,-1.4262182,2.1157148,-0.53015053,-18.55964,-63.16449,-29.601305,-4.2902794,0.72333324,0.45341873,0.724711,7.3631206,2.4743476,2.978346,-0.09610376,-13.616347,-0.24334237,0.067913964,1.940651,3.3322816,10.091846,-0.7608702,-0.06711074,-0.49995604,-2.0361092,-2.411789,-8.479701,-1.666099,-14.564466,0.5885619,-7.657816,-2.8491962,-1.5799135,-1.2573969,1.571158,-9.472618,-8.343877,2.1100185,-25.513939
0.65231067,0.7382973,-3.4002662,1.0485063,-11.7307625,3.713468,-4.326193,-1.7985418,-3.8117962,3.7175338,2.9743137,-1.3061404,-19.090515,-63.541695,-26.186562,-4.3201194,0.8823721,0.31009462,1.0251199,9.601875,2.2583694,2.8329115,-1.2785771,-16.707298,7.5280313,0.009991729,4.174118,4.082463,10.594081,-0.9791519,-0.10100271,-0.9580187,-0.14490847,-1.5227752,-12.656398,-2.1710715,-17.782015,1.6394458,-9.096362,-3.2340112,-0.7176296,-1.158477,1.2373066,-8.301215,-11.216111,1.6830833,-33.380875
0.79490393,0.95012945,-3.0825756,0.33492726,-13.1927,-0.01081756,-7.2044497,-2.7007794,-3.6032038,3.6209037,1.5907674,-0.83898544,-17.196125,-62.65396,-32.099167,-0.87651765,1.1348075,0.33979636,0.59845126,6.692253,2.8532174,3.5859742,-0.39293832,-14.088592,0.055987924,0.18626913,4.3096824,3.0764909,3.5553806,-1.421292,-0.19078946,-0.4045299,-3.0804133,-2.6261704,-9.636195,-3.3114789,-15.873201,0.4720131,-7.6039767,-1.7381887,-1.5196787,-0.9845991,2.3625376,-7.1234045,-5.8763733,1.6973721,-18.953812
1.1934139,0.6981467,-3.1780381,1.1360558,-12.707675,1.377771,-4.262974,-2.2402937,-3.9923973,2.752828,2.420129,-0.33380666,-18.607552,-62.26228,-26.34332,-4.7537365,0.6169427,0.2934942,1.1022011,7.8719726,2.7926219,3.1341734,-0.027178489,-15.003896,5.185155,0.010387142,4.125949,3.4406626,8.367263,-0.53689224,-0.03759623,-1.5637467,-0.3590273,-2.1647792,-12.461028,-1.9919472,-16.452948,1.4581425,-8.363483,-1.7197729,-0.9502247,-0.6440672,2.0052524,-8.159944,-11.405874,1.7912183,-31.475576
0.6238567,1.0868683,-3.226904,0.7148246,-12.664425,2.3501115,-3.644949,-1.3717848,-3.5487125,3.1428812,6.7486053,-0.33962315,-18.497602,-62.306484,-27.599865,-4.6231804,0.7738127,0.31181502,0.6819099,7.943347,2.550152,3.2418215,-1.0098535,-14.824845,5.7814107,-0.013093282,4.1593175,3.4020183,8.23647,-0.61191595,-0.045265023,-1.3721108,-0.08919893,-1.7902207,-11.955948,-2.1700084,-17.231726,1.5151595,-8.238836,-6.8586583,-0.9207468,-0.6079521,1.9969826,-8.649682,-11.32245,1.7934448,-31.72188
0.2755577,1.2004516,-3.0153627,1.2664346,-18.806284,0.2790257,-4.154224,2.7519252,-3.6937523,-2.4473846,2.0611727,-0.6901021,-17.217972,-62.404438,-32.892403,-2.414413,0.88840026,0.32296017,0.7262282,6.5274873,3.1235654,3.8422017,-0.26246196,-14.319507,3.8717043,0.22583835,1.644334,3.244101,4.218102,-0.71869665,-0.11285903,-0.23895289,-2.017605,-2.2415202,-7.8016157,-1.4577934,-15.9291725,0.46937063,-7.570484,-1.5493261,-0.9684431,-2.6410367,2.1491945,-7.8855877,-8.883047,1.7841012,-18.485287
0.29862705,0.24092942,-3.290349,0.7861005,-13.867093,0.20370089,-3.1524794,3.0171833,-3.99135,-1.4857186,2.5297396,-0.24413075,-17.818975,-65.54987,-28.919964,-5.0347314,0.9226464,0.29711884,0.36320996,8.478334,3.3073485,3.1871188,-0.29783595,-16.072632,8.577224,0.0101853395,5.1314387,3.1096237,10.551906,-1.1007484,1.0329001,0.16874652,1.5137703,-1.6697829,-12.147734,0.589115,-18.169922,0.1881204,-7.7220116,-3.5341382,-0.3164732,-1.2468483,1.2128758,-9.283263,-11.864196,1.6024667,-30.761057
0.38078856,0.10588082,-2.236072,0.38732585,-13.520989,0.59333366,-3.255175,2.7604046,-3.8855093,-1.8375273,3.6933658,-0.5404466,-17.43651,-65.75845,-31.330553,-5.4806385,0.9224439,0.24272715,0.4822504,7.542982,3.4315498,3.293445,-0.37994102,-15.873566,10.283163,0.16814935,4.5318193,3.3394997,10.096939,-1.0560286,-0.11088387,0.31939745,0.16166791,-2.1237485,-10.911813,-0.09714187,-17.071478,0.18228951,-7.715807,-2.6183028,-0.9564054,-1.3543143,1.6217622,-7.934143,-11.726239,1.8491771,-31.394474
0.29209182,0.18809442,-2.3091266,0.46944538,-12.602926,0.7446801,-4.0817676,-0.5644568,-4.094663,3.4630983,3.634885,-0.42078394,-17.632984,-65.43292,-29.393019,-5.447734,0.971727,0.24465345,0.49301818,7.445517,3.2522361,3.103133,-0.31352198,-15.838594,9.748076,-0.042384204,4.6043973,3.2399695,10.57182,-1.1483917,-0.20757711,0.25857666,0.19021401,-1.9478817,-13.047718,-0.886122,-16.300549,0.15581465,-7.9348383,-1.9472605,-0.93864155,-2.6623218,1.8073032,-7.4935417,-12.960301,1.7687384,-31.767107
0.1762179,-0.19196251,-2.6518536,-0.36734033,-17.385605,0.0055613443,-5.5089192,2.6885343,-3.4382007,-2.506309,3.4049041,-0.5726574,-17.772602,-57.749634,-29.529837,-1.359462,1.4706013,0.95303667,0.8105468,-5.20794,1.2730814,2.720501,-0.025064431,-14.89103,1.7519832,0.55866504,2.3130505,3.2985392,11.463758,-0.96365047,-0.08226197,-0.28093514,-2.2936552,-3.3230844,-9.8750515,-2.3890507,-15.655297,0.7254548,-7.281426,-3.7207184,-1.2337754,-1.221663,2.9663079,-7.4503226,-2.596837,1.4553689,-20.747961
