"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
7.8623176,2.3935347,-1.5116154,-4.991417,6.429064,13.097301,-156.91046,-1.1777949,-8.547278,-13.220887,23.264715,-78.74201,12.92952,26.284895,-71.29375,-102.560875,-2.3943439,0.22514556,5.7118473,-23.254002,-34.47107,-130.78694,0.9649575,7.1743946,1.8649559,-4.357169,-6.882663,-0.6197838,-4.568953,-3.6332407,-4.2547474,-58.03974,-48.081985,-31.294537,-255.93027,1.1795355,54.283577,0.745022,8.074544,2.162505,2.7066884,-1.5735347,-156.07875,60.15769,51.26814,-13.450836,-7.199756
6.466163,1.8703599,-3.7478516,1.5533166,-8.984447,-132.13403,-9.989975,-4.951055,-10.782039,-42.58163,34.434925,-128.11234,-29.159372,-37.349133,-21.337545,-70.68234,-3.5166173,-2.8947146,3.4477053,-4.1438737,33.92744,-101.562004,3.6742258,-7.830929,-1.9667922,-4.230897,3.416692,-1.1153018,-3.2548707,-1.5864595,-5.044756,-46.85067,-78.85448,-6.3009076,-186.29204,4.580121,23.477045,-3.1680393,7.167692,2.0163848,-1.473999,-1.7129339,-189.69513,53.114017,24.921011,5.930494,26.269741
7.732253,-2.6296923,2.2847838,-0.244848,0.7253037,-105.57067,-69.801674,-1.8378463,-9.962672,-33.13378,27.682598,-51.13894,6.4328485,32.21213,-7.2766867,11.346987,-3.2637646,-0.15962559,-6.358575,-25.475992,-46.78962,-100.87039,11.361165,5.962162,-1.2953959,-5.3601537,-6.0855727,-0.1484225,-1.1927975,-6.125692,-5.3707585,-31.964005,-21.89761,-10.994624,-280.95996,-1.6660064,36.497585,-4.982016,8.643838,2.8420641,-0.29775706,-0.814643,-152.25987,-30.099768,-39.85719,-12.012299,9.085838
3.0727308,1.0100825,6.639878,2.4724622,-6.851587,-170.41608,-1.8219295,-4.0333724,-19.552599,-34.172333,23.638544,-48.065517,21.227757,28.911987,-16.063284,-42.959003,-5.339222,0.33779427,-21.872719,-8.1984825,-25.752922,-103.467186,7.396435,7.6120048,2.9060955,-7.7105646,3.977844,-0.069121264,-1.4025341,-0.5538253,-5.1283846,-55.62121,-29.3298,1.1014472,-226.47974,-1.1276484,61.148235,-2.799086,9.903476,3.3043587,-2.9161994,-1.5357605,-197.45213,-35.986843,-29.162712,-9.842501,15.911616
2.24842,-0.23551844,6.2640743,2.6466138,-7.7658434,-128.37228,-87.656525,3.4869254,-15.686054,-32.551567,41.864002,-40.6759,20.889206,30.245832,-14.161406,-39.314926,-4.3572803,0.59955525,-17.075802,-8.175287,-17.854197,-101.3631,14.571353,4.2234197,2.6631703,-7.936253,3.289035,-0.37960374,-1.4975035,1.3849447,-5.4156513,-41.91791,-31.159061,2.1425743,-212.84691,0.5134589,47.772926,-2.600702,8.879108,3.3403807,-3.1101248,-1.0319669,-204.46579,-37.209126,-31.040472,-13.874086,-1.3123084
0.55982447,-0.14249988,11.668019,-11.089912,9.027721,-119.86723,-110.300835,-0.68525916,-20.041872,19.456919,24.016666,-38.729263,20.996078,32.611282,-16.123419,-26.58833,0.98030716,0.7556617,-14.828361,-15.255208,-22.58796,-84.23365,12.965743,8.67968,0.7635873,-8.894809,-6.9164205,0.0006492263,-1.6410577,1.0405203,-1.4606886,-41.55177,-26.569334,-17.877764,-269.93307,-2.331338,47.14294,-3.5753176,9.819488,3.2144415,-6.5422072,-3.4385324,-188.30348,-26.564857,-32.115437,-10.845966,1.4583505
1.0627855,-1.7145051,0.36663818,-18.71779,3.2524755,-318.88443,-260.44196,-9.621941,-14.506311,-25.28231,27.53877,-0.009824771,23.782839,11.583884,-69.6286,-105.49023,-9.919535,-0.81879485,-113.2781,-10.820704,-75.159004,-290.5319,-8.947527,-29.641626,1.2414382,-14.284239,-20.495966,-1.9074101,-10.696527,-2.9947422,-8.042745,53.544056,32.500122,-0.5751309,311.0597,-12.037774,13.5958605,-5.2637606,1.235605,2.2055752,-11.740362,-2.174856,-154.46112,51.28042,42.980824,8.801667,5.4791193
-5.301468,-1.9956353,-4.8217726,-16.343512,8.122376,-110.532745,-84.687965,2.7916298,-35.446934,-6.252249,-12.328156,-3.2587786,16.679123,34.599037,-17.831543,-55.55019,-5.8854823,1.1537911,-43.693527,-7.1344233,-66.17153,-113.7531,12.06419,-3.6664302,1.8874465,-10.20522,-0.5644799,0.39399216,-3.968872,-5.9057446,-4.0069623,-25.83264,-32.163826,0.99285483,-212.75742,-1.1724545,36.689274,-8.387652,6.0727167,1.4457022,-8.0705805,0.80638635,-165.05156,-25.119766,-3.6851304,-9.215406,24.274057
5.8051953,-0.50919247,1.556415,-11.903154,4.25295,-185.26555,-63.8916,-2.0832162,-30.897964,-17.144165,-4.428539,1.4547302,20.611712,29.57875,-17.941744,-96.98876,-7.8504415,1.1944296,-74.5899,-24.988237,-171.49867,-127.34662,11.348944,4.3107824,-3.1443079,-8.411619,1.1701711,-1.9494144,-3.8188484,-20.464119,-6.0789723,-40.498363,-52.78057,3.3315175,-11.5820055,-2.2102933,29.012554,-2.8314133,6.1486554,2.9071867,-5.9659576,0.73863643,-169.657,41.395615,-24.40085,-7.437596,16.563702
-20.151014,-5.250818,-10.4173975,-41.329365,10.06674,-181.90172,-62.025867,0.733351,-12.595375,-10.1481495,-28.524029,-3.8608065,20.358145,21.954556,-9.184793,24.569746,-3.4182537,0.50481147,-6.7963305,-14.340173,-117.85775,-11.913467,10.0593195,2.1551244,-0.9133133,-1.9000722,-6.079481,-2.5774522,-3.04641,-5.9428782,-0.9239713,-25.685102,-50.253395,-38.527687,-210.45572,1.9254586,43.158154,-9.630907,8.069232,2.8743916,3.8635802,-3.7065315,-191.68706,44.67697,-52.002182,-13.561502,18.936617
