"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.0029269895,-0.008434509,0.1833429,0.09848663,0.44147784,-0.113731585,-0.07087753,0.07347969,1.8803788,0.051436115,0.0032052856,0.24632128,0.36186796,0.61620605,0.052999783,-0.49307686,0.039525993,0.023413926,-0.02050824,0.012621564,0.07179154,-0.13490103,0.0030939041,0.8778291,-0.34250027,0.020941809,-0.03270016,0.0061525786,0.15029263,0.00960278,0.01831305,-0.023499127,0.003977197,0.012524711,-0.15575261,-0.010046388,-0.008653926,0.20286478,0.26528025,0.1139846,0.008634144,0.0015625624,-0.06576389,0.09772433,0.07651214,-0.084873065,0.116370454
-0.072004445,-0.011349427,-0.10616745,0.1090773,0.47846866,-0.1039602,-0.07998697,-0.051923063,2.1489294,-0.0035271621,0.015543188,0.2069188,0.49722806,0.60339534,-0.008088882,-0.28823686,0.0273941,0.04881988,-0.014489706,-0.12290601,0.022766767,-0.23634192,-0.039508406,0.8863979,0.057313565,0.012199297,-0.024245193,-0.010496445,0.08875712,0.0070344,-0.0021224536,-0.03270163,-0.023701414,-0.0469845,-0.11817533,0.016591264,0.0839812,0.113721505,0.35211796,0.14874382,0.0358881,-0.08669389,-0.031189658,0.10885994,0.070535555,0.053267468,0.17638832
0.037035607,-0.010406474,0.15352876,0.07188154,0.40588567,0.050420977,0.24782772,-0.014634142,1.6895806,-0.0039059473,-0.10194657,0.24764735,0.3845845,0.5176796,0.027863503,0.0798175,0.04248414,-0.009934964,-0.042974908,0.08037062,0.065846786,-0.25494912,-0.0530735,0.7580547,-0.397305,-0.046273693,-0.08195096,-0.014824585,0.0699682,0.014912855,0.0025389246,-0.061453696,0.04664428,0.036078386,-0.09850519,-0.038156018,0.01953196,0.18085073,0.12864068,0.17701016,0.043489724,-0.022585658,-0.009380516,0.024224438,-0.120984614,-0.09842018,0.07719674
-0.0065973066,-0.0007558867,0.00889136,0.0880552,0.44143194,0.025145702,-0.08944659,0.12808308,1.8552579,0.015624985,-0.012918691,0.25732526,0.42387578,0.618458,-0.0053050937,-0.11710758,0.0384283,-0.004559232,-0.0034872324,0.0022169955,0.017788842,-0.26167545,-0.029712267,0.8660977,-0.049185656,-0.04849496,-0.028617661,0.010375791,0.049661387,0.011926756,-0.0011974648,0.049111996,-0.019576995,-0.016080596,-0.12029924,-0.029550204,0.06432197,0.14852634,0.28924215,0.093267314,0.024555659,-0.054889783,-0.014025272,0.11847621,0.07133598,-0.013493522,0.06871282
-0.012360543,-0.0042363335,0.04861596,0.06268289,0.4434606,-0.06691285,-0.06184396,0.13656102,1.8849725,0.016664444,-0.046793647,0.21284306,0.42937157,0.598524,-0.025276301,-0.14981213,0.03652892,0.016836515,0.052794885,0.019674158,0.015278656,-0.242986,-0.011299654,0.8808337,-0.05487848,-0.056977306,-0.03186311,-0.03753616,0.048536018,0.0029907112,0.0006620515,0.051539004,-0.022482198,-0.06417417,-0.124525584,0.0671166,0.0672665,0.15284277,0.29927042,0.14576113,0.028616594,-0.073015265,-0.00850223,0.09863135,0.07331924,0.0058399173,0.067717314
0.031515744,0.0013306354,0.061349392,-0.10821105,0.34744167,0.03553696,0.4713249,1.1158377,2.0206282,-0.009811385,-0.028474538,0.2599566,0.442381,0.62041426,-0.02186335,-0.062017564,0.054876875,0.003959544,0.02081574,0.09379845,0.23308872,-0.14313798,-0.059024956,0.7823832,0.03972666,0.00059421046,-0.032597516,-0.016950963,0.038836297,0.008846182,0.009520475,0.0037456253,-0.059161443,0.03898193,-0.116458446,-0.06012295,0.05667411,0.15041208,0.28724274,0.098158404,-0.0018111478,-0.03715701,-0.004024028,0.09985047,-0.25328675,-0.2044274,-0.015116403
0.07510643,0.05643955,0.22861457,0.2174125,0.75696677,0.4705527,0.050943643,2.2594802,2.0085287,0.09032214,0.03147022,0.20910805,0.82469296,0.90347326,0.038517497,-0.3106464,0.06917961,0.055795494,0.40409413,0.049591307,0.24472651,-0.24742973,0.010754853,1.3856252,0.27412716,0.050714854,0.10727972,0.07467105,0.2126088,0.091786906,0.023618998,-0.018278409,0.009422588,-0.016955413,0.11037752,0.35341483,0.088693924,-0.13445377,0.5375232,0.33611107,0.015156366,-0.00037734304,0.014870923,0.1941938,0.114143826,0.059814755,0.44520172
0.018209962,-0.03875033,0.929719,-0.023374936,0.8146415,0.40358505,0.023477916,2.2205431,1.8882576,0.15470824,0.04633129,0.13460904,0.8318196,0.81943107,0.006797044,-0.12872322,0.045442414,-0.0046341103,0.24330655,0.05975048,0.67651415,-0.032633755,-0.059844535,1.1944697,0.5186023,0.014784919,0.04073043,0.0036070964,0.1595324,0.027409561,-0.061681606,-0.013133117,-0.020071985,-0.0057357093,0.061112795,0.31551933,0.12721333,-0.1006554,0.5415386,0.3111618,0.009450782,0.053435445,0.03788802,0.13214807,0.09759253,0.0010579795,0.35950717
0.07900487,0.055819854,1.1248863,-0.05417045,0.57648903,0.20462236,0.060699224,1.1068845,2.6359282,0.14190586,0.0778084,0.10893497,0.79018784,0.70024294,0.00039937274,-0.050508715,0.06910669,0.0043615047,0.26768553,0.08847881,0.8264342,0.008189462,-0.024457641,1.2009938,0.6005863,0.035521653,-0.0009899073,0.016858164,0.20041919,0.09577903,0.017398104,0.022603154,-0.027725175,-0.014960339,0.047711506,0.33968228,0.12487026,-0.06909331,0.6024076,0.3156384,0.023623513,0.036973435,-0.0038708728,0.114841394,-0.055639215,0.11707302,0.28872183
0.058847632,0.019750662,0.49913117,-0.09542323,0.62337,1.2231517,0.4118601,1.4768218,1.4384687,0.1271495,1.0837185,0.22820692,0.58083427,0.8674986,0.044120837,0.21955153,0.17842929,0.015980199,0.047697928,0.10911044,0.39569455,-0.091757394,0.094259426,1.0865759,-0.039766837,-0.058549568,-0.025482487,0.0900576,0.4241593,0.05153577,0.021294119,0.029262189,0.031209659,0.14428395,-0.0039440226,0.12194388,0.16069324,0.1505611,0.6142048,0.2550251,0.0020906215,0.12950854,0.021082662,0.117495954,-0.014641783,-0.026600722,-0.017048663
