"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.43478957,-3.3354557,-0.059367295,3.9485266,23.181135,-15.625808,23.998816,18.521408,3.4061456,6.186798,0.10367705,51.32912,57.86659,59.586624,13.681491,-7.0939493,9.756011,0.33561745,-1.9270046,-0.7605771,-5.2230234,-0.74117094,-1.5446595,27.170135,-0.5029825,-1.3560185,-2.7725482,1.2244116,12.5956545,-6.820783,2.3204935,28.688309,13.532144,24.839956,4.677883,-1.5669236,3.3410926,12.202455,21.062933,-1.023923,1.465624,8.133212,-7.357366,2.016755,2.2370934,0.1920433,6.399414
3.384878,-0.066942774,-0.5724519,2.5283144,20.774984,-8.030561,30.729712,16.796751,-0.29594663,1.9442961,3.6293917,49.358166,70.48664,80.43897,14.116751,-1.5924064,31.298489,-1.8442034,0.7559752,-4.027126,-0.658623,-0.87944764,-0.22136293,19.55879,-3.3978183,-1.8578137,-1.0824101,6.553894,19.451777,3.2981663,2.8586397,-8.899938,16.253252,27.29067,5.7768116,2.1395028,14.665441,5.9332094,47.24205,1.1556835,-1.7552562,-5.4348564,6.1176877,1.335338,2.3332422,0.44592273,9.3165045
-0.6716515,-1.6973226,0.13130282,3.0374763,22.822468,14.719824,28.558167,13.406365,4.155849,0.147057,7.326344,45.955112,73.01188,70.402435,14.952899,0.07172377,0.07444305,-0.18090445,-2.4484446,0.4318977,-1.2992347,-3.3274229,-1.0988189,33.84621,1.4804803,-0.75890833,6.9081078,5.557463,13.854916,0.47523656,3.9395213,28.197184,16.987831,30.40584,4.519165,-1.5936364,4.3794365,9.130704,28.381014,-0.25138417,0.97833693,-0.7789204,4.346347,2.4907193,-8.8397,0.43214273,4.696528
1.6435001,-2.8721776,0.20728935,5.460546,21.89079,14.289156,29.796507,17.466219,2.6420121,3.4569583,7.9088545,44.584377,69.28111,72.61401,12.449295,-0.072030306,5.7006936,-2.3174512,-3.9709327,-0.46965653,-2.5798876,0.17819701,-1.3361216,33.73156,-1.6789873,-2.152463,-0.87528545,4.4780345,15.175427,0.79677004,3.8214252,27.611853,15.801449,24.233881,3.9110155,-1.0606273,5.1470304,7.8555064,33.630314,0.25328583,1.5958589,-3.8600056,4.5756,1.5124428,1.7475497,0.56421506,4.544672
0.86334825,-1.7452943,0.1733301,2.8959045,23.539076,14.133785,30.273298,14.954703,1.5220746,3.1442704,7.484285,40.63257,71.3089,73.31747,12.807622,-0.032530073,4.664003,-1.4517996,-2.1708295,-0.44615066,-2.1433213,0.63384366,-1.5896982,34.91918,-1.8865596,-2.0092885,-0.81400394,5.8838305,15.0876255,1.5985494,3.943138,27.199423,14.9995575,24.899364,1.3902615,-0.3828053,5.8907156,7.0960445,33.524284,0.262939,1.1271956,-3.3965347,5.033557,2.0730193,1.7507732,0.3834971,4.944105
-3.968803,-1.9758462,0.6127822,-3.1257842,14.175877,15.779981,25.707268,-0.4591085,3.4662077,4.628268,7.6317315,38.805416,71.14841,69.59252,13.439473,1.9150065,1.0804858,-3.159036,-3.1492026,1.1497611,-0.7810365,-1.1927742,0.040251277,26.073328,0.55560166,-2.0699313,-0.8027744,3.9979007,14.454101,0.14562769,3.6306522,23.612688,16.931105,34.755444,1.32628,-2.9415114,4.8082423,5.656047,26.300627,0.98661613,-4.248389,0.5490004,4.1355486,2.8638353,1.6576982,-0.6597768,4.7649193
0.44236377,-2.2532322,0.11714228,1.1238225,20.248913,19.721165,23.710812,8.027779,3.3171222,5.054204,3.3952098,-4.1099896,40.857082,64.51256,11.8201685,-2.2927716,9.221113,-0.31598234,-3.8383749,-1.12058,-2.8291109,-2.16731,-1.1291368,19.9151,-7.61294,-0.93399924,-3.151727,4.1704683,13.978443,2.6091032,2.6501474,-8.557294,-5.934733,14.019344,-11.354346,-1.7558427,17.325834,-3.8146229,44.94171,-0.15707709,-6.416811,-3.7449365,-19.261116,2.2286377,1.9545003,-1.5158045,7.9031534
-4.817451,-2.4194481,-0.9692957,0.84981805,17.444231,22.02158,26.082422,5.837497,4.7912273,3.773908,0.076344326,-5.1698155,37.39653,60.375355,11.386267,-1.6873676,-1.4088632,-1.2862312,-4.1442947,-0.64016265,-3.8939643,-0.082381144,-0.9012104,18.741665,-12.493554,-4.036519,-4.863219,1.7581347,21.188808,-2.2769742,-0.19745164,-1.967934,3.087586,16.588173,1.8471084,2.3358305,16.639011,-1.7365568,41.74343,-0.9445163,-0.8017232,11.090883,1.2705029,1.0762337,1.0783552,-0.6519771,6.196067
0.19172914,-1.9736954,0.6087988,0.8171089,20.936928,20.295166,24.882744,10.024321,3.484803,2.3484592,0.097726636,-4.8628798,39.146996,70.796364,11.360753,0.0718151,0.9563974,-0.5156276,-3.9353356,-0.5528752,-2.7852256,0.8634206,-1.4898201,19.149395,-7.786789,-1.9665768,-2.4065921,3.3987541,20.595932,-1.428282,-0.44656268,-6.716229,4.2409067,17.82344,-3.2190266,1.540811,17.518381,-4.676944,47.049927,0.7671681,0.42780495,0.66635203,4.5299153,1.9570653,2.2543514,0.683941,7.3946805
-5.360347,-0.6685906,-1.9419824,-1.8623501,14.649038,27.10525,19.298206,-20.148233,8.521794,11.166125,-4.070337,-5.112283,37.26711,53.319748,14.924116,0.39253977,1.542989,-1.5246756,-4.228821,0.9663031,6.904697,0.4786998,-2.475735,21.11482,1.5142403,-4.8743534,-1.4215502,1.4849697,14.345443,1.1344581,2.3371835,12.458841,12.224631,39.504543,1.9481333,2.3640223,-0.39170748,-6.8135543,25.665953,-2.3940015,3.8692675,9.3686905,2.1636422,1.7723277,-14.314129,-0.5520393,4.362089
