"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-3.074271,-11.31864,1.2714669,-4.4774857,3.126763,-88.0522,52.54084,261.43842,37.479122,5.2738767,3.1591406,242.91441,87.43654,383.9677,60.49986,-45.01656,17.686089,-1.3685174,2.1786284,-28.55772,-12.977751,-7.0028687,15.425004,532.5744,14.345004,-6.743489,-11.949167,3.7034612,-56.796608,2.271687,-0.38008836,32.93861,36.2461,31.277271,17.543844,-2.620083,212.3852,27.981846,48.329983,20.774105,62.431545,0.34320095,0.72296345,173.23825,104.12162,8.996131,442.19434
-4.456781,-7.714916,0.3274028,-8.912213,23.375654,-37.01141,46.219376,272.43338,38.22086,-58.82584,-6.756013,241.86565,212.91098,545.85785,57.496895,-18.108469,12.566687,0.8460305,8.234222,-50.15843,26.417625,-1.2418655,2.0987194,590.9029,-3.1335676,-0.9064367,-3.3697278,4.07806,-54.90859,11.727776,2.5495703,2.2252288,3.4286995,17.490248,32.73587,-12.523096,255.2425,37.91767,108.747215,22.098095,-10.893122,-39.751354,5.328307,149.69456,184.32634,7.525428,456.15436
3.685157,-6.206383,-14.351699,-7.279384,17.178326,120.410934,56.21738,222.77199,30.883907,-69.21838,10.097677,238.44261,258.40482,428.0294,60.40098,39.528038,-9.020565,2.0051792,-5.144234,-19.915312,-3.2505226,-26.92375,20.422092,592.6012,35.696945,-20.050755,-7.2332573,10.338124,3.4939854,7.336199,-1.3310375,42.08121,54.62493,6.4099,27.207775,-4.0415545,204.3127,46.448254,52.455605,22.68634,48.466175,-7.389238,-0.7649495,105.60738,36.770832,9.058417,423.69714
7.0318375,-6.428928,-1.6612365,-2.5638995,18.554127,93.98894,46.19892,209.5639,35.38275,-51.651825,5.538071,232.5905,220.51944,440.77332,48.939667,25.714468,16.185808,-0.08890766,-13.785498,-16.383085,-10.967137,-4.0502653,10.268123,577.1115,4.298673,-11.596777,2.2111902,-2.178666,-14.405662,3.343096,-1.4765965,24.191439,15.925537,18.100054,25.79653,-6.5591197,215.1727,42.87695,62.803703,23.566216,45.38745,-20.49135,-0.4491467,140.71597,174.24594,8.28001,431.4685
2.7700453,-3.9498098,-0.66198957,-2.2122416,21.946466,105.74456,57.82183,211.1602,27.337286,-59.026737,-3.0568316,229.92645,240.42386,445.89337,56.257263,-5.887894,22.251657,-0.90086573,-14.05093,-21.943365,-8.300561,-5.681038,9.697586,584.30426,9.387808,-12.125855,-19.38445,1.7774194,-12.629281,3.3661299,1.6352421,23.838778,15.136816,14.812899,21.8087,-13.918968,218.25122,40.301197,56.987045,23.229084,49.967766,-27.966099,-1.7604461,143.61029,177.90315,8.726425,448.37915
-23.80344,-6.4466724,2.7260292,-2.8990004,20.430107,126.22513,69.16857,162.19057,33.03857,42.679657,9.523431,260.6555,183.00235,425.87714,49.359867,39.25254,18.082289,-4.0552816,-9.568244,-20.666584,-10.328361,-5.3217516,12.1479645,524.0671,5.3071065,-5.9204183,-8.524804,12.790244,6.3246574,3.5645201,0.8739564,21.124096,37.028545,31.700151,19.724783,4.5482864,203.82498,31.961384,51.50991,26.82573,46.304146,-5.9031777,0.6402751,122.7793,165.7617,8.43382,423.07767
-12.731383,-13.167933,1.9479144,9.898139,10.572871,62.682346,46.900608,199.34755,33.10972,-14.691331,10.575839,-33.213238,31.48079,395.13974,47.658062,-15.121737,21.619846,2.3562384,-28.560839,-16.045286,-16.13447,-29.661215,-4.081351,528.87897,-1.638525,-17.201656,-30.376009,-2.6222277,-46.64323,10.839228,1.7239635,-15.456304,-19.878176,5.634244,30.373686,-21.126884,209.26027,9.090468,59.706154,21.7886,-16.656507,-14.743228,3.2739718,147.74112,160.561,-8.823002,435.1197
-39.319695,-1.8998832,2.2702336,-7.7611785,6.2741594,56.3144,50.31837,200.99652,31.426146,15.831658,-8.853612,-41.74314,39.084145,365.85605,51.27319,20.487076,-5.393211,-7.56088,-30.67144,-11.336673,-14.9067,-28.205818,-8.294311,510.9651,27.545946,-10.5572815,-29.011206,-7.1889467,-58.15184,6.0579495,-1.1866794,-0.14004576,-6.513834,19.355042,14.026897,-15.688685,209.8377,-6.6578703,72.4556,17.639368,44.108315,6.859163,-0.04992795,135.92519,154.81747,2.9526212,399.72476
2.0243492,-9.498853,3.830666,-2.2798097,14.729297,42.042213,57.8792,215.18839,35.380474,-86.1977,-8.565532,-39.784668,38.89522,417.0074,49.545635,19.779652,-3.129528,-7.190353,-35.510796,-15.8815365,-13.99536,-26.852945,-8.663724,513.4271,21.168459,-21.004517,-21.037167,-5.436259,-57.114403,7.02148,-5.05207,2.370516,-6.470701,15.896795,17.247883,-16.342648,222.31496,-3.3462083,60.216885,16.051762,32.843147,-13.533453,0.030916242,143.26244,172.22546,2.9171457,406.06458
-39.561893,36.15671,8.5611515,-9.614174,1.1112756,65.528564,47.870903,80.52759,125.06709,8.323033,-23.423122,-32.689575,40.519768,364.36716,81.34461,16.325949,-8.256113,-2.087492,-2.4459324,0.46116656,14.223993,0.47062698,-13.893138,464.28366,-21.617332,-1.6375555,-21.707169,6.449585,-46.85163,10.317272,-0.11480806,24.729496,46.61214,22.832788,12.20927,-16.0865,173.6773,3.0383093,32.87813,24.98956,44.332226,18.77229,-4.896996,119.665504,130.64632,-0.6249546,341.29333
