"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
11.436699,2.5913482,2.6034262,-8.164588,-8.775299,11.491518,-51.62483,4.4910007,-21.251436,6.07068,-1.001401,1.6117414,-16.842043,-5.2319703,-1.7979568,-11.529797,1.2504827,-2.1069903,-1.1106738,3.7240684,-11.825719,-21.262867,-0.26777285,-11.496056,0.15654114,-0.99016535,3.2411776,-0.3482525,8.872953,-0.20207596,0.25340888,-3.3776917,-1.2121305,-6.85932,-14.766288,0.64854765,5.270437,3.5683138,0.0985847,-2.5364566,2.6140318,1.4119186,-13.725857,6.8214035,3.830302,-1.5270457,11.620384
12.975959,3.5607734,3.3820834,-7.1630507,-11.872091,-5.504628,5.4986014,4.414858,-29.85612,-3.5158007,-0.94918466,-0.30651635,-22.802792,-11.863463,-0.86576253,-22.453074,1.4824233,-2.4205658,-12.016172,1.1289396,-7.062174,7.4366784,-2.0254993,-23.14512,-0.0039060607,-1.258738,0.93847185,-1.7477835,5.218508,0.3961346,1.205731,-4.2456107,-0.9481042,-6.9704356,-3.7606053,1.8406292,2.7399747,1.407683,-1.3039504,-1.9590847,0.91317606,-3.4472334,-22.80143,4.444881,2.693139,1.3893212,4.3090672
12.982598,3.2510557,-0.07832173,-7.6596417,-12.404355,-14.14535,-55.328655,4.2409253,-17.857407,-6.7495403,-0.7559677,2.8556676,-19.319746,-9.005879,-1.3933291,4.996887,-4.2392387,-1.1960672,2.6831386,5.411178,-13.615748,-9.408792,-0.8970781,-10.85137,0.23530258,-1.0608623,-1.8043876,0.25229424,7.7922325,-0.19410153,0.09569422,-4.035468,0.39397565,-5.0879316,-11.03295,2.302936,4.647752,4.46228,0.4542885,-3.0712857,5.12747,0.115081616,-13.469538,2.80714,0.13900946,0.61573493,13.763073
11.182116,3.9078429,-5.8137803,-7.323139,-6.962048,-19.20399,-0.91015095,2.5585659,-26.834005,-5.252923,2.8013396,2.6924288,-15.395497,-17.426222,-1.1179124,-15.519804,-1.3685791,-1.4780967,-14.953007,0.37417075,-16.63068,-20.681807,-2.307689,-9.467539,1.9975071,0.1863071,0.8960733,-0.26805758,4.7103558,0.07205331,1.0139918,-7.0207605,-1.0843248,-3.7124722,7.0804224,1.5021133,3.014571,3.9602635,-1.3771139,1.3085734,1.9351642,0.2252181,-10.633912,4.4062104,2.4215934,1.1922544,8.213161
14.272655,2.5833948,3.1421425,-5.0109663,-13.258767,-15.141242,-50.809883,3.869915,-24.149815,-0.021741865,0.035001196,1.2400688,-20.348782,-11.688398,-1.1327802,-9.620935,1.5671229,-1.9959029,-8.372269,4.000224,-9.858792,-9.273183,-3.0642154,-7.8355265,-0.39239264,-1.3978468,2.3608518,0.15743582,6.150769,0.06746527,0.68954545,-7.262175,-3.4588382,-2.9303823,-1.8603874,2.6872215,5.511191,4.2429852,-0.27640158,1.47317,2.1720002,-1.103441,-10.013821,6.2456436,4.3473525,0.66923916,14.234764
5.905454,2.3665638,1.7971838,-3.669282,-3.8089204,-20.189987,-49.46585,-3.536992,-16.291195,7.723753,-0.5676103,1.6379317,-18.656893,-8.777509,-1.2132858,-7.818735,0.5694104,-2.2724423,-7.048908,4.6255736,-11.594489,-14.459377,-4.942218,-6.908039,-0.94503117,-1.5551475,2.0972147,0.5220239,6.439324,0.063486874,0.5812136,-6.235898,-2.1231391,-10.135579,-8.798971,0.4509938,6.202428,5.685262,0.06946161,2.1653495,4.715036,1.5582614,-9.073472,4.6177764,10.693829,0.63555074,11.620419
13.814763,-2.4888184,-1.7358178,-6.936537,-8.58177,-26.756338,-63.476562,-6.2063513,-18.581753,4.6776786,1.764361,1.0321594,-14.694225,-3.9413137,-1.8020366,-11.093546,-6.891987,-1.3946818,-13.759409,7.6398044,-20.762512,-10.030819,-2.4717598,-4.7598343,-2.3331761,-1.6094842,2.0493,0.48548692,8.237495,-0.28824598,-0.8781286,-0.9682171,1.6176646,3.03483,21.1934,0.3125193,5.5324693,1.6535649,-0.61951286,-3.4989014,2.7921207,-0.7488495,-4.79028,5.1413383,11.012434,0.59850526,13.858864
-4.1729975,-4.7385497,0.8403038,-5.9365525,-6.2734523,-23.87166,-57.216774,-6.4749064,-15.9897995,7.15046,-2.8552167,-3.345842,-13.113348,-7.7306876,-1.7934042,-9.0948715,-6.2276883,-1.8647261,-13.186172,6.3637834,-21.0945,-5.8111715,-4.15418,-5.020369,-1.1694514,-1.5072514,0.49954757,0.5460785,8.665791,-0.42549053,-0.18054643,-7.2301235,0.25622568,-4.0909433,18.89235,1.6257099,5.1710777,2.0496814,-0.8513519,-3.1205094,2.7497811,1.0644455,-12.162156,6.965699,11.604123,0.47095913,12.386949
7.510049,-3.0153782,-1.8103573,-3.255174,-11.942702,-19.946735,-9.989234,2.9700375,-22.885006,-2.2826147,-1.8950312,2.1376276,-13.7615595,-7.392466,-1.5596937,-10.448675,-7.1550303,-0.83513016,-20.826061,3.4238784,-23.502638,-11.742984,-3.019851,-4.5116563,-1.0470928,-1.303294,-0.83859456,0.018893305,6.0611444,-1.5674577,-0.66312796,-13.973557,-0.46014366,-5.2049513,18.380756,1.2459509,1.86014,2.6885412,-2.2567604,-0.71044934,1.216529,0.4320115,-16.630621,4.5340548,2.2138846,1.1704426,7.224914
-13.24007,-4.7390337,-1.2128856,3.3247976,-7.071382,-30.896557,-59.130337,-6.634476,-10.877448,4.73412,-1.2562435,-2.5423741,-15.621575,-9.296028,-2.4601374,4.117725,2.3997717,0.605098,-7.021467,-0.53124976,-10.715022,4.3846464,-1.1792462,-3.3991919,0.2416248,-0.10934232,-1.0384052,-1.0917909,9.409912,-0.04720561,0.7615325,-3.5505757,-1.9622178,-11.781824,-6.807228,1.5378946,4.815074,0.6076197,-1.5134823,-1.3791344,4.6611357,0.8328941,-11.623935,7.516428,4.9191494,-2.0873258,12.75589
