"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-26.243956,-4.1508775,7.019219,3.4073927,-6.936074,116.74594,176.55852,118.05195,124.62979,27.560835,71.11943,73.22568,-34.478752,160.0626,136.12454,75.06301,22.156872,5.02079,242.87651,16.690105,9.277337,218.56812,3.4720929,240.73576,24.060352,-5.9350314,-0.39220685,18.91149,-5.7077355,8.40288,0.7020733,76.524574,180.85628,92.09927,237.43558,-9.616833,3.9633057,28.027517,-10.672235,11.220458,-7.132219,-5.7430406,107.64353,12.329852,22.761395,11.025817,172.46907
-20.811235,-3.3075304,-12.197055,-35.531025,-1.0491705,120.42538,194.81923,104.92461,181.05782,32.36236,64.71555,61.805195,-35.31211,168.94286,150.7463,104.57183,73.54791,5.0724187,302.39398,33.524296,24.847563,212.30977,-19.6995,245.26051,-64.76885,-3.0042212,7.8173804,8.634739,-0.9806431,8.64578,-0.6832762,20.643736,120.66142,90.86582,224.40031,7.88477,50.578175,15.49992,85.15514,-0.5241815,-2.041696,-40.320263,111.85116,15.053625,25.007784,8.576629,153.91994
-19.870348,0.6399016,-10.060693,3.7253423,-8.507244,195.00711,175.54604,104.49996,135.71361,30.516684,62.666954,70.21314,-18.246363,174.30515,142.85371,29.472076,14.061871,3.019343,195.32716,-3.1231382,-25.50842,229.39713,-0.26673186,252.7483,54.787415,-18.605925,-6.9958377,17.14271,7.453166,7.800498,0.0024603854,67.25078,170.24722,99.41759,306.60205,3.9164836,6.1200447,36.45875,-7.2675314,8.889093,-13.428606,-30.63479,127.62532,23.496231,15.799616,7.5928693,177.99469
-18.5438,2.2173898,-10.36304,-37.29525,-9.644063,185.07428,170.26604,80.70849,183.7797,39.235657,81.38548,80.44627,-32.496494,177.4406,152.45377,81.33662,15.085569,0.88791144,230.84344,16.15746,3.9637182,217.23871,-17.186037,243.56406,-40.501053,-12.57936,1.877606,11.2333765,5.4705963,2.664457,1.2846469,85.541046,151.27368,90.821945,257.40445,5.4464974,5.9800687,40.148293,71.341255,2.4831867,-14.322795,-33.91346,103.207664,17.932207,31.149239,5.4148517,169.7242
-17.794466,1.0657784,-18.852095,6.4242964,-8.952045,148.54465,178.9403,121.68173,134.49832,38.8557,65.672966,69.52036,-38.75199,173.54958,160.63744,82.01347,18.781929,2.5644767,231.38324,12.905597,8.70002,220.51355,-12.052776,241.25302,-35.50456,-7.937932,2.8367023,12.66637,-9.07288,4.8803444,0.5952551,85.98037,143.0109,95.31671,277.62524,7.357356,15.7152405,28.23056,63.926277,6.7130685,-21.520334,-40.103924,113.4887,25.661728,31.806955,3.4071352,170.03523
-21.949282,2.1890266,-7.522295,7.0536613,49.48645,180.53542,181.59889,68.83166,135.2055,-47.82507,98.5443,75.97636,-43.011,177.61794,160.63167,82.449066,22.54981,3.5233479,194.99168,-10.464887,-0.24921261,186.185,-20.081522,230.06903,-30.601732,-15.744758,11.381878,6.8811293,6.597797,8.763135,0.51321745,99.97409,170.36296,98.921585,306.28137,-15.526502,28.068346,40.50082,50.05506,10.425316,-14.7938595,-50.312847,99.55585,12.134338,37.87078,3.6804085,160.41978
-8.996245,2.6918783,-16.769245,0.84613264,15.38072,198.36473,181.9677,52.242924,189.66144,44.617992,37.88517,43.606766,-12.679239,155.42471,133.72218,115.098175,25.905779,2.394716,241.81036,34.26135,-11.824202,266.4055,-2.4602313,213.00252,-70.072815,-15.28643,0.6324342,13.969517,-5.891746,12.350691,-2.1107006,51.62288,76.59797,66.93209,-37.672153,-2.6621578,56.583874,-34.32716,64.19501,-0.8893353,-5.0429516,-23.505219,107.2367,20.846207,20.820923,8.668905,126.19903
-14.961102,-2.7254689,1.6483761,11.654775,4.2824364,154.47043,164.53659,56.476227,189.05048,27.104403,-33.045013,31.319798,-23.002897,166.05049,124.544014,63.53366,20.153505,1.689596,208.6683,6.132382,-19.586998,190.2752,-23.532984,225.79564,-69.19174,-19.669699,-0.75359577,9.980476,2.1569226,8.10619,-4.864246,35.29175,101.03453,78.17221,240.29425,9.930168,18.112635,-7.4305735,52.57626,9.465912,-9.927601,4.020804,133.03795,14.989207,30.875664,2.214799,163.7863
-7.039679,4.3343234,3.5041313,9.089585,14.970454,168.43904,151.32874,99.31855,119.14901,41.781357,-18.549248,-8.4888315,-26.076504,152.27051,198.94466,59.171413,17.3146,1.8063388,242.7521,-6.536926,-8.830751,153.24606,-22.383389,196.39418,-89.62009,-20.436192,7.1292286,12.748136,-0.008249141,6.363354,-7.1443386,11.167627,86.44421,80.26406,94.689674,19.635212,15.835704,-23.602592,59.953796,-0.93680006,-10.460827,-6.482746,137.10648,17.797525,25.172363,6.492823,166.21059
5.455365,0.7712334,4.4215016,6.29105,-1.925878,169.89293,141.66307,26.693258,132.25168,15.868927,-15.685172,39.601494,-11.028045,157.50618,107.0896,35.27841,17.095901,-10.065993,165.45769,-1.1238662,-13.152278,171.26706,-21.241692,223.84431,35.098408,-17.808643,-4.2431817,9.303996,-4.837713,6.022879,-0.79835707,50.897633,145.33374,82.39025,291.42358,7.994767,24.716518,9.686544,19.85774,4.96906,-12.511334,11.084557,134.37689,6.110951,39.04203,1.5443139,146.19243
