"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.6295166,0.07070148,-4.9294767,-2.4313018,-4.7252364,4.04276,-9.642313,-2.586067,-4.1404195,-1.9500945,9.452392,-2.796647,-14.411548,-40.872368,-23.127396,-5.578981,2.5419366,-0.34856644,-0.014226833,6.805466,1.0579268,7.768807,0.66898483,-5.5273175,-1.5876529,0.2744929,3.4543638,3.0636048,9.660179,-0.22575553,0.4359181,2.3609297,5.9668565,-2.7042744,-13.442124,-9.485472,-11.559645,2.0018723,-2.0704072,-5.5100813,-1.4189405,-1.4805336,0.99119765,-29.68044,-5.3687167,2.920382,-42.545444
-0.26289228,-0.014263559,-8.440446,-1.477894,-4.2037067,3.4520037,-3.729679,-4.1473665,-5.208064,3.5705154,4.2378726,-1.3033905,-8.406433,-48.224197,-17.606794,-8.549652,4.2516146,3.0514417,-0.4202081,10.342431,1.0272622,4.4884396,1.4952577,-2.5879655,-1.9414742,0.8139079,1.828005,3.98081,11.989121,-0.42107067,0.36301854,-3.7815855,-2.6535523,-1.5754243,-23.53065,7.6409945,-13.228836,1.5461107,-0.6602989,-4.5171123,0.85068077,-2.9027255,4.2801995,-32.249535,-2.8999095,4.7691407,-48.354267
-0.7435263,-0.055809304,-8.084032,-2.2895222,-4.5244265,-4.0605125,-13.7687435,-1.9767468,-3.5895498,3.8978457,8.175347,-3.1783123,-11.446322,-43.33724,-18.472462,-3.1133702,2.253966,-0.4845848,-0.5356019,6.3447056,2.4714887,11.33409,0.3489578,-5.696499,-2.300111,1.0532838,2.7894616,3.6215656,5.1337185,-0.39564332,0.22232744,2.485962,7.3318615,-2.56246,-13.911602,-3.9791892,-9.856827,-0.78202313,-2.7154372,-4.844341,-2.131569,-3.2671978,2.1251152,-25.560402,-0.10544943,3.8675635,-43.72218
-0.61902225,0.280231,-7.988914,-1.443778,-4.5610023,-1.1479594,-5.4923434,-4.34117,-2.7547941,-1.3627005,7.9041977,-1.8336103,-8.586293,-42.885826,-18.503374,-4.484435,4.110869,-0.84331626,-0.10430179,8.312636,1.7777078,8.2721815,0.63996357,-3.558282,-1.5774653,0.76024723,2.3750668,3.4075813,9.886415,-0.028669039,0.19582303,1.8160186,0.2377721,-2.05811,-18.816326,-5.6819983,-12.703879,2.504923,-1.0710527,-3.4676814,-3.043531,-3.392815,2.482994,-27.363998,-3.7542021,3.6714268,-44.270504
-0.6542573,0.25800928,-7.3648624,-3.24571,-3.6614234,-0.7118147,-9.958978,-3.8588014,-5.0512705,-0.3998042,5.628414,-1.6947141,-9.482587,-48.925602,-18.025967,-3.7632453,3.8740375,-0.5397383,-0.39377636,7.9898005,1.795815,7.732615,0.76596195,-3.5144167,-0.53645176,0.7398244,2.2618937,3.480047,11.901018,-0.016527334,0.3075465,0.8985589,-1.4715748,-1.4377596,-20.053652,6.120407,-11.831992,2.600639,-1.3703083,-3.7747333,-0.88584083,-2.834177,3.1583219,-27.22509,-3.5960112,3.997429,-44.775684
0.08036169,0.42752445,-8.04095,-1.6259527,-4.766499,-2.2056842,-9.242163,-3.615632,-2.0369215,-1.9409391,7.7582245,-3.4385855,-14.17931,-41.377785,-16.943365,-3.6815698,1.7801846,-0.81774247,0.004822124,5.7240753,2.1986873,7.462871,0.7288189,-6.151394,-1.0608925,0.49902144,2.7848423,3.1042728,5.687863,0.1844076,0.19849601,2.5985472,2.8656445,-1.7037494,-11.019327,-3.718881,-10.7929735,2.919306,-2.2549012,-4.465558,-0.5328367,-3.3517637,2.586257,-30.59548,-4.2912626,3.7765725,-41.89754
0.18073383,0.626547,-7.4580135,-0.14979547,-3.9887545,-2.856225,-9.131542,-2.9857564,-3.0325367,-1.4432856,6.64695,-1.9726435,-8.966881,-47.15616,-18.526987,-4.9267263,3.0335937,-2.2381127,1.8021502,10.242821,1.9977301,16.706701,1.3172901,-2.9601288,2.8392966,0.34142494,2.5404878,3.6019902,13.145543,-2.1344264,0.44376862,-4.5300555,-3.4481542,-0.38193887,-25.813898,9.852545,-14.362764,-1.0829009,-1.040242,-4.327314,1.2444512,-2.2274783,1.4068451,-33.609257,-3.7333674,5.244297,-50.584747
0.07682259,0.500791,-4.4864373,-0.87254953,-4.1679745,-3.492948,-10.514974,-3.7705326,-3.3936105,-0.9458523,6.2577615,-1.2727098,-7.611146,-49.044323,-17.34179,-4.3319945,2.476093,0.051569466,-0.5640542,6.828472,5.2444873,8.1403265,1.074278,-1.4599587,1.6843288,0.43608674,3.1231985,3.2461479,13.873826,-1.4247011,0.14938235,-3.5355499,-1.5668538,-2.613669,-21.452742,9.106968,-17.0013,-0.8526213,-1.1660755,-4.0992823,-0.6370618,-0.7205771,7.1124783,-33.07505,-4.646118,4.619235,-47.92234
-0.003979335,0.8199531,-5.599283,-1.4688601,-4.570514,-2.7792091,-5.062944,-3.5887415,-2.6814725,5.553532,7.158403,-1.1076406,-8.23973,-48.982056,-18.018757,-8.242679,2.3308742,0.10587828,-0.9434409,6.8397546,5.193061,7.707,2.048914,-1.3941962,2.2810144,0.69544375,2.891648,3.077283,14.409377,-1.0179533,0.32730982,-4.217457,-1.0443438,-2.4433806,-27.885653,8.956696,-17.411688,-1.0985446,-0.9407817,-5.4361176,-0.9694505,-2.331921,6.241958,-32.993732,-5.20741,4.731515,-47.071854
1.1802653,0.58667797,-4.282787,-2.8457127,-4.166325,-10.619181,-13.40639,3.204839,-5.2791653,-2.1735747,7.9712152,-2.078727,-7.3040633,-44.1248,-18.831806,-6.9095693,1.978469,0.20371531,-1.2912813,-7.9199495,9.2400675,7.995073,1.3297135,-1.0717584,-1.9554454,0.83383083,3.63038,1.8373533,11.183788,-0.15249343,-0.48436913,3.1030524,2.2918005,-3.9329858,-19.98835,8.900434,-11.614783,-0.6779275,-1.6126391,-3.9181547,-4.824438,-0.46514356,0.03303104,-22.840422,-5.2644773,2.52668,-38.930706
