"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-2.6511796,-0.48310226,1.0984585,-0.63999945,-5.7710013,5.549514,-13.986415,-6.92053,-4.9591637,0.39954224,-1.4963301,-17.518078,-25.046602,-16.693275,-19.554892,1.5416628,2.1455324,0.10213585,1.4580011,8.255294,2.2625148,6.75651,5.3302016,-17.721336,3.6933067,-1.9603834,-0.1635609,0.96590596,11.567141,1.2689608,0.34967798,1.4209247,0.050620295,0.70184606,11.3539715,-9.718875,-10.75229,-3.5122678,-7.8503637,0.43679973,0.71860623,0.48658624,10.276778,-9.200406,-9.066904,0.21441235,-28.359955
-6.0031924,-1.2076079,-8.675047,-0.1864617,-8.786386,2.856029,-2.4793108,-14.101965,-8.2262535,12.847142,-2.718599,-10.018434,-22.234041,-28.934404,-19.45897,0.38308054,4.4080176,-0.13462612,1.6580975,13.410806,0.7716582,-0.10261435,2.5272057,-18.92942,5.082505,-1.0014603,-0.15948202,3.853254,13.471418,-0.6067079,0.297368,1.8929853,0.06673786,-2.9755378,-24.278204,4.9321404,-11.441817,0.863376,-4.681027,0.16598196,0.3408002,-0.45011377,12.147639,-9.942779,-5.5028806,0.13327478,-29.791677
-3.470874,-0.6603172,1.8736467,-0.5116843,-3.9066086,6.1471524,-12.70485,-7.757428,-3.506856,5.3371105,-0.013785944,-15.621323,-23.670607,-30.789476,-19.872377,-1.9649466,0.9656278,-0.9488396,0.23313887,6.4537773,2.5368316,3.170782,2.3720365,-24.320145,3.1020293,-1.1815995,1.4354651,1.1487541,9.170559,0.003994213,0.0724428,0.15713897,-2.0820522,-3.5327535,9.19981,-3.1430311,-14.407953,-4.304156,-6.8709846,-0.19610053,1.6709383,0.9530325,6.382645,-12.679446,-2.2744858,0.39128706,-22.763437
-3.5539994,-0.66038144,-9.915204,-0.6388077,-8.600483,6.414491,2.5207276,-8.907901,-3.9716272,-0.11262171,-1.5370274,-15.1206875,-21.022636,-27.767885,-17.928703,-0.8760267,3.0124054,2.115467,2.4592733,11.366813,1.4339467,4.712384,2.9083173,-23.803951,2.9705787,-1.1656967,-0.283591,3.9346914,12.05057,-0.46250236,0.3816381,0.58286786,-1.10081,-4.2891283,-25.762539,-2.4342134,-10.322061,-3.132918,-5.7211933,-0.21361797,0.949836,2.1277695,13.39251,-9.082496,-1.6858935,0.4164423,-24.718893
-3.0583272,-0.33282945,-8.555981,-0.18899791,-5.7603555,3.0522618,-7.9116383,-7.303851,-6.0080657,-0.80623835,-2.0159438,-16.818188,-23.898634,-28.117449,-17.092493,-0.5631281,2.20517,0.5444114,1.7489895,11.028941,2.2028987,6.3747787,2.789821,-24.30419,2.250369,0.2624018,-0.29676476,2.2021456,12.027069,-0.3591229,0.24018905,0.30580103,-1.3343439,-4.3885274,-7.1180687,4.7234106,-10.994306,-2.2071729,-6.066367,-1.1326988,0.7998808,1.350213,11.395995,-9.431702,-7.7082534,0.43272686,-23.066437
7.313266,-1.9742714,-1.863608,-1.0077364,-4.3845983,6.610501,-11.456422,-1.2440032,0.47329646,-6.8996468,-1.1624873,-15.983404,-23.621641,-31.753355,-16.473057,-0.63561964,0.6053039,2.7114072,5.24429,5.8802977,3.1370919,2.6861722,1.4138846,-19.436907,2.8076801,-0.5997149,2.2758365,1.3694437,7.2398453,-0.723177,-0.17220223,0.15126237,-1.1553679,-0.403147,7.243383,-8.555821,-12.68304,-4.4287896,-6.088169,0.20034371,0.30701682,0.59763354,9.428438,-11.437532,-5.409867,0.58239883,-23.083504
5.278528,6.2275915,-6.986157,0.48492348,-8.271805,20.958319,-3.778253,4.3704286,2.7316554,0.5560418,0.533067,2.4899714,-8.925118,-16.17277,-15.13843,0.35249147,6.957107,0.2861126,4.297283,9.0397,8.039894,4.1864386,3.7733936,-18.61405,9.328799,-3.039596,-1.4497949,13.5694275,13.45874,0.70740724,0.8699675,-0.6667314,-1.5859607,-0.6941526,-40.718708,11.611498,-13.521739,3.1576695,7.345203,1.2657061,0.49784938,1.5463307,-7.5468035,-3.1905239,-6.208828,0.33871305,-21.03237
14.563479,0.15352803,5.012668,-0.33280352,-9.05229,11.797883,-9.4844265,2.7128959,-0.45069572,1.1516455,1.7384049,0.74218655,-13.809086,-10.244137,-17.801544,0.31998587,0.5021068,-0.3219573,9.0854645,8.313198,5.1677837,4.7232122,2.1338713,-21.424194,4.856617,-1.7576703,1.1578354,3.2453961,17.683853,0.07677564,0.09570409,1.0740832,0.8031696,-3.3545291,-19.670225,4.9184375,-14.12917,3.1257339,-0.5268601,-0.11452618,0.05708484,-0.92202705,20.064156,-7.286836,-5.529001,0.5150573,-22.658731
-2.6958413,2.2435982,5.9398804,-0.39433822,-9.3331375,15.388051,-0.07674818,0.95675516,-4.0351777,7.5294747,3.456791,0.6386229,-9.029783,-20.543842,-20.903166,-1.143996,1.0118853,0.018695733,9.016671,6.094962,3.5232418,3.7151597,3.0655744,-21.131474,5.9498935,-3.275454,0.8816021,10.640285,17.462427,-0.40697172,0.9318739,0.9247621,1.0130763,-2.6801717,-24.892118,9.602802,-13.444201,6.018979,-1.5123568,0.2899601,1.0971382,0.57260746,18.002293,-6.7616735,-1.5997753,0.484058,-25.912134
9.347864,0.55825067,7.654978,-0.86374766,-4.206912,9.925071,-16.633709,3.8622692,1.7074327,1.4330047,0.97832656,0.809005,-3.7850635,-14.806871,-17.788496,-6.4368095,0.45570946,-1.527306,5.4951887,-2.7701228,-0.7119853,0.5434339,1.8391777,-21.214334,1.8733871,-1.7003168,3.6523337,1.3931993,13.244601,-0.58829856,0.45023164,0.7268657,-0.8154804,-0.60001004,12.29465,4.6294327,-13.163754,6.577936,-1.9778631,-0.7203353,0.24831027,0.5374598,15.918184,-6.870016,-1.9263633,0.19205007,-20.47317
