"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.13530082,-0.099437855,0.20023015,0.009034238,0.8631372,-0.27315742,0.23339577,-0.10260339,0.8115094,0.1907711,0.079988755,0.24428087,0.77113396,2.9188504,0.81587625,-0.31248593,0.19313186,0.14854553,-0.09163886,-0.2852413,-0.1403984,0.8928736,0.39055094,0.95448625,0.085120305,-0.05186388,0.24114923,0.03259948,-0.006021029,0.0847098,0.022846162,0.64583045,0.46204364,1.5980356,0.9616869,-0.0009549628,0.27232033,0.26658005,0.6524371,0.016567321,0.10040523,0.10839913,0.28079998,0.09495868,0.12049384,-0.18510176,0.25512075
-0.15569624,-0.089452535,0.11115375,0.025192078,0.85953426,0.14587079,0.08474088,-0.026475232,1.4599665,0.074258775,-0.03462115,0.24199422,1.0727308,2.968302,0.75257695,-0.41067332,0.28547767,0.032123856,-0.0913923,-0.52031845,-0.0055290596,1.1033819,0.1704068,0.96344006,-0.24942991,-0.04134164,0.26960328,0.005496605,0.004983785,0.030983256,0.084457316,0.49923372,-0.06941341,1.1644125,1.0730108,0.0661027,0.42095712,0.25659746,0.9061612,0.0019891588,0.09039156,-0.45968115,0.19619122,0.09788274,0.14100799,0.10521312,0.6959597
-0.101146944,-0.07565915,0.31853113,-0.0015398253,0.7093052,0.33935532,0.27075544,-0.15158619,0.6632387,0.08231427,0.026650224,0.21605207,0.78092265,2.9552052,0.7236158,0.08896346,0.20945925,0.009533056,-0.13059181,-0.18937577,-0.21086101,1.020503,0.27301255,0.9715651,0.015995497,-0.045095462,-0.0554367,0.076005846,0.09586672,0.018801432,0.024375709,0.4633992,0.38215417,1.9386655,0.8476736,-0.029861854,0.2942536,0.4421528,0.57613236,0.009630293,0.068971716,-0.06329158,0.30410954,-0.079690486,-0.22855343,-0.22849926,0.18739612
-0.12683381,-0.121029496,0.29743245,0.029358424,0.8036566,0.3328345,0.016879313,-0.09443377,1.5563033,0.11886584,0.046998393,0.21511197,0.7792237,2.8471699,0.75944173,-0.16861267,0.3086848,0.084224544,-0.13214596,-0.25214526,-0.16204628,0.97675437,0.27994147,0.9716862,-0.22600168,-0.04939018,0.2461097,0.04723197,0.08307693,0.0049887937,0.101451345,0.40045193,0.1705345,1.3757288,0.839969,-0.0126534905,0.40977174,0.19337709,0.8178522,-0.0047186674,0.10678732,-0.28614092,0.35729066,0.047134936,0.08614377,-0.031006757,0.26161373
-0.12768634,-0.11872456,0.30436227,0.034160506,0.76229507,0.2829479,0.08887744,-0.054260902,1.6435965,0.08492584,-0.020808998,0.13412091,0.83343536,2.8983436,0.7550583,-0.18969488,0.31893042,0.032520693,-0.14461933,-0.25435498,-0.09287562,1.001404,0.2761178,0.98204315,-0.28946844,-0.026180822,0.24938525,-0.008183101,0.04499435,0.0040185084,0.07740974,0.40198398,0.18105751,1.265251,1.0144786,0.10011972,0.38569108,0.109978594,0.68762493,0.0030648184,0.0982726,-0.2969309,0.32528564,0.06526333,0.09666898,-0.027084524,0.4144117
0.06287188,-0.076228,0.2726129,0.018936034,0.6031759,0.34649295,0.2760611,0.4478055,0.6955,0.029794225,0.036704913,0.18464579,0.61394054,2.9018033,0.78206235,-0.010382689,0.23807776,0.056946296,-0.13583425,-0.21560593,-0.066616364,1.1258206,0.31756386,0.91548413,-0.011784118,-0.049883515,0.2524583,0.017534707,0.13907862,0.014435834,0.07330668,0.52610266,0.33184132,1.6472367,0.8453826,-0.04203987,0.3247115,0.17332768,0.7116795,0.017112302,0.09602423,-0.02440749,0.33511227,0.052711852,0.07353076,-0.17160228,0.22489238
0.0704178,0.03357363,1.0312579,0.14408328,0.8769477,1.0786554,0.71637917,0.582782,0.55150235,0.34056285,0.07095151,0.018420234,1.1768001,2.6215777,0.5319757,0.0013000405,0.20153692,0.17729494,0.15519457,-0.04132515,-0.101476274,1.5555884,0.15711679,1.0917546,-0.24881054,0.16669992,0.33321494,0.09499068,0.31200948,0.18782996,0.11631921,-0.19511285,-0.0063220155,-0.009728964,-0.07427548,0.47323942,0.85459423,0.17504877,1.3973058,0.16929087,0.15285642,-0.03407413,0.67252916,0.25188485,0.36664793,0.18335342,1.6399707
0.14724322,0.22466987,0.72160095,0.14534812,0.7774356,0.7301642,0.19340307,0.68471086,1.4367087,0.07673556,0.022030717,0.04366525,1.0992564,2.9980948,0.5787793,-0.1724677,0.33992594,0.123065874,-0.13554274,-0.17651713,-0.22681914,1.4901797,0.2609263,1.1083045,-0.23985444,-0.02513208,0.22906971,-0.043528482,0.28191754,-0.022957085,0.046129435,0.3764382,0.0007910166,1.3573725,1.4253815,0.61980414,0.5469702,-0.25486737,1.208361,0.0035249128,0.115279585,0.19522451,0.4719198,0.054764025,0.06745036,0.04216753,1.0755852
-0.008760708,-0.05016995,0.7711872,0.11128826,0.7676808,0.7585875,0.19008903,0.36038852,1.6591296,0.10665258,0.036645677,0.05134698,0.9926886,3.0515273,0.5562746,-0.115670644,0.33205318,0.13803306,-0.14077742,-0.114971824,-0.15734036,1.5881188,0.027588166,1.1538987,-0.26786697,0.017113147,0.23691227,-0.008852884,0.23310977,0.12077723,0.09464073,0.41555956,0.0145876305,1.5026922,1.4961318,0.59923685,0.65529233,-0.30576548,0.9619785,0.055825498,0.1849957,-0.04685174,0.4116251,0.2767594,0.14122975,0.029945152,1.1373845
0.23402211,0.45372722,0.38769308,0.58480626,0.8248812,0.69965416,0.30039725,1.190727,0.7400533,0.25892922,-0.20417497,-0.0032027075,1.0902544,2.788198,0.4621181,0.0024178317,0.1734642,-0.021617558,-0.06157281,0.023577169,-0.13960187,1.3459775,0.12414074,1.155851,-0.1045888,-0.017728334,0.17973655,0.07044923,0.022905169,0.040555015,0.19845282,0.69649166,0.5406199,2.3531547,1.0714397,0.56351167,0.41188228,-0.3838104,0.90154254,0.019381206,0.35129413,0.45273492,0.35089687,0.2075263,-0.28097135,-0.1615712,0.1266723
