"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.17331879,0.01308133,0.15377147,0.0006520747,0.34398928,-0.10550653,0.25448787,0.5955607,1.2165521,-0.1081077,-0.10907468,0.60261935,0.8732018,0.84245396,0.044362664,-0.2728522,0.066564344,-0.019521177,0.020701384,0.011040429,0.042351425,0.031939864,0.036134735,1.0765814,-0.29363725,-0.07371659,-0.07441051,0.025881894,0.12017243,0.021637416,-0.08466531,0.053727992,0.010345228,0.1606584,0.08418373,-0.024178753,-0.22593178,0.45654508,0.2311039,0.010756671,-0.041110717,0.09443411,0.043945048,0.033725336,0.13736477,-0.2559536,0.55871207
0.044461235,0.005755975,-0.010846546,0.0020287095,0.46487832,0.065204605,0.14697549,0.6837017,1.5393721,-0.1255736,0.3201614,0.69688517,0.46260336,0.91896737,0.05740371,-0.07746835,0.036101755,0.053304113,0.019292323,-0.20729654,0.011335823,-0.117105044,-0.05837869,1.1752338,0.39887494,-0.06803108,0.026681228,0.052911878,0.10258938,0.00734421,-0.0007573856,0.041789975,-0.3608695,0.050302327,0.31964776,0.0461217,0.50395936,0.24907391,0.48578003,0.014324125,-0.016893333,-0.35043082,-0.0029770667,0.12740187,0.110904396,0.010159664,0.9126694
0.2534638,0.0015582689,0.099942654,-0.045151968,0.3304309,0.33901346,0.27443695,0.5519693,1.1642116,-0.42225093,-0.07038109,0.5749698,0.8349218,0.90265346,0.11819435,0.13853763,-0.074818075,-0.0042719063,0.020269299,0.14040239,-0.00035702228,-0.1548222,-0.1438932,1.083902,-0.47521228,0.0008888175,-0.018238012,0.015166599,0.05248818,0.025237368,-0.007968714,0.13438596,0.10538976,0.13128133,-0.07657277,-0.04871021,-0.21542698,0.42681703,0.2026978,0.01417677,0.004622103,-0.007952683,0.08827474,0.04862185,-0.09127467,-0.060744498,0.41993746
-0.022111619,0.004912343,0.07636703,-0.049949422,0.43290246,0.3292936,0.09469448,0.7285709,1.1777085,-0.10456896,0.29607177,0.5753606,0.54484934,0.98564947,0.061787587,-0.0523748,-0.04205075,-0.06714655,-0.007072126,-0.04574464,0.011097395,-0.051297728,-0.0086639,1.199413,0.1378073,0.014320109,-0.012649616,0.015829803,0.08562157,0.008511466,0.00724484,0.12050882,0.19403957,0.09368921,0.26955238,-0.00941172,0.6285765,0.3415112,0.19102056,0.012404419,-0.021092482,-0.00923455,0.0710587,0.028159885,0.118983984,-0.012655383,0.42411327
0.090880126,-0.010900617,0.056513578,-0.052766457,0.43553022,0.45837831,0.23460346,0.4543871,1.2922553,-0.08874481,0.29179388,0.36809823,0.3858448,0.9382245,0.021842694,-0.069655895,-0.0550533,-0.05955348,-0.012830303,-0.027746445,-0.010605512,-0.030425243,-0.006280469,1.1893059,0.17295678,-0.023629356,-0.049254738,0.01678246,0.060927175,0.00469792,0.0009178796,0.09739063,0.15978011,0.04455381,0.3053291,0.08739566,0.7661093,0.27679572,0.3363692,0.01117102,-0.034942906,-0.062315736,0.053006496,0.078310914,0.07109097,-0.017311534,0.6237443
0.14674914,-0.011017379,0.08501332,-0.05390608,0.48421422,0.60911214,0.29106626,0.79420894,1.014495,0.2353258,0.25722972,0.48659647,0.59950095,1.0278938,0.05241742,-0.114950456,-0.06760232,-0.02554938,0.023121888,0.0536763,0.019449372,0.07739694,0.012550435,1.1579083,0.22902235,0.033742037,-0.030894358,0.045164283,0.062307093,0.0078727845,0.02745755,0.18541095,0.18833715,0.07884754,0.16362393,-0.06388744,0.40375426,0.4043084,0.21788555,0.021382514,0.0031075187,0.040592384,0.04698782,0.13254581,0.13659139,0.0039720302,0.41134584
0.056854706,-0.007147937,0.026123606,-0.024332494,0.42035532,1.3818574,0.36595067,0.76130474,1.0687727,0.089629315,0.20051603,0.090809144,0.4265301,0.8949747,0.047497917,-0.03362659,0.05136067,0.0058257133,-0.082666524,-0.009315487,0.040545303,0.0009385478,0.07412752,1.2656045,0.27410913,0.11158693,0.02545245,-0.002729611,0.2421828,0.04495364,-0.009807892,0.043415867,-0.07415888,-0.0064175967,0.2726258,0.19543926,0.68825144,-0.12987292,0.4025186,0.023092045,-0.007920607,0.07720613,0.0012419453,0.17424306,0.16724339,0.029097008,0.9206643
-0.1054243,0.02761319,0.16515751,0.03276398,0.4037,0.7815313,0.37323818,0.78815484,-0.05930439,0.1343027,-0.13241237,0.3233641,0.27780434,0.77808386,0.045924988,-0.09020886,-0.0589975,-0.00064790796,0.039444733,0.19603351,0.025154164,-0.028147502,0.016047478,1.2147933,0.8133204,0.040384464,0.03867604,0.029702002,0.09309329,0.023074038,-0.064586304,0.061646607,-0.00604313,0.05960187,0.46268913,0.64435935,0.8539812,-0.09517314,0.5691748,0.008085925,0.029884793,0.5374173,0.015869591,0.13604134,0.11439801,0.0016886587,1.0618236
0.087388106,-0.040212788,0.24699707,0.08178652,0.39142945,0.9401519,0.3743922,0.5582004,1.5188329,-0.17860973,-0.11448822,-0.0341505,0.36655378,0.8488679,0.034381345,-0.06942,-0.0417795,-0.017963504,0.0025920626,0.06604444,0.26770812,-0.05896598,-0.006280591,1.3139821,0.41702604,0.18489657,0.03796261,-0.0022485415,0.21729513,0.05369722,-0.03175689,0.07987479,-0.037229218,0.051649403,0.16781217,0.4132747,0.6832988,-0.11189268,0.44719508,0.008639897,0.0041323607,0.13938266,0.056206405,0.16544695,0.13486141,0.03234062,0.9227299
-0.1296679,-0.052272167,0.07570847,0.11592725,0.4271117,0.7325728,0.6893634,1.0549698,-0.057210855,0.16054228,-0.1798754,0.4227661,0.026662853,0.70763296,0.14569792,0.06279733,0.035973173,0.00139283,-0.072197706,0.5038099,0.22811963,0.16107559,0.030206524,1.2066139,0.69011813,-0.0050489483,0.07632666,0.12249014,0.27483,0.05769877,0.021173699,0.06916069,0.116935246,0.35281533,0.22450817,0.25215307,-0.28992292,-0.046536468,0.3854287,0.04494283,0.33624393,0.7654773,0.030945329,0.27483055,0.08443215,-0.020692803,0.4561261
