"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.16690542,0.20418647,0.80004966,0.83603764,3.64789,-3.1192007,1.3499984,-2.5088177,3.216689,2.1674986,0.87270516,-0.16693155,2.3562465,2.4877877,1.6578428,-4.0855217,1.3696154,-0.6562147,0.0060942294,-0.7238701,-1.2456095,0.723953,0.5741678,1.072717,0.10529556,-0.2938628,0.6158342,0.14901504,-0.47500256,-0.17533003,0.51637244,1.7585498,2.9269714,7.5994635,4.4701924,-2.7104003,0.49430624,2.1772933,3.9564,-0.10747608,-1.125564,-0.061331604,-0.35654175,-0.06484149,2.3227808,-0.61997014,1.6844823
0.2092504,-0.03793274,-0.74642384,0.19032504,3.9777434,-1.7973588,-5.165408,-8.629381,3.61994,0.56248826,1.5487455,0.82698613,2.8497846,1.919678,1.6948164,-1.6688677,3.195115,-0.19948289,0.27412692,-1.0204735,0.878168,0.09805945,-1.091448,1.6294316,-0.07082634,-0.015798932,-2.025115,0.7168971,0.010875833,-0.19362403,0.5253703,-1.2534772,-0.53503007,6.6053786,7.251902,4.204545,3.1508567,1.3952794,7.0812793,1.3054112,-0.6774668,-1.6191338,2.8003755,0.41339046,0.71694905,0.23633048,3.6976974
0.74320877,0.0086915055,-0.68025476,0.9943977,8.338536,2.6125054,12.118454,-7.284772,2.2105463,-0.2187932,0.56650317,-0.45538816,2.9421253,0.99932516,3.8600392,0.39126214,1.9889264,-0.36515465,-0.11715951,-0.4684415,-1.88478,3.0836565,-2.4321568,-4.2416463,-0.8465877,-0.35472268,-4.5483694,0.23818994,-0.095729396,-0.04738064,0.43625998,2.5245695,2.830524,6.8550296,1.33723,-2.53336,1.3933065,0.8309982,4.7044787,-0.29771706,-0.822153,-1.8599483,-0.038057115,-0.2051909,-1.8203076,-0.1465338,-1.9358658
0.7164828,0.62418586,0.6744159,0.61196285,5.438761,2.6210046,-3.829576,-3.8387716,4.0707827,0.44671208,0.9622004,-0.37056598,3.8133965,1.959841,2.1403732,-0.7849633,1.6250454,0.76270705,0.48980218,-1.1710578,-1.0826514,1.5278045,-0.3895476,-0.63713074,-0.48266438,-0.46701443,-0.35943878,0.57848907,0.0892337,0.0398249,0.26404768,1.5744684,1.0535746,8.375377,4.262915,-1.7323415,1.7349257,2.4926877,4.9190392,0.33668756,-1.0397393,-1.2498374,0.66189754,-0.27813882,-0.14671817,0.22316937,-0.411213
-0.008026501,-0.32351276,0.7504075,0.6320288,4.852714,0.5842324,-1.3969105,-8.00354,2.7809613,0.037202135,0.8915918,-0.13100109,3.426168,2.3705769,2.6711593,-1.4468741,1.8326449,0.14248936,0.55679834,-1.3865145,-0.41436684,0.918389,-1.3215125,1.9216686,0.41637155,-0.5940067,-1.3181974,0.18232803,0.27829304,0.052486435,0.29057083,1.8774712,1.5264975,7.561248,4.4515233,2.800396,1.5031496,1.4981409,4.75634,0.31924877,-0.7717996,-1.2779311,1.1679176,-0.2858726,-0.21259384,-0.01603224,2.7103598
0.3826405,-0.4878426,-0.22505508,0.4987715,3.5912695,3.4375722,16.403765,5.486777,1.9886712,4.570234,0.69418615,-1.7260059,1.4876682,0.8377504,5.392783,-1.6565648,3.2833931,-0.7238108,0.7048482,-0.41862276,-1.9268975,5.8932934,-6.558214,-3.8440764,-1.033764,-0.4122986,-1.3202702,0.28750378,0.18889295,0.057688907,0.7090667,1.3592514,0.40614468,8.080938,1.7856469,-8.068073,1.4852029,1.2406396,5.6284184,-0.01255115,-1.9553523,-2.743906,-0.48147985,-1.405643,0.018769614,-0.09278788,-3.816699
-0.12625657,0.68951714,0.08229837,0.49964356,4.830869,10.630125,-3.2342217,5.8641863,0.95600986,2.348318,0.7072236,-0.19798191,3.953374,4.068611,3.3030472,-1.7537116,1.7168047,-0.11122432,-1.593597,-1.0538671,-2.006681,2.1010861,-1.5926967,-0.3150151,-0.45264456,-0.23492858,-0.011117279,-0.13463238,-0.15559366,-0.39613962,-0.6522198,-0.4935915,4.8413973,0.6993488,-4.320215,5.1544733,1.112969,-3.1477497,5.264802,-0.058072306,0.12981047,-0.53234714,0.048913646,-0.010480185,0.64368236,0.6708303,1.956904
0.78195703,-0.46560165,4.5602274,0.51312,4.4537673,7.5101304,-4.823354,7.531036,6.0477004,1.8245443,-1.0377985,0.062333543,7.670035,1.357961,2.8663251,-1.3926021,1.7874303,-0.38138083,0.62511766,-0.75907487,-2.6545973,2.169098,-1.5714409,0.24707828,1.7951025,0.043053024,-1.5834641,-0.25618714,-0.4466765,-0.15967014,0.015125515,-0.38470402,-0.25669828,7.9791117,7.1736555,8.608249,2.872413,-1.9216063,5.8321433,1.3733504,-0.74062085,1.9950627,1.8342369,-0.06859377,-0.18112169,-0.018236857,-0.43562108
-3.0046937,-0.8237945,2.275388,1.7212361,6.4137964,8.643105,-4.6572685,9.886428,6.120447,0.1713601,-1.2591262,0.062511355,6.7829485,1.0782264,2.8758287,-1.1975342,1.5852624,-0.48235846,0.4917819,-0.8148387,-2.8476074,3.5610368,-1.7237377,2.4311247,-0.018319625,-0.44661984,0.060477052,-0.19563703,-0.16258189,-0.36528087,0.27249938,-0.4710312,-0.3239379,10.155067,7.2008743,10.467451,1.6678483,-3.2681952,6.1973267,1.5984011,-1.0799085,-0.70276785,1.4358809,0.38648197,-0.28971812,0.053775746,0.49671367
-0.13410194,-0.37662697,0.65705836,-4.7947416,7.299473,8.320108,22.340752,7.755525,4.4824996,8.132526,-0.67154276,0.16352782,5.51373,-2.417223,5.796791,-0.6945438,2.8957455,-0.5309806,0.42173383,0.025586985,-1.1706352,4.993979,-5.624167,-3.8401206,-1.8289435,-0.013042102,-1.1181626,-0.22997004,-1.812634,-0.34148017,0.17425618,1.1521658,0.67291737,9.446398,-1.6178747,8.513911,2.2094545,-3.0995843,5.5998054,0.6280765,-1.3558394,1.3246496,-1.4293985,-0.34190112,-1.4799802,0.023627428,-3.598804
