"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.008764787,-0.0017529322,-0.04021377,0.026056752,0.008420505,0.02259757,-0.3298614,0.026640961,0.027792145,0.03670435,0.01888468,-0.015079394,0.017122794,0.03340469,-0.034990463,-0.13032414,0.010055632,0.0044060904,-0.009272874,0.0050086514,-0.053280424,-0.15903313,3.565771e-05,0.007846681,0.06359454,-0.0105132805,-0.0017655578,0.003513393,-0.009256875,-0.00073284673,-0.0033965164,-0.043997876,-0.09310124,-0.043999683,-0.27754328,0.008914928,0.14448781,0.020943549,0.0198497,0.09033742,0.051794462,-0.003520516,-0.2938628,0.15217672,0.17503321,-0.01213231,0.19431889
0.013207492,-0.0029545862,-0.018907955,0.029427903,0.01552373,-0.13228795,-0.085715994,0.0037834146,0.04365877,-0.054303017,0.16155255,-0.047511343,-0.10184407,0.10446275,-0.096637614,-0.15030946,0.0068678665,0.0030237974,0.0077303094,-0.051152516,0.058499523,-0.05723251,-0.0021869526,0.015851764,0.015516295,-0.006507317,-0.0024787846,0.013980335,-0.007278321,0.00025610026,-0.0024390824,-0.055143215,-0.14048974,-0.036290836,-0.22286408,0.0072480096,0.1709089,0.0066614426,0.0025537263,0.07863354,-0.00034854142,-0.018546522,-0.26853248,0.1466089,0.20949155,0.023494117,0.22877297
0.02082089,-0.00058189436,-0.02492675,0.034917533,0.012431182,-0.17118435,-0.05562127,0.028688699,0.020287106,-0.025819037,0.06231304,0.0020680528,0.038796075,0.120090455,-0.02660619,0.009401679,-0.0035045568,0.008024572,-0.023274532,0.0024027026,-0.052459065,-0.100706875,0.0074391454,0.03283673,0.03913492,-0.013872331,0.010614256,0.01091747,-0.0123635,-0.0075095426,-0.00280136,-0.042229332,-0.04799109,-0.021953244,-0.21728718,0.0013457334,0.1484243,0.016649941,0.01683852,0.11098854,0.028592639,-0.0017606136,-0.30729127,0.005211492,0.032861218,-0.015894858,0.22157924
0.021109741,0.0006564977,-0.003600911,0.04041976,0.009480582,-0.2639388,0.016398977,0.028541448,0.01548228,-0.010553204,0.059786316,-0.0049206247,0.033219915,0.13520566,-0.033336077,0.00035693074,-0.0023053773,-0.0008866686,-0.019104507,0.0037713535,-0.039145395,-0.1086957,-0.0006468132,0.019289684,0.05885524,-0.010632972,-2.539649e-05,0.0123749785,-0.010774494,0.008321615,0.006786917,-0.085525855,-0.047524303,0.0060842005,-0.3294115,0.0029126585,0.17598945,0.008340041,0.010057941,0.10794961,0.008371875,-0.007398217,-0.30347386,-0.004804959,0.07190093,-0.012161189,0.24178189
0.021252714,-0.0020863502,-0.010989003,0.036413867,0.013989603,-0.15953587,-0.10539487,0.01960685,0.03128151,-0.002497527,0.14142743,-0.01745064,0.04014091,0.13190338,-0.03340125,-0.0057135737,-0.0025371276,-0.0018994659,-0.008390693,0.00247274,-0.04163124,-0.09325461,-0.0019523443,0.012954517,0.019200426,-0.008897137,0.0010188584,0.011255832,-0.010115937,0.006114893,0.005100873,-0.067858316,-0.035083007,0.0077634295,-0.3269307,0.007175677,0.15380791,0.0051222355,0.0095707895,0.10674827,0.0077622673,-0.0072253793,-0.2936878,-0.046228975,0.104211524,-0.01218559,0.23821083
2.0522997e-05,-0.002841528,-0.022845203,-0.03134414,-0.02689839,-0.1594636,-0.10646589,-0.0059453365,0.0017038779,0.024926247,0.037957028,-0.011192295,0.007192354,0.122394815,-0.027267728,0.0044090524,0.0013083771,-0.00054327573,-0.020322021,-0.004663473,-0.04586016,-0.102266386,0.0030600112,0.019315075,0.03667613,-0.013395897,0.0070897304,0.00058762764,-0.0050978847,0.0074542835,-0.00080850907,-0.046820823,-0.05142204,-0.014579606,-0.33719125,0.005173218,0.13543408,0.0103557315,0.012842713,0.090464026,0.015614918,-0.0015075774,-0.29778457,0.017772378,0.06976854,-0.010580636,0.22061944
-0.007813655,-0.01460216,-0.006954396,-0.0021027552,-0.009358506,-0.36736837,-0.4675503,-0.026714599,0.010123354,-0.004001074,-0.016484942,-0.038115624,-0.01097065,-0.0028652425,-0.044883873,-0.30916542,-0.0017459024,0.004859334,-0.13690026,-0.0024038309,-0.18322733,-0.32628748,-0.020657882,-0.009503887,0.019864338,-0.030303283,-0.046092708,-0.004139167,-0.0064128344,-0.010379869,-0.0018861268,0.09975793,-0.047583453,0.0039102924,0.46188536,-0.00613256,0.054212198,-0.0038615898,0.0031414519,0.033846095,-0.0035182093,-0.0060226466,-0.26296523,0.10843473,0.06917192,-0.008875321,0.10433868
-0.03258841,-0.009093625,-0.031180365,-0.01832885,-0.018157165,-0.1611397,-0.13565014,-0.019832948,-0.0068824473,0.032007586,-0.036104504,-0.02048726,-0.010441875,-0.0063842977,-0.051914036,-0.017957676,-0.0020039144,-0.0008045581,-0.10646764,-0.0065746782,-0.08546778,-0.1339028,-0.003354945,0.015369149,0.022799147,-0.017099354,-0.027847674,8.2642095e-05,-0.0047083446,-0.012519115,-0.008618529,-0.065628454,-0.016962057,0.0066962936,-0.4201319,-0.0015261712,0.099622324,-0.007834513,-0.037217166,0.073070735,0.0044419346,-0.006418196,-0.35108098,0.012239767,0.079559214,-0.019546688,0.09305043
-0.018738616,-0.00674787,-0.05332477,-0.046849344,-0.0053143627,-0.25351503,-0.08498584,0.03654817,-0.008529734,-0.064830326,-0.055239044,-0.01939604,-0.08071827,0.03612472,-0.063161835,-0.017432772,-0.0012452957,-0.0013249106,-0.12012884,-0.0032649746,-0.14212334,-0.1568356,0.0034102804,0.02069849,0.01733782,-0.023690253,-0.021915562,0.008774204,-0.0034179785,-0.011718031,-0.007253871,-0.053670887,-0.036988832,-0.0015136527,-0.2909132,-0.049773462,0.10627547,-0.0030133196,0.0038261497,0.07625453,0.00046089318,-0.007415583,-0.3482404,0.07815441,0.08345643,-0.016525388,0.13484333
-0.033864964,-0.01032013,-0.023313455,-0.06944569,-0.013067939,-0.23339918,-0.15365663,-0.09842178,-0.0076836264,0.020715088,-0.07313548,-0.019623168,0.0048267273,-0.0116841635,-0.030122725,0.013455686,-0.009507947,6.595491e-05,-0.051211573,-0.00089147734,-0.22216888,0.0027494777,0.0009491709,0.018375602,0.022527982,-0.00691598,-0.022549279,-0.0026695123,-0.008629146,0.002719457,-0.0020175816,-0.06292585,-0.07089732,-0.054772034,-0.21529917,0.009200353,0.10118431,-0.006151203,0.0055197314,0.06981706,0.014982539,-0.0275887,-0.38262042,0.12919754,0.009515338,-0.00866254,0.1254646
