"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
1.3460284,0.77565485,-0.005149572,0.30947828,4.058802,0.68403643,13.037202,2.700808,3.369091,0.8772967,1.5248587,9.152936,16.136814,3.098744,1.0352764,-7.8276453,5.942732,-0.11854858,-0.35464653,-0.7574112,-1.431143,1.7928048,-0.86969364,10.830824,3.0341787,-0.36970854,-0.029701065,0.661633,2.0374022,-0.07025744,1.2265549,4.377594,5.0426207,5.426158,3.4744205,1.386086,1.4808879,0.89784086,2.4180913,0.1628705,0.49950248,0.30979052,0.08052905,0.40882018,-0.17920728,1.0460769,0.9256795
0.71895325,0.26208863,-0.16083568,0.18086052,4.6210294,0.43488854,17.196589,2.6795616,2.7225559,-0.74598044,1.6371603,11.98079,38.684746,22.016521,1.1334698,1.4099967,6.2976766,-0.6236148,-0.19940676,-0.9452578,0.30007654,1.2222432,-0.43125096,12.743793,-0.92908114,-0.56011295,0.12811387,1.1775489,1.8382435,0.0076747388,0.36998996,5.865096,4.3382764,8.237967,2.0191705,0.8744466,2.8264923,1.291191,4.52717,0.32709303,0.06689488,-1.2652792,0.26724732,0.17652245,0.18876407,-0.04075533,0.2992038
2.1583467,0.4523934,-0.2870226,0.09842888,3.7536173,2.3729663,19.171368,3.2681837,2.0936744,-0.91754633,2.9688473,9.780504,36.187553,21.216616,1.2633824,2.28279,-1.7316544,-0.022365112,-0.22731295,-0.43373007,-1.1578273,1.3793087,-0.29752496,14.0923815,2.8680089,-0.92926615,0.15365066,0.51118183,1.5538732,-0.27685803,0.47503632,6.1084166,6.315252,10.508052,3.2567885,1.1503767,1.872162,2.3680935,2.3480196,0.065170534,0.66839343,-0.08455896,0.11911058,-0.496907,-1.501519,1.0326722,1.5327727
1.9470266,0.44165608,0.1412893,0.25366896,4.382944,1.6465719,17.000624,3.274095,2.6833134,-0.47326672,2.2777388,11.424801,35.94505,19.96197,1.1364468,1.1304808,5.599726,-0.5621068,-0.1282414,-0.54786074,-1.0064876,1.6278337,-0.8556428,13.466853,0.98762953,-0.53987914,0.020042317,0.68253195,1.0007913,0.123511724,0.37682226,5.637973,4.7495227,8.349505,1.8372213,1.2341331,2.4175682,1.7829821,4.26739,0.29396465,-0.51623845,-0.70003945,0.17708856,0.39030367,-0.2828877,-0.059972566,2.1496096
2.0954247,0.8440037,0.079737276,0.29270026,4.3539443,1.9595097,16.613155,3.334804,2.4750392,-0.54283315,2.1279137,9.004469,36.069073,20.451323,1.2625512,1.0037413,5.8048787,-0.387858,-0.30026692,-0.47480962,-1.2230388,2.4264085,-0.86031026,13.367236,0.76648873,-0.5675993,0.22203462,1.9346961,1.0880402,0.019797007,0.4893681,5.6211247,4.479468,8.687993,1.7614269,-0.2000753,2.1230433,1.8752605,4.200468,0.60355425,-0.3173119,-0.5872809,0.08117765,0.5221613,0.22238992,0.010177684,2.3151467
-5.2381377,0.5527858,-0.12061439,-2.2863102,-7.402135,1.292591,14.769772,1.2059654,3.672827,1.378854,2.583501,9.040474,23.88095,17.15739,1.7437171,-0.12324992,6.383289,-0.30461976,-0.6625732,-0.45329097,-0.89803344,1.0508277,-0.33355218,12.188372,0.32222453,-1.0092916,-0.12441686,0.558513,0.93478507,0.06060917,0.3021422,3.9403913,6.0094543,10.956995,2.8688824,1.5835621,2.2517416,2.792925,2.5703242,0.33381164,-0.23956218,0.08471149,0.4096817,0.39163563,-0.2870709,-0.0906764,1.3590627
-0.79802245,-0.08691501,-0.106368914,0.037256498,3.6019785,3.3542871,7.8208556,-4.4734287,-1.1065733,0.92664564,1.1787021,-0.17842785,3.190916,5.4612966,2.1490726,-0.8136889,3.8021169,-0.035960466,-1.7250911,-0.23461103,-0.47398493,0.71387446,-0.9874055,8.32604,-6.8147044,-3.2206516,-1.3752637,0.46527258,0.7568526,-0.9731157,0.89084685,-2.6387506,-0.0054555424,2.9093883,0.34543288,-0.8724792,1.5789658,0.7055807,3.4099057,0.17943305,-0.3618968,0.16215193,-0.27653778,0.36641738,0.48471367,-0.029049309,-0.90755886
-1.4145762,-0.85310376,-0.33791092,-0.044314176,2.9432454,0.9833627,6.3078885,-3.7233522,1.5659744,1.7053293,-0.62346506,-0.7297836,5.720229,4.3616624,1.5922772,-0.187195,-0.16238382,-0.15027393,-1.0481526,-0.62248033,-2.4497278,1.509495,-0.32957006,7.8667364,-6.616936,-0.80038375,-1.0929672,0.0093544535,0.7445062,0.26147467,0.70080394,-0.08578938,1.2899679,3.200126,-0.15204518,-0.8195628,1.7677824,-1.2458248,4.4236465,0.0041128783,-0.6809051,0.883922,-0.32123244,0.2694789,1.1472888,-0.0015583405,-0.44672114
-0.43054542,-0.601988,-0.39919916,0.10483918,3.6151686,1.3925121,8.615217,2.159536,0.6648428,-0.29478824,-0.553977,-0.74936306,4.763557,11.558419,1.501854,0.1295797,-1.0630195,-0.13165395,-1.0427012,-0.7934378,-1.4730709,1.6371342,-0.7715292,1.1823772,-7.937693,-1.0027107,-0.568703,0.16278742,2.3344522,-0.4930909,0.634974,-0.6931964,1.191137,3.9256127,0.09208933,-0.8245389,1.1355616,-3.0826797,3.2099524,-0.045071192,-0.39553785,-0.39988604,-0.025697732,0.21686457,0.53833777,-0.041536856,-2.616507
-0.94000506,-1.0868541,0.39209127,-0.28895262,1.8368688,1.5159935,9.562712,-3.1116445,1.5659204,1.8959057,-1.1266237,0.28369334,4.550938,4.6456056,1.906596,0.290075,-0.59745336,0.09251968,-0.10907154,-1.7280928,-0.8917919,1.203826,-0.32843956,7.8823905,1.4397259,-1.0443143,-0.1424498,-0.19222035,-0.16615336,0.58938956,0.9233809,2.9343145,5.1639857,3.6365511,-0.047753062,-0.28924668,1.6314087,-1.8769433,2.9260404,-0.2314847,0.61659193,1.5751585,-0.2823321,0.14396232,-1.4282923,0.49147257,1.1635982
-0.54990965,0.39232945,-0.114382446,0.2595507,2.9332223,0.3368103,3.2980769,1.8383361,0.8578123,-0.6259353,-0.08982327,-0.65159225,4.919576,3.8785772,1.5069878,-1.0595478,-0.54922414,-0.27711636,-1.1588644,-0.66399133,-1.1351696,1.6214496,-0.3233094,7.445518,-6.9602838,-0.40238655,-1.1821526,0.062415484,1.8598765,-0.82149726,0.6625243,0.89632106,1.9828081,2.6393905,0.4009961,0.09701473,1.6859226,-1.2023805,3.656452,-0.090983585,-0.50703174,-0.2517998,-0.09997327,0.20588627,0.5855971,0.28830335,-1.2697455
-0.020364825,0.108370036,0.044028707,0.39683455,2.6612158,0.17527466,2.9165525,3.1485093,2.0972242,1.6877029,0.41192716,0.2586947,5.258618,5.424867,1.9729662,-0.094475314,0.053056948,0.60881215,1.6537044,-0.73532987,1.879577,1.8924967,-0.22371605,6.7703924,3.7006786,1.0845956,-0.0675105,0.25832117,-0.09116393,0.59972227,1.0231916,2.432838,3.0917869,3.3912263,0.79731184,-0.19201559,1.4116087,-0.90359294,3.2121894,0.6246446,0.16327108,-0.53776044,1.0677415,0.20279853,0.23197553,0.044350687,1.4606094
-0.1704391,-0.093588054,-0.26234823,-0.5566571,1.8019284,-0.6389291,8.797447,1.7463621,1.5718899,1.8933357,0.36279884,0.11175619,4.42952,4.8734393,2.0677173,0.33337715,0.2654479,0.12569267,2.4314015,0.22860727,-0.77777195,0.10089649,0.4367294,6.640453,3.4239228,1.6708856,0.2577916,-0.01874986,-0.14986254,0.5676025,0.57678473,4.41637,5.601212,3.4959028,0.23971838,0.15454164,-0.33556518,-0.07420951,1.9036343,0.28472763,0.6956629,-0.1723762,1.3323877,0.52336866,0.30249432,-0.026612358,0.7439084
-0.01799718,0.0922302,0.0404617,0.41201755,2.6832356,0.18081163,2.9308972,3.1570437,2.0972178,1.6641216,0.41280434,0.2707145,5.262791,5.4579196,2.0119922,-0.090559244,0.0042278063,0.6087544,1.6141244,-0.74225736,1.8405094,1.864473,-0.22076155,6.775638,3.7026715,1.0877745,-0.07029986,0.28741616,-0.08262962,0.61254454,1.0165356,2.3995261,2.3938222,3.4393463,0.9058644,-0.192683,1.9218007,-0.8665803,3.213663,0.5982894,0.17685999,-0.5205256,1.0666139,0.20387413,0.23648565,0.044013645,1.4650528
-0.15077692,0.08779986,-0.13737641,0.3828404,2.7179859,0.050088916,3.2994862,3.2368743,1.8303471,1.7631185,0.45625138,0.27525496,5.155881,5.5129447,2.1547947,-0.012937947,-0.00336141,0.6301895,1.8059262,-0.7473948,1.9391625,1.8372383,-0.38824934,6.7653294,3.1846783,1.2098454,-0.008431735,0.14270025,0.19630495,0.6436641,1.2392571,2.180638,2.5292544,3.4882143,0.5950097,-0.16904078,2.418682,-0.8870995,2.858922,0.29185075,0.110607535,-0.6991262,1.319151,0.18038774,0.32674778,0.07623361,1.4862552
-0.016437557,0.09241663,0.038873475,0.41191792,2.6781802,0.1681583,2.9239044,3.1591904,2.1041217,1.6716069,0.41126028,0.26911512,5.275747,5.458103,1.9740827,-0.09287371,0.0043970365,0.60939753,1.6515167,-0.7428053,1.8812641,1.864567,-0.2250886,6.772767,3.7004704,1.0863311,-0.06886184,0.27429134,-0.078910746,0.60754514,1.0159619,2.3943522,2.381332,3.4490242,0.95166624,-0.19208474,1.924829,-0.8971975,3.212239,0.5969651,0.17369755,-0.527784,1.0658573,0.19984348,0.2369175,0.04402058,1.4607341
-0.2669463,-0.44785887,0.03304989,0.6953752,2.6200917,-0.56734365,5.3837085,2.4776585,1.9156399,1.866255,0.39418185,0.3605707,5.872784,5.5004907,1.932406,-0.10506945,-0.117227174,0.7813323,2.0802493,-0.3187805,1.9480615,1.0293748,-0.18886463,6.5658774,3.691521,1.4635601,-0.16969842,-0.005383117,-0.15756407,0.7391789,0.95667416,3.0248168,2.4412136,3.7103372,0.69831324,0.08446201,-0.614631,1.5089986,2.9968379,0.67518663,0.124313585,-0.21941644,1.6802814,0.45634234,-1.1060069,0.0081970105,1.5818919
