"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-9.423589,-5.1147714,1.7028054,-19.508963,64.60061,-16.741055,6.5108705,14.568637,101.8651,-16.633495,15.893511,20.260273,96.86289,340.86768,2.4808266,-54.299934,5.24275,-2.8506148,6.354942,-14.514494,-2.8719058,-18.357935,2.3383734,58.253147,37.265755,-1.3183793,3.1729264,-2.4778361,-10.628385,0.40357763,0.34972203,6.543349,-23.547033,18.216814,-47.371117,1.0580395,107.484314,13.958587,29.365294,50.853462,12.67775,-2.771834,-0.19891264,29.448376,-0.1950448,2.254112,115.263466
-8.672,-2.7487595,-3.5086424,-15.112916,63.183414,4.2073445,17.48805,7.978603,115.10933,-15.4583235,28.025663,20.080894,119.0011,375.81934,8.146355,-41.537586,6.869533,-0.48950818,-1.4312868,-43.16998,7.87312,-8.091995,4.0859437,69.67282,69.509285,6.0087295,23.271677,22.239204,-9.07285,0.12213188,-0.46199957,2.2454424,1.0975385,20.467413,-21.03139,-0.8436762,124.064705,2.8539238,44.739563,46.146507,0.93422776,-10.902249,-6.0427227,56.101353,9.06313,-1.7354405,87.33226
-4.750004,0.5653821,0.53908646,-11.861696,70.3451,24.17335,10.745087,17.742428,92.71388,-44.075623,7.896481,29.011726,104.17027,353.96246,3.0392857,10.928597,1.2372074,3.840409,4.223697,8.579098,-11.472289,-17.56505,8.71409,77.53293,30.887402,1.9039865,7.02547,3.751665,0.48173514,0.060325723,-0.006450549,-7.8328633,-0.6271627,26.887617,-39.43451,-1.9977217,110.78489,13.894337,34.50415,51.75495,7.965611,-1.7715521,25.420048,40.98785,20.510715,1.7481179,105.558174
-2.6991744,-1.350877,-2.2774513,-13.129252,73.98989,23.375587,16.430552,4.562649,106.5079,-16.039274,19.158876,10.117385,118.27306,359.1767,9.281663,-0.96638566,5.460948,-0.65931386,-5.2787676,-13.432098,1.2622867,-9.733187,7.896115,58.45693,49.628677,2.4388406,1.8591369,5.461007,0.26020068,-0.24216194,-0.45073146,-0.32501093,4.756227,15.549513,3.744184,-3.4320626,125.46288,4.4620066,37.59903,39.043354,-1.2871493,-6.868424,-19.568113,32.47239,12.233371,3.528858,118.04852
-5.973192,-0.49634144,-2.062888,-7.5632477,72.97285,25.867844,5.627392,7.3627977,100.93069,-13.887107,20.794085,12.282504,121.19955,344.15683,8.512767,-0.52451164,9.136421,-0.45652348,-5.710113,-13.631163,2.6513412,-10.433618,4.949674,64.187004,48.82154,3.8223214,2.1357658,3.8529346,-0.13185188,0.22736119,-0.13585773,-1.142319,8.814261,15.896542,-25.155275,-1.0628489,127.443665,5.722251,36.579475,38.348057,-0.40861198,-7.625789,9.102994,40.231606,11.793327,1.6924782,117.491615
1.0936147,-2.6172106,-1.2248411,-8.445344,71.79804,33.73718,8.819599,9.8900175,99.54375,57.699184,24.258297,14.5287285,132.74165,324.73178,9.67551,4.1162868,13.823926,-0.6234632,7.7131476,7.15252,7.1467123,-8.01033,5.7480874,76.56125,40.798992,2.3798385,0.19133866,5.36567,-0.97581697,2.360241,0.8648347,1.2614018,1.0098442,28.279442,-42.624584,-3.7691505,108.876884,15.721418,41.721077,39.088985,2.554962,-1.7284826,21.507854,44.44125,15.277013,1.1631879,111.645645
-2.17703,6.7332993,-1.2782005,2.2877588,78.32284,65.361015,8.383142,49.563786,82.54953,3.6511474,27.474697,0.2901754,136.55707,385.29672,13.929795,-3.9705253,29.275692,3.93731,-1.7328225,-10.439284,10.88854,-32.716038,7.9631453,76.48276,53.989155,2.8489375,22.142181,10.307058,20.81336,6.099806,1.0843838,0.552063,-8.323288,16.731789,32.15173,3.2411766,172.05022,-1.9218283,47.336807,60.32367,-0.44306973,3.3131895,-36.172287,51.366512,11.126224,-5.8328376,111.55205
-9.978063,-0.56460905,4.9235477,-1.6667557,75.56755,61.04385,14.835702,63.8329,48.821865,18.83714,-5.1625066,-0.3976643,128.83484,376.69974,8.424711,1.6861366,18.096731,3.336835,-5.859701,3.3112736,6.287795,-10.847302,14.004944,77.45554,96.479195,5.9844413,26.149158,4.0253234,9.043997,1.7755868,-0.8265276,0.3714763,-0.12733652,19.965734,24.775974,-6.5465465,146.20645,-3.8644342,44.925964,66.99483,0.68881303,4.0819836,-15.879216,62.118904,20.298386,8.988628,104.134186
-2.6644497,0.2782212,3.4449463,-2.3925278,74.66918,58.580303,18.501066,24.46915,110.78451,-12.504975,-7.1160135,-0.15316546,122.72824,381.76675,7.9521422,4.244113,20.415216,3.0759792,3.5852318,4.494723,10.437868,-10.373236,17.823956,74.29491,70.129715,5.854158,23.114544,5.181846,8.486703,5.9725924,-1.6088643,1.3182021,1.0622822,20.634659,33.55347,5.8401365,145.73239,-2.2570157,46.67677,64.48951,2.002754,2.6430535,-22.286232,54.4701,17.173376,14.364736,101.60215
2.8123205,31.50883,15.623873,-30.620136,53.025375,80.69896,32.072334,64.91208,-31.820494,27.061302,12.084298,3.1615427,117.31269,286.43613,12.4379635,5.95516,6.4974675,1.848278,1.7810243,19.076084,-16.667782,9.096807,7.6459193,76.39779,64.20928,3.8038816,7.5403805,17.433676,28.545872,3.3450341,2.6504698,6.498924,3.6926053,66.75853,-0.68608874,3.9856832,119.21007,0.35628805,53.358444,67.78045,32.0737,6.909363,22.859003,73.78849,21.625826,-0.14463724,116.31752
