"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.058609433,0.02452828,-0.12663026,0.116421394,-0.0046362327,0.49190658,-1.3021805,-0.5678572,-0.7121411,-0.049315408,-0.033360995,-0.36753932,0.16594815,0.0912205,0.0068667782,-0.46400633,-0.07551611,0.01396228,-0.025570063,-0.12484024,-0.42048198,-0.081513874,0.0097375,-0.24908568,-0.067641556,-0.022784792,0.051627968,-0.04623306,-0.06353307,-0.009988449,-0.007827197,-0.055537708,-0.07476464,0.009719759,-0.18615502,-0.034123607,-0.12473331,0.047225054,0.06957475,0.008692989,0.0034420388,-0.03494091,-0.3016505,-0.002991794,0.16427015,-0.08620657,-0.0643386
0.04346738,0.022103176,0.055902485,0.118115276,-0.031217838,-0.7412403,-0.9570762,-0.45277268,-0.50601596,-0.05816821,-0.061593052,-0.41464797,-0.3501834,0.053363673,0.015723914,-0.38204,-0.01758215,0.0076323096,-0.03220367,-0.070543274,0.19007252,-0.0065878034,-0.00926594,-0.6172094,-0.08863551,0.0024484347,0.006311893,-0.046620637,-0.05834382,-0.014051601,-0.0013679911,-0.049290963,-0.1587582,0.031980377,-0.14279547,0.049372822,-0.09941387,-0.10943402,0.08539994,0.0023242368,0.017372636,-0.023514017,-0.31611943,0.002530415,0.05917428,0.03941556,-0.15779917
0.07264438,0.01250178,0.045728426,0.2033929,0.05517905,-0.5740088,-0.7188762,-0.5819854,-0.588066,-0.030683251,-0.06211012,-0.15846533,0.033502508,0.054014172,0.022492234,-0.25458977,-0.058153946,0.01258666,-0.024282295,-0.12520468,-0.28194347,-0.38416964,-0.026405754,-0.57817376,-0.17062235,0.0008476176,-0.039329298,-0.0438468,-0.023003232,-0.02952097,-0.010617848,-0.04032641,-0.061168246,0.0035638209,-0.06584509,0.0006434056,-0.12307376,-0.07710989,0.025002196,0.011528363,0.017388174,-0.009161928,-0.36221266,-0.012676282,-0.024438463,-0.08558181,-0.11693929
0.032385863,0.022207305,0.021702942,0.14225405,0.029050361,-0.7938177,-0.568422,-0.5583804,-0.5612105,-0.024822537,-0.08205168,-0.18227877,0.0016163525,0.054218892,0.015251586,-0.4757461,-0.060956325,-0.006225841,-0.030955488,-0.11039902,-0.22058488,-0.20512903,-0.016626954,-0.4698912,-0.103165545,0.0041944,0.014248338,-0.03312464,-0.07388446,-0.026705371,-0.007641237,-0.049464557,-0.14986312,0.025672808,-0.01554423,0.0047703246,-0.10306046,-0.08726333,0.05874235,0.006348217,0.02753757,-0.01766346,-0.34359193,-0.006256119,-0.029903423,-0.07039013,-0.14641678
0.03744963,0.019672206,0.049999706,0.13593408,0.02499336,-0.5910766,-0.8696361,-0.48235437,-0.67977726,-0.020664917,-0.09596722,-0.1674537,0.0628543,0.048878737,0.014617089,-0.43015984,-0.058921464,0.00039417009,-0.040828794,-0.10463372,-0.20509529,-0.20849179,-0.00666711,-0.48451734,-0.090462044,-0.0032888863,-0.005308383,-0.042041153,-0.055409342,-0.02384091,-0.0025513035,-0.03685086,-0.14768898,0.013545212,-0.049913716,0.051096223,-0.104577586,-0.09427397,0.0682084,0.008074097,0.024658209,-0.023353163,-0.33468258,-0.008185624,-0.007625955,-0.07005879,-0.18106766
0.036672775,0.0077052563,0.024497015,0.093935676,0.15305759,-0.6898014,-0.68807256,0.5307705,-0.9138412,0.021222537,-0.09006172,-0.22104064,0.13039173,0.031111784,0.06415593,-0.5579835,-0.051087055,-0.025562203,-0.03753397,0.02018782,-0.17426027,-0.4677768,-0.0014362851,-0.29053465,-0.09889647,0.007736838,0.030112104,-0.05346006,-0.033083495,-0.03115281,-0.005567113,-0.031939372,-0.15523347,0.004789068,-0.09542791,-0.01407315,-0.11484294,-0.09679818,0.051671166,0.0023311044,0.025332076,-0.003864543,-0.34292132,-0.0041139317,-0.056428183,0.039070647,-0.13318671
-0.022824,0.0076476936,0.043240584,0.06741627,0.06969727,-0.6935914,-0.93935657,0.045296963,-0.639146,-0.03259643,-0.06610719,-0.019057678,0.009207318,-0.028475702,-0.14110006,-0.57699454,-0.063352965,0.008218334,-0.081083715,-0.101363234,-0.3252581,-0.86027867,-0.013330703,-0.38952142,-0.17580841,-0.0130501725,-0.004530278,-0.034994587,-0.13342838,-0.018583031,-0.030383779,-0.14798404,-0.09926145,0.012293503,0.34439903,0.015665876,-0.059469428,-0.24815111,0.06290111,-0.033713385,0.028749082,-0.013230833,-0.16397949,-0.0025963977,0.111411385,0.09489248,-0.3182914
-0.013542631,0.010550117,0.028110445,0.091737166,0.13264506,-0.7798446,-0.78772795,0.11089778,-0.71261567,0.011278547,-0.045333248,-0.0006491383,0.13189164,0.056799766,0.013202358,-0.4710974,-0.043882117,0.01864471,-0.03848698,-0.25417334,-0.54708564,-0.5446255,-0.036874417,-0.3558902,-0.13009702,0.0033443316,-0.031914253,-0.023383724,-0.13949798,-0.0042679734,0.011317335,-0.05048055,-0.122855395,0.01609715,-0.0214517,0.017723525,-0.15634218,-0.23221764,0.07067323,0.007658743,0.037449848,-0.04911659,-0.3247129,-0.00091606105,-0.04952001,-0.08606731,-0.2886253
0.027801344,0.02044693,-0.0063718627,0.07407394,0.027992204,-0.76715976,-0.8182632,-0.0978154,-0.69134164,-0.027062869,-0.07837229,0.017461738,0.11667811,0.07620589,0.0054915464,-0.3778628,-0.03840796,0.011649554,-0.064618476,-0.21770203,-0.79794294,-0.45626858,-0.040066168,-0.27506992,-0.12626201,-0.0038175434,-0.0029769836,-0.02203518,-0.13307258,-0.010073563,0.0038897765,-0.03642828,-0.1651801,0.009324104,0.176342,0.027707702,-0.06236298,-0.24848714,0.056426186,0.008645504,0.031712927,-0.01921436,-0.30081156,0.001740398,-0.115104154,-0.079136096,-0.18494762
-0.021962449,-0.030901456,-0.12985127,-0.6451949,0.15003027,-0.81243896,-0.66942644,0.21137124,-0.25177765,-0.012533849,-0.015157367,-0.023400946,0.22124378,0.052342866,0.061155792,-0.15299894,-0.0061059087,-0.0017823279,-0.003381111,-0.09953579,-0.57695204,-0.06837631,0.01955511,-0.48421773,-0.079831265,0.030931948,0.011462629,-0.22869533,-0.1879359,-0.07178739,-0.012606309,-0.026748717,-0.16873944,-0.20479117,-0.10697998,0.005168137,-0.061759345,-0.20052017,0.092775285,-0.021395527,0.0071318983,-0.1597395,-0.3858544,0.010728354,-0.113465205,-0.19234458,-0.21605301
