"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.6627773,0.26922235,0.50730836,-3.278485,1.5185732,-1.8609095,10.132625,-1.7682049,-0.41224697,4.607552,-0.7872618,-1.2859865,0.5919723,1.828304,4.3483796,-2.455928,1.3905333,-0.3581994,-0.33668748,-2.4004452,-0.3982891,3.457033,1.9201691,4.795029,-4.698701,-1.6641207,0.042552877,0.34687454,0.36301267,0.3622804,0.100688025,1.5887687,3.9673066,0.5396708,3.4563131,0.003686449,0.5397771,-1.684878,2.8008063,-0.11387105,-0.017460203,-0.58588594,1.3820966,-0.17418651,0.6810777,-0.36136046,-1.4861356
0.2858222,0.23973945,-0.9352274,-2.1119733,1.8647028,-0.048141975,-0.5377275,-0.91949475,-0.84555733,1.160947,-0.8796041,-0.82302064,2.206562,2.772293,2.7475946,0.22659837,1.3886023,-0.5835192,-0.26483166,-1.019881,-1.4531264,3.0508177,0.2252461,4.086898,-4.159036,-0.95032805,-0.4990036,0.32587925,1.3010105,0.16282427,0.00037621308,1.3732587,3.6751072,1.6389652,6.7943254,0.79600656,0.42453733,-1.3256379,1.999609,0.19048716,0.011520301,1.7780936,2.0122485,-0.013882246,1.0800482,-0.30336007,6.224171
0.5222512,0.35308787,0.3298966,-0.03773974,0.3590844,3.2155755,15.19892,-3.4904003,-1.1920211,2.7379224,-1.3147998,-3.146988,0.65065634,2.8816915,3.4924815,0.55101967,1.4047801,-0.60999435,-0.10515335,-1.5985584,0.7292231,3.931847,-1.0373054,3.1202993,-3.464558,-0.8219098,-0.13143711,0.34459743,0.3918306,0.12613945,0.034135148,2.4115732,3.1819801,0.5233818,2.6385562,-0.04018343,0.5577228,-2.0561998,2.6603687,-0.4071904,-0.22877753,2.1252,1.054791,-0.78908324,-0.2854242,-0.6898194,-4.146151
0.72665155,0.34797108,-0.55588424,-1.0501353,1.8527889,4.087333,-3.4053092,-0.71462584,0.5073712,1.4569759,-0.49958012,0.11031824,1.7584465,4.0009828,2.4899962,-0.023929277,1.1544088,-0.84700847,-0.13425396,-2.5411522,-0.17988005,3.1058376,0.40558803,5.1494327,-3.7919395,-0.35494465,-0.69030476,0.52122587,0.46012953,-0.09088475,0.085998245,2.0020745,3.195138,1.1771507,7.0185094,0.3301687,0.39179245,-0.9466658,2.046367,-0.18112622,-0.40273908,1.2524074,2.1152992,0.13787514,1.1171032,0.18435183,-2.8907282
0.304353,0.285293,-0.578277,-3.7709386,0.63585186,3.659974,13.540039,-2.2878382,0.21684717,2.8874764,-1.3499184,-2.2065187,-0.9165684,0.5973011,3.3953705,0.2981112,1.3070155,-0.9259071,-0.21465077,-0.95976573,-0.35923594,4.0227113,1.5704951,3.4009902,-4.774581,-0.8891477,-0.972419,0.15393393,0.30145183,-0.053037092,0.027973102,1.9020102,2.480561,0.8879333,5.052934,0.64181024,0.5427631,-1.5631982,2.9656978,-0.26252753,-0.26226553,2.727401,1.1270595,0.079580694,0.9295925,-0.033597164,-3.6699502
-1.3244185,0.31779733,0.12353599,-2.5011487,0.89256054,3.2090538,14.881782,0.036540125,-4.1039395,4.1606383,-1.5655789,-2.9618127,-0.25174484,3.3103085,3.2373836,0.36477932,1.4754493,-0.9619454,-0.53103626,-1.3699752,-0.09085173,3.1770995,1.888933,2.9028537,-6.924954,-0.6025379,-0.66263163,0.35632482,0.39738572,0.004689239,0.11468287,0.58568007,4.219502,-0.36881727,2.7509925,-0.029860215,0.6293747,-1.4355546,2.8307607,-0.24317656,-0.42494327,0.7613446,0.84974355,-0.20643708,0.38247275,-0.27082214,-5.117238
-0.1350474,0.18464768,-1.209536,-7.6641874,-7.172088,5.00595,19.18058,0.3407781,-4.2640676,5.6932406,-0.66615796,-7.549951,-4.4812427,1.1315998,3.0879092,0.69282955,1.1238697,-0.18345034,-0.52901006,-0.32208174,0.30694982,6.0692644,2.9342027,-1.6377295,-7.5305867,-1.521058,-1.64735,0.06489596,-0.17203102,0.24670893,0.13994458,1.8095139,3.0890064,0.83601326,5.0186534,1.5028008,0.611258,-1.2783296,2.4949126,0.020410117,-0.19445193,5.709192,1.2641141,-0.21066843,1.1296955,-0.5791929,10.265779
-0.50705224,-0.34593558,1.8696718,-6.3368106,-0.37479588,4.420223,14.731362,0.85068595,-3.437181,5.7502165,0.7379338,1.8006382,1.2642229,1.1866814,3.873365,0.15217525,1.5589257,-0.30609646,-3.0518131,-2.1145954,1.0648266,5.0532026,2.7558203,3.7587645,-9.167884,-0.96917576,-4.725251,-0.077551045,-0.092827454,0.3087363,-0.093235284,-0.001867026,2.4517138,0.7422651,4.930521,0.98735964,0.91694105,-1.7087252,1.755129,-0.6470821,-0.23239802,-2.743538,1.5537933,-0.23207322,0.6570072,-0.95327145,4.059017
-0.24224748,0.008528823,2.037893,-3.0053072,0.29273808,6.332482,0.09338164,0.35934722,-0.18454301,2.864981,1.1402982,1.103255,2.888451,2.5093217,2.372764,0.37242436,1.4007055,-0.3433563,-0.46582353,-1.6724846,1.7002664,4.3327746,-0.88611186,-1.5845819,-8.988756,-0.9629147,-1.2872868,0.49189982,0.15742546,-0.08115455,0.13792746,0.04479935,2.7921107,1.8691174,5.7315373,1.1117384,0.8582424,-1.4603521,2.1321182,-0.13828693,-0.38428643,0.745593,2.2138085,-0.058679294,0.85697275,-0.3709253,5.8879294
-0.39499548,-0.15971465,1.7014302,0.9290014,-0.0578912,1.9581145,11.992144,0.07230077,-1.6005328,4.7025146,1.2526842,-1.3471401,2.1503227,3.010051,3.1368513,0.5832763,1.824473,0.27427688,-0.72397876,-0.05841302,0.60828054,4.346805,-0.742943,4.271872,-5.215049,-0.69431365,-2.8076656,0.2690378,-0.15842143,-0.13602701,0.15486078,-0.18273555,3.6540723,-1.23813,3.867011,1.3504791,0.8214478,-1.2898108,2.073988,-0.46815214,-0.72247195,-0.96874577,1.4502162,-0.28790835,0.22886331,-0.734452,-5.585228
