"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
1.0819316,-0.278687,-1.9784319,0.4690364,-1.3475878,-2.104044,13.232071,9.644767,31.775055,-0.30217668,3.2881901,2.350374,5.425838,28.004013,2.45938,-5.3222547,4.005044,-0.73281175,1.1157005,1.4143127,5.328128,3.2565305,8.9257345,18.221079,3.5451496,-0.6052953,-0.2657877,-0.24974392,0.21968699,0.5217795,0.9236151,0.43130574,-0.01121708,8.000753,0.41708198,1.4481794,7.909646,9.151462,2.1743665,8.369677,2.203146,-0.3882005,0.7258726,10.4764595,24.501944,2.5307813,65.915825
0.5206083,-1.8661413,1.3481576,-3.1555946,1.0839198,-1.8855004,6.121847,6.78766,42.120388,-3.5996869,1.7694982,4.1042113,10.482215,24.759499,1.7032524,1.184541,4.8409805,-0.07831764,0.4233072,-8.552978,5.6946154,0.69444716,-0.14756389,21.063698,3.1983943,-1.1925672,-0.39430884,-0.41597626,-0.22142424,-0.3933757,0.26623604,1.0243328,-0.7818689,-0.012278828,1.9533429,-1.0075047,8.927119,5.320072,1.7114792,8.622668,-1.0956533,-3.0578582,-0.8907465,14.975233,24.633724,2.780497,84.54948
0.22224896,-0.5480333,-1.0480328,-0.06713259,-0.33803254,4.3969126,18.158709,7.8014183,34.259605,-3.5338986,5.5342455,3.4913096,6.716319,34.898045,1.5130949,1.503211,-1.1804018,-1.0308113,0.27541903,1.4129243,7.361894,-5.4233675,1.7061824,17.524946,13.878195,1.0409218,-0.41058597,-0.14498952,1.2721951,-0.54317117,0.45131156,1.0843966,0.8161014,7.939292,-0.073697,1.1478356,8.534253,9.225925,3.0371556,10.002211,2.79481,1.1668644,-1.8135891,7.534486,22.32726,3.143073,48.468697
1.0414867,0.24752942,1.025286,-1.5298177,-1.5389687,6.3136096,4.382902,9.348015,34.385746,-2.3370662,2.1254284,2.3763452,9.630698,25.74668,1.4792742,1.6441872,4.2369113,-1.0255076,-0.5897897,1.8924077,4.412178,-2.9466069,5.280273,15.79371,5.2441835,0.4967287,-0.17110184,-0.3550215,0.52652454,-0.014079717,0.34305423,0.51623,1.1874607,3.1493375,-0.8667089,1.4483651,11.704034,8.241931,2.2458937,7.6355996,-1.7077299,-0.45740488,-1.0613554,8.395611,24.856998,2.1468546,69.03348
0.5586414,-0.2434467,0.92371297,0.45534807,-0.8678495,4.866786,13.082349,9.256328,31.47178,-1.6091092,2.401415,2.2516882,9.298256,26.596516,1.4244717,1.6167023,0.8443774,-0.8122845,-0.13879414,0.58158845,5.397177,-2.2834568,4.857465,15.536314,5.0224133,0.25153628,-0.23432654,0.15607265,0.37306926,-0.20726342,0.089369744,0.41551477,0.25473267,0.30355316,0.58155954,-2.1103833,8.312634,6.0652723,2.2768533,8.015981,-1.2351781,-0.38284263,-0.7454494,12.062194,27.07906,2.9447272,68.94433
-3.0926406,0.10898095,0.46937284,-4.853005,-5.336875,4.169929,8.298496,0.84795654,27.23044,-1.183809,2.7209992,2.491442,5.143588,27.648108,-0.22712162,1.6619418,2.7140179,-1.332135,-1.8572468,2.720343,1.5756167,2.4925652,2.9709685,17.878408,8.826461,-1.1151967,0.21214734,-0.6319146,0.63198406,0.37041864,0.28288296,-0.68385506,0.9694439,6.9257293,-2.3627567,1.9709988,8.517349,5.421346,2.5530643,9.050829,-0.96837395,-1.1100143,-0.51924336,4.252873,26.13864,0.4753409,51.72722
-0.92530143,-1.9390537,-0.6707502,-4.8392906,-3.3908615,-1.3392148,1.2647841,-2.180395,27.051203,-1.8503687,1.4153421,0.47405097,2.5736723,27.045635,0.6433797,0.78081095,-0.7209991,-0.8734907,-2.589073,-1.1675198,4.271697,-4.7399836,5.021466,16.333021,-4.487472,0.18531117,-3.9003842,-0.94469255,-1.723665,-3.7318006,-1.1711775,0.9190848,-1.7408521,-11.5038805,-1.961876,-8.1919565,7.019158,-2.7634773,1.5365125,6.8483996,-1.9049256,0.28551534,-0.5889841,11.639411,29.97115,0.7384331,76.87022
-4.366677,-5.7951097,-2.882465,-1.3270069,-3.5468898,2.4293168,2.140284,-0.5587948,19.296871,-2.834628,-2.7672343,-0.20693503,0.5473164,22.401184,1.1409702,0.81010675,-2.8838177,-0.62153244,-5.2821407,0.70919245,-1.1048025,-5.1636577,0.053667188,16.68214,3.4206696,-1.2130736,-2.705419,-0.7479611,-0.32121325,-0.39694583,1.6357782,0.643724,0.24278846,1.7553153,-0.6073581,-4.0802913,7.905941,-2.543237,1.6398635,7.8012505,-2.1258297,0.6627505,-0.71087027,11.845277,27.306736,1.381899,73.16147
0.81279814,-1.4769286,-6.8088474,-1.9701327,-1.2982458,2.2842174,3.623993,6.9856286,27.594986,-4.769198,-2.7889426,-0.5683967,1.6098393,19.336388,1.01034,1.3049648,-2.9157612,-0.8786982,-1.9903686,0.47706267,-1.8996644,-5.5347176,-0.8631705,16.115538,-4.9939632,-1.137231,-1.4811699,-1.1528605,-0.83114254,-4.2941413,0.29028374,0.4857241,-1.0705771,-0.8865227,-1.7307241,-4.6579123,9.335578,-2.8744102,0.4053673,10.348837,-2.5141027,-0.97920287,-1.6892314,12.785749,23.380272,1.4027604,75.454636
-2.0696332,-1.798004,-16.641363,9.408621,-1.1517657,4.528993,6.47031,4.0363154,8.166291,-3.717654,-0.30737272,-0.13375251,-0.80752003,22.087305,-0.14334336,1.7349647,-0.6035721,5.7658033,-1.5883969,4.1510363,-8.067579,-1.0377306,-5.4617505,19.272003,5.4664936,-3.1663265,-0.4067771,-0.012053181,0.21201007,0.73122996,0.5556439,-0.5041518,0.24963638,8.585975,0.017224787,-1.4561944,6.8963633,-3.8544664,2.1457407,6.772827,-0.15361279,1.2629048,-2.5086389,12.514514,28.112488,-0.045526728,47.43005
