"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-0.83939135,1.062874,1.6786474,-9.541591,-8.398169,4.9620957,-0.603209,2.7074964,-6.531564,-4.8229313,7.9401145,-5.3313346,-28.127338,-54.32782,-44.10374,-1.8008708,-6.4156632,0.42326504,2.1575737,13.506114,-1.0155228,-6.512676,-13.124814,-5.05721,11.947262,-2.0070257,-9.171596,0.8008341,18.30836,-1.3009586,-0.7235081,2.1954875,-0.33299804,-6.8343053,10.34749,4.7022147,-9.313871,4.571681,-7.0215273,-3.6605012,2.1145859,1.2020879,-7.1238475,-3.2742908,-1.8271081,0.32047063,-16.2921
-1.0257778,1.9049648,-4.3963356,-5.6147795,-8.869434,10.820989,-1.6927271,-3.5408666,-7.494748,-1.857091,6.287273,-3.1375506,-31.323996,-52.784885,-41.393394,-3.7480373,-1.1800358,-0.24867457,4.003047,28.797136,-0.058414627,-5.6969767,-12.244689,-2.7736988,17.667448,-2.556641,-9.872169,1.289328,18.77222,-0.4518878,-0.52064013,0.43283057,-1.3231628,0.2832144,-4.660341,8.661595,-9.260068,3.6259794,-5.389385,-4.28621,0.49079213,1.3744034,-0.17888921,-2.246154,-1.7944794,1.0840247,-18.244724
-0.30237412,1.9178646,-2.7805002,-4.8758373,-7.246687,9.092588,-1.6238937,1.7764473,-5.954827,-0.7095321,6.745689,-9.487874,-22.604145,-42.05963,-38.7109,-4.6058235,-3.7549317,-0.3263442,-0.9919125,5.507214,2.831444,-10.308187,-16.660168,-6.6341877,12.807194,-2.613118,7.7192645,0.043764655,12.57166,-2.1766193,-0.69343036,2.7647314,-0.68669933,-11.132607,17.672325,6.0839024,-15.2595825,1.7515085,-7.5147843,-6.331194,1.9879589,2.8446615,16.305727,-4.1740456,-8.10192,-0.5336821,-15.80703
-0.8081857,2.3197596,-2.369971,-4.375037,-6.6307797,10.3176985,-0.9515825,1.9448045,-5.6929455,-2.928932,6.4129033,-2.759939,-21.876318,-49.37388,-42.01971,-4.902591,-0.17124096,-0.18627085,4.8689833,16.092558,-2.4192858,-10.007903,-15.6574545,-4.3615746,17.07008,-2.1628292,-9.5976,1.4412067,13.133044,0.036591694,-0.06540995,1.9743701,-3.0718205,-8.949042,-3.7760746,7.4106097,-12.363974,3.1502666,-7.9285116,-5.226687,0.91757184,3.7766175,13.61178,-2.583616,-1.5518305,1.577524,-16.094734
-0.7538611,2.8467317,-3.471671,-3.432928,-6.661657,7.868911,0.74495953,0.3833111,-5.91051,-2.144869,6.169133,-4.124839,-20.760418,-51.23239,-41.31636,-5.009668,-0.6693177,-0.19008133,6.2201614,14.715653,-0.07509721,-6.1711645,-12.387125,-2.8243246,17.463852,-2.4792087,-9.1585455,1.3694613,13.6865835,-0.0077030878,-0.13534221,2.5719516,-3.3738632,-8.202471,5.827498,8.90586,-12.8664875,2.7807317,-5.4137135,-5.557737,1.1440178,1.6735704,1.1319249,-2.610986,-2.1145282,1.4943115,-17.192953
1.5988141,3.1608005,-3.4653256,0.12091419,-6.3127484,9.177685,-0.9715503,-2.3867567,-5.5427465,-6.196869,5.541863,-6.3315477,-23.936985,-42.936893,-41.076366,-4.3959684,-0.24298933,0.15163638,5.2187076,1.7248824,2.980413,-10.389589,-10.557239,-5.806301,13.152569,-1.9416525,-7.987081,-0.088691,12.354487,-0.74102634,-0.1567329,2.1363454,-3.27463,-10.154068,17.93194,4.7482276,-14.0043545,2.666167,-9.122466,-5.1496363,0.09155735,3.077903,19.092258,-1.6538049,-8.48139,0.99052984,-15.039879
0.74933434,1.559088,0.12504025,-0.35149133,-7.3042865,16.663782,0.03706636,-3.201868,-5.3530626,-3.4881837,6.9497876,-0.38704458,-29.232847,-55.089306,-42.01358,-3.8465111,0.3818652,0.58180803,7.00648,14.98719,0.69922656,-6.6966095,-10.742662,-0.71358037,21.126179,-3.449431,-10.552721,1.7024565,17.355505,-1.7419709,-0.6703207,-1.0007238,-3.5034382,4.174611,-20.38014,11.939386,-5.173469,6.3380747,-3.6468394,-2.0487063,0.46853024,2.044837,-16.1059,-2.744737,-3.1833296,0.54314005,-16.488354
2.3650515,0.28833407,4.914864,0.64695215,-8.449486,12.545221,0.35469484,-5.0212507,2.1360738,-5.737482,5.8757267,-0.74197334,-18.933725,-41.736584,-43.637188,-4.9774804,-1.500742,0.8264372,8.798445,8.308972,19.361435,-9.932372,-8.659866,-6.1072674,19.23275,-2.4322407,-6.702726,-0.11448518,20.137896,-0.4577565,-0.8148656,-0.31791586,-3.6685736,-11.544413,0.84498113,8.085147,-8.709556,10.076322,-9.177019,-5.440621,0.671312,4.232965,17.869982,0.35553914,-1.8208283,1.5282795,-18.772417
0.30970877,2.8076382,3.3822007,1.2421664,-7.5561285,8.768514,3.6593251,-0.5641503,-6.0540504,-1.1698128,7.546101,-0.677904,-18.382927,-44.66649,-43.37854,-4.3385596,-2.445306,0.5741091,3.4123476,7.2066646,17.37059,-7.0323753,11.422237,-6.069927,21.925323,-2.9366565,-7.3749466,-0.47274768,17.986282,-1.7405918,-0.6694028,-0.049637895,-3.6272037,-9.556501,-0.6676861,10.277264,-9.138865,9.478302,-4.418415,-2.468008,0.22094226,1.3584121,0.07616984,1.423014,-5.1102004,1.461343,-17.418932
1.6952443,-2.247713,7.832902,4.994883,-4.82849,-6.28049,-3.8226576,-9.848352,1.3101584,-15.31063,-1.7429035,-1.3761692,-18.12864,-33.485744,-44.433254,-2.5093958,-3.5866363,0.9042135,10.560407,-18.005737,29.514755,-15.576109,9.141488,1.0998902,13.421851,-2.0401843,3.1889017,0.11854671,18.841179,-3.2218006,-0.1260934,1.9773241,-0.4449818,-9.7115965,14.728982,9.0807085,-14.211573,10.393839,-5.753277,-7.906963,2.1220875,3.0303767,18.452595,3.3115618,-4.507065,-0.45117468,-12.17713
2.5444062,2.66967,-0.17324951,1.932788,-6.846998,8.1648445,-4.1227174,0.1642022,-5.1631346,-1.7167006,6.226027,-0.26087955,-29.629517,-48.065388,-44.125946,-2.2671602,0.04315106,1.145296,7.0713663,7.938346,21.639889,-9.683732,-18.349321,-5.618408,19.201311,-3.3672774,-5.8102894,3.172783,19.738321,-0.1861382,0.3251206,0.5178165,-3.825873,6.498977,-1.656279,9.875053,-8.839032,10.631838,-6.290175,-2.9140844,0.83683443,4.167369,22.498884,1.1383526,-10.786958,2.1179695,-17.201532
