"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.8382745,-1.1558609,-1.3683494,3.6657405,1.946473,-3.159096,-1.1983746,1.7233592,-5.7355547,0.11859908,-0.5345864,9.672384,0.5031365,1.25319,3.302239,-4.662161,1.8174073,-0.77485317,0.7777767,-2.6726763,-2.682952,3.068711,0.9818034,-2.2812586,-0.8838585,-0.92766136,-0.42470378,0.18020059,1.1670029,-0.54695344,0.06897166,0.48935914,4.2098618,2.6277509,1.3855302,-3.7351396,-0.578575,-2.8375494,2.83391,-0.9043932,-1.2265999,0.5253185,3.4971666,-0.39012784,-1.734048,-0.58556944,-3.2594323
2.2149017,-0.71236193,1.8214375,4.4660883,1.8597351,-1.7725216,-0.9414706,0.413839,-0.27086228,-0.38689896,1.1378543,7.9888625,1.8326894,5.290644,2.3040073,-2.7938595,2.1747172,-0.79550016,0.9243304,-3.0750873,-0.8861058,3.0267062,0.75959194,-1.8106883,-1.5055381,-0.19630419,-0.06202517,1.0408316,1.9353105,-0.62063754,-0.037397273,1.725934,-2.4327297,3.0724118,1.6298524,0.7998237,0.6224501,-0.23558448,6.8719616,0.10937615,-0.721789,-6.7419405,3.9590976,-0.3608429,0.5841118,-0.8897982,-2.1054368
1.4880857,0.053779647,1.2149506,3.5283942,2.0991144,-2.1834874,3.0686831,1.2011572,-0.6577667,0.14965858,0.25078693,8.162701,1.3902926,4.088617,4.1584554,-0.73251116,-0.54845756,-0.8150849,1.6769879,-4.5135784,1.3349421,4.026047,-1.4707332,-2.2888985,-0.05789313,-0.23757972,-0.4372358,-2.0371213,1.2547735,-0.67164487,0.031748038,2.703316,5.082215,3.1237268,-3.2582996,-0.059086863,-0.7186748,-3.9864013,3.0316594,-0.1760781,-0.521861,-4.9297814,3.4563992,-0.21672449,0.109277256,-0.2645395,-6.401041
1.4951776,-0.22755167,1.9556822,3.6961486,2.0645244,-2.0175865,-1.4254999,1.3155249,-4.19424,-0.61495835,0.7235315,9.022295,2.2358177,4.0491285,3.3986177,-1.9818051,-0.19240288,-0.71068037,0.27714756,-3.8792305,-0.74509114,2.7680132,1.1021311,-1.8242865,-0.61412776,-0.10601593,-0.21377935,0.9824859,2.2157402,-0.34222624,0.025143918,2.2691123,4.7206216,2.537502,1.2256536,-0.71296775,-0.22573479,-1.6574781,6.625241,0.48818636,-1.5319679,-2.926202,3.305226,-0.33332413,0.5709021,-0.86600167,-2.5269742
1.2562138,0.18678582,1.9572022,2.9951687,1.7719193,-2.3627088,-0.8951918,1.2944205,-2.6825132,-0.6953852,0.31264743,7.574077,1.1269112,4.0136547,2.7263062,-2.2857025,2.1248415,-0.7010272,-0.78007394,-4.04073,-0.9097111,4.841437,1.2615564,-2.1396098,-0.66817796,-0.5148297,-0.04438483,0.8299292,2.2829614,-0.47350737,0.05764864,2.2893112,4.717509,2.3651478,1.1552815,0.1884096,0.038953677,-1.5399113,6.8029604,0.15733245,-1.3286024,-3.3910806,3.3197665,-0.31889588,0.5294733,-0.5076782,-2.7240257
-4.515457,-0.45192987,2.275318,-1.4778639,1.6323636,-1.9299203,3.691465,1.6895813,-5.488464,2.100894,-0.4611104,6.7369184,0.8315481,4.17791,4.9524865,-3.0600102,-0.33925366,-0.7181106,0.9622702,-3.965429,-1.487182,1.8484004,0.31588548,-2.1651704,-1.3493463,-0.40791634,-0.11630006,0.5564097,1.6814425,-0.33676198,-0.01319648,1.5474666,3.8642864,3.4855268,-3.4628317,-0.44127145,0.013550244,-2.497619,6.518009,0.28135544,-1.4151878,-3.414348,3.6692398,-0.3111817,0.6268803,-0.43528116,-1.3467263
-0.39233726,-0.27742678,1.9726939,1.5596712,1.6345346,-2.612963,-2.1412516,-1.9274149,-1.8773386,0.05436128,-0.45769334,-0.5648062,-0.9419335,2.0380056,1.9910972,-2.8524396,1.6315444,-0.7195344,-0.7922041,-4.025684,-1.8538058,2.4552245,1.5343319,-2.116491,-3.8186166,-0.5441489,-0.2314245,0.7100142,1.9367422,-1.5062541,-0.6009135,1.5146159,-2.298137,-0.64230776,-1.1432467,0.5770805,0.5472612,0.26621634,4.9675975,-0.9272882,-1.1369137,-4.542269,4.059048,-0.26917168,-1.5286881,-0.93443584,-2.030245
-3.515925,-0.083557285,1.9129062,0.58256274,1.0917332,-2.6692936,-3.097799,1.0112126,-6.5959625,0.20346391,-0.181702,-0.18098408,1.7096788,2.2057803,4.0417194,-2.4968882,-0.03931685,-0.57964295,-0.94566745,-2.827083,1.743336,3.940394,0.049155563,-2.794678,-4.525552,-1.3215683,0.3463187,0.24796084,2.2579093,-0.93310887,0.022727229,-0.20866762,-3.0409641,2.2440445,-0.55937475,-0.28852594,0.27319938,-1.9348314,2.9103637,-0.9764348,-2.5557468,0.56041163,2.662282,-0.3669968,0.4221126,-1.041942,-2.934251
1.1510714,-0.18279916,1.4554008,0.5487383,1.5460293,-2.1617594,-2.4139755,0.0016135866,-6.8532233,-0.51785916,0.27887073,0.71920717,-0.8545937,4.199173,2.4031954,-2.6228776,0.41923708,-0.53745186,-0.7841418,-4.3703938,1.697965,3.8874495,-2.2000682,-1.380678,-3.2948852,-0.63963234,0.0086138835,0.17195722,2.051364,-0.9563228,-0.21381137,0.16255242,-2.6528516,2.6283126,0.2538373,-0.35594586,-0.25162545,-2.7640784,6.0157666,-2.1550004,-3.653436,-3.3356717,2.7356563,-0.80693066,0.1549517,-0.6394832,-2.148887
-4.322723,-1.636359,1.1625162,1.506877,0.982005,-5.7390156,6.7832236,1.0299941,-7.1784225,1.3906009,-0.8780175,1.2207721,4.5410156,1.3598664,7.1872473,-0.31876814,-0.9678173,-0.88682187,-1.3586029,-0.7762954,-0.6293326,2.9120991,-1.3182279,-2.8371394,-1.8697672,0.64017916,-0.4769027,-0.4095325,1.1831406,-0.62454253,-0.3430256,-0.22012486,4.1888924,1.3204571,-6.160441,0.18767087,-1.0835938,-4.74216,3.6608331,-0.06219659,-0.44836384,2.511745,2.2973049,-1.119328,-1.0971057,-0.69666564,-14.116223
