"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
-5.738,-18.533846,13.087849,-7.089655,-1.3497521,-18.722517,9.520038,18.186338,22.406185,5.6783485,3.22987,-54.624878,-7.1331854,47.702557,11.622364,-17.649714,-1.556448,-1.5421945,0.9578448,-0.25825858,24.626135,-9.231155,1.3846163,67.04161,-0.0018628561,-4.165847,-9.41848,1.114451,-6.776733,0.1993138,0.3610263,-24.932575,2.591604,8.405349,-89.144135,-3.5274477,33.710964,-3.4368312,5.8582187,77.08023,8.086221,-36.98209,-39.776867,121.28012,64.75747,-0.2010781,158.11996
-28.363016,-15.804719,-4.2207093,-13.391703,0.8958321,-36.008537,9.410623,14.846777,17.573996,-25.907326,7.092762,-85.74561,-11.64331,38.267323,9.733162,-15.98314,-3.0035877,-3.3010485,-3.985365,-0.13252443,25.660004,3.5903597,2.1298344,33.16715,-0.7664573,-5.8081822,-9.771386,-9.693,-5.868828,0.20144528,-0.52566504,15.568517,-1.89937,1.5323491,-72.54653,-2.320864,31.972507,2.3111153,4.4515514,98.09428,-2.319977,-12.068464,-57.51225,128.9913,76.04916,3.529163,184.1497
-0.40620092,-4.8436966,15.650343,-33.57962,-0.87633497,-0.6882291,-11.445775,24.294706,36.417328,-3.8216815,3.5359414,-56.0776,-26.644398,28.54595,10.282185,1.8574243,4.2837067,0.4457292,2.4489136,0.22569586,6.464569,-35.157284,-2.3308542,58.157047,-6.2669435,-3.822527,5.4636803,0.81456745,-4.656672,0.90384346,-1.1307421,-24.254124,-3.884397,12.190005,-44.07456,-0.46945664,26.421131,-4.135934,8.204213,67.455826,10.983227,-0.265604,-28.190744,69.777954,-18.898104,0.30082646,153.49617
-5.308409,-7.48203,2.5783176,-20.432756,-3.504784,-26.384317,15.35,9.265564,22.870592,-19.804296,5.03666,-58.246822,-9.71459,36.721355,11.265383,6.7140274,-3.0789363,-2.898621,-9.184224,0.44603014,17.334816,-13.772876,-1.2640146,53.789,0.076291196,-4.8966866,-11.449918,-13.224953,-1.2610244,1.9366059,-1.326929,-25.733349,-6.3383045,11.701602,-28.62665,-4.449247,32.51869,-2.5613081,4.0798573,106.9528,8.825896,-6.6006637,-69.93583,73.89886,54.203407,0.56777436,162.59282
-4.5816154,-4.6229973,-2.1378634,-13.112221,-1.0428691,-25.093594,18.775534,22.939705,29.57432,-7.361158,6.892986,-43.446304,-15.75096,38.4417,11.6023855,-3.4435375,1.2441597,-0.858777,-5.849997,0.4653407,15.029521,-20.844624,3.1488583,65.04615,-1.7104874,-2.3546107,-11.436439,-13.659059,-2.1010041,0.97076195,-0.94368917,-22.155603,-3.1626909,14.818653,-84.49023,0.6313032,29.931328,-8.064224,5.300623,92.913734,0.75493306,-10.60797,-48.55803,76.237465,41.135323,-0.42392156,162.7417
10.595328,-5.6307435,1.3346592,8.767731,4.1897845,-8.681757,-3.936815,19.632244,22.414827,-6.5862255,5.5811734,-59.16541,-22.454485,27.120726,12.111126,0.7126576,-0.4144128,-1.0513725,3.56819,0.27924553,20.934387,-21.665775,-0.4852367,66.78769,-5.022573,-3.5541835,-9.576704,1.2536565,-3.4891279,2.391843,-2.704601,-27.467068,-3.8850067,11.116257,-61.79144,-3.339718,28.962605,-1.3124888,6.368677,70.62361,-2.962766,-4.110544,-43.72155,69.40208,39.357075,2.852139,154.26184
6.785435,1.5988051,6.115619,-2.0588498,-0.5592815,9.6344,-1.4633406,1.2713192,26.03901,7.0711317,2.656867,1.7911602,5.349996,29.012453,15.110466,-30.19448,4.519467,-3.088548,-31.581442,2.5511205,16.337893,-69.1999,10.685939,72.29726,0.6469914,-1.8475503,-14.660621,-11.018738,-6.865934,7.296083,-0.3723705,7.4448233,-2.2294002,2.1778545,58.68299,2.3010135,29.13827,-1.3812517,6.779436,119.84931,3.9702775,0.573181,-52.18887,130.91426,88.464806,6.3484526,220.22295
10.553614,5.0647655,18.561937,11.947079,0.358608,-4.5148582,20.011711,6.329043,48.43695,2.3942857,1.1349907,3.0060265,-1.3687295,36.10439,10.34395,9.147718,5.5969453,-2.2605166,-2.215233,0.91290903,-24.708988,-23.242357,0.67412466,60.777355,0.41893473,-2.765912,-13.069186,-1.8231374,-3.1011245,4.5715876,0.32317162,13.468187,10.798397,13.873386,-1.1698167,-0.6296099,28.286894,8.769366,7.4540935,98.470116,21.058208,-30.27909,-58.327766,96.05445,88.835526,3.231501,197.16188
6.697732,6.057674,15.439266,15.520211,-0.3234569,-11.568737,13.427659,27.727503,45.794296,-8.016551,1.055634,0.47084454,0.054431915,34.844395,9.176419,6.8366666,3.9612255,-2.418851,-27.7211,1.3167615,-21.109276,-17.74059,1.5231321,59.247208,-2.7267418,-3.2666109,-13.000635,-5.635626,-3.2747104,7.2107515,-0.06606167,13.564226,3.1187024,8.966271,1.5443419,-1.2470493,30.460709,9.968631,7.775047,114.91404,21.24964,0.1330356,-58.536983,119.35753,60.88842,6.0030127,196.86201
11.274778,1.0078602,-15.2102,16.80756,2.985359,33.792904,14.495885,-3.254908,54.061615,5.189456,-5.3612523,13.049565,6.178204,35.006096,9.907127,6.413673,13.401584,1.5328697,6.84107,0.58214813,-111.29326,-11.854854,-2.0087585,62.58286,-5.1055818,-0.19407587,5.194704,0.6682295,-2.9351506,0.86449885,-0.1921878,-12.938005,1.5055563,10.768683,114.13121,-1.7228031,34.32061,23.325615,4.662987,73.404144,19.9019,-60.86484,-44.72809,121.229645,87.77605,-5.3375993,164.97874
