"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
7.802764e-06,0.00015516856,5.967837e-06,2.0247555e-05,-0.00023205658,4.317337e-05,6.180509e-06,-2.5296556e-05,3.1910746e-05,3.415426e-06,9.982965e-05,1.3706023e-07,-0.00033494175,-1.20692675e-05,-0.000856313,-0.00015238009,0.00026328154,3.8546557e-07,6.134669e-05,7.593912e-05,3.8948423e-05,6.0930062e-05,2.6713165e-05,-0.0006323696,-1.34599895e-05,-8.858141e-05,5.7358713e-05,6.4057975e-05,0.0005475625,3.4674354e-06,-3.468904e-05,-1.9360805e-05,-5.9922996e-08,-6.7572015e-05,-0.0001877481,1.6984886e-05,-0.00025323892,-3.3354981e-06,-2.4115527e-05,2.0163603e-05,-1.0689074e-05,1.3988142e-06,3.8381454e-06,-0.00010938795,-1.6784381e-05,1.4548915e-05,-0.00038939208
6.5604136e-06,0.0001828609,9.89567e-07,2.802458e-05,-0.00023475254,3.477699e-05,5.9933204e-06,-4.40187e-05,2.8856357e-05,9.9461344e-05,0.00011179609,-6.1166566e-07,-0.0003408522,-0.00016917099,-0.0009269495,-0.00015306777,0.00025921443,-6.2579934e-06,5.8494716e-05,0.00012836774,3.819195e-05,5.958368e-05,4.0745897e-05,-0.00064258045,2.6304551e-05,-7.727338e-05,6.086088e-05,6.861577e-05,0.00053950096,3.1327177e-06,-3.522124e-05,-2.0638405e-05,1.7702143e-07,-4.635051e-05,-0.00018299266,0.00011886037,-0.00027176796,-1.1481501e-06,-1.8271616e-05,9.1294905e-06,-6.88837e-06,-4.7135467e-07,3.9029615e-06,-0.00010853107,-6.4374915e-05,1.3855067e-05,-0.00041100843
5.4508773e-06,0.00013600214,2.9793111e-06,2.0883144e-05,-3.8161175e-05,3.065852e-06,1.1204357e-05,-4.4075885e-05,3.14365e-05,0.00011228522,7.0662645e-05,7.2467685e-07,-0.00032915853,-4.2746426e-05,-0.0008680504,-0.00015714162,0.00023873076,2.5448555e-06,6.145843e-05,4.8530746e-05,4.0117502e-05,6.0472146e-05,3.6402234e-05,-0.00062768854,2.8095458e-06,-8.115835e-05,5.0296683e-05,6.431887e-05,0.00038722288,3.980491e-06,-1.7417213e-05,-1.9463416e-05,-1.0050092e-06,-7.0730406e-05,-0.00016052993,1.8759125e-05,-0.00025971813,-6.445311e-06,-3.5732384e-05,3.9568138e-05,-1.2442316e-05,1.6456221e-07,3.7509883e-06,-0.000108033,-4.7468595e-05,1.4537039e-05,-0.00038702934
1.0728616e-05,0.00012757623,1.2992826e-06,1.7599457e-05,-3.4544653e-05,2.598593e-05,8.221198e-06,-2.6695216e-05,3.0591633e-05,7.161453e-05,6.910028e-05,6.83097e-07,-0.00033188003,-4.0529674e-05,-0.00082793325,-0.00015244553,0.00026116878,-6.019598e-06,6.1252715e-05,8.118278e-05,3.6220477e-05,5.940609e-05,3.5026565e-05,-0.0006435911,-1.9780076e-07,-8.126993e-05,5.7890185e-05,6.8629226e-05,0.00034944093,1.8528107e-07,-1.1992777e-05,-2.0553904e-05,-1.0005529e-06,-7.308913e-05,-0.00018432536,1.5119615e-05,-0.00024873563,-2.6094533e-06,-1.8077495e-05,3.9568138e-05,-6.3595085e-06,-1.1717934e-05,3.5020762e-06,-0.00010968731,-6.668604e-05,1.4624998e-05,-0.00039391487
5.8814985e-06,0.00013832294,1.7830536e-06,1.95036e-05,-3.4143515e-05,4.030863e-05,2.6696507e-06,-4.4085962e-05,3.0314966e-05,0.00010318056,7.161456e-05,6.83097e-07,-0.0003375804,-9.148766e-05,-0.00088703836,-0.0001539231,0.00025925622,-4.698186e-06,5.6795103e-05,7.393253e-05,3.8170936e-05,5.936272e-05,3.405488e-05,-0.00064228394,2.6327518e-06,-7.463106e-05,5.6894918e-05,6.821225e-05,0.0003760781,-1.4943657e-07,-1.8601473e-05,-2.0563615e-05,-1.1481985e-06,-6.4125874e-05,-0.00018076964,0.00010185251,-0.00027175972,-2.5330944e-06,-1.649247e-05,2.0265938e-05,-6.9924017e-06,-6.0275293e-06,3.8226467e-06,-0.000108267624,-6.330679e-05,1.466589e-05,-0.00039022192
1.1460923e-05,0.00012506424,1.5849474e-06,2.172214e-05,-3.8135862e-05,1.7396227e-05,1.909758e-05,-3.0710587e-05,3.2468768e-05,2.276189e-06,6.0956627e-05,7.326404e-07,-0.0003341474,-1.6359462e-07,-0.00083501736,-0.00015682005,0.00025009867,-9.970684e-06,6.06205e-05,4.0698378e-05,3.2836015e-05,6.0253195e-05,2.5179803e-05,-0.0006370795,8.8428493e-07,-8.878537e-05,5.5622437e-05,6.391719e-05,0.0003739891,-2.3150983e-06,-1.6304548e-05,-1.7401955e-05,-5.5532314e-07,-7.166629e-05,-0.00016204076,1.6989594e-05,-0.00023683048,-5.1431957e-06,-8.385858e-06,3.9568138e-05,-1.1688625e-05,7.788742e-07,3.797737e-06,-0.000110502,-2.0723306e-05,1.4426624e-05,-0.00038713613
4.3198343e-06,0.00013895311,1.6130424e-06,1.6378312e-05,-0.0002325144,2.0355976e-05,2.3485816e-06,6.0269845e-06,2.7957238e-05,5.732849e-05,0.00011527483,-1.8477238e-07,-0.00033806977,-9.5668634e-05,-0.0009116482,-0.00015650758,0.00024665453,-6.276765e-07,5.9250506e-05,7.349617e-05,1.3524325e-05,5.6904548e-05,4.4410895e-05,-0.000639341,5.8405705e-05,-7.1318e-05,5.4878972e-05,6.827785e-05,0.0005566913,1.7095506e-06,-4.180759e-05,-1.8395205e-05,3.153214e-06,-6.3856154e-05,-0.00017447288,0.00013261523,-0.00029669408,7.249842e-06,-1.790242e-05,1.0906222e-05,-6.6893144e-06,3.3607228e-06,3.6556137e-06,-0.000103918486,-6.2228595e-05,1.014777e-05,-0.0003896298
1.2821423e-05,2.6635567e-05,2.0133357e-06,2.0706282e-05,-0.00023608898,2.204585e-05,7.820898e-06,4.5580427e-06,2.7937327e-05,-4.7803755e-06,0.0001026057,-1.0692493e-06,-0.000342439,-5.640617e-05,-0.0009139264,-0.00015526224,0.00025560983,5.3305064e-07,5.7783614e-05,7.29931e-05,3.885481e-05,5.960241e-05,3.733168e-05,-0.0006368791,5.0085113e-05,-8.458316e-05,5.9161313e-05,6.6398956e-05,0.0005470317,2.6360935e-06,-4.8043654e-05,-2.1404507e-05,1.0638015e-06,-6.3357045e-05,-0.00016871931,9.242041e-05,-0.00017420201,-4.2322313e-06,-2.0349642e-05,2.1817168e-05,-6.6241946e-06,5.391655e-06,4.1215017e-06,-0.00010365056,-1.7138693e-05,9.605124e-06,-0.00038283603
5.173079e-06,0.00013382858,3.4218112e-06,1.6180946e-05,-0.0002327069,2.5941605e-05,6.0278694e-06,-4.5871195e-05,2.770462e-05,0.00010388612,0.00011362,-5.526731e-07,-0.00033780283,-9.298843e-05,-0.00090325956,-0.00015621519,0.00025138562,4.6917728e-07,5.6795103e-05,7.128394e-05,4.2820004e-05,5.95933e-05,3.6999045e-05,-0.0006393864,4.7929014e-05,-7.155011e-05,5.8660222e-05,6.781794e-05,0.0005504134,1.7068662e-06,-3.6526373e-05,-2.1190292e-05,1.7702143e-07,-6.593865e-05,-0.00017700861,7.677586e-05,-0.00026773565,5.9039985e-06,-2.0264895e-05,2.1817168e-05,-6.9924017e-06,2.6660782e-06,3.6556137e-06,-0.000110157554,-6.1991675e-05,1.0131793e-05,-0.0003870905
2.1482854e-05,-3.9017163e-05,-2.2231234e-06,5.235059e-06,-0.00013712654,-5.667029e-05,1.8767623e-05,1.9806228e-06,3.389613e-05,-1.8780523e-06,2.7359076e-05,-6.118503e-07,-0.00033667334,-5.6836703e-05,-0.00084909366,-0.00014566032,0.00020882318,-2.3467026e-06,5.3220618e-05,-1.6530837e-05,2.6524624e-05,6.835383e-05,1.8601251e-05,-0.000597802,7.500085e-07,-1.4350029e-05,5.5819153e-05,6.1972765e-05,0.0005038621,1.0798223e-06,-1.651045e-05,-2.0962176e-05,-1.6413917e-07,-7.078369e-05,-0.0001476183,9.7556585e-05,-9.947777e-05,-9.055925e-06,-2.141659e-05,2.0206742e-05,6.735611e-06,2.0063002e-05,7.0036763e-06,-9.43368e-05,-1.6264343e-05,1.6642758e-05,-0.00037644236
