"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle) in Restaurant,Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle) ,Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Average Monthly Net Salary (After Tax)
0.1568106,0.7109435,3.9855726,0.90808976,-9.570985,6.112103,-3.0495107,-3.3944168,-4.3498898,-1.9283248,3.1903818,-2.272443,-16.703955,-44.189125,-13.837703,-1.7162575,-0.3172456,0.15177146,-0.035464793,-0.3671903,6.471345,0.0786199,-1.2425944,-11.948349,2.7247899,3.4969897,5.3496175,0.018890224,0.20313388,-0.3276306,0.35812137,-0.8914579,-0.69948804,-2.186555,0.6376373,0.5496522,-7.9625187,0.9960058,-13.030653,-4.5572953,1.9166143,-2.2916462,-0.15125397,-5.0460753,-7.2287226,-0.091128625,-24.691788
3.816017,0.8609481,4.141067,-0.054290354,-7.6845546,5.7008076,-2.8702135,-3.5826192,-7.9520173,-3.4896095,2.1542375,-2.4238653,-16.509855,-42.515076,-10.366098,-2.2362933,-0.36386785,0.0035781583,-0.16028337,-1.5809572,5.825379,0.22920758,0.6994759,-9.190011,11.044947,3.9087086,7.0761786,2.867483,0.4646287,-0.16553573,0.46486148,-2.6572132,-1.0078437,0.1071139,-1.413212,0.2789173,-8.281236,1.5750996,-15.628181,-4.1158123,3.84797,0.73123866,-0.18424353,-6.277292,-16.153038,-0.46746242,-34.062737
-0.6160066,0.5151731,4.2969537,2.4332383,-8.794999,-2.1506202,-9.797198,-3.4124863,-6.0379934,-4.695798,3.499315,-2.155672,-29.679867,-45.076015,-12.041613,-1.0086834,-0.3875309,0.18435925,-0.015866136,-0.25054052,9.589927,-0.60298187,-8.335456,-13.867339,11.436546,3.5780723,6.05001,-0.051712826,0.21733388,-0.1098476,0.3323732,-1.2214762,-1.1339842,-1.9617109,1.0359274,0.5864291,-7.810527,1.0531718,-13.307276,-3.5084474,1.2675179,-1.4200085,0.79965603,-2.9808314,6.2183127,-0.021776676,-16.467428
-0.03680897,0.73174417,5.779237,1.3569498,-9.5027895,-1.0103666,-1.4470718,-3.8345418,-5.7263775,-2.1312773,3.4036913,-2.1810873,-15.696382,-44.34603,-11.722699,-2.3916953,-0.41128862,0.052897453,-0.10469203,-0.49009714,6.5863466,-0.44654587,0.5699402,-11.887615,12.172071,3.2404842,5.393384,-0.04182491,0.45371443,-0.18366086,0.38585937,-0.5031678,-1.0499368,-1.5551432,-1.3008035,0.5419771,-8.097794,1.179134,-13.1434965,-4.5247536,1.9785004,-0.48375663,0.5201932,-4.9107485,-13.237442,-0.07623464,-27.710732
-0.17815146,0.46576473,5.772602,1.422771,-9.640562,-1.5324425,-1.3925648,-2.7482593,-6.050473,-1.873703,2.2192764,-1.9072652,-15.401491,-41.982555,-11.839734,-2.421306,-0.40039957,0.019676816,-0.10686965,-1.8786781,7.0612593,-0.45933163,0.5344491,-10.688943,12.190203,3.14851,5.4773197,0.9606591,0.66459394,-0.18055522,0.29193908,-1.8401295,-1.7183669,-1.2729899,-1.2827095,-0.05336888,-7.9574013,1.1013464,-13.189436,-4.0462923,1.9231834,-0.4824106,0.5014051,-5.3133774,-13.584505,-0.075398944,-28.120186
-0.17329726,0.4328863,4.2276144,0.34475443,-9.215959,-2.0468464,-5.632257,-1.6009943,-5.2623267,-2.2702425,4.1181,-2.2358088,-17.165962,-44.641872,-13.165955,-2.3758955,-0.4315315,0.036315735,-0.17531659,-0.11214092,6.3594604,-0.2327175,-0.55697316,-13.538132,6.128835,2.755914,5.4878807,-0.063364595,0.4957257,-0.1756917,0.40819782,-0.8591105,-1.2290865,-1.9646792,0.631804,0.58889174,-7.917411,1.0730455,-12.295532,-3.5029757,2.3346336,-1.0309243,0.40039518,-4.84085,-10.437054,-0.052507706,-17.942013
-0.41739988,-0.03695698,5.0908527,1.0234002,-9.665537,-3.67989,-3.9751463,-1.5606297,-7.0835767,-1.5676576,3.401601,-2.8071566,-13.407766,-44.119335,-11.093324,-2.7792659,-0.36415356,0.1583598,-0.01837998,-0.70953935,7.1551623,-0.28056931,-0.94768703,-9.819083,17.229273,3.1839135,6.5722165,-0.071497016,0.48940605,-1.1321193,-0.62444997,-2.8848612,-0.26547092,0.1368601,-1.9056293,-0.04656908,-7.8195853,2.7351468,-13.529235,-4.468956,2.4767516,-1.2890952,-0.28878373,-5.5920377,-14.863106,-0.19890383,-29.902952
-0.25163478,0.14252113,5.05365,0.9380631,-9.899542,-2.9956088,-1.188458,-1.5306351,-6.380732,-1.4554778,3.753496,-2.1894367,-12.268904,-44.245796,-13.06544,-2.5365636,-0.49264884,0.12810935,-0.12152207,-0.6121177,7.6813736,-0.21854696,1.1748556,-10.404105,15.054617,3.1574752,7.2838273,0.049036164,0.43035153,-0.37182975,-0.31544054,-2.8449574,-1.1314526,-2.0361247,-1.6103859,-0.057645485,-8.129357,2.052976,-12.142188,-4.166124,2.568778,-2.8714836,0.14376213,-6.264626,-20.629782,-0.13551615,-26.646673
-0.35697708,0.34894878,6.399262,1.3010241,-9.722986,-1.0155765,-1.3447417,-2.7862134,-7.0846014,-2.1951952,3.8132927,-2.172131,-11.623427,-44.531273,-12.881471,-2.0649369,-0.4355596,0.070987485,-0.06868877,-0.60130024,7.3825116,-0.43419382,1.5831378,-11.045981,15.342725,3.2573996,6.778908,0.04014513,0.6005828,-0.63801104,-0.47106153,-2.871608,-0.99163866,-1.2290235,-1.090519,-0.47592527,-8.074707,2.8629386,-13.562831,-4.2005644,2.8325644,-1.1785022,0.029957378,-6.3320284,-19.474056,-0.17189091,-31.160164
-0.33892843,0.6245435,-0.45934036,-1.0167004,-10.004036,-3.324887,-3.8362648,-1.8468258,-3.2628152,-2.92061,4.180574,-2.528136,-12.481333,-46.39554,-14.442709,-1.4122177,-0.7918665,0.53723955,-0.23517184,-0.56605303,5.961902,0.21440265,0.08812212,-12.7695875,6.8241296,2.9438913,5.8315187,0.027796559,-0.27867755,-0.11986529,0.39913464,-0.70284367,-1.015915,-2.2134583,0.6494721,0.47621864,-8.807031,1.9106482,-9.549017,-3.5317662,0.23946497,-2.816403,0.6338018,-5.519257,-14.2575865,0.03880204,-10.419206
